GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "08000","Colorado",7,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted) ","Thousands of dollars",1822837,1861025,1913277,1925449,1894429,1915861,1919217,1928797,2085261,2056145,2098733,2155389,2391301,2477661,2520929,2585153,2632148,2649928,2736212,2751824,2702056,2747444,2732616,2721012,2798424,2791736,2800028,2844472,2963128,3029108,3094576,3152156,3285880,3338704,3401852,3477388,3592388,3667484,3746248,3790176,3702832,3727860,3823760,3894000,3923892,4048116,4074320,4225620,4266384,4329200,4371628,4446488,4575480,4641364,4728624,4790164,4876716,4924368,4962700,5004592,5063724,5125668,5201076,5307148,5404156,5431332,5507720,5553428,5643432,5743288,5941704,6034176,6151304,6222184,6313184,6416428,6579432,6683224,6821084,6970120,7147396,7400364,7599164,7863984,8121068,8340936,8531456,8761876,9153476,9359404,9713824,9934056,10292480,10724668,10874108,11147408,11559772,11816632,12323424,13004504,13175940,13712976,14132632,14670904,15043616,15375120,15856268,16161684,16470168,17019116,17568100,17941524,18394848,18732408,19137176,19660604,20011320,20717880,21437404,22530356,23028364,23970448,24896744,25758556,26621736,27290312,28535712,29447936,30601776,31131020,32401456,34076068,34942904,35835964,37704608,38888492,39344596,40352884,40529112,41649012,42390164,43121136,44120740,45134580,45960420,47141420,48187804,49025332,49581924,50247112,50668348,51272204,52182324,52295432,52529672,52580772,53125752,53764636,54356892,55469828,55815280,56969212,58047132,59100152,61030308,61456712,62355436,62845896,64196984,65297844,66294868,66736872,67879276,69053764,70092952,71505616,73296020,75111120,76443616,77196480,79905096,80977376,82016744,83895888,84913916,87264732,88422632,90754288,93057228,94455876,96489400,97873496,100053088,102243268,103962908,105640492,107229672,109296300,111969264,114390924,118507094,120994790,125157258,125652578,128170546,130339450,131551630,136789406,140434749,145171753,149419093,151217489,154657180,154907384,153611856,153090508,152796504,154303432,154658800,156210496,155050104,156201640,159444348,158925148,159880320,162670840,163776792,167946044,169911088,172856804,175939680,178283500,185285928,186853332,189759544,190889260,196388040,200011904,201162744,204882000,205300728,212552788,212481480,209928068,204041144,200012068,198054816,198572108,200881168,203728512,207252772,212351124,220145848,222718192,225957924,226673520,231940652,234324512,233373384,244493328,242295652,246387032,249666176,252918084,261320704,266711636,270316468,275463516,277175828,279882560,280321664,281403980,279518844,281188464,284870964,289136504,295371220,300553788,305256996,312284916,318851692,324503344,331417336,337678572,346203264,349099200,354256580,355933908,364289612,381556245,375794888,378990611,422864304,409292615,415854519,423859182,431078819,436241189,452824852,448707176,456377371,463042225,465135053,470776937,478443518
 "08000","Colorado",7,SQINC35,1000,"...","Personal current transfer receipts ","Thousands of dollars",132472,127976,121496,114096,120640,125096,131016,137008,227488,158372,125076,125520,135516,138652,140176,139268,135788,136552,146092,145380,154960,152696,152592,154276,159060,162868,166012,174716,178096,183560,187392,189176,194780,195972,200644,202400,203216,212904,215440,230488,193744,214976,229736,242760,233764,253380,271092,278008,272916,272292,275232,281516,299940,300620,304684,301192,311004,312644,321684,331464,347284,334432,337920,337080,346728,337564,342476,347252,367696,363976,390856,378144,392240,390136,401652,442836,471376,474908,487140,498348,517020,547396,559852,571496,592720,602676,609288,616464,646500,741772,749248,783568,796852,861156,863468,877472,905392,905772,925480,1034084,1070588,1097604,1117856,1144796,1190216,1247204,1315156,1380856,1476716,1630320,1650900,1683476,1735244,1728504,1781380,1802076,1826936,1837152,1892228,1917828,1960672,1983692,2074816,2112804,2166588,2213564,2358080,2398108,2472896,2485116,2796104,2856280,2952712,3011544,3229912,3261704,3314792,3400164,3620420,3778484,3834640,3905460,3904560,3967700,4073548,4107964,4104300,4167532,4278516,4277836,4322444,4342440,4478140,4561068,4688940,4755356,4864788,4985288,5021088,5052752,5203352,5201872,5251856,5338972,5683880,5800380,5896432,6017564,6182148,6223912,6258652,6409808,6680640,6886792,7016776,7268724,7613508,7767724,7914368,7981216,8222720,8282248,8466192,8557188,8688872,8754216,8884208,9242800,9711648,9986924,10136536,10064340,10330412,10453944,10304680,10249072,10474192,10468228,10513772,10546444,10579488,10668084,10729924,10896956,11240832,11320752,11480980,11571408,11712184,11998156,12144024,12340588,12868800,13322780,13135396,14091948,14502588,14851900,14936672,15074296,15348908,15546080,15738596,15699484,16008576,16201176,16236572,16517948,17175828,17520156,17682132,17816088,18530812,18769344,19005932,19105732,19839176,19961300,20288864,20680708,21277240,26510636,23348676,22958468,24448452,26483692,26596620,26991812,28901732,29333800,30001920,30133504,30643216,30542172,30365628,30651500,30325172,30746468,30715760,31015896,31465196,31667056,32070244,32254488,33277884,34028096,34659192,35384012,36433304,37352824,37608632,38162516,38610796,39025248,38951404,39152652,39476948,39624496,40215928,40841300,42206000,43052880,44012184,44639060,45678064,45883076,45654424,45699544,46628292,82756680,61584272,55426624,91194240,64641572,61565068,58214664,58883300,58987592,67738076,59765784,60447779,60938760,60389888,60283162,62684517
 "08000","Colorado",7,SQINC35,2110,"..."," Social Security benefits ","Thousands of dollars",3800,4012,4188,4276,4436,4788,5016,5136,5428,5668,5784,11284,13288,14388,14844,14664,15200,15760,16412,19900,21444,23336,24440,24592,26176,27544,28840,32972,36000,39196,41688,42076,43668,45236,47564,48672,52544,61432,61268,64116,65620,68588,69924,71716,78792,82052,85288,87884,88776,90640,92536,94672,98808,102356,106320,111260,114832,117880,120860,123968,125156,127928,130304,131876,134120,135792,138224,139400,141896,144128,174500,164464,167836,171896,173376,175860,180616,184836,187260,189712,199680,220328,225040,227200,230872,232944,235172,237092,240096,303304,285132,289372,293348,345704,332956,337988,343752,347960,352392,424028,438616,450392,459148,467236,471240,510168,535744,549172,557864,567440,624840,631988,644968,650696,703140,721444,729672,742936,799572,809636,819440,822368,881928,892428,900660,913972,1006580,1013836,1025336,1028712,1191716,1200588,1225680,1229256,1379420,1383348,1380744,1390544,1492964,1547996,1538552,1560016,1564264,1605396,1658800,1686952,1688888,1726884,1785568,1787896,1821492,1816600,1897624,1912576,1960992,1964340,2002304,2044844,2052892,2066184,2180976,2175160,2182128,2191900,2338268,2367044,2386836,2399556,2526952,2544024,2548736,2585392,2765868,2815292,2845660,2874960,3022640,3058712,3075492,3098380,3234368,3265432,3307860,3354004,3447908,3482284,3501788,3538176,3640648,3689104,3716760,3737020,3867992,3900908,3905436,3927784,4054684,4091316,4119940,4144312,4226948,4249964,4287228,4299280,4385984,4416460,4441916,4465136,4590488,4745268,4731148,4737364,4954372,4976744,5048936,5045444,5238564,5269312,5301344,5342048,5437316,5506652,5530724,5578400,5739060,5814576,5837192,5915696,6137288,6235068,6253716,6304708,6600492,6682616,6719056,6757272,7057192,7163368,7217996,7269068,7534980,7618676,7697232,7735628,8304012,8442048,8515876,8640376,8718628,8908100,9001132,9112808,9201072,9366988,9440820,9536064,10039240,10137468,10231880,10330464,10648700,10755700,10898256,11023864,11265260,11397964,11487952,11659388,11880820,12005796,12109392,12287956,12296312,12442456,12570508,12732284,12848824,12969008,13119136,13271392,13643480,13801276,13972796,14112288,14666532,14815292,14968492,15139168,15544176,15694260,15814872,15993540,16285864,16371448,16504316,16661864,17814236,17940072,18060108,18274032,20277402,20519297,20651409,20878913,21794791
 "08000","Colorado",7,SQINC35,2210,"..."," Medicare benefits ","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),12408,36212,47600,55608,60568,62868,63444,63808,64732,66420,65884,67780,69556,70984,72144,73840,75668,77428,79292,80232,80548,80144,78892,79512,82004,86540,93860,100588,105944,109612,111352,113988,118356,124732,133492,142308,151012,159208,167212,174696,181740,188664,195080,200960,206340,211352,216208,222744,231240,241964,255248,269008,282080,293860,304976,314696,326820,337292,348512,363936,386740,414020,445548,475840,503952,527412,542420,558976,573628,586616,604020,616232,626348,636496,646304,654676,663464,672648,684948,694744,707472,720076,735768,748568,756068,759324,747760,758240,786848,834208,916768,975888,1016740,1037688,1039228,1039404,1044396,1059024,1079832,1108744,1140972,1178356,1235752,1273504,1308768,1342812,1398860,1416788,1454624,1507416,1564128,1621488,1680368,1741884,1795152,1855140,1907064,1947044,1988824,2022068,2049200,2082060,2128976,2156796,2164960,2154132,2116488,2111660,2120692,2143696,2185196,2214684,2235252,2246732,2246824,2265628,2299784,2349068,2413436,2478992,2542880,2606032,2678856,2743088,2801028,2852160,2886460,2946908,3022904,3114748,3211928,3312672,3417492,3499600,3591624,3658308,3729520,3804632,4405128,4481916,4558648,4634732,4721552,4798432,4878076,4960276,5061380,5152344,5247008,5345656,5467596,5565412,5650880,5724296,5798624,5870528,5948348,6031960,6126408,6220252,6307840,6389528,6458736,6546572,6642480,6746252,6848932,6793384,6915564,7042884,7182748,7336608,7484132,7624452,7747420,7886396,8014804,8133452,8216708,8331176,8454948,8588544,8704168,8872748,9041064,9208996,9358336,9550540,9765400,10001420,10188448,10377236,10514840,10602716,10645952,10858100,11056080,11239548,11437520,11676216,11921288,12172108,12384076,12476616,12514928,12615144,12675005,12734079,12802225,12879443,13094187
 "08000","Colorado",7,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),26036,41904,52740,57916,54604,53392,52868,54200,59012,61188,67764,68416,75804,82408,83904,87460,86384,92240,92624,96508,106692,110088,108296,112732,113760,108384,112832,110756,110076,118952,116508,120680,136160,151740,157576,162212,163836,167448,168224,176152,183108,171800,187672,197752,204932,217756,221316,219748,226668,239324,247996,250708,273008,276936,282540,289960,296760,298768,299072,298920,298736,299192,303812,311688,324608,339144,359448,383968,412992,436464,450356,453856,448756,446256,451140,464136,491132,512616,528556,538464,539908,559640,595652,654288,701296,795596,848444,969708,929316,982316,1022416,1026796,1064952,1066188,1144796,1130100,1093416,1096340,1132092,1326840,1519264,1614476,1640636,1463336,1459232,1508280,1392492,1364952,1442072,1453676,1518464,1579816,1591244,1628692,1628548,1723588,1811536,1816136,1908072,1956444,1931624,2000656,2057716,2055024,2070520,2200056,2102768,2359204,2382980,2386480,2450156,2522268,2533156,2488920,2611116,2500708,2635696,2744552,2633588,2675564,2804804,2925908,2843732,2932676,2754052,2812348,2909156,2819880,3026464,2859016,2941168,3032048,3165676,3213912,3235036,3275720,3425728,3626752,3692520,3639864,3749132,3917208,4360736,4429980,4663716,4465456,4365468,4547940,4520124,4914172,4788804,4908348,4954796,5065008,5286272,5285388,5940276,6131824,6488272,6836664,7194380,7692460,7723172,7989240,8062460,8203548,7908904,7868124,7761144,7659448,7885256,8143448,8731040,9266052,9829432,9936968,9566640,9403516,8944548,8814156,8810916,9400220,9988500,9712900,10129860,11059276,11855736,11611448,12296100,12541788,12122968,12323784,12933235,13572890,12960395,12740444,13270769
 "08000","Colorado",7,SQINC35,2410,"..."," State unemployment insurance compensation ","Thousands of dollars",1204,1336,1384,1608,2588,3372,4268,5208,5312,4340,3372,2936,1192,1148,1364,1532,1444,1360,1560,1200,2044,1844,1944,2820,4704,5692,5780,5616,3900,3168,2884,2908,3380,3480,3892,3808,5536,5364,5832,7984,11896,15292,15880,14472,11224,8680,10392,11788,12664,13496,15872,19004,20388,25836,21140,18968,19932,19380,23348,25168,22608,22508,22564,15512,12996,11240,11984,13412,15088,15596,11140,8368,11108,9196,7932,8712,11352,9992,10192,9836,7312,5976,6820,6364,6688,6628,6500,7896,9076,13688,14752,14652,16712,20196,22344,22456,21444,21344,19052,19360,20328,18976,20572,21784,31224,33048,36160,48104,74076,106564,109112,97820,95832,97088,95044,93364,104584,98284,91740,84440,67552,54208,52084,51412,53524,51432,51908,56984,64116,83820,108652,122212,114804,110836,108448,110820,140116,167580,223696,261816,279652,299076,249608,228040,199344,163860,137568,141320,172752,169308,173380,181888,179156,204064,234784,240700,232432,236072,221872,202284,200148,183920,173744,160820,156964,143140,136128,171436,152996,153260,152428,156576,170388,186776,196580,197828,284608,271728,277864,267616,257756,253384,271980,267752,219004,187576,171168,166416,164032,174460,175472,177384,179156,194136,180216,178932,169420,156824,152496,146136,151324,146808,137236,137456,144160,144908,151488,153132,148088,143504,136768,150540,171220,224724,333148,482496,533620,795024,733312,684972,684444,746756,698292,649212,503364,392320,369292,339372,334940,306496,300416,296572,275436,282868,286164,295268,302668,287060,297604,308520,322220,338600,582196,764056,1098828,1697992,1995008,2128148,2386136,2215464,2105160,2006992,2029300,1862944,1646468,1562672,1430196,1267796,1127356,1058208,961252,927272,842364,837940,558052,491792,461352,462036,508960,503032,490524,494996,521388,521040,495560,457264,430584,400944,428868,427712,409692,366696,336284,356988,394288,352864,319120,364380,709748,14297888,9198684,5665116,8081516,6483996,3792272,648600,495740,361740,283996,316740,323322,340186,318413,337600,360704
 "08000","Colorado",7,SQINC35,6000,"..."," All other personal current transfer receipts ","Thousands of dollars",127468,122628,115924,108212,113616,116936,121732,126664,216748,148364,115920,111300,121036,123116,123968,123072,119144,119432,128120,124280,131472,127516,126208,126864,128180,129632,131392,136128,138196,141196,142820,144192,147732,147256,149188,149920,145136,146108,148340,158388,116228,131096,143932,156572,143748,162648,175412,178336,171476,168156,166824,167840,180744,172428,177224,170964,176240,175384,177476,182328,199520,183996,185052,189692,199612,190532,192268,194440,210712,204252,205216,205312,213296,209044,207936,222052,231808,224472,229120,235932,246584,257284,263260,271512,289276,295324,298060,300492,299148,309036,320956,344200,352896,361632,374752,382684,402292,395768,404268,435740,441980,445240,448288,458704,490016,497760,532272,562340,604592,703920,657640,681728,713472,697640,688624,687848,687524,676020,678068,691720,721312,732632,751988,764788,793320,811704,849288,857276,895360,886088,981244,998436,1058784,1089760,1133988,1133768,1121716,1126876,1151812,1190552,1201008,1210456,1234520,1257688,1314624,1342152,1352424,1363912,1375156,1366764,1360296,1359616,1391804,1410540,1426244,1446272,1481292,1519340,1539900,1571104,1625712,1638296,1657996,1687908,1780748,1801692,1828172,1870420,1923064,1927584,1917440,1954528,1963256,1980384,1985120,2047872,2141192,2181464,2229828,2245612,2266784,2280456,2286932,2297916,2364416,2366528,2398792,2469484,2592552,2653744,2696604,2739556,2835208,2828552,2777336,2695344,2679040,2609616,2557912,2522048,2493484,2530960,2556220,2592936,2713956,2728564,2744252,2749964,2795160,2843100,2918608,3048592,3259252,3442264,3107664,3598772,3668568,3657996,3650832,3672848,3807532,3856844,3875560,3856416,3918528,3937056,3979008,4087716,4307172,4394376,4554748,4477500,4495704,4509596,4532908,4598580,4731300,4853424,4954020,5110796,5192984,10187104,6587204,5837408,6152288,7151488,6742336,6859128,8249212,8422500,8586544,8551764,8622720,8626532,8605032,8615296,7876876,7880460,7925240,7972624,8051516,8125692,8127788,8064412,8331548,8669908,8737484,8801472,9101724,9265140,9270740,9256872,9513928,9527028,9521484,9506436,9732228,9722348,9741604,9789752,10063452,10068316,10108272,10231396,10862156,10934168,10907424,10779124,10917500,32506212,15526136,12815520,45259480,19050636,17491456,17120644,15893148,15667376,24756076,16236084,14238815,13772308,13657446,13446762,14164066
"Note: See the included footnote file."
"SQINC35: Personal current transfer receipts "
"Last updated: June 28, 2024-- new statistics for 2024:Q1; revised statistics for 2023:Q1-2023:Q4."
"U.S. Bureau of Economic Analysis"
