GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "93000","Great Lakes",3,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted) ","Thousands of dollars",46462597,47360293,48676633,48503937,46365688,45958836,45818792,45842204,48906404,49881012,51980036,54084844,56224248,58103652,58649292,59643880,59819476,60544172,62032252,64263356,66390428,67557272,67650536,67360652,66202436,66100576,66341060,67695652,69623528,71355624,72836580,74240164,75068776,76381684,77669656,79603548,79500020,80230232,81024128,80810952,79257548,79107892,80869084,81981112,83416988,86095652,86051816,86810616,88706888,89013320,89221476,88792456,88900696,90436860,91764436,93451908,94691776,96485184,97201556,98362192,99120164,100353692,101812976,103635340,105607204,107787164,110000132,111683680,114755956,117230188,119550268,123285892,125669264,127593256,130366336,132753368,133513224,134173500,137312152,138390188,143070740,146740708,149689544,153531060,157118064,160533104,164060292,166354352,167194744,169811720,172663788,173151132,177015276,183191148,185277932,189294364,194209460,197370868,201357256,209894204,215729980,221348992,226682904,233954684,235540812,239387892,247692304,252441208,253919644,258657136,266631264,273804188,280272432,285745540,292263624,300231420,306708440,317147452,326515076,335364240,341644016,351918992,361693704,371053600,381661576,386979808,397201128,405315116,414756216,416123568,428510300,444282124,451231760,458504228,472292940,476011592,476310848,484827504,490330768,494549708,496504172,505631912,516158336,531032932,546847876,560614236,571933524,579822644,589937164,595138616,601773952,613146872,620984144,630092332,635924544,641743388,649561244,655154400,665418948,679551740,691391856,703700988,719230840,734700980,756767128,761603664,768685268,779444400,793473332,808177284,818017952,821373984,816362904,825055836,835178416,849372160,866044416,887344576,895357648,912012900,910125808,926380312,934236140,949952064,963440548,979004836,993119144,1011858824,1025922452,1033360844,1043949276,1057439664,1071537960,1092591636,1106601584,1119074432,1134511748,1147445752,1164264440,1185720352,1207317609,1225453037,1237927429,1255098965,1260292279,1270917323,1282329143,1311837279,1342645485,1358459985,1377861541,1383513213,1410718344,1411112396,1407200428,1406508684,1406998940,1426123124,1430322748,1441355688,1441365844,1451379256,1463696056,1488047236,1485613104,1508619464,1525818900,1548330052,1538287352,1555810008,1570143468,1588933204,1620907952,1639484720,1649295156,1659857660,1699080164,1711897716,1717690616,1731614232,1754311940,1809256620,1777492960,1760532316,1707939980,1713871512,1705416480,1722231664,1727767876,1760565776,1783750772,1801700264,1849006976,1860408612,1883771896,1892697212,1924142940,1940360592,1934841896,1993088376,1958250100,1974014196,1980928376,1987028264,2015093536,2043779864,2064166620,2091088280,2116377508,2137143704,2152831116,2166538548,2169251236,2177265568,2188619072,2208817524,2231001512,2249302552,2270663212,2296180828,2336247020,2356296248,2379884728,2401738292,2429470048,2439366492,2452155728,2470627916,2497426416,2718014155,2640164760,2627583113,2967259214,2787708186,2786113958,2800890454,2819057614,2846781684,2881915226,2906521572,2950743844,2980098375,3003808608,3026018418,3069923035
 "93000","Great Lakes",3,SQINC35,1000,"...","Personal current transfer receipts ","Thousands of dollars",2232244,2173164,2077836,1978020,1849300,1966992,2108872,2253448,3370048,2411984,1926392,2011580,2035544,2088828,2138396,2141124,2179920,2188208,2346236,2353316,2431544,2423624,2445752,2521424,2713044,2857988,2925420,3086008,3033500,3105724,3175408,3205092,3305192,3351312,3475764,3507980,3685196,3934492,3986436,4321168,4466456,5124920,5411244,5233420,4776356,4818252,4944524,5231812,5005004,5111752,5324220,5588560,6032568,6282084,6173048,6032980,6113936,6091148,6145512,6265340,6489884,6263152,6259704,6361068,6534888,6424892,6460244,6477700,6712768,6612540,7344668,7069572,7234232,7225900,7526980,8129720,8674016,8896604,9125824,9340672,9744812,10387792,10658924,10859892,11155824,11319956,11415220,11444308,11911160,13867392,13819364,14593848,14834944,16359040,16389684,16826100,17242528,17323104,17622804,19701112,20217796,20720192,21117884,21695168,22847668,24402440,25602452,26875136,29230768,32266216,33122476,33504908,33883412,33492168,34604400,35013220,35315888,35097924,36075744,36587696,37224860,37542960,39210372,39788272,40683292,41451636,44898508,46824588,49458496,51827388,58826728,58300544,59002508,59222300,62054016,62532504,63534548,66183604,69300676,73434320,72741484,74137884,71850632,72347076,73157396,74173480,74662768,76135400,77722188,77918492,78500956,78871908,80826384,81611568,82560772,82738500,83490828,84240068,84350656,84651752,87144852,87497464,88122956,88890140,92295036,93221300,95033568,96695836,100298236,102192708,103707644,106033696,109292908,111726848,112111424,115935036,120810524,123643272,125537868,125994308,128930224,129473540,131347732,131499980,133182000,133640772,133959300,136671688,140275704,141502060,142597792,142247924,146269908,149007096,148422720,149027128,152176452,152647272,153483940,154033036,154445956,154934496,155940788,156836300,159563984,160259500,162508312,164305420,165985392,170163172,172953428,175815924,183235348,188021780,186000044,194245268,196241412,199978376,200245516,202138928,205311768,207400340,210126600,210537632,214454800,216543376,217269032,220280508,229243824,232649116,234890340,237285772,242373816,243980016,247529496,247965592,260599952,262413508,267267524,271494428,273936500,329572276,297185216,294471572,314570000,337225316,337135328,340999724,355840964,353747136,357031328,357363576,355518872,353889356,350865632,351519748,348527224,353103412,354359916,356216140,360255848,361293980,361933572,362372596,368133008,373735016,379523648,383330440,389843828,395822868,396167684,397481336,398890524,402102352,402602588,403897296,408961044,408943728,412564148,415623136,423298016,425337872,427584796,430249120,442549228,447185996,450076968,451939900,460926456,805286196,610740636,537485668,867557076,618067244,580154752,555861980,558751364,560379976,553462568,563893896,570017791,572572113,571616946,572986084,594871987
 "93000","Great Lakes",3,SQINC35,2110,"..."," Social Security benefits ","Thousands of dollars",120956,127532,133136,135952,142540,153792,161308,165068,171928,179396,183132,356932,402284,435560,449436,443880,454212,470840,490220,594552,627700,683016,715268,719876,755888,795388,833040,952440,1019952,1110684,1181240,1192232,1211320,1254932,1319444,1350336,1456064,1702512,1697996,1776816,1807616,1910580,1951144,1993852,2180760,2249536,2319348,2381712,2401756,2448656,2501340,2554880,2645168,2724156,2820232,2939100,3014428,3086936,3152536,3220436,3233432,3279928,3320732,3339516,3381680,3413240,3458372,3471852,3506336,3538876,4265940,4005368,4076200,4162200,4186868,4232844,4316496,4381424,4410432,4439172,4636536,5095448,5192580,5237124,5282644,5350360,5401224,5435032,5488484,6901484,6443764,6509108,6579112,7763744,7461572,7559268,7612804,7672484,7760564,9377372,9670456,9927448,10116412,10286940,10393788,11257652,11797696,12045396,12155156,12270872,13428836,13521336,13769592,13854296,14878432,15140992,15267028,15425764,16494272,16604316,16658244,16680804,17914480,18199768,18349564,18563932,20416264,20507912,20609280,20748664,23995996,24236092,24745320,24770632,27605908,27620956,27698208,27883520,29822660,30823384,30613980,30905332,30895532,31590764,32187080,32582864,32599480,33287540,34193608,34246496,34812540,34643800,35851184,36035888,36679184,36575008,37238724,37655068,37580416,37635820,39571148,39586300,39690408,39743432,41589560,41695464,41855620,42034808,44070032,44665600,44927968,45313784,47809148,48095036,48316684,48434032,50507168,51062924,51260532,51435556,53373380,53621600,53731512,54008792,55346996,55810572,55955872,56134532,57634436,58046280,58202868,58489932,59861000,60004988,60202080,60507020,61893072,62264436,62510996,62727500,63861036,64084428,64433416,64472008,65282276,65549324,65813060,66106228,67572920,69410780,69317800,69443904,71889424,72199096,73085308,73129724,75299828,75698852,76070384,76495736,77515672,78203604,78410224,78880728,80617492,81366160,81546276,82302640,84544396,85519152,85732812,86333036,89586444,90541724,90975176,91383648,94399960,95432508,95899288,96297540,98715532,99561160,100533568,101289188,107404344,109132608,110037400,111227104,111609712,113124992,113723956,114478388,115025864,116305648,116889396,117775680,122460424,123395544,124249176,125085580,128279416,128725292,129319184,129840088,133148832,133708584,134099688,134837520,138179408,138703484,139116708,139807032,141150876,141691792,142162292,142770020,144955780,145414560,146005184,146617024,151106884,151755476,152460380,153043504,159208148,159827296,160437768,161090512,165628672,166144692,166512800,167078812,170283092,170567464,171156132,171962788,183833364,184584884,185231092,186163480,201659502,203530555,204552424,206312152,213396408
 "93000","Great Lakes",3,SQINC35,2210,"..."," Medicare benefits ","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),196492,568896,738244,864072,953748,1011940,1053696,1089664,1127656,1169056,1222112,1260272,1289420,1307820,1318112,1338124,1359404,1384660,1416412,1452356,1490104,1534572,1572088,1618204,1666728,1719264,1757256,1823296,1907076,2009392,2138132,2262080,2392300,2531460,2677764,2817544,2953508,3080312,3206592,3341104,3474948,3621124,3798820,3962588,4136904,4325664,4520864,4727028,4931072,5128264,5277880,5473796,5717128,5992360,6306648,6653740,7011300,7360868,7699348,8012636,8321968,8624088,8933524,9248228,9561192,9873200,10146100,10452052,10785256,11132620,11503920,11831368,12109892,12320196,12394896,12551916,12711644,12907724,13096584,13314072,13513160,13730744,14034980,14201584,14372944,14532604,14483628,14702580,14949708,15227364,15568900,15978208,16533940,17227212,17985072,18662716,19083928,19170364,18868936,18877336,19187856,19704248,20710324,21460260,22068992,22508936,23164460,23246832,23558888,24199312,25077296,25959652,26774844,27451284,28046280,28657120,29220488,29781720,30110856,30472404,31001760,31545888,32042112,32506912,32731980,32748516,32611552,32427948,32345536,32363864,32403648,32559352,32745188,32963020,33203056,33724592,34519376,35595900,36916036,38071532,38981224,39634016,40061016,40575812,41132176,41732248,42365636,43144448,44077924,45166220,46456104,47652476,48966628,50083708,51375576,52283776,53106520,53825936,60922512,61606076,62444532,63440656,64602312,65769788,66971616,68205004,69480400,70786004,72135976,73532616,74929996,76127628,77051600,77698920,78116416,78652868,79359920,80240680,81271296,82194344,82986956,83649388,84193624,84869272,85700820,86691016,87732580,87351368,88373588,89348564,90358456,91454552,92532636,93590236,94484248,95568456,96579792,97523508,98275096,99212456,100222464,101308580,102026788,103344740,104625544,105867256,106860216,108409596,110284260,112485608,114615196,116401752,117430044,117699892,117206140,118782804,120366136,121959972,123892788,126296972,128799076,131398292,133639356,134588972,134951232,135948664,136457135,136958923,137537768,138193669,140017743
 "93000","Great Lakes",3,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),443528,711840,896700,997964,967740,975556,988148,1031948,1130732,1185136,1329548,1366684,1526860,1682932,1741080,1847676,1869396,2033068,2065840,2164184,2389192,2471280,2455372,2602760,2699732,2642536,2815252,2821212,2873560,3102900,2977632,2963216,3148276,3379508,3442348,3534048,3588784,3698128,3768908,4016620,4252072,4068480,4469452,4719212,4842288,5096556,5114404,5053224,5237684,5503380,5629140,5595832,5983216,5999812,6121336,6340768,6550324,6710852,6853012,6970716,7041920,7119972,7220276,7336360,7453208,7585148,7737468,7921808,8144324,8299836,8427212,8499852,8559660,8681280,8865152,9129064,9447336,9800512,10167180,10533520,10787148,11303568,11884760,12546264,12657792,13862772,14625568,16799020,16481740,17832500,18797960,18868808,19330464,19301336,20706552,20625196,20443160,20298780,20007932,21560948,22120932,22102812,22169004,20538436,22107820,24294252,23468400,23401460,24334468,24143148,24652656,24910752,24152752,24112644,23638552,24672648,25748484,25715428,27005532,27787304,27643936,28825768,29831176,29910576,31521400,33474244,31632824,35292268,34670596,34367500,35328116,36728228,37360452,36889800,38038680,36925644,39076976,40010560,38689044,39016872,42601216,43352456,42707372,44455016,39337032,39104272,40579672,38769332,45528500,43801060,45560292,46252560,43652840,46516988,45580160,45961860,50162152,52403248,54073536,54519420,55558812,54325268,57904312,58329540,57207872,54623996,51345512,52203104,52957496,58027068,59108916,59775440,60395764,61918800,61249324,61055968,64135828,66220884,70087196,71442596,72792436,75974460,74746240,74619252,73797448,75912200,75468736,75665276,77429944,76352772,78086584,79009288,79920672,80128696,79983140,79120944,79620648,82015712,83707992,84757640,85037688,92807552,99435504,98359076,99882096,103498988,104978536,101480048,108486932,110835464,106554064,107332476,111621360,117982761,116429269,116847432,124237011
 "93000","Great Lakes",3,SQINC35,2410,"..."," State unemployment insurance compensation ","Thousands of dollars",102288,112996,117760,136772,206648,269348,340608,416140,326732,267128,207532,180232,137488,131716,156916,176348,193428,181440,208424,160440,145792,132192,138656,201520,420828,508872,517588,502096,295592,239676,218612,220060,297252,305636,341988,334516,318440,308544,335768,459516,833888,1157808,1254140,937432,596564,409104,367256,581744,414880,497256,640244,798328,941224,1192200,892544,705844,640736,556928,525588,525648,527544,487280,436720,456120,437348,403656,361160,328672,311532,274604,273284,268644,267148,225524,293572,232680,313184,388888,376584,363948,354168,322888,354540,336744,315476,294284,327196,366380,481888,693804,778676,1012408,943200,994300,1008208,1087444,1044308,1045396,907248,745464,657496,596956,591588,616648,1009800,1267204,1217760,1531596,2764108,3966388,4263720,3913036,3311856,2984748,2928932,2981852,2928828,2380148,2243264,2288464,2096048,1809160,1719680,1587200,1871840,1827948,2271392,2907352,3425340,5009340,6221040,4922360,4641284,4548388,4155700,4649972,5139180,6895328,7253228,9492572,8089032,8718176,5615540,4531812,3572720,3316272,3098332,3221000,3468920,3256808,2927960,2994504,2935180,2948532,3020064,3107516,2803308,2973380,3049152,2953064,2919248,2725368,2586336,2428212,2524732,2551148,3089928,3075788,3184216,3055640,3197380,3779948,4535504,5293592,4422864,4990208,6509540,6434160,6079916,5684064,5219448,5276736,5495776,4975076,4087568,3576160,3184236,3181312,3179568,3226728,3463784,3621688,3785612,3950932,3585260,3723124,3648808,3553412,3381356,3309732,3242636,3147780,3930064,3101088,3430956,3318932,3306556,3347984,3454620,3295884,3604340,4047168,4975812,5544132,6291564,7325632,7281792,10827904,9468580,8863936,8741704,9385744,9588288,9587008,7900440,6728552,6597040,6313408,6169192,5942080,6138892,6179020,5943996,5919676,6341616,6309856,6281124,6192276,6410564,6585968,6857768,7173028,10818428,12970284,19254452,24136832,26520440,27113540,28324308,23640856,21041128,19084036,17813200,16566392,15603084,14870372,13675000,12264440,11051908,10690732,9946188,9457748,9066064,8489148,5757772,5164248,4818608,4605968,4578648,4505604,4487396,4494068,4473604,4455484,4393672,4340632,4379744,4082120,4192752,4248972,4224484,3816264,3569308,3890236,4385288,3956764,3496324,3636940,5056896,145343548,94071420,41793308,80670136,57427368,26345948,4342500,3469268,2877148,2663972,2918940,2750451,2752288,2643306,2840709,2806727
 "93000","Great Lakes",3,SQINC35,6000,"..."," All other personal current transfer receipts ","Thousands of dollars",2009000,1932636,1826940,1705296,1500112,1543852,1606956,1672240,2871388,1965460,1535728,1474416,1495772,1521552,1532044,1520896,1532280,1535928,1647592,1598324,1658052,1608416,1591828,1600028,1536328,1553728,1574792,1631472,1717956,1755364,1775556,1792800,1796620,1790744,1814332,1823128,1910692,1923436,1952672,2084836,1824952,2056532,2205960,2302136,1999032,2159612,2257920,2268356,2188368,2165840,2182636,2235352,2446176,2365728,2460272,2388036,2458772,2447284,2467388,2519256,2728908,2495944,2502252,2565432,2715860,2607996,2640712,2677176,2894900,2799060,2805444,2795560,2890884,2838176,2850048,3095300,3306092,3262220,3385060,3525612,3700412,3879792,3984148,4116968,4335592,4415040,4397380,4335076,4179148,4222140,4340820,4689708,4928480,5173084,5441652,5612868,5882596,5801884,5958716,6492328,6605728,6689560,6761728,6934512,7436552,7582436,8128856,8602500,9244548,10740132,10021040,10387464,10895640,10669484,10506836,10448040,10447652,10226524,10223672,10406036,10801428,10946460,11202792,11338992,11595224,11887832,12724816,13400344,14865156,15347164,17128940,17062012,17074268,16794088,16856036,16584264,16525952,16653148,17034456,17649332,17909156,18062512,18432968,18751112,19343352,19732124,20002052,20335948,20622844,20743300,20828536,20989520,21490228,21727928,21610896,21403424,21269492,21110200,20920932,21030412,21611168,21801936,22031352,22362068,23164508,23195968,23386900,23824508,24271768,24505184,24613608,25223336,25421528,25598112,25558452,26007528,26601752,26853428,27330468,27496944,27842472,28027036,27855004,27691604,28226980,27995608,28036416,28343612,29294488,29469120,29541648,29816148,30404620,30284520,30165220,29849636,30257992,30179364,30206952,30336536,30577980,31161696,31593220,32226692,32698620,33116464,33637976,34100884,34110860,34906148,35680736,36818376,37932676,38732776,36009124,38863628,38928180,38508308,38246260,38318780,39328304,39776744,40011484,39978032,40403788,40785628,41470044,42563880,44553444,45551652,47204744,46492764,46583832,46808268,47188500,48062100,49788056,51217876,52425764,54153356,55229960,105535096,68117084,60717624,62819056,75425000,69452352,70440740,82231716,84003152,85002012,85230932,84200640,84198976,84040684,83021204,75240680,74547088,74249096,73973372,73901900,73840772,73925412,73638828,74732120,77186748,77985520,78854120,79809088,81070864,81237548,81037476,81193500,80830420,80355424,79812788,80168788,79749536,79654084,79880596,81185760,81227840,81287708,81708828,84719948,84984472,85004840,84754916,87997060,282207600,130354776,108294500,392828964,160276452,148875060,146678352,129322444,127493508,124062208,131530336,117529343,111347586,110454179,108792122,114414098
"Note: See the included footnote file."
"SQINC35: Personal current transfer receipts "
"Last updated: June 28, 2024-- new statistics for 2024:Q1; revised statistics for 2023:Q1-2023:Q4."
