GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "19000","Iowa",4,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted) ","Thousands of dollars",3900721,4203565,4258237,4128409,3672973,3484921,3396225,3488841,3769905,3929609,4211045,4245841,4311044,4364384,4282884,4287076,4306544,4525700,4744660,4727936,4470412,4383672,4371352,4399676,4707884,4765028,4847080,4742236,4628412,4516616,4506512,4518276,4580392,4724484,4879936,5099272,5137928,5311072,5468432,5473036,5315768,5491256,5514752,5531476,5542368,5586272,5593060,5687544,5637664,5704864,5793564,5844432,5973516,6020744,6129468,6211620,6297528,6319908,6300364,6460036,6592300,6664868,6785072,6934620,6972764,6961696,7048120,7254876,7444628,7761872,7916608,8150476,8489328,8463156,8462784,8637140,8598408,8534852,8794364,8758492,9089380,9261760,9495212,9541956,9902548,10271668,10583996,10737956,10954028,11005624,11149156,11271024,11310280,11590496,11672684,11992988,12387764,12624576,12959992,14188256,14384200,15306152,16086844,16841932,16118612,15620824,16295588,16864972,17447628,17758332,18449984,18878864,18845840,18995732,19384096,19895396,20614868,20999052,21324260,22162844,23632052,24299208,24836304,25381308,25758408,25922576,26619548,26899612,27422452,26700668,28371820,29545412,30794700,31011464,32527444,32400524,31573852,32139112,32609280,33857620,32800192,33080992,32741896,34081192,36043116,36758232,37223748,37638696,38097012,38144248,38136876,38472140,38859656,39233864,39815896,39988328,40222580,40962652,41318588,42396464,42183388,42408920,42613300,43701320,45956160,46202036,46433412,47425284,48059220,48838808,49566152,49616588,49405840,50006504,50354424,51076756,52738932,53624416,54233096,54456476,53142404,53959720,54086252,54834160,57863264,58624668,58945248,60122428,60059688,60600500,61581956,62783456,65609008,67224476,66617188,67448204,68865036,69020688,70093300,71653952,71795414,72404250,73913302,74477062,73734372,74187672,75086168,76986456,78297783,79775851,81104023,81152755,81963852,82607276,82875744,82632092,83616868,84276520,84882076,85297216,84755524,85670328,86712132,88184496,91645464,92981972,93503676,95380380,94538676,95786032,96747720,97247516,100734920,101649964,102084100,103525284,107883868,108615800,108868404,110908112,115032524,118502116,115910836,115005816,111883580,112753272,112804792,114412064,113922492,116150940,117466848,118602640,123794440,124265044,126565144,127374716,129527684,131130840,130331704,133557644,132788140,133565144,134119112,133268156,134653844,138034084,138557296,139688720,141488492,141704340,143202432,143689340,143202636,143267452,144431108,144458216,146864488,147431884,147527644,149821804,151993716,153602820,154878844,158268820,157045884,156280936,159189824,159957396,159334780,175043200,167096438,169641174,192587129,184526605,183314048,182059182,188840015,191590227,195247230,195292004,199199620,198724842,201190555,201596624,203652093
 "19000","Iowa",4,SQINC35,1000,"...","Personal current transfer receipts ","Thousands of dollars",148436,143688,136696,128776,180272,186896,195652,204576,266196,186260,147636,150300,158308,162268,164460,163564,163280,164184,175660,175740,179548,178208,178924,181960,184292,189820,194060,205848,210320,217712,223328,225436,235992,238640,245800,248404,267940,286760,289488,309136,300080,329088,343952,350432,341144,357612,370392,378924,377444,383804,385536,391808,413376,416388,432796,432376,438084,440612,444092,453120,471176,456880,461360,466104,480324,474148,478556,481976,501360,498292,555444,532180,545188,544980,560696,613240,650696,663348,684084,701040,730636,781024,800180,817792,837820,853388,863008,867872,895024,1020904,1011572,1040660,1059860,1152392,1139520,1154888,1180192,1178248,1183360,1321956,1359576,1388176,1419016,1450248,1503624,1589532,1671184,1740516,1841380,2002156,2083884,2140380,2181768,2167520,2247020,2279592,2290828,2289388,2380268,2419600,2484448,2516092,2641920,2692860,2758104,2805348,2980348,3036800,3101600,3204952,3655108,3687036,3705132,3723856,4017084,4083144,4171048,4304416,4534340,4694220,4714332,4804424,4722000,4731736,4794228,4831712,4849732,4959424,5092924,5122704,5193204,5215552,5308972,5330448,5389836,5376052,5428220,5478664,5469752,5485624,5663544,5680336,5729960,5780876,5999740,6044864,6127216,6233128,6466580,6597016,6675452,6782196,6980948,7080740,7141152,7305300,7547444,7682976,7770344,7791764,7986440,8021972,8107856,8115576,8282144,8327096,8372952,8519848,8743120,8813788,8871636,8866872,9131028,9316236,9305532,9321100,9504256,9493700,9535664,9587836,9689964,9745936,9770296,9870776,9999316,10037416,10187612,10307696,10470600,10783692,10973224,11182356,11337132,11676788,11677980,12290892,12729312,12982588,13007476,13008472,12815812,12930152,12862684,12897920,13150096,13314160,13356636,13543960,13929096,14234980,14330212,14522484,15290560,15575688,15935576,16076868,16495216,16539980,16763520,17104584,17538780,21046184,18989472,18641300,19564152,20824448,20495228,20650512,21456104,21588184,21882764,21955176,22027976,22031328,22052368,22127212,21867352,22035460,21930780,22100404,22321724,22354056,22571012,22632692,22966752,23520680,23916652,24224536,24547584,24871564,25083476,25189272,25314832,25664428,25587816,25497244,25525020,25289616,25540920,25862548,26787240,27501648,28107748,28657288,29415724,29325908,29296660,29533208,29624044,50564216,37003184,33060940,54249688,38048272,35578488,35278292,35703404,36123052,36063008,36558644,37144718,37256187,37095394,36985790,38658136
 "19000","Iowa",4,SQINC35,2110,"..."," Social Security benefits ","Thousands of dollars",5908,6228,6500,6632,6936,7484,7844,8028,8524,8896,9084,17704,21176,22940,23660,23376,24512,25408,26452,32076,36664,39904,41780,42056,46048,48452,50748,58024,65420,71240,75764,76468,81200,84124,88452,90520,106800,124872,124540,130328,137800,146312,150488,155064,171672,178484,184604,189808,191600,196004,200308,204608,212404,218632,225760,234592,240296,245940,251104,256676,258372,263052,266836,268888,272840,275512,278892,279652,282804,285724,344244,322984,328684,335572,337444,341592,349784,355972,358304,359836,374532,410484,417364,420620,424420,428620,432228,434968,443320,548080,514796,518404,528004,615440,592148,598596,604320,609928,616000,734360,758104,779048,795892,810652,816868,884076,925028,942264,946880,952456,1039436,1043292,1058384,1061600,1139296,1160436,1165988,1179460,1261980,1271264,1275888,1275448,1364440,1380572,1393484,1411356,1549396,1556612,1568432,1574824,1815592,1831040,1863952,1869368,2089824,2099940,2109280,2127704,2278112,2355108,2333816,2357160,2352288,2398192,2434696,2450504,2442608,2488500,2561000,2570064,2614700,2603160,2686620,2693364,2734916,2723572,2768024,2799120,2795000,2799516,2941200,2941352,2949340,2955028,3084416,3092376,3103264,3113124,3251464,3289368,3306212,3327516,3517632,3539772,3553928,3547652,3700536,3732048,3736408,3740548,3879732,3891628,3893060,3910448,4002084,4037372,4049076,4056308,4157552,4179112,4183172,4196572,4288576,4304336,4321680,4348508,4456416,4475088,4486016,4493700,4576908,4592148,4616100,4619660,4675408,4691788,4705460,4718516,4807288,4921508,4916956,4931788,5099828,5127736,5188236,5190544,5323400,5344340,5364204,5388144,5453104,5494664,5505252,5532532,5642844,5688240,5698120,5745440,5883700,5947956,5966460,6012096,6226644,6295164,6328132,6357008,6544908,6607496,6632224,6650168,6790416,6837656,6898080,6950916,7339740,7450564,7505120,7569988,7583640,7663212,7689384,7726916,7756852,7831608,7865832,7920756,8217004,8278200,8333700,8387544,8540252,8599632,8679860,8751164,8862296,8940276,8995388,9098376,9215876,9289660,9347304,9443092,9430776,9506280,9572304,9658544,9705932,9772112,9857828,9947128,10144176,10239448,10342588,10427276,10742976,10833216,10922408,11018244,11235424,11313516,11372740,11465160,11613040,11664424,11759964,11886904,12597424,12713376,12812904,12955436,14129105,14270818,14348215,14481497,15018059
 "19000","Iowa",4,SQINC35,2210,"..."," Medicare benefits ","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),16788,48628,63284,74072,81512,86072,89084,91672,94496,97800,94844,98104,101476,104896,109532,111324,114816,116560,118892,119036,120684,122192,123388,125872,128960,131660,136324,142516,149500,156836,164428,172160,180444,189488,198984,207524,215272,221592,227048,233856,241928,252024,264044,275416,286424,297328,307340,318512,330000,342184,354456,369756,387068,406940,430080,451204,471024,488432,501860,518024,537276,559684,584416,608956,632096,653704,669972,691220,713588,736948,762244,781052,796384,806668,809612,818576,827460,839048,848300,859140,868732,880188,896560,905312,914188,921336,913768,924444,938296,955476,974580,1000604,1036068,1080020,1125280,1169656,1202104,1215284,1212656,1222008,1243440,1266564,1318712,1352188,1378148,1396276,1432764,1430128,1439216,1467552,1507308,1550764,1590900,1620856,1646640,1675056,1703276,1733824,1753640,1781204,1818628,1858492,1897752,1924544,1934420,1928080,1907572,1898060,1898944,1910264,1924872,1945452,1965336,1984596,2009724,2045032,2099192,2173040,2265356,2336364,2385636,2411920,2429388,2438792,2450804,2465604,2502304,2536088,2581104,2637332,2693068,2764492,2846844,2919308,2976800,3058824,3155888,3268312,3833332,3948080,4042912,4115824,4140960,4191624,4248380,4311348,4367232,4433400,4504232,4580036,4656928,4713732,4761112,4799128,4822836,4853172,4887080,4924548,4965920,4998576,5025156,5045712,5073216,5093512,5119564,5151396,5169904,5136408,5209656,5302868,5408376,5527600,5632512,5722172,5772696,5848124,5912764,5966780,5992044,6047784,6117384,6201492,6289008,6391800,6485288,6568940,6628712,6727112,6848988,6994472,7128316,7253444,7335892,7375836,7374372,7494848,7608636,7715732,7836276,7987764,8146520,8312488,8456440,8518592,8543372,8608832,8644237,8679177,8719482,8765152,8892163
 "19000","Iowa",4,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),14292,22196,27596,29776,27916,26572,25668,25420,26576,27512,31416,33400,40092,46896,51080,56620,59376,67440,71960,79548,92912,101680,106932,119896,131280,133524,145884,147892,149452,161488,155548,155984,167608,181756,186828,193748,200216,208236,211864,223948,233740,220768,240980,254720,263100,278188,278896,273252,277796,289440,296632,298620,326072,329360,332428,334860,330480,329680,335956,349296,370024,384260,392016,392796,384376,382572,387900,401500,423184,441468,457876,470572,481588,493048,504772,517672,528228,546428,569820,597808,623052,660912,699296,736992,740492,800164,828012,924600,878176,921864,948352,935972,950152,949872,1032176,1055116,1085340,1107968,1110920,1203268,1227312,1219664,1218216,1125440,1210232,1327640,1275608,1261560,1297396,1280956,1316176,1352740,1348220,1365756,1337516,1373520,1385696,1359488,1430440,1503360,1557608,1674104,1763144,1778564,1578032,1746328,1737976,2151408,2464268,2558400,2638312,2631264,2255828,2229068,2120076,2107480,2274964,2348452,2274380,2313360,2386816,2510092,2363460,2422736,2450128,2507424,2671492,2608068,2668420,2474224,2497988,2599904,2685680,2803372,2865700,2846168,2973328,3016588,3019276,2949648,2945488,3008588,3147708,3181332,3383420,3355048,3403888,3496332,3430920,3633872,3515520,3613240,3587572,3612916,3707216,3628420,3789424,4061224,4281676,4378316,4468892,4588196,4654964,4595768,4606124,4811540,4612660,4391156,4223952,3860296,3915488,4013104,4529320,5069696,5467460,5741012,5805028,5510936,5326420,5400988,5032192,5402176,5782684,5510120,5712328,6216252,6091128,5813692,6387336,6843176,7053228,7297552,7295591,7415424,7204315,6997515,7714861
 "19000","Iowa",4,SQINC35,2410,"..."," State unemployment insurance compensation ","Thousands of dollars",2348,2596,2708,3140,3696,4824,6088,7444,7480,6112,4748,4128,2824,2708,3228,3628,5108,4792,5504,4240,4796,4348,4568,6632,7868,9516,9676,9384,7484,6060,5532,5572,7244,7452,8340,8156,8540,8272,9000,12316,14332,16128,15128,10380,9980,7836,7584,10288,12572,16312,14108,14960,16560,22640,27392,24640,19200,16624,13228,12588,13044,10784,11408,10256,10828,10656,9816,9728,8904,9168,7576,7220,9196,7680,6024,7608,9808,10000,13436,14716,13416,11972,13680,15160,14992,17052,18392,16864,18372,28424,33824,36976,38244,41932,41256,44624,47708,46296,34576,29040,31920,28040,31156,28132,39848,35740,32568,39424,73160,123816,147156,162344,147768,139240,132880,137288,133364,106260,106448,108952,116324,107952,108712,112824,125252,116648,98292,101624,77124,167020,257172,237688,173060,145844,177320,221084,274472,346760,376392,404188,392956,427048,303816,223300,192828,175288,163352,182640,197428,182352,183224,193428,176588,171100,182344,166752,144728,146672,129432,119608,128356,117548,123128,118992,134384,123540,125732,128564,136916,144516,142140,162872,177984,188604,191172,218100,255652,260252,259320,257700,239844,256836,262668,215772,201960,160116,146588,142344,153220,158208,163248,170340,178076,193124,187008,183580,192464,179912,171140,169864,158816,154232,153104,160064,182672,182516,197072,187504,199440,200688,202704,231552,260044,287112,325252,361516,356416,517692,449848,416440,440796,484956,465460,443316,350208,317068,319140,298572,300952,280928,302420,319800,291044,302740,321740,336256,335220,328232,328160,331760,353712,373864,519128,639948,826500,1166192,1206440,1254816,1236868,1057172,1005140,949788,894136,828440,772036,746384,697940,631288,572752,549476,529800,521528,490668,483788,420980,405420,395808,388776,392268,388076,398656,407480,405612,414336,413592,400544,407176,386640,390964,396624,401788,359136,330188,353024,397592,375084,348064,365956,355008,6789268,3724888,1713248,2837472,1994220,403712,282308,223156,196792,220128,252876,238615,242747,233246,242305,233906
 "19000","Iowa",4,SQINC35,6000,"..."," All other personal current transfer receipts ","Thousands of dollars",140180,134864,127488,119004,169640,174588,181720,189104,250192,171252,133804,128468,134308,136620,137572,136560,133660,133984,143704,139424,138088,133956,132576,133272,130376,131852,133636,138440,137416,140412,142032,143396,147548,147064,149008,149728,152600,153616,155948,166492,147948,166648,178336,184988,159492,171292,178204,178828,173272,171488,171120,172240,184412,175116,179644,173144,178588,178048,179760,183856,199760,183044,183116,186960,196656,187980,189848,192596,209652,203400,203624,201976,207308,201728,200440,215412,227820,223304,230832,240416,253604,266896,274640,284212,303564,309612,310912,311144,309508,310880,320540,338944,346804,349412,359764,364056,378200,368640,372408,393496,393136,391676,391388,398008,423104,430116,461184,489792,529444,616680,575088,593256,617288,599300,587032,581952,577980,566764,569868,586072,617288,632424,651940,663532,684696,699352,733728,747676,792224,791136,870340,875156,903160,912432,933768,929184,925084,931556,951108,982600,991516,999636,1019880,1038436,1073980,1095188,1111432,1132320,1154860,1167452,1175804,1187120,1213088,1224272,1215944,1204040,1195724,1186092,1173256,1174592,1198632,1203944,1214424,1233708,1278132,1281916,1292332,1313612,1329868,1332564,1325700,1339532,1332184,1330192,1324600,1348384,1394368,1416624,1448116,1461268,1483948,1493508,1480736,1466688,1485452,1470876,1475468,1497072,1558396,1581748,1603724,1640696,1700504,1709932,1702608,1668960,1660228,1633200,1627912,1643452,1698448,1735740,1764632,1807268,1830668,1858172,1889304,1913720,1896540,1942360,1991228,2067412,2133872,2179248,2040880,2175504,2155840,2123364,2104308,2107020,2163780,2185376,2190792,2177260,2189012,2195908,2218152,2267280,2380828,2437180,2541984,2499540,2489412,2522280,2571300,2659712,2805708,2938404,3056768,3211404,3341740,6597892,4202332,3624232,3767656,4477372,4003280,4076932,4867272,5006040,5153452,5172592,5027648,5017656,4985456,4918028,4448272,4398588,4389244,4398748,4494196,4483572,4483612,4466452,4485676,4586160,4611268,4636896,4697852,4757508,4769788,4776152,4880276,4884488,4871876,4845508,4898952,4878768,4891352,4936752,5083244,5106256,5118524,5141504,5341812,5353228,5363876,5372184,5627048,19564408,8514236,6656680,26250572,10185612,9177164,8982900,8039048,7851116,7433376,7443948,6837170,6648021,6590136,6499321,6799147
"Note: See the included footnote file."
"SQINC35: Personal current transfer receipts "
"Last updated: June 28, 2024-- new statistics for 2024:Q1; revised statistics for 2023:Q1-2023:Q4."
