GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "16000","Idaho",7,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted) ","Thousands of dollars",721841,743901,751325,763109,736253,748281,740557,731541,778858,777658,807378,826238,868348,895488,912648,932744,939908,980296,1032856,1021588,979028,936020,940552,948144,967440,961748,964388,976328,999536,1025916,1018304,1037424,1086632,1113300,1147972,1154116,1158228,1183448,1211944,1216420,1192172,1194756,1221728,1254464,1261176,1282556,1287264,1316556,1323112,1316892,1313468,1310784,1354544,1374712,1405664,1432796,1486260,1493420,1483092,1488968,1501368,1500020,1543160,1547376,1538340,1546324,1581220,1633484,1734716,1757824,1829436,1853084,1850816,1808072,1787096,1823124,1855076,1886856,1970792,2014652,2038428,2067960,2068624,2085320,2286364,2383752,2425992,2467856,2569376,2614580,2683692,2722988,2785692,2866484,2915296,3009132,3100708,3201440,3361312,3553900,3567188,3719628,3871436,4123808,4327084,4374472,4602696,4685188,4653940,4764900,4934040,5113976,5299756,5363860,5465696,5615656,5681036,5781452,5986668,6320192,6477060,6735484,6943872,7163156,7222744,7313036,7548112,7786140,8101832,8073972,8472504,8935424,9019324,9121192,9440180,9355032,9420084,9603904,9756380,9996216,10561792,10577124,10505296,10754424,10921824,11159920,11412116,11627728,11831844,11883084,11912064,12066720,12081976,12123200,12236792,12220568,12357868,12531252,12751880,13056556,13345816,13656540,14013776,13975844,14818172,15022912,15159232,15497680,16055116,16264228,16467736,16585952,16760772,17052308,17262300,17721304,18337332,18773040,19136116,19280984,20197876,20609756,20577568,21372896,21479128,21983904,22402580,22671340,23221232,23531056,23869992,24532144,24784868,25384092,25315308,25570952,25831124,26106884,26599100,26942960,27982902,28287854,28619598,29102006,29712721,29803217,30199137,31005437,31767000,32592960,32797288,33510760,33831356,34212752,34084232,34109128,34603560,34904256,35391284,35956336,35839560,36075428,36683736,37221004,38345244,39197276,39571100,40433132,40518496,41308484,42069316,43002380,44730664,45906540,45981992,46931552,48354956,48803596,48830252,49425232,49636220,51479928,50185800,49327504,48825236,48427964,48185188,48556832,49003456,49814740,50618100,51371260,52440332,52798212,53402244,53665396,54569736,55208572,55400004,57700960,56645128,57713248,58285400,58518796,59372960,60615428,61186188,62413380,63820956,64183644,65020212,65232416,66194696,67013872,67780308,68187392,69637532,71024560,71948828,73279544,74917084,75900032,76886624,78414548,81013496,82426488,83735984,84901672,87372252,94020408,91934127,94227349,107172582,99983515,101034077,104265766,106220835,108758846,111239235,112884532,114738102,114709955,116142807,117407174,119890932
 "16000","Idaho",7,SQINC35,1000,"...","Personal current transfer receipts ","Thousands of dollars",38424,37256,35476,33580,36028,37716,39860,42060,69180,48672,38464,38536,41172,42088,42828,42744,41176,41260,44284,43696,44908,44268,44496,46276,46932,48772,49796,52396,53616,54556,55524,56044,56316,56912,58780,59280,63224,66940,67908,73716,71184,77424,81252,82536,79448,84332,87184,88292,87468,88188,89972,94868,99088,100676,103516,103988,104676,104440,106624,107144,110924,107644,107812,109432,112916,112036,111336,111880,117148,116216,125816,121432,124136,123904,127988,140388,149248,153220,157408,159764,165448,174808,177436,179368,190176,193444,195568,195428,203152,235268,233656,242708,247788,274060,274412,280568,293368,296960,299588,335460,340344,344592,353696,364320,381932,410296,435492,458192,484600,523548,531324,555248,575592,579884,606272,608328,616760,619080,636096,641708,649164,648032,682176,702040,735212,753704,808452,833020,869116,895700,994056,990796,1016388,1034388,1108904,1136372,1166524,1206384,1250084,1307392,1301980,1307204,1295428,1309380,1335056,1349028,1338776,1373876,1430760,1447776,1445008,1457728,1496040,1520948,1540456,1541916,1547108,1580336,1570100,1581592,1655112,1673456,1692464,1723000,1809828,1824768,1841588,1860176,1933352,1964524,1985180,2030832,2128032,2189540,2222548,2317420,2404348,2456864,2508980,2541492,2636312,2651888,2679980,2698688,2770848,2793072,2826108,2926140,3049864,3107952,3153816,3144632,3275020,3356872,3332716,3353580,3433572,3434760,3460516,3492096,3559756,3579172,3600100,3654776,3754368,3789668,3848400,3900092,4000116,4126392,4191284,4260916,4495176,4641928,4545040,4841392,4952612,5023388,5038108,5088348,5206380,5326632,5400528,5414044,5565088,5682832,5752192,5871164,6062072,6175084,6220640,6254368,6568700,6673672,6758000,6825572,7147480,7192416,7318780,7469428,7654764,9554796,8417916,8281940,8782000,9492280,9469276,9551380,10087188,10105604,10380672,10424260,10343728,10324800,10261144,10246448,10238588,10461216,10425688,10596340,10674380,10719320,10833956,10877152,11006604,11311044,11470964,11592476,11833652,11957124,12108156,12217600,12333076,12533944,12628544,12778788,12991984,13050776,13295784,13455976,13814652,13943400,14120908,14336832,14872228,15152132,15290504,15347188,15726144,25648020,18411688,17348724,29904840,20242732,19702216,19820200,19820708,20586748,20930412,21181788,21486649,21070546,21046613,21040398,21931776
 "16000","Idaho",7,SQINC35,2110,"..."," Social Security benefits ","Thousands of dollars",1276,1340,1404,1440,1464,1580,1656,1692,1804,1884,1924,3744,4608,4984,5152,5084,5300,5492,5712,6932,7892,8592,9000,9052,9908,10428,10928,12488,13760,14984,15936,16080,16788,17388,18284,18716,21592,25244,25180,26340,27844,29432,30168,31024,34212,35488,36824,37952,38212,38920,39900,40792,42404,43752,45432,47404,48512,49808,50908,51984,52100,52892,53580,54080,54896,55676,56472,56744,57488,58048,70132,65960,67252,68796,69112,69996,71936,73520,74348,74828,78328,85984,87348,87944,88944,90024,91060,91964,93424,118136,111148,112908,114848,135672,130540,132372,134464,136432,138456,167568,173412,177332,180340,183648,186168,203888,215596,221260,221816,223808,244636,246716,251768,254192,275068,280924,282940,287052,308268,311904,315916,316476,340084,345248,350616,357248,395496,400024,404544,407272,471508,475092,482628,483620,540804,542140,545124,549620,589884,612504,612544,622464,624280,639216,652348,658332,656620,669264,691512,693896,707116,704328,731092,735012,749984,749044,761412,772420,773156,776992,823448,825728,829228,830420,874272,878336,883024,889556,942048,954024,956764,965068,1020016,1028376,1033032,1041076,1090476,1105028,1110244,1116868,1165316,1171388,1180868,1190592,1228376,1242480,1249664,1266012,1312828,1327276,1333432,1333140,1381244,1397644,1397116,1403604,1449496,1456560,1467212,1478396,1518028,1526876,1541216,1545896,1578432,1590068,1599108,1606644,1653988,1716956,1710168,1712676,1805792,1815992,1847372,1846192,1928896,1943632,1960016,1981356,2024164,2058448,2071876,2094764,2163888,2197544,2208840,2244556,2340952,2382964,2390948,2411200,2530748,2561516,2574500,2588584,2707532,2747424,2767192,2785300,2886384,2916916,2946656,2962588,3174392,3226348,3253880,3298780,3325580,3391424,3422196,3459096,3489412,3545028,3568356,3599592,3779848,3812828,3844572,3877912,3994896,4032320,4082648,4126588,4217488,4266020,4298848,4363112,4449488,4500648,4545428,4621940,4631372,4697588,4755240,4825364,4875344,4926024,4987028,5046628,5202064,5263068,5330312,5384488,5620220,5680532,5744540,5817848,5996484,6065940,6125760,6213128,6355140,6399988,6458652,6521272,7008624,7052700,7097272,7184792,8043835,8147560,8204209,8301763,8694491
 "16000","Idaho",7,SQINC35,2210,"..."," Medicare benefits ","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),3248,9404,12300,14416,15792,16468,16788,17020,17336,17812,18328,18968,19604,20220,20888,21516,22000,22256,22344,22464,22680,23072,23648,24472,25432,26620,27912,29392,31072,33012,35296,37588,39692,41472,42452,43964,45880,48352,51532,54412,56980,58896,60348,61752,63172,64684,66348,67900,69788,71852,74300,77480,81404,85916,91016,96192,101924,107432,112820,118092,123156,127400,131260,135068,139176,143456,147548,152328,157220,162280,167972,172532,176704,180512,184164,188220,192328,196564,201008,205512,210432,215676,221820,226544,230928,234872,236044,241100,247388,254788,265956,272580,276664,278296,277336,279168,284100,293180,305824,319636,333356,347476,364300,376944,387760,397608,414008,417556,426784,440028,458620,476616,494408,514084,533780,550132,563916,572864,586552,600984,612584,628028,650560,662388,669080,668740,662172,657744,657076,660164,666860,674620,683576,693800,709424,724628,743744,766620,792860,814812,832848,846992,861336,873928,886944,900408,919012,937848,960520,986988,1012764,1042796,1075524,1102136,1128200,1154396,1184392,1218168,1441348,1477040,1509228,1537404,1561668,1587964,1616948,1648676,1684168,1720368,1757940,1796984,1838824,1874772,1905960,1932436,1954824,1978484,2003388,2029472,2056012,2081612,2104584,2125032,2144900,2166880,2192588,2222040,2243512,2223212,2273556,2334968,2402992,2477228,2541520,2594828,2626220,2672164,2717336,2762276,2801856,2843940,2883956,2921792,2959620,3007044,3056696,3108744,3159424,3228956,3309988,3402176,3480880,3563816,3628748,3676188,3708964,3798932,3883324,3962024,4045576,4142384,4240912,4340744,4425984,4466112,4484944,4524576,4548740,4572586,4600094,4631265,4717949
 "16000","Idaho",7,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),5512,8832,11120,12284,11796,11776,11900,12472,13876,14452,15760,15416,16104,16764,16716,17492,17780,19836,20884,22828,26244,28000,28256,30080,30856,29940,31788,31648,31916,34272,32700,32344,34280,36636,37436,38812,40484,42524,43808,46836,49308,46660,50796,52900,53396,55968,56456,56332,59372,62656,63776,62384,64956,63780,63924,65380,67168,68680,70600,73004,76192,78508,80420,81660,82296,83008,84288,86028,88056,91872,97548,105012,115400,122932,127860,130068,129956,131648,135440,141568,149392,160216,172632,187944,196232,219424,233108,268044,259580,276100,285792,282572,286080,282944,304752,306520,310548,312592,310976,338956,350248,351684,355508,331260,366560,411780,400224,401684,423308,421084,433532,442600,434908,439356,435428,461448,489820,495116,530540,558424,571712,612304,642500,648580,691648,755980,692328,809060,788944,770200,786848,812712,830656,819732,848764,848408,932796,996544,1004588,1033072,1042376,1055924,1018624,1036292,1001612,1043672,1073548,1055448,1145904,1079116,1111132,1157816,1190812,1215600,1226264,1213216,1257800,1287016,1318636,1341224,1433908,1413272,1541968,1616096,1504572,1413016,1344192,1265660,1383080,1591316,1539332,1658988,1631016,1671436,1698552,1655144,1561904,1613192,1658176,1659424,1695088,1675720,1734812,1722116,1680356,1750996,1734992,1772708,1802656,1769592,1890248,1914800,1967536,1973332,1992612,2010136,1994920,2111460,2136668,2113936,2196308,2494260,2716932,2706768,2841676,3074032,2993684,3041564,3232884,3258052,3343480,3448512,3635927,3880901,3803722,3718247,3945537
 "16000","Idaho",7,SQINC35,2410,"..."," State unemployment insurance compensation ","Thousands of dollars",1252,1384,1436,1680,2024,2640,3332,4084,4952,4052,3144,2732,1852,1780,2116,2368,3088,2892,3324,2560,3608,3276,3432,4984,4560,5516,5596,5436,5436,4412,4024,4052,4064,4180,4684,4584,5572,5396,5872,8036,9536,9956,10224,8752,7980,8408,7716,7064,7156,7528,8016,11444,10684,12960,12656,12640,11004,9604,10328,8932,8960,9276,8824,8896,9040,9284,7208,6712,6932,7204,4768,5196,5620,5280,6048,7216,7052,7936,8048,7688,7668,7156,7248,6388,7216,7240,7432,5952,7408,9468,10092,11072,12928,16120,17752,18184,20340,21072,17080,15488,13392,12644,17024,18348,20612,21828,20928,25152,37024,44400,39312,46228,41604,40036,38748,30848,34380,32844,30492,31424,28820,24292,27848,33796,44108,41180,37520,44744,56548,80044,77656,61252,62160,66628,69956,93972,115808,142864,134836,156084,139876,129320,105320,93828,89560,86260,67108,75644,91924,95476,71532,81224,82632,97092,97328,94136,77588,90112,70188,63248,66456,64460,59808,65996,68308,62388,59512,55232,61548,68352,70656,71296,85452,93860,91944,112880,121932,118300,127492,134580,142308,140684,123700,116484,109756,96548,94984,104752,102976,107156,114304,108900,110420,111432,99548,117136,105924,105048,102916,106608,116200,112764,112036,115268,113204,111876,105556,104024,111240,102884,106000,112708,133652,141272,168228,196752,212840,279800,248140,224392,211480,264344,260188,226704,179056,159900,160664,149108,137404,140484,136552,126956,124408,113480,106968,114356,133120,125688,133660,139872,137776,223888,288128,359376,453136,648172,714932,678128,654356,564856,585728,491912,473280,444748,395184,386688,364484,323144,273620,263044,239220,210012,190248,181056,141056,135572,129632,121744,121448,120792,125144,124128,117148,116636,116748,114620,117128,105680,104616,104280,98064,84748,76936,84884,95860,89116,81600,84372,82316,2308176,1194980,414268,730016,424232,100284,79888,71144,65764,68984,77784,76754,79910,77389,82907,82731
 "16000","Idaho",7,SQINC35,6000,"..."," All other personal current transfer receipts ","Thousands of dollars",35896,34532,32636,30460,32540,33496,34872,36284,62424,42736,33396,32060,34712,35324,35560,35292,32788,32876,35248,34204,33408,32400,32064,32240,32464,32828,33272,34472,34420,35160,35564,35912,35464,35344,35812,35980,36060,36300,36856,39340,33804,38036,40860,42760,37256,40436,42644,43276,42100,41740,42056,42632,46000,43964,45428,43944,45160,45028,45388,46228,49864,45476,45408,46456,48980,47076,47656,48424,52728,50964,50916,50276,51264,49828,49580,53772,57960,57348,59220,60780,62664,64648,65504,67224,75688,77212,77472,77292,75920,77316,79296,84188,85872,88028,91540,94468,101040,100532,102860,110368,109524,108460,108544,111820,122076,127156,138392,147480,157064,183376,173240,183872,199832,201304,203688,206012,207176,203160,201464,201352,203800,202728,207020,212332,225704,235272,250224,255500,267700,265532,292172,294120,305384,310080,318532,316528,314960,316176,322412,332964,337056,339312,344684,348676,358008,363224,367744,375452,386968,391676,393612,393952,399012,400324,398424,397032,398232,399388,398280,401468,413764,419236,428180,441728,471336,479816,486948,495524,503028,502764,501028,513344,520508,528244,531108,547944,568060,580492,597692,609864,628600,639316,643876,645064,663548,664836,676076,702336,750032,771704,786656,798468,830244,835032,823244,803128,804284,789680,787776,795752,828448,842432,854344,872000,906052,917988,929620,937200,953752,969620,988872,1020332,1071224,1113872,1004264,1142396,1160596,1155828,1156160,1169480,1221068,1246260,1259180,1257180,1276584,1286048,1302576,1342292,1413140,1441316,1490124,1461752,1470584,1477964,1493756,1529780,1599256,1652224,1689848,1737764,1755624,3478024,2198928,1949776,2057848,2455972,2275868,2300812,2718520,2757568,2827392,2827684,2820452,2840396,2848828,2869476,2566276,2567048,2575576,2574356,2565736,2582340,2588952,2579396,2683164,2819032,2842788,2853368,2941408,2987800,2985436,2987140,3102344,3124784,3137608,3144304,3237236,3242436,3257196,3281524,3387564,3393296,3411060,3455148,3680348,3707208,3698948,3654844,3742072,10980712,4490692,4052536,15932432,6202096,5908684,5836732,5082072,5744120,5935732,5946124,5181393,4389589,4361199,4306216,4491068
"Note: See the included footnote file."
"SQINC35: Personal current transfer receipts "
"Last updated: June 28, 2024-- new statistics for 2024:Q1; revised statistics for 2023:Q1-2023:Q4."
