GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "22000","Louisiana",5,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted) ","Thousands of dollars",2561520,2639772,2709440,2714704,2873320,2859624,2810692,2855472,3014296,2991792,3054968,3152136,3264152,3385884,3480028,3536820,3608952,3671892,3795808,3807996,3897676,3946672,3923388,3980080,3949404,3890564,3924232,3970464,4046052,4138864,4225672,4315908,4540752,4615060,4678488,4742256,5066628,5125196,5181876,5185352,5212352,5227804,5240904,5384700,5389420,5487332,5545500,5591340,5547892,5612284,5603024,5601764,5700048,5776636,5811916,5985704,6066312,6090820,6224272,6249880,6361400,6476252,6645396,6771524,6871592,6990352,7043500,7159896,7317416,7462988,7702292,7924644,8094052,8262316,8539108,8745564,9050216,9156840,9218144,9475908,9885052,10037432,10202064,10297920,10426312,10639596,10921436,11076164,11255404,11566120,11800408,12030208,12367264,12639528,12811580,13042548,13302348,13655224,14067060,14623688,14746388,15103396,15874992,16389132,16753712,17298660,17971380,18583480,18990852,19603856,20113276,20792584,21562628,22175192,22595532,23328760,23991120,24684792,25292208,26157496,27031980,28153204,29298520,30039516,31048896,31656500,33037768,34156964,35357984,36179360,38113932,39845092,41068380,42198896,43991228,44985780,45659732,46123784,46563364,47058820,47775660,47821952,48604580,49502468,49986676,51102192,52094280,52642392,53063868,53475824,53850700,54029088,54253492,53763916,53580960,53061460,53133528,53203564,53902004,54805604,55329904,56363868,57446944,58166148,59156780,59869640,60446416,61550976,63182168,64363100,65500208,66374532,66758696,67758320,68671652,70572912,71526532,73111068,73604672,74563360,75492604,76466668,77160476,78048668,80422484,80784476,82377920,83617476,84533464,85267540,86721652,86790796,87752668,89436300,90187624,91039324,92443628,93336192,94531648,96494404,97226349,98831681,99498141,99898021,100201122,100556094,101152402,102721290,105213685,106655613,107337961,108423533,113067360,114718320,115291684,115992176,116642396,117717684,118496316,119920684,119516484,121038752,122796340,124687896,124488088,126476560,127846300,130736492,132669960,134241548,140260148,141478116,141956856,143990024,145185748,147604836,151032908,159739236,160332452,162627212,165035868,172810564,170380756,171807384,167257660,165114676,164168280,164681852,168836084,171960200,175255924,175977164,176770376,177348376,178887256,180397656,184134764,187197580,186088416,191341964,188653332,189708968,190055700,190547344,194568392,197591648,199045076,199714096,198461884,198112112,198661140,198468468,195578552,196611332,197618672,199839176,201673540,202371236,204252756,205521944,208985532,211790292,213393956,215113244,218293932,218718368,219353716,220746092,222287648,247494096,237764651,227313657,263642638,248121590,250050291,247462265,246302165,249401737,251629710,253348652,259016292,259492002,262012201,264749552,269367289
 "22000","Louisiana",5,SQINC35,1000,"...","Personal current transfer receipts ","Thousands of dollars",192368,186316,177208,167352,279676,291384,306844,322784,438596,306176,240892,237136,254092,258904,263248,263024,242344,242720,260688,255204,239288,234688,234520,239944,239476,246788,251352,262920,272324,277372,281588,284264,290976,292424,299472,301712,319096,331196,335640,360112,324836,365884,397508,422612,385016,406584,423708,428112,423036,431124,439072,450644,480800,482408,492968,487604,496656,496868,504340,519104,551084,523568,528640,537340,559380,547244,552372,557996,585868,579128,623380,604404,623532,622280,634136,687284,731024,737444,766808,774344,804084,847356,864420,885592,939752,956408,967288,982268,1024480,1172552,1186520,1232500,1246668,1339884,1336120,1350864,1399356,1398764,1418876,1584452,1631412,1671020,1696520,1744720,1814304,1925192,2035936,2124980,2248296,2461264,2498080,2553380,2640124,2630504,2735664,2785832,2841280,2849324,2937696,2982576,3032380,3075684,3226728,3293176,3384532,3465400,3713224,3806496,4001032,4057844,4510852,4599456,4647996,4639580,4921492,4952020,5109424,5276320,5697244,6018048,6166504,6314672,6308484,6351084,6423180,6460636,6548756,6745040,6966624,6988536,7078756,7158340,7406344,7675292,7942752,7924336,7912860,7818476,7801068,7805100,8122532,8163276,8237500,8360320,8791280,8915464,9040524,9215924,9601852,9801452,9970200,10248144,10731268,11120524,11396220,12051120,12418200,12848576,13272576,13441920,13851552,14003940,14537196,14836624,15400320,15760040,15864000,16272596,16279552,16117020,15948944,15673712,16104356,16396520,16330696,16337212,16580816,16558364,16591036,16619400,16706716,16788520,16799416,16957412,17207136,17188020,17288264,17320008,17272944,17600648,17808772,18070944,19794860,20350372,19921608,21067756,21251928,21385200,21399264,21454220,21222464,21220568,21548668,21694700,22713492,23676784,23826424,24382860,25092416,25043744,30802020,29940100,26398604,25370496,25096484,25375660,26295004,26204644,26634664,27240640,27705416,34022208,29829068,29593000,30930520,32631392,32390812,32490888,33598616,34059648,34744652,35557392,35153708,34766832,34765456,35099964,34856324,35620256,36193020,36183232,36841064,37081600,36885480,37024684,36279156,36543260,36715976,36896076,38884084,40076320,40865312,41894144,41605948,42589636,43005660,43613200,44054288,43883868,44521768,44379312,45500780,46186396,46103792,46362688,47690112,48312144,48542200,48585724,50291988,84102032,65984168,55386196,89748224,66003212,65090524,61759328,61802100,62543256,61286380,62236064,63232093,63552777,63131347,63216967,65865224
 "22000","Louisiana",5,SQINC35,2110,"..."," Social Security benefits ","Thousands of dollars",4700,4956,5172,5284,5652,6096,6392,6540,7008,7308,7464,14540,17424,18864,19460,19232,20040,20764,21624,26224,27260,29660,31064,31264,32596,34296,35920,41068,43852,47752,50788,51264,53120,55036,57860,59220,63760,74556,74356,77808,78536,83752,86532,89876,100112,104224,108304,111936,113660,117432,121596,125948,132236,137884,144764,153528,160288,166492,172212,177744,179244,183052,186676,189044,192316,195376,199280,201632,205572,209456,254776,241072,247900,255392,258500,262636,270084,276884,281216,285816,301912,333884,341272,344584,354528,357832,362032,366364,373272,472572,446344,453384,461288,542952,522684,530740,541808,550392,559352,675296,699540,718364,733116,746876,752920,818960,862164,883740,894752,908272,998036,1009740,1035016,1045520,1130232,1155956,1165688,1181016,1268692,1282668,1290832,1294168,1389008,1406164,1414168,1428368,1568108,1575380,1594212,1609476,1863268,1881768,1932912,1929904,2144076,2131404,2134352,2138904,2284264,2355940,2339884,2362412,2369140,2442968,2521544,2577920,2595784,2670428,2758712,2767800,2825772,2813256,2925516,2948108,3018060,3018936,3095908,3141672,3118836,3094108,3244840,3210440,3199208,3200696,3415544,3439904,3457768,3472108,3663432,3695584,3693072,3707332,3943920,3980616,3999812,4043276,4195752,4254384,4292548,4313972,4474104,4485336,4515044,4536100,4652516,4714692,4742860,4784836,4899704,4927468,4927532,4951424,5074952,5092176,5135832,5178268,5293600,5329820,5337892,5343904,5455516,5476012,5508132,5512176,5590320,5614544,5637180,5661220,5792308,5959640,5946832,5954696,6180116,6210284,6299872,6314564,6519412,6569156,6613752,6660624,6734724,6799232,6827888,6882068,7057248,7125956,7140932,7191372,7369328,7413800,7388508,7380896,7578420,7611740,7631696,7677188,7960312,8077804,8141620,8191288,8381080,8460272,8548440,8616276,9130720,9284516,9364516,9469012,9503948,9636880,9690704,9759808,9814580,9930356,9982616,10059724,10475720,10555500,10626776,10695312,11024756,11039032,11058076,11074688,11477812,11496260,11509148,11533136,11969972,11987872,12002284,12025816,12315600,12334500,12350612,12370660,12724588,12739384,12757988,12776772,13317080,13337044,13358680,13376324,14061252,14080600,14099908,14120772,14613280,14630704,14643560,14662704,14996772,15006224,15023896,15046880,16204728,16225604,16243856,16271516,17657401,17824738,17916129,18073510,18707090
 "22000","Louisiana",5,SQINC35,2210,"..."," Medicare benefits ","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),10192,29320,37844,44368,49204,52780,56160,58968,61612,64172,69648,71952,74592,77376,80564,83736,86884,89180,91284,92428,93548,94560,95612,98088,102008,107436,114852,121924,128128,133040,136244,141152,147804,156472,167348,177812,187260,195652,203716,212372,222220,233164,245652,257736,270860,284676,298372,312856,327324,341024,352668,367764,386084,407248,434044,461324,488856,515052,543704,566016,587752,606788,629440,650528,673624,696264,717688,737744,757880,778780,800368,824776,851928,885032,917220,951124,986892,1020576,1057444,1094700,1134608,1173548,1225076,1266328,1302888,1339456,1372948,1413516,1456748,1503016,1579316,1634584,1694664,1760872,1838972,1905624,1961596,2008036,2062872,2120740,2183620,2263900,2343532,2421816,2500460,2563020,2657100,2685644,2763900,2874576,3028132,3190516,3330956,3448820,3512856,3591984,3670700,3769780,3857424,3934936,4038588,4123156,4172816,4215588,4205704,4161668,4076340,4052864,4028336,4002660,3983920,3968720,3972336,3995120,4019692,4068136,4119948,4174840,4213160,4292648,4369436,4444136,4512144,4582652,4636592,4673056,4663008,4729816,4849772,5025852,5250176,5449252,5622044,5732632,5823540,5865220,5898048,5920376,6567532,6599728,6667128,6771096,6944656,7076640,7201612,7318656,7431064,7552436,7682108,7820576,7966364,8100864,8210516,8295140,8352812,8421740,8500940,8590412,8677324,8771896,8862304,8948900,9037416,9119472,9201760,9283940,9422300,9364940,9383996,9359136,9298404,9294792,9345924,9453984,9627620,9785956,9915636,10015904,10066096,10151132,10244596,10346872,10386500,10529360,10668676,10804220,10920488,11086704,11280564,11501556,11692100,11892448,12042616,12143496,12196820,12434888,12644636,12825732,13010572,13250028,13504912,13775420,14013228,14115780,14156548,14264760,14323254,14380978,14447567,14523020,14732857
 "22000","Louisiana",5,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),30156,48312,60624,66052,61892,59836,58576,59384,64180,66356,73612,74748,83468,92068,95952,103188,106004,118604,124832,136168,157192,169048,173048,187824,198372,195912,209688,209240,209652,225740,218796,222256,243236,267780,278632,290816,300300,317848,335724,374808,422044,409948,438172,427388,383776,373996,375772,401708,483416,558648,605236,613784,646836,638384,641668,656988,672444,686180,701660,721980,743160,760216,779696,795772,813288,824448,834096,838484,843660,854492,871236,895552,942688,976884,1009676,1042984,1089768,1133828,1185392,1245488,1311384,1417520,1553844,1730744,1877372,2144108,2302472,2661324,2538868,2731316,2917976,3009824,3207752,3355004,3826952,4069592,4359156,4506176,4436628,4593344,4279460,3933476,3664144,3200804,3307784,3499660,3291336,3211464,3278432,3219732,3269044,3310976,3251096,3270376,3207544,3322168,3411800,3340084,3406844,3384484,3196320,3206144,3269520,3295740,4539680,4853936,4574568,5170120,4908328,4818264,4822344,4798772,4448524,4242832,4463184,4429532,5078308,5666512,5535516,5752656,5404124,5024472,4755336,4498180,4584160,4983640,5245880,5414876,5863744,5319284,5424868,5699500,5779008,6127976,6188836,6218316,6640564,6663264,6714640,6573148,6456964,6614748,6934236,6709280,6909532,6407480,6298888,6417776,6314852,6942332,7375360,7212796,7367088,7685872,7529168,7805480,6579556,6580800,6654664,6660928,7810300,8669992,9174696,9867920,8691968,9426844,9748508,10403352,10638208,10553564,11171720,10900800,11141340,11659788,11394852,11388540,11411812,11823284,11896868,11822440,12071356,12715908,13461616,13009284,12980772,13796324,14236080,14323104,15283324,16242176,15537552,16252720,17008946,17558504,17085376,17126054,18242439
 "22000","Louisiana",5,SQINC35,2410,"..."," State unemployment insurance compensation ","Thousands of dollars",5648,6236,6504,7560,11976,15604,19740,24116,25904,21184,16456,14292,11852,11352,13524,15200,13652,12804,14704,11328,9792,8872,9312,13536,16556,20016,20356,19748,18116,14692,13404,13492,10152,10432,11664,11420,10532,10208,11108,15192,17960,24464,35348,46268,37892,37020,37508,34540,32984,37012,38780,42656,47244,58852,54732,49952,42612,36464,33404,33396,35492,30456,29296,26668,27168,25980,24232,24328,22748,25108,24240,21184,21616,19496,17740,19664,23144,25072,37148,28756,29476,26972,29232,33736,40820,41892,40640,42884,44144,55992,62704,61940,63600,70956,74168,72284,75752,74760,64788,63452,65944,69180,64280,66308,68512,76428,76300,83252,114348,154880,167720,157868,149840,146836,156116,172240,204580,188044,179232,172872,141416,124420,121848,119816,135668,138324,146600,150592,178620,207600,215088,264732,217916,194352,216228,245376,315768,385680,562224,724076,800264,892772,812364,699288,578592,468644,461060,485672,530084,478524,438076,461044,477148,639520,779308,722452,565984,365344,323796,267964,256496,231508,212616,215908,182516,174852,151976,144012,132432,122812,121648,130204,161840,162692,168724,198388,292504,280660,295100,276916,259740,261556,257228,225068,172480,166124,136144,139264,128300,146052,132048,131868,137620,142260,137180,144688,146316,129360,120052,118324,118516,123780,152272,162948,163776,185880,162880,148964,141640,169816,182272,200600,226092,205392,226124,260548,322868,463648,397760,370296,401888,428112,375776,355532,318044,361304,309572,257808,247848,271292,512416,1693640,658748,270856,171260,157276,204572,200696,173852,167536,184828,195780,289964,382400,517304,694752,812840,791820,786840,711564,734436,1165872,706772,650844,605300,591592,562644,499492,428884,393544,362704,317968,271844,258108,179164,191876,216900,238284,261112,251692,257244,272280,296904,297572,290752,274784,264260,235812,214536,208712,206424,192624,171948,173832,186088,168548,158188,171284,606804,14320620,8489512,2233760,6357080,5230000,1747132,307220,210872,130772,90312,81520,82289,79210,75192,86791,91659
 "22000","Louisiana",5,SQINC35,6000,"..."," All other personal current transfer receipts ","Thousands of dollars",182020,175124,165532,154508,262048,269684,280712,292128,405684,277684,216972,208304,224816,228688,230264,228592,208652,209152,224360,217652,202236,196156,194144,195144,190324,192476,195076,202104,210356,214928,217396,219508,227704,226956,229948,231072,244804,246432,250176,267112,228340,257668,275628,286468,247012,265340,277896,281636,276392,276680,278696,282040,301320,285672,293472,284124,293756,293912,298724,307964,336348,310060,312668,321628,339896,325888,328860,332036,357548,344564,344364,342148,354016,347392,347704,375664,399952,391120,399240,406992,416536,427532,432304,443100,474756,484732,490024,495644,496344,511940,529964,561944,568604,573712,587144,593896,622004,609168,619116,663520,667608,669484,675044,695308,750624,770048,824836,865348,914656,1051252,972016,1002296,1053180,1029864,1017408,1015232,1015708,996788,1000116,1020104,1058524,1076460,1109916,1135356,1181728,1213096,1276708,1298468,1372112,1369496,1505468,1510516,1569688,1575312,1597664,1566744,1546448,1542560,1571896,1627984,1661832,1683360,1727432,1773060,1850232,1903116,1938324,1981928,2017448,2030872,2048320,2067692,2132948,2168516,2176680,2170916,2182232,2190640,2184312,2208020,2305560,2330928,2359252,2397716,2524136,2532296,2550724,2593444,2655632,2659912,2640040,2671828,2685264,2712368,2741592,2884232,3047544,3160400,3266492,3278188,3252856,3216400,3174072,3131288,3188036,3182532,3217412,3306332,3459232,3518040,3554520,3619836,3726576,3727488,3727760,3679636,3689652,3663864,3658344,3684528,3805248,3865488,3903132,3957460,4057320,4078792,4109024,4130220,4122984,4196912,4290200,4445068,4635812,4788112,4451608,4878388,4989176,4951480,4928816,4951472,4974320,5020576,5032048,5001716,5009716,5073760,5218360,5448392,6247576,6468960,12247712,10447008,7009744,5904532,5380520,5355224,5321720,5530220,5692712,5863660,5929436,11685744,7119720,6555432,6675568,7887996,7288300,7361768,8498052,8674716,8884336,9332020,9045500,9006256,9016348,9081972,8465692,8503460,8560240,8597640,8664216,8673788,8642396,8527272,8744220,8979532,8989340,9009744,9215080,9380808,9515452,9712224,10235380,10379588,10371192,10217532,10040732,9825748,9708848,9688808,9915448,9910236,9897748,9922436,10338860,10347264,10344620,10327732,10803728,29999912,16744844,12654716,42403028,18720636,20578504,18306704,16089948,15828924,15258112,15365548,14160203,13709347,13607083,13407592,14091179
"Note: See the included footnote file."
"SQINC35: Personal current transfer receipts "
"Last updated: June 28, 2024-- new statistics for 2024:Q1; revised statistics for 2023:Q1-2023:Q4."
