GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "24000","Maryland",2,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted) ","Thousands of dollars",3418424,3471852,3567596,3604212,3575168,3577384,3588876,3610300,3843364,3901792,4061724,4229088,4420016,4590764,4695068,4796016,4949708,5028376,5135900,5278708,5367696,5449456,5449004,5448864,5406900,5415840,5450756,5549708,5691080,5808724,5936132,6051524,6247844,6355956,6458424,6588440,6730408,6806320,6880940,6904160,6740388,6899944,7033788,7201392,7251160,7407760,7322048,7474792,7638236,7700036,7770440,7846532,7997248,8141832,8328572,8467916,8673160,8850188,8959044,9105392,9272236,9423612,9594444,9836200,10038140,10255448,10519640,10732364,10992476,11141568,11496272,11637164,12082052,12310532,12611924,12904328,13247780,13448260,13678732,13945924,14324348,14861496,15172852,15640392,16583676,17027244,17449680,17883080,18502620,19027968,19376480,19761856,20272040,20970432,21418756,21842080,22289364,22746668,23411664,24257892,24796588,25282104,25789828,26373636,26809488,27612448,28210172,28979080,29392996,29727644,30474716,31221152,31894456,32515088,33376436,33841780,34407408,35226544,36010724,37058344,37898204,39168964,40227452,41174040,42138524,42851432,44041988,45163908,46554712,47817252,48940136,50765252,52073192,53043484,55057428,55807940,56555736,58005204,59172868,60454952,61160572,61975816,63412276,64647900,66738104,68770712,70782184,72055008,73804088,74709912,75835588,77513192,79424892,80831332,82160412,83639596,84757156,86452424,88445552,91238104,93224676,95050860,98137992,100325884,102785676,103902008,104948524,106452764,108740420,110678792,111935840,112214472,113316248,114587940,115324568,116811352,118344176,120221648,121455452,122305560,123978972,125081928,125488836,127053040,128732480,130387044,132202388,133881084,135459944,136757428,137535540,138593572,140540548,142765884,144345400,146329352,148443400,150166540,151926128,155194952,158996460,162483552,165121324,167434760,170086913,170990037,174093193,177332913,183606114,186390182,190206742,193545582,196758408,198860364,199448600,200640152,203197800,205973000,207635468,210023104,210871652,214124440,217914008,220983688,224865840,228762312,231336596,236152156,235735528,240254492,244531536,248334308,250585200,253897772,256197680,258851596,261954732,265786324,266461732,269377492,274278864,281268824,279704564,279581144,274681776,277750768,277742876,280319116,280901904,286087216,288831636,293616708,298516600,302033656,305780432,306749688,308978944,308990876,309124780,314586904,308481496,309164988,309123680,310547732,312950312,317585388,321482680,323913980,329409944,331834896,334114736,336465408,339089752,342405664,345525820,349759128,350813492,354275168,357354724,361872496,362847340,366249344,370106376,372122096,376903224,380229660,380855056,383380280,384395428,410565545,405829443,399914108,444122662,418771321,419933517,422642164,424133811,429787127,437067026,440745764,448945612,454452241,459973259,462428861,469898646
 "24000","Maryland",2,SQINC35,1000,"...","Personal current transfer receipts ","Thousands of dollars",115548,113132,108672,104524,118300,127692,138848,150296,247664,176592,140484,144340,131392,134804,137816,137864,135352,135880,145672,146184,146368,145784,147260,152820,171008,180408,184620,194444,191308,195072,199100,200960,201096,203748,210740,212896,228392,243444,246788,267960,281048,310268,324536,327340,310824,320400,332312,342996,327364,333324,342476,358840,380296,394576,397888,393256,405556,410036,418632,429632,444612,428564,430424,438548,458244,456876,460780,463684,484572,480992,529972,519468,530680,530008,554452,611332,660548,677488,702864,723788,765596,820488,845708,872892,931952,949864,952064,943876,988660,1154212,1150436,1211988,1249660,1380188,1412072,1450596,1505956,1522128,1549736,1717396,1762016,1805356,1827792,1870288,1946444,2056776,2159992,2256628,2431044,2693160,2714884,2749264,2820252,2789972,2885620,2925720,2969064,2978324,3078116,3142992,3207728,3265988,3436456,3506636,3609496,3663536,3925804,4022648,4211964,4275344,4787872,4866164,4976332,5034180,5360812,5409920,5483516,5629932,5879552,6137256,6194296,6311860,6326092,6381488,6526584,6617744,6654160,6775708,6932272,6961708,7068060,7128144,7352248,7449588,7568376,7606064,7697368,7759656,7799756,7861872,8165540,8244620,8350652,8456912,8866060,8981508,9094904,9239508,9606612,9782596,9971100,10278052,10701904,11034848,11225344,11685256,12191000,12515540,12677100,12672936,12964128,12965884,13127384,13166620,13457776,13566716,13631452,13912116,14226308,14286452,14358124,14337112,14986764,15435428,15386340,15373948,15592728,15490844,15596876,15758096,16097444,16204916,16293144,16555456,16961232,17117924,17385416,17584444,17754996,18192024,18402624,18634180,19408700,19908492,19605144,20583896,20872512,21189920,21454604,21881704,22391620,22822896,23323472,23391836,23785872,23866600,23932272,24394544,25360012,25941112,26262868,26371280,26921992,26873816,27100256,27253068,28631588,29110068,29544700,30129912,30829436,36872656,33187400,32837596,34463180,36560264,36421740,36618036,38341776,38767392,39704872,39961480,40444572,40411988,40129596,40432724,40252768,40710092,40877096,41232308,41933388,42170108,42271060,42509168,43690408,44662228,45290504,45389012,46506024,46646272,46638244,46938960,48102056,48813488,49375700,49851368,49704892,49965456,50163052,50282164,51944316,52278984,52673256,52837152,54589012,54925956,54921092,54809424,55625240,95609616,77827372,65426336,106183468,76499220,71687980,68281812,68426324,68664244,68654392,69669424,71435053,72690101,72517583,72161070,75487435
 "24000","Maryland",2,SQINC35,2110,"..."," Social Security benefits ","Thousands of dollars",7376,7776,8116,8284,8600,9272,9724,9956,10376,10820,11052,21540,24752,26796,27652,27312,27968,28984,30180,36600,38128,41488,43452,43728,46220,48632,50932,58232,62432,67980,72308,72980,74560,77248,81216,83128,88048,102948,102672,107444,108988,114800,116808,118856,129532,133392,137520,141576,143252,146588,150332,153980,159900,165024,171360,179360,184784,190268,195512,200880,202536,206192,209348,211268,214648,217656,221552,223608,227044,230032,278604,262852,268356,275160,278920,284400,292388,299760,305184,310864,328728,365108,375408,381280,385784,392536,397316,400436,404200,515704,479940,486612,491712,583460,561800,571512,580656,588344,597536,724696,750416,770264,782388,791676,799784,863832,904780,926660,949404,965764,1060300,1068276,1087612,1091428,1177068,1204920,1215544,1236328,1333468,1350732,1358512,1364104,1468680,1489628,1500928,1519528,1673100,1681892,1702220,1712172,1985068,2003476,2053440,2059576,2299684,2296848,2291540,2297428,2458172,2547472,2547060,2588860,2600372,2668844,2730916,2766644,2765388,2824528,2909608,2910312,2958972,2940320,3048960,3067208,3132412,3131196,3192792,3237344,3231056,3233424,3408428,3403788,3408780,3410380,3593248,3603496,3617384,3636088,3823832,3870272,3889384,3924252,4160408,4198760,4226144,4247572,4436216,4498328,4524268,4543124,4742848,4761264,4776292,4801380,4939952,5006376,5042156,5089196,5270168,5306896,5314024,5319612,5480440,5535216,5564524,5614108,5771528,5795040,5828444,5867548,6007936,6034560,6075868,6078692,6172328,6203888,6237140,6276072,6459304,6683956,6675848,6692408,6983804,7019004,7121080,7121956,7366864,7410844,7455308,7509752,7631772,7715100,7742852,7798024,7991816,8073040,8093440,8176040,8424316,8525616,8542560,8596676,8932160,9019432,9053316,9085728,9399676,9504104,9554760,9603896,9880004,9975188,10074400,10140336,10787676,10961284,11051572,11182348,11244300,11430328,11512272,11614736,11696472,11862976,11937252,12040992,12597452,12709264,12814824,12922560,13428348,13445740,13468932,13489168,14105240,14127912,14143756,14173224,14792476,14814600,14832404,14861476,15250296,15273704,15293660,15318476,15800668,15819044,15842148,15865460,16644588,16669536,16696584,16718632,17710772,17735140,17759464,17785744,18575744,18597888,18614236,18638552,19241464,19253600,19276268,19305756,20945896,20972876,20996472,21032236,23078456,23325526,23460462,23692832,24628298
 "24000","Maryland",2,SQINC35,2210,"..."," Medicare benefits ","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),13536,38888,49892,58680,65452,70368,74356,77908,81496,85148,90080,93180,95312,96384,96516,99492,101720,105936,111404,117260,122032,126648,130144,133292,135700,137468,137036,141260,149876,163456,184184,200440,213564,223424,230972,238896,248792,261040,277260,291844,306704,321304,335004,351184,370932,393184,416792,442636,469468,494860,517336,540072,562196,580352,598236,617440,643808,672004,708220,743380,781248,818572,856880,892480,927952,961112,989612,1020916,1051924,1082288,1114444,1142888,1169408,1196012,1218060,1242012,1266952,1292128,1320016,1349432,1380780,1413108,1453184,1481332,1506360,1529364,1535612,1567376,1607324,1655436,1728592,1779084,1825452,1867192,1896280,1938112,1986900,2039700,2099608,2168628,2245532,2321724,2423664,2505744,2576124,2631824,2735888,2742488,2768808,2818352,2894228,2966908,3022956,3059968,3088360,3105272,3127588,3156560,3209104,3265596,3318356,3374516,3425396,3470568,3525472,3586296,3729424,3714128,3731636,3782244,3859564,3928572,3982232,4020064,4086368,4135164,4215328,4326464,4503428,4611428,4702680,4777836,4859172,4932972,5014332,5103600,5193040,5296040,5412444,5542000,5692868,5827916,5979964,6114456,6296484,6397780,6475628,6527224,7248220,7279596,7334756,7414308,7540112,7660600,7800016,7959032,8159344,8319684,8456212,8567264,8657752,8752036,8845664,8939928,9049440,9151040,9255008,9361012,9476456,9582652,9681728,9774136,9847104,9950808,10068216,10199396,10356388,10294652,10412616,10509612,10588904,10723852,10892828,11097760,11307772,11520448,11688900,11811868,11854872,11952864,12079672,12236568,12361244,12542668,12701008,12835068,12955024,13109256,13315516,13574896,13856688,14063828,14159672,14143676,14013924,14160200,14334620,14538484,14814548,15136056,15459796,15785012,16057292,16172904,16217236,16336804,16396258,16454929,16522611,16599303,16812583
 "24000","Maryland",2,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),55660,90556,114104,128200,125616,128408,131328,138460,153404,161368,180684,184428,204152,219132,217256,217324,203952,207012,198736,200056,218136,223000,219972,233040,243616,238904,255876,257264,260452,280436,267944,263920,275720,292368,295572,301452,306232,319284,332772,366328,407416,399084,443252,462556,462008,475096,468264,454848,464640,484780,498164,502204,550428,561956,578724,600704,618164,627776,633552,636868,636404,641920,658832,685104,723552,753548,777636,793892,802352,816604,837824,865312,907568,937956,959808,973876,983772,1003772,1038524,1088952,1145708,1217872,1289600,1363432,1373700,1498700,1574020,1801244,1754064,1880532,1959504,1941332,1970824,1965892,2143140,2200836,2292424,2339420,2316476,2455748,2425120,2358428,2348648,2201960,2474456,2788228,2696216,2647396,2664796,2567592,2584888,2608692,2549184,2585856,2585968,2766272,2965368,2987432,3127652,3165876,3065556,3133708,3186632,3160716,3286912,3533448,3289976,3740260,3709080,3700024,3913224,4247052,4415940,4559864,4895908,4789760,4902084,4799692,4663152,4807760,5158108,5471996,5535052,5667908,5222248,5027912,5070896,4962252,5549396,5593252,5662876,5840112,5953952,6040912,5999524,6105716,6457936,6625040,6802828,6684560,6866060,7156596,7735656,7831100,7984400,7697668,7321284,7486792,7449128,7809556,7848188,7865840,7848448,8156004,8204384,8312180,9070468,9725096,10156108,9969052,10049876,9803256,9574468,9745516,10352420,10999600,11516924,11944724,11156836,11348312,11356444,11211404,11645756,11822548,12023788,11843144,11864224,12020300,11980432,11905872,11507100,12021508,12656984,12505356,13090684,14050564,13931000,13744576,14570044,15171056,15724468,16454872,17173216,18703118,18446254,17987461,19329297
 "24000","Maryland",2,SQINC35,2410,"..."," State unemployment insurance compensation ","Thousands of dollars",9048,9992,10412,12096,20072,26168,33096,40420,25180,20584,15988,13888,7948,7620,9076,10208,11352,10640,12232,9416,11108,10072,10564,15356,28184,34080,34660,33620,21756,17636,16084,16196,12400,12748,14268,13952,20968,20312,22104,30252,58272,67264,69716,63472,53996,48404,49268,54972,43212,47444,51664,60772,62148,75488,64416,53808,52384,48928,48004,47680,44400,39928,36272,35308,37332,38492,33920,30328,29672,29420,27292,30612,25548,19052,20952,21224,27772,28096,27304,23796,28960,28148,29716,34284,29252,29176,28660,27480,36052,50136,52872,60284,70304,77488,99572,100476,100256,103948,86124,72576,62500,60048,57316,59824,67244,79248,87208,110340,175952,274380,266596,239736,222792,204604,194500,189968,203000,165552,147652,146884,119504,103768,102548,99516,129776,104172,113736,123000,147460,187840,213052,219428,191704,182808,204588,248336,291936,372180,378548,452536,405348,420544,341176,248836,229068,215772,201324,201856,215104,202104,206836,219716,215568,209212,209824,213060,202252,182732,193656,183484,188296,179176,180184,170988,193084,206168,194868,178892,224452,223528,265772,347308,429776,496060,492844,554120,724324,735036,675260,625140,579516,584172,571144,513348,439832,372632,343748,334892,318140,340704,348980,373688,389324,372728,346764,340968,345452,332788,340800,341096,332612,334776,325280,297416,296836,290388,269992,289076,273388,268088,264616,277916,344820,373448,438340,566048,557348,810824,762872,700720,715876,763004,749048,729840,591972,509672,479628,464108,456556,443540,450696,444696,420072,431236,456456,444232,502540,483620,493736,509664,566072,629024,943220,1153660,1411776,1884712,2004800,2037724,2099160,1847000,1807496,1756728,1704772,1655592,1627036,1632716,1612616,1537248,1420680,1469072,1315328,1236392,1141724,1229716,816328,789936,749180,713304,671952,660172,657352,637308,611288,601040,589080,582248,590996,558488,576976,606676,601304,521728,456156,468564,497624,452204,395548,403692,610076,16934248,14184900,6242500,11554584,7339100,3564336,453856,418212,312808,319736,335220,279167,248159,239628,269010,288472
 "24000","Maryland",2,SQINC35,6000,"..."," All other personal current transfer receipts ","Thousands of dollars",99124,95364,90144,84144,89628,92252,96028,99920,212108,145188,113444,108912,98692,100388,101088,100344,96032,96256,103260,100168,97132,94224,93244,93736,96604,97696,99028,102592,107120,109456,110708,111784,114136,113752,115256,115816,119376,120184,122012,130264,113788,128204,138012,145012,127296,138604,145524,146448,140900,139292,140480,144088,158248,154064,162112,160088,168388,170840,175116,181072,197676,182444,184804,191972,206264,200728,205308,209748,227856,221540,224076,226004,236776,235796,241044,266820,290496,290952,304924,318760,333552,349324,359088,372180,426836,434972,430776,419576,396232,398324,401800,430956,450624,473572,497340,513500,541496,535176,549692,598228,607912,614652,620956,638008,691280,706244,755704,796148,856580,991120,919224,947172,988972,963192,951472,952264,955064,944824,958120,988272,1037200,1063112,1100188,1121180,1155224,1180480,1244000,1271076,1356632,1358808,1502692,1508700,1560960,1573320,1607028,1591316,1578520,1583064,1616716,1673932,1701848,1719584,1753896,1780816,1833992,1864664,1884488,1916444,1953096,1965360,1976468,1990876,2044152,2070188,2067724,2054808,2046788,2041644,2030860,2050288,2125636,2156324,2194556,2246232,2367364,2388988,2418676,2468384,2516340,2532812,2539444,2603360,2638412,2672700,2686804,2760596,2852732,2895900,2941944,2931516,2935052,2912068,2868000,2832704,2891340,2881380,2906116,2972312,3124520,3175152,3218884,3285292,3433440,3473660,3460480,3396960,3385556,3324856,3317272,3354464,3478288,3535596,3574392,3630832,3667136,3707644,3768400,3833356,3870380,3971108,4060200,4176676,4289736,4371164,4053068,4377796,4380048,4335256,4308868,4320580,4434992,4488888,4523220,4532212,4607132,4656280,4716088,4832180,5024548,5102180,5258932,5134776,5099292,5115640,5184832,5346548,5639864,5868492,6033312,6217208,6270064,11907848,7714044,6870620,7148040,8337192,7716876,7773476,9082816,9182428,9394440,9397904,9582472,9613100,9562296,9498088,8746468,8703216,8725188,8775440,8984876,9037320,9043404,8968492,9109468,9295432,9348632,9435672,9683948,9847796,9885120,9882792,10033180,9986280,9896364,9769352,9795148,9696944,9686476,9763556,10097644,10155916,10181212,10231916,10659704,10654484,10625976,10570440,10918396,33895772,18036632,13501444,47482188,20719900,19456580,18992612,16434880,16034600,15396480,15510292,14507956,13958369,13848628,13612464,14428785
"Note: See the included footnote file."
"SQINC35: Personal current transfer receipts "
"Last updated: June 28, 2024-- new statistics for 2024:Q1; revised statistics for 2023:Q1-2023:Q4."
