GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "37000","North Carolina",5,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted) ","Thousands of dollars",3712700,3907416,3909520,3942928,3856656,3817148,3847568,3783204,4224784,4303008,4591944,4692264,4708152,4987208,5085076,5270012,5123144,5106636,5113760,5306256,5360044,5401180,5430780,5293880,5485364,5467104,5465564,5554452,5730084,5900676,6079112,6105512,6188416,6306588,6358224,6528796,6424600,6396268,6407764,6319404,6660988,6642088,6782356,6867756,7039644,7192520,7275012,7361196,7374700,7611472,7718864,7765220,7806556,7918712,8243864,8288492,8438112,8609840,8739536,8857224,8946196,9016456,9119508,9356804,9588972,9785804,9883784,10214632,10424044,10462652,10792528,11005244,11378508,11702164,12027088,12312504,12538048,12644280,12838300,13248184,13536228,13984308,14353752,14668408,15225332,15722404,16147124,16337708,16876324,17186876,17488760,17729732,18088920,18640616,19224380,19473252,20490952,20898940,21439716,22446456,23013904,23807852,24380040,25496224,25963764,26341324,27017048,27293288,27349880,28517540,29390344,30513288,31093824,31626704,32662636,33146124,33650672,34655820,35627288,36898616,37956244,39166416,40330808,41491188,42468060,43164744,44253792,45740644,46976704,48035648,49941876,52070476,53204464,54369104,56807232,57412796,57794456,59062772,60194212,60447388,62064012,63450344,65528800,67563952,70056984,72372144,74078124,75662652,76832392,78038364,79589472,81442084,82912620,84283556,86103244,87297808,88665580,90326612,92351784,94970540,96736384,99322760,101992084,103996924,106771156,109132756,110050440,112411600,114773096,116509824,117567184,117130808,117995540,120623444,123226704,126028332,128755404,131905076,134073704,135579252,137817424,140450616,141918884,145121936,146581400,149226076,151253800,154616764,157692344,159994460,162094368,165332888,167175888,172102724,173795196,176989296,181402632,182816064,186102200,190516592,193071644,196309648,200081440,203465340,204741917,205886505,209079377,212064389,215747359,220465579,223899547,225952475,227297532,229261784,227230412,228573844,229097368,231995328,232713488,233917356,236878360,238806984,243157796,248377176,253646784,258989828,264191008,269586076,275006904,278290920,281901936,286367588,299525300,302808276,306101532,311055512,325295048,327278916,327711416,331260560,346346928,356684292,351254900,352263956,331760176,339425816,341956588,344623236,339417880,343602880,343654264,345742196,351876508,354007608,356016188,358106224,373105920,377209996,376930880,384222172,371435580,371808632,373248264,376069868,384521544,391175484,397223036,402624140,409428812,412778892,416979320,419854596,424489188,425897876,429910344,435922308,442264700,447081264,451752052,458172668,462962820,469642868,475792340,483975036,494412908,499607096,503293744,509034936,518881188,559143695,542317039,543969918,621796628,583392825,591111558,600233029,613327181,614697931,624465348,634331916,647744790,649374221,658719182,666249896,679586779
 "37000","North Carolina",5,SQINC35,1000,"...","Personal current transfer receipts ","Thousands of dollars",209948,203444,193668,183020,201604,211528,224136,237080,406048,284416,224536,224280,221308,225704,230748,231356,213176,213236,229376,224988,225600,221932,223052,232892,240056,251308,256448,268240,268624,272056,276172,278748,286440,289172,298560,300776,323148,339696,345064,375872,359976,396832,418004,426488,403356,425148,443012,449960,445060,447288,458700,475644,510200,521560,532980,531096,542120,543296,552316,571256,600244,583216,592116,603616,625424,615668,623708,628916,656076,650592,716880,693440,713672,715140,733680,790092,834064,850944,868584,881756,920568,981036,1001204,1021320,1080428,1100212,1115912,1132752,1174056,1374192,1370864,1431064,1461544,1606500,1591892,1616784,1675296,1688100,1716132,1946508,1977444,2008452,2050360,2117328,2226928,2423740,2627992,2854116,3200936,3618628,3620968,3649328,3703440,3675316,3870368,3944392,3950972,3930760,4054420,4093180,4171424,4205108,4403500,4478588,4619004,4743152,5122512,5246844,5450496,5523420,6265356,6351764,6506184,6577960,7027692,7080312,7206628,7346460,7711872,8006832,8071804,8167732,8124484,8254556,8453252,8540604,8624348,8841580,9102356,9177052,9322980,9344632,9657180,9774588,9922576,9953844,10105388,10211268,10236412,10328044,10830976,10953740,11155028,11366972,12039316,12257220,12466532,12705628,13238008,13480844,13749068,14226832,15015592,15599548,15849916,16432120,17032092,17329868,17572892,17701788,18708780,18958800,19417040,19451932,19760660,19673420,19735992,20462736,21616708,22232800,22713020,22655736,23721328,24452984,24301212,24386416,25090240,25225868,25546908,25809648,26184040,26304052,26395944,26814980,27554488,27790836,28276044,28625768,29061284,29904544,30328608,30810504,32487308,33507448,32974176,35046012,35720740,36136016,36344764,36852648,37312024,37869100,38691516,38681568,40141064,40916948,41327052,42083436,43680228,44678556,44914492,45248544,47587304,48035220,49358632,49653288,51733392,51952148,52468300,53220256,54277012,66184472,58668932,58670256,62860612,67642848,67790148,67698876,70219892,70497044,70878152,70981628,71731732,72292932,72481080,73005328,72390884,74174424,74479416,74863028,75780212,75074740,75042060,75618024,75744076,78473848,79202316,80016900,81495432,82477680,83335036,83670044,84518056,85174744,85093840,85685528,87103728,87853644,89140768,89671368,91591072,92338256,94077484,94173496,97139024,98265688,98953072,99488476,100775776,163471428,124109784,113048876,185883696,133285116,130153876,128084892,127764504,127901616,127283352,128708288,131524713,131104348,130836617,133139711,138338663
 "37000","North Carolina",5,SQINC35,2110,"..."," Social Security benefits ","Thousands of dollars",6648,7004,7320,7472,7776,8396,8804,9008,9536,9948,10160,19792,23496,25440,26248,25920,26984,27968,29120,35316,37000,40264,42164,42444,44784,47124,49356,56428,60924,66344,70564,71220,74172,76840,80796,82684,95672,111872,111572,116760,123320,131852,137272,143936,162556,171776,179992,186396,188452,192920,198088,203932,213380,221960,232140,244820,253980,262428,270428,278288,280676,286364,291680,294928,299620,303360,308868,311720,316896,321924,390384,368332,377464,388248,392344,398408,409552,418528,422976,427232,448000,493624,503908,508884,518568,524704,530808,536244,542548,691840,649444,659084,670888,795640,762340,771364,787624,798176,811544,996016,1029272,1053352,1071844,1092732,1101144,1208632,1283292,1320892,1332752,1362008,1496472,1518644,1555480,1569248,1703552,1742832,1758432,1785344,1921568,1943308,1968548,1972876,2123308,2157176,2186248,2226072,2463464,2489428,2524816,2540168,2938088,2953420,3007508,3011428,3362140,3363696,3375360,3390544,3633636,3771524,3781684,3850684,3871012,3973260,4059892,4107460,4105964,4200772,4348316,4368340,4457856,4438616,4623952,4657384,4762676,4761932,4862172,4943516,4944604,4965592,5276204,5286188,5315380,5339476,5667236,5712844,5761476,5818728,6176004,6252348,6271924,6312280,6702588,6793708,6847832,6917616,7296572,7380304,7398172,7374824,7768680,7841216,7934344,8019660,8314228,8369556,8380324,8479136,8807588,8924724,8994240,9007712,9360880,9487928,9490512,9553332,9857108,9942108,10045300,10136424,10385224,10448788,10552168,10588228,10830716,10914984,10981468,11037716,11374044,11790460,11736236,11737140,12320848,12374640,12576368,12581176,13131448,13240068,13349616,13480500,13751136,13951520,14019924,14146308,14567460,14760800,14813228,15018776,15612960,15871644,15928436,16076344,16871436,17095884,17194416,17289132,18040748,18297812,18426024,18546756,19198352,19406932,19613252,19732036,21125148,21478520,21672316,21977732,22144988,22569524,22760404,22980656,23146632,23477816,23617940,23817576,24948808,25159052,25358128,25563008,26231204,26457008,26762768,27034272,27521600,27816000,28023180,28412788,28877760,29162312,29394688,29780964,29778220,30082272,30345248,30676692,30899316,31137864,31439244,31745120,32487572,32806096,33156504,33444028,34582836,34896852,35218812,35576032,36396292,36702100,36939328,37291556,37854536,38030424,38332156,38713504,41161132,41490676,41787428,42260700,46425824,46928740,47203405,47676399,49580561
 "37000","North Carolina",5,SQINC35,2210,"..."," Medicare benefits ","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),14864,43188,56284,65720,72192,76432,79816,82684,85688,88924,96296,99920,103976,108308,112920,118420,121420,122796,122840,123684,124476,126876,131632,135628,139364,144484,146032,150292,157332,167760,181200,196600,211960,226056,237256,252152,266172,282016,299052,315208,333252,349916,367056,382888,398740,413264,428312,442756,459952,478116,497420,520316,546124,572752,602564,633348,670496,708912,754228,796164,835556,868128,897196,923156,951788,981376,1011328,1044416,1077688,1111064,1146296,1177096,1206900,1238036,1267748,1299176,1331072,1361128,1397888,1432832,1471212,1510352,1560776,1598312,1629192,1657604,1672572,1710544,1762164,1826588,1929628,1996512,2049696,2088876,2113728,2151784,2212544,2297592,2424992,2553920,2665156,2762180,2877192,2940276,2995512,3031296,3184060,3220728,3298780,3401628,3550336,3663832,3780996,3930888,4102336,4247320,4371016,4444336,4552572,4651608,4714960,4805392,4927384,5013656,5080896,5110124,5132120,5103768,5111776,5156328,5227460,5295152,5348080,5385816,5423612,5505592,5647012,5849136,6127128,6349656,6528108,6661272,6759396,6882340,7026184,7192388,7378228,7588612,7817424,8063040,8316036,8562596,8828092,9038932,9261304,9444632,9646424,9865640,11552240,11791184,12037900,12291236,12549848,12789600,13013292,13218300,13405460,13621204,13872748,14163004,14504576,14779476,15000228,15166104,15308612,15449760,15617904,15813332,16018860,16222372,16395320,16537800,16645732,16803564,17009812,17265716,17577720,17502684,17734436,17921072,18068936,18292416,18553960,18855648,19185428,19520692,19807200,20044380,20217392,20418312,20632292,20860012,21012460,21332852,21666948,22015480,22334664,22775040,23281444,23852580,24342996,24830928,25177020,25382560,25456560,25934736,26377324,26783456,27221264,27774640,28362244,28984472,29539968,29797480,29913656,30163776,30302132,30438669,30596173,30774645,31270977
 "37000","North Carolina",5,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),29760,49100,63532,73052,74716,79652,85000,93564,108916,114884,124308,119248,116704,116084,113204,118988,124288,140136,145528,152744,164808,171192,172004,187892,203208,205344,226248,231704,238576,260304,251580,250424,266232,285148,291976,302628,314208,330232,342000,368964,395472,381516,425576,456212,478788,506936,502284,477636,465224,470672,479984,492028,561404,585616,606104,622504,623140,623508,629160,642080,662616,681632,704324,727196,755768,778780,801960,822804,843368,867596,894960,926316,973604,1015072,1060208,1110044,1173996,1231808,1289096,1345968,1395380,1486052,1611404,1781212,1920612,2170232,2279032,2536404,2335332,2441484,2590688,2715920,3080184,3221148,3493088,3361808,3093804,2924068,2864692,3238748,3655076,3886360,4045976,3771196,4065832,4484860,4312660,4324028,4575900,4577932,4721848,4805884,4687484,4664284,4533032,4690600,4852756,4801412,5040812,5210216,5250452,5546964,5766956,5793792,6276328,6694124,6257248,7006332,6872392,6714712,6809200,6966988,7022496,6798552,7292756,7152512,7817652,8289568,8260416,8417292,8711028,9013240,8733896,8837124,8432384,8552960,9196340,8989796,9857212,9415468,9458972,9679076,9786092,10004880,9874680,10172276,10612288,11103532,11493696,10825852,10479092,10264160,10092608,9983940,10413884,10594548,10512160,10909448,10902692,12559748,12511280,12485112,12683204,11737712,12257512,12700552,11462924,12741896,12899884,12965672,12875140,12798648,13080876,12727744,12681516,12693428,12129132,12273148,12785860,13111816,13751984,13489660,13521120,13558104,13814592,13661580,13666128,14026616,14129828,14289180,13705552,15099404,15624324,15194572,17528756,18269844,18739532,18619556,19154264,19093308,19195432,19401632,20156729,20455709,20039945,22268261,23031452
 "37000","North Carolina",5,SQINC35,2410,"..."," State unemployment insurance compensation ","Thousands of dollars",6132,6764,7056,8196,13348,17388,21996,26868,22844,18676,14512,12604,16204,15528,18500,20788,21288,19964,22940,17656,20232,18344,19244,27976,33880,40964,41664,40416,30788,24952,22764,22912,24316,25008,27972,27368,30996,30032,32688,44728,51608,55864,55892,47728,37060,33180,32528,31416,31360,31132,36412,43552,49532,62428,55708,48920,43988,37396,34644,37736,39120,37152,37496,37340,38168,35728,33968,31576,28932,27540,23832,23124,23160,19804,20484,20396,23144,31492,31184,26408,27068,24180,22792,22580,21544,21612,23308,27592,33124,42696,50464,59288,66024,67816,66312,62712,53584,55980,45064,35640,30980,29528,36268,32388,39620,46280,57148,135800,346104,496168,426880,350428,274384,253304,289252,304252,265932,202168,177444,159308,130492,112296,98312,82764,102744,105108,123396,137764,157048,209128,296272,293140,253980,227936,243452,304388,413964,507004,557644,613660,549696,504492,342160,274232,261284,217244,233392,267332,281240,270364,261292,239520,235748,240304,236376,239372,241368,215548,198040,180388,195004,183184,202676,204188,211200,221136,223624,234028,245084,262192,322160,428100,505864,552176,490804,511852,631164,594580,524600,510032,505092,462560,458800,424876,400052,332892,303044,297472,304112,328280,360816,386820,419788,411536,388628,384200,362796,371856,359004,355304,406020,397700,392128,396992,403292,408084,427168,458956,462664,436216,472544,574280,670324,792324,954480,1318100,1262316,1608008,1482444,1510312,1242680,1507644,1469144,1208404,1182876,912324,822072,724000,749552,778384,656780,634064,725056,530008,808224,836388,715556,705896,731324,765468,838656,916300,1591116,2175896,3287048,4156720,4606420,4610056,4597448,4309552,4487848,4390152,4251424,4045636,3884860,3604008,3127436,2753336,2538804,2379048,2177328,2007456,869776,701808,525336,490704,437980,378784,296944,305560,302780,284848,262288,253456,248392,238200,229956,213656,215168,215920,211148,190832,178736,193328,219036,205088,189152,197200,515348,19033524,12525580,4749112,8668808,6210300,2895752,196436,153588,131748,136812,151780,138298,139557,130086,139000,134852
 "37000","North Carolina",5,SQINC35,6000,"..."," All other personal current transfer receipts ","Thousands of dollars",197168,189676,179292,167352,180480,185744,193336,201204,373668,255792,199864,191884,181608,184736,186000,184648,164904,165304,177316,172016,168368,163324,161644,162472,161392,163220,165428,171396,176912,180760,182844,184616,187952,187324,189792,190724,196480,197792,200804,214384,185048,209116,224840,234824,203740,220192,230492,232148,225248,223236,224200,228160,247288,237172,245132,237356,244152,243472,247244,255232,280448,259700,262940,271348,287636,276580,280872,285620,310248,301128,302664,301984,313048,307088,305988,328100,345084,335204,342232,351684,365684,380548,388816,400932,444020,453976,457820,460608,455704,472136,486004,516844,527076,539708,553764,562268,593540,583432,595852,651120,654456,659196,671712,705460,780676,832092,930064,1018624,1120016,1337108,1259440,1310348,1371316,1332212,1318064,1315688,1320976,1300056,1305088,1326876,1377840,1392032,1429952,1457904,1518384,1561424,1647528,1677936,1770596,1759260,1934924,1940080,2011680,2035496,2084260,2066464,2054884,2055084,2088820,2148244,2167692,2182524,2227520,2273496,2362640,2415296,2448932,2493360,2542436,2557540,2568436,2578172,2643824,2665288,2650352,2619384,2597704,2586296,2569616,2598144,2713592,2758752,2814600,2886676,3057256,3094920,3142640,3218028,3307812,3328468,3331036,3407648,3461536,3529512,3567092,3704068,3891832,3973224,4063920,4069716,4170764,4213148,4232028,4243960,4402240,4383072,4406936,4516492,4747596,4846116,4940972,5045672,5322256,5417052,5394452,5319464,5367052,5320316,5339860,5401912,5573192,5689512,5806840,5982832,6240264,6371204,6478516,6533064,6550512,6625312,6705860,6856156,7092680,7296704,6657972,7479132,7695188,7690888,7677320,7702460,7917484,8022772,8092268,8111304,8257040,8391660,8603244,8884436,9345384,9570656,9948956,9835372,10006188,10065184,10121752,10246736,10570028,10743372,10838688,11010656,11048452,22235156,13717136,12427044,13331552,16124600,15017488,15119132,17689752,17904048,17919388,17813548,17900932,17952560,18070800,18136496,16766216,16898724,17061392,17170144,17110756,17369880,17417568,17260320,18165280,19132832,19287312,19404008,20260160,20690468,20749492,20832108,21578640,21727276,21738776,21637476,22176136,22057456,22067424,22205188,23036568,23008184,23646208,23021980,24328028,24306204,24238260,24043504,24702024,66701664,32643228,29030180,94610332,42999908,41824192,41570924,37755552,37388404,36250024,36730400,34501730,33141673,32867008,32281406,34320821
"Note: See the included footnote file."
"SQINC35: Personal current transfer receipts "
"Last updated: June 28, 2024-- new statistics for 2024:Q1; revised statistics for 2023:Q1-2023:Q4."
