GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "44000","Rhode Island",1,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted) ","Thousands of dollars",1127516,1140388,1170608,1182340,1123816,1123884,1134884,1146756,1213896,1223464,1269392,1327508,1337452,1386760,1414468,1439928,1424972,1445820,1479216,1535172,1555216,1578968,1579844,1579060,1559880,1563544,1572752,1608204,1625004,1660416,1698152,1732972,1705384,1731880,1758388,1797780,1767332,1788796,1808136,1816876,1836560,1857884,1903724,1942548,1943212,1965176,2006208,2027856,2020720,2020120,2004316,2017616,2058708,2091420,2122788,2158884,2203596,2269072,2296276,2298824,2330180,2343496,2370708,2428060,2451464,2497744,2546372,2591608,2626780,2674560,2787532,2802360,2882468,2927296,3010024,3072828,3137892,3173268,3262884,3318832,3407608,3512264,3553112,3615612,3631092,3725468,3763520,3847300,3984036,4035636,4179352,4172860,4209668,4247188,4405704,4483824,4617840,4672856,4696548,4900624,4962764,5072104,5070296,5073052,5134608,5232992,5349540,5438516,5515292,5689904,5815632,5948920,6084364,6170356,6379556,6455496,6632576,6766608,6941068,7119496,7193416,7474936,7637240,7819056,8095196,8202928,8490068,8662788,9030764,9228764,9480076,9834160,10141296,10333864,10656264,10689040,10931952,11113108,11462080,11527036,11836728,12036764,12268368,12600308,12874240,13228552,13547156,13794224,14136636,14275916,14446000,14750988,14953620,15346404,15595364,15870020,15966120,16204068,16645660,17110944,17502264,18005200,18437284,18947232,19498464,19794388,19902320,20121604,20324888,20470324,20514028,20412216,20460056,20523392,20686312,20923352,21137752,21497148,21695972,21959468,22135812,22373436,22743992,22681496,22809176,22959308,23007544,23426672,23793592,24257976,24513228,24551188,24655916,25030488,25202224,25564168,25980960,26406520,26604972,27224752,27797402,28179410,28547230,28874830,28941418,29284998,29821102,30276766,31168745,31547777,32212865,32571749,33351164,33652744,33591212,33851912,34540532,34896564,35060976,35364636,36196368,36345048,36869160,37390244,37771448,38334992,38969104,39090512,38571188,39117724,39384144,39892216,40225212,41080796,41703900,41638220,42834960,42791780,42969800,43144308,43247064,44381008,43616880,43829468,41895156,42664992,42935224,43564328,43993360,44968144,45342928,45591064,45992300,46852868,46923436,46972872,47968648,48121468,47983524,48672164,47868260,48016568,48344952,48518280,49366776,49653592,50177720,50982504,51201528,51747716,51930844,52220680,51978332,52293244,52891888,52894352,53604008,54178636,55444028,55590388,56364980,56585916,56951632,57773192,60036708,60236680,60187396,60793484,61644720,67420485,65731165,64229846,72621218,69162143,68693864,68872123,68055466,69592264,70170822,70238292,71840966,71962493,73338284,73262874,74533093
 "44000","Rhode Island",1,SQINC35,1000,"...","Personal current transfer receipts ","Thousands of dollars",73556,72948,70764,69716,76964,85280,94980,105024,134808,97568,77856,80608,81676,83160,86912,88548,82604,82276,88936,86992,84612,83952,85112,90552,95056,101116,103512,108704,101364,102668,104532,105512,108652,110240,114664,115620,125648,133204,135532,149208,137924,151352,154488,152660,143968,146004,148080,147796,146728,146888,151908,156292,165384,169096,167984,162940,166492,166812,168612,173680,181432,177384,177396,180332,184664,181756,184028,184584,190940,188372,208472,203240,209888,208216,216608,237992,254252,261332,269696,275604,288620,306748,316584,319276,342876,346288,349468,350192,369612,430376,435116,456956,467552,507692,503928,507472,528740,533084,535612,585072,602240,615772,628884,651800,672652,709096,749236,803388,886404,994300,1009100,997912,997256,972312,998760,1009816,1027460,1028896,1050388,1059292,1081236,1101192,1130076,1136912,1161736,1190488,1285120,1306392,1337372,1358892,1499912,1527148,1567440,1595288,1690728,1691092,1719732,1754300,1828228,1881392,1892456,1924564,1918632,1921820,1949688,1958008,1962604,1997400,2059412,2084700,2102352,2106884,2154304,2166152,2183724,2185564,2211472,2228676,2233328,2274996,2353872,2376428,2415576,2447000,2556212,2589556,2624008,2683140,2770380,2837472,2908028,3043160,3257392,3510044,3580444,3696284,3666040,3657292,3659916,3660400,3850768,3943364,4050856,4046840,4028340,3940564,3901640,3933232,4083364,4218092,4218388,4159956,4232032,4275580,4231836,4272100,4412884,4483856,4568872,4599700,4565860,4556592,4538552,4601212,4697292,4705592,4772960,4806052,4796472,4897456,4962084,5032876,5357980,5523236,5428396,5710028,5684536,5759732,5744848,5787788,5833140,5879272,5962676,5943980,6100480,6292812,6348220,6451352,6507704,6574052,6548580,6564956,6746860,6705444,6856888,6834960,7211160,7325084,7538844,7670156,7703604,8965760,8237956,8138912,8604184,9070800,9074004,9104748,9512636,9535820,9475524,9613000,9593604,9638268,9633216,9606408,9567512,9459488,9411640,9520100,9546184,9569584,9683524,9728108,10128788,10308348,10463712,10553984,10501060,10575072,10596352,10535464,10612336,10567396,10522352,10588704,10688352,10758712,11042516,11108804,11122352,11142984,11160880,11215716,11559760,11745924,11741436,11802184,11778252,20932068,16403780,13669564,21708436,16294728,15163356,14056028,14010868,14187988,14045844,14094012,14641070,14636231,14401253,14468901,14853567
 "44000","Rhode Island",1,SQINC35,2110,"..."," Social Security benefits ","Thousands of dollars",4736,4992,5216,5320,5644,6088,6392,6540,6756,7048,7196,14028,15092,16348,16868,16660,16700,17308,18024,21852,22032,23968,25108,25276,26052,27416,28716,32832,33768,36780,39112,39480,39208,40612,42708,43708,45432,53120,52976,55440,55076,58528,59464,59788,64388,65144,66036,67044,67976,69416,70796,71736,74000,75752,77844,80524,82348,84196,85520,87132,87332,88456,89400,89612,90564,91248,92124,92008,92592,93084,112040,104972,106612,108540,109324,110504,112880,114704,115736,116720,122160,134448,137064,138296,139884,141212,142276,142880,144360,181464,169884,171884,174544,204888,196584,198664,201116,203292,205852,247432,256312,263056,268068,272356,274556,297028,311308,318332,321792,324984,356296,358868,364744,366872,394020,401892,405320,411024,440120,443932,446400,446568,478160,485112,490244,498004,547508,551672,555476,558356,642036,648312,660112,664432,742132,746228,749280,752792,801472,825348,819268,827084,823852,836688,845644,847068,841676,855728,882812,886596,902088,897020,926284,927844,941768,936756,948980,960116,959716,964140,1026056,1029840,1033152,1031984,1074664,1075848,1080552,1089932,1145664,1150460,1150420,1151752,1209812,1227364,1241772,1257460,1312852,1312880,1304428,1295668,1346096,1363136,1374128,1386612,1428944,1425916,1416268,1410156,1449556,1471932,1487580,1505920,1547604,1543320,1541952,1543112,1566672,1578712,1587892,1594692,1615132,1620164,1627952,1628364,1647492,1653976,1661500,1670836,1706072,1751208,1750468,1753520,1807228,1813336,1832740,1833464,1880920,1889808,1898260,1908060,1931292,1945640,1949372,1957948,1993044,2006836,2009540,2024408,2071372,2090648,2093936,2104520,2170900,2189084,2196952,2204860,2266728,2288640,2298764,2307592,2357404,2376944,2400212,2419944,2555916,2596076,2616056,2639856,2644804,2674208,2683932,2697584,2707816,2735112,2748228,2769356,2876860,2900408,2921672,2942100,2997100,3018516,3046820,3071488,3109624,3135756,3153788,3188480,3228340,3252616,3271644,3304120,3300352,3326172,3348836,3378548,3394732,3417656,3447184,3477844,3544432,3577200,3612824,3642264,3750524,3782148,3813600,3847520,3923024,3950464,3970812,4001992,4051352,4067996,4100084,4143204,4386536,4426172,4460236,4509172,4911962,4960596,4987158,5032899,5217041
 "44000","Rhode Island",1,SQINC35,2210,"..."," Medicare benefits ","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),5924,17164,22360,26176,28812,30288,31004,31624,32396,33408,39984,41236,42396,43360,44352,45512,46732,47904,49304,50200,51116,51956,52700,54040,55844,57956,60872,64144,67552,70980,74528,77428,79948,82052,83384,85708,89692,95164,102444,108856,113932,118172,121632,124720,127472,130268,132792,136412,141036,147184,154220,161780,168784,175736,181848,188720,195764,204364,213144,222448,230508,238412,245024,251484,257760,264772,272200,281568,291552,301868,313320,321496,328288,332908,335536,340168,344588,349708,354504,359904,365352,371732,379848,384708,388360,390516,388668,394064,402884,415240,432636,446568,458268,467832,469988,472808,479720,487392,497484,517264,539132,561828,585148,595748,605376,613836,639248,650444,663488,680708,701732,712416,722928,732236,747376,772036,798992,829252,853900,870608,892452,914528,932740,952876,959736,952460,917196,910316,903728,897388,893408,888504,885924,885720,885076,897724,921496,956988,999400,1037832,1062776,1073384,1067328,1066680,1068008,1071388,1082860,1095248,1112916,1135948,1164636,1191732,1219796,1240948,1253072,1276892,1308308,1347556,1558848,1601740,1637304,1664868,1677720,1699480,1725100,1754736,1782592,1815192,1848012,1881032,1912144,1937552,1959148,1976968,1987784,2001896,2016856,2032608,2047996,2061960,2075032,2087280,2103072,2114580,2126612,2139132,2145964,2133920,2157152,2187268,2220268,2254164,2282248,2304292,2313320,2330812,2348916,2367784,2387248,2402784,2413988,2420764,2420192,2430160,2444792,2464252,2485872,2519508,2559996,2607416,2655328,2697220,2721748,2728812,2717832,2755588,2793832,2832700,2880160,2937620,2996600,3057052,3108424,3129844,3137696,3160240,3171223,3182061,3194564,3208732,3248132
 "44000","Rhode Island",1,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),21984,35268,44204,48376,45640,44616,44416,45968,50668,52428,57020,55488,58380,60892,60312,61908,61108,65448,66084,69492,77632,81380,82316,88944,94068,93500,100612,101452,103108,111204,106020,104560,109860,117116,119172,123448,128112,133892,136524,144668,150632,142480,155476,165304,171968,183688,185188,182756,187032,195440,200392,201928,221676,225104,228568,231688,230608,230784,234992,243016,255844,265964,273700,278640,280152,281828,284452,288384,293012,299048,306700,315264,328808,340144,351032,361940,372104,381168,387492,391000,384948,409004,464316,554916,659876,784020,825492,874748,714404,680996,685420,713436,825148,888308,976944,949160,874432,816716,781848,846440,907756,922364,907700,794560,774560,801216,770476,807096,921728,978584,1036772,1054024,995908,974584,946712,991796,1054216,1058424,1102828,1112308,1068848,1084640,1105588,1105788,1294784,1380312,1291176,1444784,1403728,1374300,1396200,1432976,1415644,1424772,1498044,1453516,1579700,1741016,1750136,1815836,1771760,1791136,1706684,1696472,1616896,1503672,1586904,1475012,1668340,1676920,1805720,1856020,1813516,1869384,1836484,1825028,1904568,1901588,1972036,1928688,1976264,1988660,2012860,2082856,2054912,2070652,2061472,2000120,2021600,1918852,1870012,1941208,1924728,1973444,2052120,2055056,2411504,2501592,2620788,2671556,2637840,2677428,2669320,2555652,2554800,2459012,2383608,2431856,2524308,2584468,2822232,2824572,2732544,2697716,2636472,2581312,2663952,2776328,2735300,2769824,2647144,2731192,2906720,2822576,3041684,3365280,3469724,3255700,3322612,3460952,3323360,3110492,3574232,3583335,3325287,3339585,3379612
 "44000","Rhode Island",1,SQINC35,2410,"..."," State unemployment insurance compensation ","Thousands of dollars",12260,13544,14112,16396,21092,27500,34776,42480,21644,17688,13744,11940,15696,15048,17924,20144,16900,15852,18216,14020,11676,10592,11112,16144,19816,23960,24380,23640,15096,12240,11164,11240,12976,13340,14928,14604,17712,17164,18676,25556,26688,29176,27020,22900,19560,17004,16040,14744,14272,13428,16944,20020,22192,27644,22884,17864,17812,16392,16080,17400,17968,18380,16576,17084,15876,14912,14852,13876,12272,11204,11140,12368,13564,10900,11220,11580,12544,14752,14984,13816,15340,15044,18380,14644,17488,16128,17988,19672,20168,29368,33480,39500,44300,50544,48708,44456,49428,51292,41360,35872,36504,36372,39628,47268,46680,47644,53380,80708,132612,189880,192552,161268,135376,113716,107940,107420,114432,102092,94864,91532,90332,94980,79536,66576,68532,71288,91620,85596,77528,95520,94856,93668,93180,91084,92580,89956,113120,132524,142696,151600,135224,142440,117992,89140,85540,78764,74084,76240,87124,89964,77720,73888,74652,73028,71096,71220,74388,71076,68160,91596,79308,75836,84808,83832,99508,103384,105740,125464,145660,177208,181196,198608,228364,301892,285580,291828,326684,341644,332200,305736,295356,283648,277968,274140,249396,225204,223596,180236,180912,236412,194968,182888,184760,197096,173848,173640,164288,150740,154024,149120,146128,143480,140664,147468,152800,144244,146664,145676,144824,145844,141520,138656,151668,163944,184452,220812,198872,302444,260388,251212,257412,261940,251228,253316,215456,204056,213908,196504,207104,196844,193080,194212,191844,192884,190876,193212,218380,216020,226724,239084,254496,256452,391984,439316,591132,689872,735168,753936,793344,731888,596380,640872,614564,600572,575800,571956,546736,493572,439632,423616,359868,331512,308756,290644,209532,191384,177620,169132,170628,164808,162856,159796,160484,159328,157024,150768,155008,147632,154436,162836,166236,144756,133568,142420,158848,146756,132508,140896,143220,4727168,2909084,1302380,2703796,2060412,1083408,150028,118960,109512,130296,133200,121445,117561,116255,139983,157489
 "44000","Rhode Island",1,SQINC35,6000,"..."," All other personal current transfer receipts ","Thousands of dollars",56560,54412,51436,48000,50228,51692,53812,56004,106408,72832,56916,54640,50888,51764,52120,51744,49004,49116,52696,51120,50904,49392,48892,49132,49188,49740,50416,52232,52500,53648,54256,54792,56468,56288,57028,57308,62504,62920,63880,68212,56160,63648,68004,69972,60020,63856,66004,66008,64480,64044,64168,64536,69192,65700,67256,64552,66332,66224,67012,69148,76132,70548,71420,73636,78224,75596,77052,78700,86076,84084,85292,85900,89712,88776,90140,98744,106468,105700,110164,114780,120116,125632,128744,132928,145520,147712,146808,144280,138748,138764,140816,149292,153764,157444,163104,166428,174828,172032,175536,188324,190172,191308,193324,199288,215780,221548,238516,252804,270984,312348,288244,293668,300624,289368,282256,280880,282968,279856,281912,289000,301852,306116,312172,314592,320628,325524,340684,348720,371888,373816,411780,415500,429036,433636,440320,433740,425276,422060,425908,437744,444088,448368,456668,462436,474576,479896,483564,489508,498096,502008,504256,507628,518712,523548,521056,517472,515244,513728,510392,513480,531032,536544,543700,554004,577300,582588,591956,608912,624120,627992,632376,650492,661856,679504,688468,710420,726952,726024,732492,731724,744920,757828,758328,756220,773836,760312,757000,764164,797764,815348,829148,847336,871208,863340,853108,833724,827456,822944,830448,849404,891496,908048,919496,936196,949376,960444,976044,991512,991652,1018040,1043012,1077924,1104900,1127812,1057252,1137584,1133688,1126500,1121992,1124152,1145932,1151672,1151116,1143252,1147644,1149172,1154840,1173656,1204396,1218532,1246572,1222196,1208372,1218064,1244852,1297008,1379992,1444024,1482536,1512724,1495596,2647788,1761264,1573592,1640424,1945712,1791596,1805300,2110440,2139168,2165496,2159080,2168316,2169972,2172684,2177696,2019244,2032076,2053712,2074044,2118524,2112192,2118676,2123652,2177860,2225452,2229268,2220524,2150932,2149408,2143616,2148112,2209452,2220100,2218896,2206768,2194112,2178796,2173872,2179300,2193268,2203804,2218020,2242304,2331108,2343472,2338280,2315132,2347032,6767656,3823332,2709916,9031444,3863420,3513540,3450044,3074336,3061508,2994256,3180908,2862208,2792678,2777989,2747702,2851293
"Note: See the included footnote file."
"SQINC35: Personal current transfer receipts "
"Last updated: June 28, 2024-- new statistics for 2024:Q1; revised statistics for 2023:Q1-2023:Q4."
