GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "97000","Rocky Mountain",7,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted) ","Thousands of dollars",4624567,4732775,4886715,4929159,4774548,4803064,4834968,4825880,5234589,5240801,5418097,5624273,5947063,6248863,6233715,6399375,6432321,6470561,6716289,6719761,6589717,6646253,6632193,6632481,6713728,6653052,6674984,6761508,7073777,7250789,7345829,7476633,7741328,7861796,7997332,8155292,8317821,8501997,8669525,8750533,8608522,8671098,8847270,9054074,9061992,9263284,9303820,9518956,9651360,9807360,9870688,9947396,10165516,10281460,10510964,10668400,10981108,11194856,11281716,11415936,11461852,11458332,11623608,11787940,11921080,12031840,12175544,12350488,12645700,12801200,13189520,13401872,13591176,13683848,13848712,14045116,14319432,14499460,14772868,15021544,15316508,15768960,16072488,16447680,17146452,17625612,18036132,18414836,19165008,19625268,20275196,20660152,21258144,22014652,22401356,23052916,23850008,24449192,25430824,26816368,27057784,28324652,29095816,30483272,31219852,31774912,32913184,33650304,34188228,35198172,36441892,37344012,38311740,39026976,39903304,41069836,41832360,43158844,44711044,46819996,48256360,50257088,51955772,53848132,55297488,56244644,58522536,60642312,62892736,63465448,65916880,69684736,71226700,72657068,76182740,77709364,78166884,79992228,80549448,83151744,83981856,85161100,86509280,88662488,89970640,92187144,94347504,95904240,96792524,97763648,98710104,100004572,101632464,101740100,101995576,101994844,102955904,104293548,105260688,107371912,107922844,110248012,112544132,114140652,118237976,119546820,121040120,122712424,125647584,127880524,129867124,130848904,133144620,135429968,137440716,140292328,143673032,146843404,149367108,150640908,156435316,158574008,159803792,163809648,165424780,169561612,172059728,176011132,179949456,182572948,185967684,189492300,192830352,197086240,199914272,202723320,206346900,209456696,214015052,217648856,224448648,228582336,234326620,236304016,240035503,243045167,245620155,253445267,259388841,266745657,272260481,276701705,281445768,283031368,281816344,281869592,283094136,285421480,287041956,290323812,290593824,293088888,298436508,300213096,304595840,310290360,313053248,320499508,325171812,331515288,337745556,344330216,357804280,363770384,368873184,373168396,383927776,391306792,393085532,399873184,403744084,418616972,415513400,409821420,400031420,394268212,390613028,391498900,397519660,403022440,409657836,418008444,432189032,436988352,443173976,446107456,456823252,461768132,460033792,481223680,472964136,480288156,485671712,489537780,503064524,512839604,519207736,528838512,535627008,540472224,543442116,545501336,546016292,549461040,556095144,563974584,575207724,585283572,593740852,605275156,617886892,627732200,638860100,650180892,668519412,673898216,683968252,689821892,704722596,750236491,733020174,744267659,835233040,797848167,808303225,826449632,841009242,853868890,879070980,882300616,897144851,908528890,915715811,926946615,942831752
 "97000","Rocky Mountain",7,SQINC35,1000,"...","Personal current transfer receipts ","Thousands of dollars",282052,273044,259720,245012,259500,270480,284704,299240,497880,348668,275504,276452,293824,300492,304792,303560,308560,309876,331972,329164,332188,327544,328032,334708,344200,354596,361720,380676,388220,398068,405868,409736,418272,421584,433112,436880,452524,476024,482216,519180,471564,524472,558528,570624,545760,582628,616504,631148,615612,614084,623768,642380,679992,688324,699432,692296,708864,708088,725180,741264,775568,747488,752032,755096,780480,768356,775764,783376,821040,812772,879136,846808,870968,866156,891168,978760,1039892,1053808,1080036,1102888,1146848,1214932,1237760,1260192,1317548,1340160,1355788,1366676,1422280,1635212,1638460,1709576,1741964,1898028,1903436,1938696,2006276,2013012,2049708,2291616,2363224,2415528,2463196,2525260,2628400,2768492,2910192,3043068,3241920,3563156,3611968,3701048,3818360,3802788,3946372,3986724,4043800,4077236,4216584,4280236,4371140,4419064,4636748,4740332,4886208,4985384,5328568,5426308,5633844,5690444,6401780,6499688,6707284,6832888,7332212,7424628,7555456,7779060,8248248,8608272,8722364,8895792,8831312,8931028,9115340,9199592,9206740,9403792,9698980,9736012,9818116,9903308,10210488,10395768,10656164,10769460,10945884,11184144,11202996,11255412,11637232,11656932,11766360,11957748,12661848,12871340,13065992,13306720,13766400,13936216,14052416,14373908,14923244,15317128,15537996,16101520,16753332,17093088,17428580,17608140,18213368,18380372,18707884,18855256,19162488,19261900,19449088,20096124,20994288,21458316,21749744,21643412,22307532,22664760,22452064,22430756,22929536,22929188,23063740,23206900,23484464,23667292,23773840,24076076,24634664,24768496,25111400,25374184,25885244,26650136,27115720,27540156,28640024,29546080,29030080,30928988,31647664,32228536,32401456,32747436,33480508,33969456,34420536,34414424,35267776,35776848,35977804,36609676,37914136,38728248,39066820,39341180,40995800,41578676,42192764,42499004,44277200,44479420,45194668,46091220,47269240,59213620,51831096,50891428,54241052,58586952,58625844,59367204,63192808,63752184,65003488,65292164,65799028,65762208,65405520,65883552,65281548,66145184,66091584,66812440,67643212,68044996,68775268,69098220,70491372,72092120,73211072,74293952,76243932,77654372,78302604,79116684,80388568,81420636,81607908,82502420,83540524,83944648,85223952,86318968,89069288,90197204,91436572,92454524,95987004,96786788,96900332,97134292,98930964,171676620,123952776,113267900,193867608,133102208,127144324,123987824,124797544,126126724,135421924,128410164,130425345,130486840,129817850,129409792,135004921
 "97000","Rocky Mountain",7,SQINC35,2110,"..."," Social Security benefits ","Thousands of dollars",9060,9544,9972,10196,10444,11264,11808,12068,12692,13244,13528,26356,31332,33924,35012,34576,35908,37224,38756,46996,51308,55840,58480,58840,63280,66588,69740,79724,87272,95040,101076,102024,106192,110008,115672,118380,131528,153784,153364,160496,166136,175116,179272,184216,203080,211240,219144,225688,227816,232412,237540,242860,253032,261184,270976,282980,291128,298632,305536,312604,314752,320252,325084,328312,333388,337796,343292,345732,351132,355504,429720,404224,412080,421576,424552,429916,441288,450736,455904,460628,483680,532852,543224,547796,554436,560388,566252,571304,579440,731128,686820,696292,705748,831332,800504,812464,825116,835132,845700,1017348,1052172,1080156,1101064,1120712,1134180,1231020,1292708,1322472,1338872,1356792,1488332,1502260,1532492,1543236,1667612,1707892,1721652,1750924,1884804,1907448,1926144,1931496,2074312,2101008,2124900,2157828,2380448,2397512,2425244,2432972,2820184,2840536,2899164,2907148,3258964,3264236,3263992,3284424,3525220,3656104,3644300,3699052,3710408,3807532,3917712,3973656,3973776,4062892,4197636,4206868,4288428,4273648,4449056,4478320,4582460,4583556,4673204,4761880,4772904,4798100,5072592,5065248,5081880,5101328,5417252,5467404,5507648,5539972,5843748,5901928,5920484,5993664,6374856,6461976,6516844,6576180,6899448,6982496,7017712,7062000,7362392,7427192,7505704,7595768,7816040,7897504,7939176,8017504,8277604,8379096,8431552,8464768,8735916,8809192,8831036,8894688,9186988,9259776,9320568,9367904,9568428,9619560,9702116,9727528,9918980,9985208,10039372,10087788,10370192,10721616,10687320,10701324,11200584,11254284,11423612,11418632,11865536,11942192,12023364,12126312,12352628,12520284,12579040,12688952,13054564,13225348,13276236,13457756,13968320,14192852,14237176,14354416,15025476,15210896,15294184,15381780,16053340,16288344,16406092,16513000,17090076,17269816,17444736,17538632,18789164,19097884,19261588,19527972,19686200,20080540,20267164,20491992,20671028,21011676,21160736,21358968,22439780,22646904,22844108,23048252,23730200,23953796,24253860,24516860,25038192,25323072,25516548,25891208,26379776,26665920,26910624,27329208,27362688,27714924,28022484,28402296,28670532,28947156,29285252,29621124,30465452,30808284,31182272,31482784,32752936,33080752,33424180,33813376,34752712,35107924,35402876,35838856,36549252,36771368,37093976,37464860,40131504,40420272,40695976,41188272,45816481,46375311,46680516,47206098,49321972
 "97000","Rocky Mountain",7,SQINC35,2210,"..."," Medicare benefits ","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),24484,71220,93460,109228,119256,124180,126036,127416,129628,133188,132656,136612,140156,142932,145252,148112,151128,153672,156320,158024,159760,161348,162464,165816,171080,178240,188376,198852,208580,217312,225392,233972,244136,256228,270592,285452,300692,316172,332732,348436,364356,380044,394780,409188,423200,436356,448660,463360,481132,501192,524696,550668,578120,604948,633824,660224,692960,722580,754768,789668,832376,875624,921196,965828,1010224,1049916,1079944,1113584,1145264,1175868,1213924,1242516,1267788,1293608,1317056,1340532,1365536,1390852,1420448,1447196,1478672,1510076,1549640,1581548,1605472,1623644,1616936,1645440,1699108,1778664,1911092,2001916,2065340,2098460,2101824,2112264,2136100,2180972,2239588,2311812,2387884,2469212,2581432,2661744,2740124,2819192,2949676,2993712,3066760,3163548,3267588,3377064,3492544,3617796,3744632,3865624,3964812,4034248,4098276,4160000,4219832,4297464,4405840,4465720,4485244,4460900,4383368,4367508,4378488,4416460,4474924,4534068,4584976,4627632,4659456,4728176,4829728,4963868,5128088,5279856,5411356,5523120,5634324,5740344,5846296,5951992,6054664,6191296,6356956,6551992,6757760,6969128,7189656,7361688,7539172,7683760,7842116,8013280,9330400,9511456,9692180,9871224,10063616,10238896,10415008,10591032,10785916,10977404,11182628,11402688,11664188,11878492,12063336,12219044,12362872,12507364,12663800,12831944,13011828,13191824,13356972,13507908,13644964,13805012,13982976,14178620,14376780,14278308,14492632,14729692,15231992,15524320,15796596,16046464,16473768,16713476,16937224,17146612,17467580,17670960,17888152,18119924,18608012,18890488,19167516,19438596,19977356,20297816,20669892,21092120,21831360,22176168,22415660,22551728,22800240,23199840,23565016,23895716,24634968,25074256,25519904,25970344,26735356,26858996,26886140,27062948,27195532,27326375,27477309,27648339,28123969
 "97000","Rocky Mountain",7,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),47788,76676,96228,105504,99444,97204,96176,98496,107076,111008,122976,124236,137788,150080,153200,160256,159448,171460,173164,181224,201088,208912,207832,220144,227412,221000,234356,233156,233656,253168,247072,253064,280352,309916,322292,334640,343936,355172,358604,374272,384988,358700,390956,412736,430736,461140,472124,472512,492964,522412,540628,543048,585912,590908,602016,619796,637360,645164,649800,653732,656608,661828,676028,696488,726332,756216,793228,834088,880176,920052,948104,963460,972616,978596,990940,1010860,1046712,1084124,1125380,1170372,1214380,1283264,1367444,1477756,1535252,1706448,1799480,2048640,1964380,2082100,2171224,2182808,2265044,2277004,2457944,2448288,2406856,2406016,2430404,2741148,2991820,3100452,3142920,2859520,2977884,3184192,2999752,2951004,3074480,3066248,3185872,3310768,3343904,3416936,3378492,3511080,3596920,3550072,3723068,3856976,3902628,4129332,4305576,4327408,4325220,4635472,4372020,4966508,4954936,4924400,5065140,5243396,5337976,5245124,5496464,5367968,5788008,6068432,5951440,6060324,6248420,6539376,6358584,6544160,6218864,6401448,6661708,6468876,6969648,6433216,6559904,6796136,7028088,7187888,7212152,7234784,7590748,7993924,8169392,8082588,8345216,8435688,9161860,9346992,9489840,9158776,8872768,9047080,9190996,9981680,9774652,10094648,10133668,10424372,10789824,10749236,11049356,11462376,12015852,12367668,12757144,13309228,13464380,13645224,13911480,14338468,14049652,14424892,14275912,14176488,14730104,15052576,15757380,16245664,16678520,16653612,16675292,16741352,16435412,16405908,16164248,17758876,18987860,18581632,19224336,20836756,21169856,21088600,22344388,23072880,23287744,23892676,24916837,25949944,25095259,24400127,25832770
 "97000","Rocky Mountain",7,SQINC35,2410,"..."," State unemployment insurance compensation ","Thousands of dollars",6360,7024,7308,8508,10576,13776,17416,21300,24828,20304,15768,13700,7860,7540,8980,10068,10532,9888,11348,8744,11552,10476,11000,15960,19576,23688,24064,23368,21076,17104,15592,15700,16056,16524,18496,18088,23824,23084,25120,34372,45292,55928,60832,47328,39796,36328,41548,45992,41928,41940,48020,58452,59088,76216,67140,60408,58108,51380,57900,58200,57284,56604,54772,44792,43704,43996,42132,43116,43616,45864,37624,32624,35032,29824,28868,33944,36840,37052,36448,35424,34044,30708,29836,28000,30076,30088,31852,32016,34740,46672,48720,51240,58104,69908,77464,79796,85228,87312,77544,73088,71160,64996,73184,80396,99148,106204,104212,126360,187992,264544,262148,255888,244140,234416,232480,210092,230112,216692,203336,194028,167732,143584,144936,160504,184492,169116,167444,177732,219324,281716,329688,328876,316632,316020,322856,367924,444232,554116,656928,750664,767440,821464,650376,559288,473752,411904,357620,386752,461852,447144,398116,440232,440968,499492,562368,573252,513104,531356,465604,413140,411800,380960,360680,353656,355760,330464,312500,343180,334004,344272,347960,358504,402200,439420,439604,494776,627796,609408,632072,621908,627980,622588,613288,590836,511984,452840,419688,424464,417084,434252,451208,440596,456472,473484,445140,472936,446192,428960,414964,415164,437808,428040,420352,440352,451120,454056,450788,428716,445032,423648,477816,476876,542292,612764,780032,1037364,1114832,1586796,1446268,1339796,1323928,1471920,1395448,1254260,1015872,830444,793104,731172,699172,666108,647512,630656,590828,580268,577908,593108,611256,598568,641004,681180,725372,851556,1276272,1670224,2387756,3495232,3978068,4171200,4477792,4108140,3857536,3599120,3505964,3197524,2822784,2711552,2543372,2265140,1977768,1929180,1759772,1660888,1519272,1495256,1063984,975640,934628,924012,977236,982116,996892,1020432,1070848,1069388,1015420,943204,891828,833424,860092,860524,827000,738932,682016,725764,804208,732616,663036,727248,1193424,23528320,14170156,7338636,10971320,8575944,4266968,986772,801752,646968,569016,636328,636787,664837,631735,676900,698914
 "97000","Rocky Mountain",7,SQINC35,6000,"..."," All other personal current transfer receipts ","Thousands of dollars",266632,256476,242440,226308,238480,245440,255480,265872,460360,315120,246208,236396,254632,259028,260800,258916,262120,262764,281868,273424,269328,261228,258552,259908,261344,264320,267916,277584,279872,285924,289200,292012,296024,295052,298944,300412,297172,299156,303732,324312,260136,293428,318424,339080,302884,335060,355812,359468,345868,339732,338208,341068,367872,350924,361316,348908,359628,358076,361744,370460,403532,370632,372176,381992,403388,386564,390340,394528,426292,411404,411792,409960,423856,414756,413264,443680,468304,456792,468428,482656,503088,523956,535072,551208,600380,613072,617528,620424,615060,632624,655564,702868,722348,741560,769532,786592,826392,813744,832408,898704,913728,921444,927168,946584,1010232,1025836,1095972,1156784,1243376,1447456,1352964,1406584,1481584,1455700,1447568,1455540,1463600,1447264,1458172,1489340,1548252,1570708,1614076,1642988,1708184,1752600,1843952,1871844,1970464,1956832,2167992,2194960,2305984,2358912,2445892,2444332,2433072,2452280,2515248,2608540,2644768,2670784,2723248,2768544,2872592,2926352,2957756,3006808,3065828,3079640,3090008,3102088,3173684,3214544,3239436,3268488,3329760,3389308,3410912,3457068,3563288,3586688,3633752,3713240,3931032,3987432,4055124,4154736,4272444,4294488,4280428,4363012,4371348,4397472,4394184,4512712,4680276,4757340,4867448,4922232,5008276,5059876,5064188,5056816,5160020,5128476,5167276,5295212,5563148,5678892,5759252,5844280,6038984,6037892,5956304,5814664,5816036,5708484,5657092,5652164,5750956,5835248,5894392,5980656,6192720,6245092,6313196,6373072,6507936,6647364,6815280,7070680,7443840,7763704,7043060,7983364,8078036,8034804,8020388,8085940,8411312,8540832,8592628,8551252,8651572,8683496,8767368,8998736,9459052,9646152,9981432,9798668,9830232,9874608,9966784,10184016,10579340,10920396,11172660,11509872,11639788,22926956,14715308,13045100,13809196,16121420,15153460,15366400,18320728,18620452,19053128,19022116,19120368,19202408,19192260,19258044,17462436,17446448,17512080,17561740,17642792,17727632,17719680,17607176,18107848,18806712,18947448,19064600,19656008,19983632,19993484,19975208,20575972,20626896,20632200,20612104,21094240,21097092,21180988,21346148,22042100,22106508,22223872,22500244,23923208,24055900,23962044,23636032,24020340,72081660,31826868,27613060,102487732,41843884,39093620,38477248,34784544,35127608,43983048,35629940,31859708,30170373,29933031,29478328,31027296
"Note: See the included footnote file."
"SQINC35: Personal current transfer receipts "
"Last updated: June 28, 2024-- new statistics for 2024:Q1; revised statistics for 2023:Q1-2023:Q4."
