GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "04000","Arizona",6,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted) ","Thousands of dollars",114284935,116699323,119072483,121283067,121786204,124191152,125759476,127952176,132026735,134293983,136799971,139174311,140738708,142072352,142610860,142969232,145235676,146608384,147738648,150238088,152730948,154751460,157057168,161095652,165062776,168484004,171665200,176559948,180072656,185498668,190671108,194657224,202630504,206095692,209461380,212862988,216787280,219150652,220790704,221587644,221503932,228935864,223470896,220069796,212847556,212602724,210678240,213005740,212130732,215351624,217481988,219930216,224845944,226041776,228025220,229900236,233458864,235738476,234218200,242310120,238718548,241604240,243195624,244602836,249019924,251871800,254971764,258982992,263680328,266834844,267928120,271452944,274505828,278149256,281862320,284269592,290880504,294603016,299995020,303567484,309314296,312598624,317791108,322131816,330746440,335012272,339272316,343825268,350037648,388634402,382667731,375907403,425160851,399771636,403730178,410880135,418660889,426127288,434287451,441258508,450839043,458745770,460426301,462354689,471752808
 "04000","Arizona",6,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),6385037,6397030,6408761,6421117,6431089,6440990,6455153,6471500,6485869,6499850,6515819,6531451,6543719,6556187,6573534,6593859,6611516,6628960,6649211,6669947,6687343,6704905,6726353,6749513,6769982,6790611,6812589,6833864,6852067,6869958,6892332,6916451,6937264,6958569,6983754,7010428,7033922,7057823,7085308,7113998,7140253,7171736,7198721,7221215,7238444,7260312,7285305,7308883,7329497,7352996,7374904,7392200,7407075,7422745,7441174,7459629,7475346
 "04000","Arizona",6,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),33223,33664,33935,34251,34962,35094,35325,35525,35995,36268,35946,37099,36481,36851,36996,37096,37665,37996,38346,38828,39430,39797,39833,40218,40547,40961,41374,41597,42451,42883,43526,43891,44587,44923,45504,45950,47022,47467,47884,48331,49023,54190,53158,52056,58736,55063,55417,56217,57120,57953,58887,59692,60866,61803,61875,61981,63108
 "04000","Arizona",6,SQINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",82923847,84784627,87152543,89682371,89251244,91744648,92898004,94992788,98524727,99740587,101691515,103203847,103954944,104414108,105949432,105461340,107033336,107986756,108788296,110353500,111391424,113264356,114630724,117917228,120950508,123614424,126371664,128995660,131681100,135391436,140365468,142703200,149197476,150757612,153571496,156761536,158968408,158797464,159541472,159468852,158651752,157753600,156326408,154214024,146160996,145137796,144134596,146521260,143127908,145889956,147193788,148650328,150661284,151145968,153535836,153803504,157367464,158143460,158031680,161796920,164073820,166437248,166556140,167807516,171344160,171516916,172800488,175184336,178923884,180587420,181237268,184425872,185787208,188693252,191559144,192616652,197049992,198486400,202943160,205447780,210028900,212398108,216073692,218566216,223931544,225884388,229272652,233012228,237526788,229824734,242849531,251324987,250259871,258377396,265518774,272369123,279665681,282378724,288877099,292441628,297925253,304312341,306881887,308669826,313866668
 "04000","Arizona",6,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",9432508,9630928,9905620,10175008,10153864,10455384,10565256,10775928,11219068,11281616,11511288,11664188,11841224,11884020,12049092,12010048,12225332,12334396,12383468,12504808,12561348,12733764,12854700,13192020,13482016,13745416,14065676,14330292,14676816,15052132,15563132,15744540,16369992,16508748,16804532,17178440,17525628,17612668,17784476,17844120,18038836,17952856,17877636,17726828,17092260,17063544,16934456,17148296,17031492,17252660,17300712,17375392,15882012,15858388,16062004,16085236,16336104,16442844,16449480,16835800,19114892,19389264,19382180,19505204,19908288,19811060,19940128,20260096,20673356,20922316,21023160,21414164,21480644,21803968,22085068,22163020,22760836,22892268,23412692,23671888,24384500,24673596,25115192,25454900,26016196,26284604,26697140,27185540,27846256,27336856,28135532,29244356,29202760,29992148,30921620,31921448,32638240,33172844,34027540,34407984,35209297,35899485,36114243,36266967,37148986
 "04000","Arizona",6,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",4840880,4946296,5092300,5240336,5248804,5413828,5476384,5587924,5810584,5843376,5951884,6021272,6108368,6123600,6202964,6172124,6287132,6343112,6379928,6461080,6487380,6586944,6661236,6847348,6992912,7133632,7309972,7462248,7677064,7887180,8155052,8244324,8620396,8688680,8824420,8990852,9182500,9206488,9271216,9273620,9390380,9346056,9309776,9252576,8976660,8977292,8941480,9084064,9006040,9137848,9190844,9254484,7496576,7512228,7624104,7668964,7738124,7795808,7794284,7940680,10207616,10344292,10353212,10434944,10748876,10727740,10804960,10967420,11222432,11342904,11382216,11585768,11696180,11867164,12006292,12038636,12432856,12492652,12764684,12878028,13401552,13560844,13804212,14015600,14410988,14589316,14847652,15109184,15557540,15227532,15666572,16313284,16322836,16744004,17267492,17837620,18458132,18806176,19289768,19528356,19908054,20266212,20361346,20451916,21000328
 "04000","Arizona",6,SQINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",4591628,4684632,4813320,4934672,4905060,5041556,5088872,5188004,5408484,5438240,5559404,5642916,5732856,5760420,5846128,5837924,5938200,5991284,6003540,6043728,6073968,6146820,6193464,6344672,6489104,6611784,6755704,6868044,6999752,7164952,7408080,7500216,7749596,7820068,7980112,8187588,8343128,8406180,8513260,8570500,8648456,8606800,8567860,8474252,8115600,8086252,7992976,8064232,8025452,8114812,8109868,8120908,8385436,8346160,8437900,8416272,8597980,8647036,8655196,8895120,8907276,9044972,9028968,9070260,9159412,9083320,9135168,9292676,9450924,9579412,9640944,9828396,9784464,9936804,10078776,10124384,10327980,10399616,10648008,10793860,10982948,11112752,11310980,11439300,11605208,11695288,11849488,12076356,12288716,12109324,12468960,12931072,12879924,13248144,13654128,14083828,14180108,14366668,14737772,14879628,15301243,15633273,15752897,15815051,16148658
 "04000","Arizona",6,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",401412,401984,407312,412832,462200,454772,461692,486480,512188,523816,538248,525744,646596,647740,630404,626328,687668,696496,701872,705804,776704,789380,812872,815100,920760,942200,960820,970624,1051508,1070672,1055568,1062928,1091444,1092652,1086568,1104196,1153104,1167784,1172088,1215120,1213280,1215164,1227672,1206592,1230836,1226936,1224644,1219980,1225044,1244692,1258292,1273432,1243908,1255048,1259684,1239320,1327308,1335116,1344696,1391716,1318368,1336336,1350368,1377192,1416800,1437512,1465788,1498944,1488364,1512252,1528580,1523916,1573560,1575152,1610384,1616476,1626200,1657816,1678324,1706100,1693960,1708648,1728804,1748572,1900180,1911584,1916692,1953992,1985784,1764968,1881116,1950424,1925248,2002328,2063576,2101988,2348900,2373532,2423952,2427644,2467267,2497659,2549785,2582158,2608625
 "04000","Arizona",6,SQINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",73892751,75555683,77654235,79920195,79559580,81744036,82794440,84703340,87817847,88982787,90718475,92065403,92760316,93177828,94530744,94077620,95495672,96348856,97106700,98554496,99606780,101319972,102588896,105540308,108389252,110811208,113266808,115635992,118055792,121409976,125857904,128021588,133918928,135341516,137853532,140687292,142595884,142352580,142929084,142839852,141826196,141015908,139676444,137693788,130299572,129301188,128424784,130592944,127321460,129881988,131151368,132548368,136023180,136542628,138733516,138957588,142358668,143035732,142926896,146352836,146277296,148384320,148524328,149679504,152852672,153143368,154326148,156423184,159738892,161177356,161742688,164535624,165880124,168464436,171084460,172070108,175915356,177251948,181208792,183481992,187338360,189433160,192687304,194859888,199815528,201511368,204492204,207780680,211666316,204252846,216595115,224031055,222982359,230387576,236660730,242549663,249376341,251579412,257273511,260461288,265183223,270910515,273317429,274985017,279326307
 "04000","Arizona",6,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",25480940,26072416,26272160,25971288,26352456,26432860,26732668,26907192,27640348,28305292,28923724,29729572,29362124,29497948,29261036,28472848,28702516,28998032,29038032,29522180,30380124,30185452,30677784,31435628,31678172,32125040,32452216,34312704,34267616,35640836,36047504,37649664,38297136,39855148,40147196,40421288,40930808,43452260,43941984,44137832,44141000,43905268,44670140,43610996,40794368,38832144,37546340,37301020,37208612,38032252,37954236,39253308,40756304,41463800,41757420,43287092,43870208,44599448,43534036,47639272,43434640,43997372,44823468,44899904,45408560,46981316,47932848,49021392,50032116,50910712,51271720,51728980,52368132,52579544,53098208,53783260,55165332,56495052,56965300,57489680,58061296,59297336,60585796,62298680,63425732,64840776,65483248,66282676,67027224,65826428,66400240,69275112,70680824,73349888,75252160,77406264,78993368,82350948,84445140,86735956,88930733,89922237,90365293,92064683,93796265
