GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "98000","Far West",8,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted) ","Thousands of dollars",1285081211,1302214019,1324696291,1345338979,1371046394,1384638878,1408912650,1448363190,1496042092,1519546620,1561123888,1569645248,1597467636,1600091620,1589659360,1584414968,1599146852,1613805424,1625350100,1643881584,1656965628,1679832196,1707933380,1727774516,1752756396,1784933600,1803595628,1861829900,1852318348,1885395496,1916308504,1953388748,2018191116,2037480868,2060027264,2085824640,2125093084,2151665004,2159807240,2184126336,2193163496,2232743832,2220848820,2184342732,2136647528,2139195000,2128374056,2145733044,2182376112,2217808868,2229795328,2274558280,2338228876,2350494768,2376623884,2386361696,2451831496,2480375396,2477196008,2595005368,2487456956,2525456744,2551182024,2580512064,2623628964,2673253416,2725319388,2767817924,2832138900,2875335652,2905128172,2931783088,2972674404,2992768608,3032302516,3067946676,3108125284,3147711916,3187774580,3235352072,3270665584,3315638104,3365894212,3407428084,3471571724,3508408692,3532182848,3586315344,3637953080,3876228406,3918601366,3881195076,4299115843,4121623971,4150249198,4146963492,4135819620,4158116485,4213413579,4268471176,4315997269,4372244990,4407550314,4430700405,4514215352
 "98000","Far West",8,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),52519527,52632082,52754071,52885301,52998737,53110643,53238792,53366764,53480375,53591012,53720722,53851778,53957268,54062224,54193654,54337448,54462068,54585289,54731617,54883303,55010577,55138666,55281826,55423350,55546240,55670942,55801387,55922798,56022138,56118679,56220487,56307710,56371388,56438362,56509054,56566123,56600988,56638839,56690883,56738984,56763242,56769479,56743855,56676859,56571433,56498422,56472032,56460997,56428230,56414301,56416463,56413422,56392706,56376056,56379362,56382746,56367227
 "98000","Far West",8,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),41554,42138,42268,43009,44119,44257,44641,44716,45845,46283,46112,48188,46100,46714,47075,47490,48174,48974,49794,50431,51484,52147,52551,52898,53517,53758,54341,54860,55480,56090,56701,57458,58020,58748,59564,60238,61334,61944,62306,63207,64090,68280,69058,68479,75994,72951,73492,73448,73293,73707,74684,75664,76535,77555,78177,78583,80086
 "98000","Far West",8,SQINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",982072159,992170583,1013474459,1036904299,1059571082,1073217954,1094792714,1134316714,1176635764,1189828420,1226708372,1226554040,1247149420,1244781432,1238339688,1235618304,1252118300,1262397272,1270210500,1282551004,1287952340,1312014568,1335339896,1351937044,1374851276,1406473584,1426666308,1443020028,1454234296,1472363060,1500807608,1522004312,1567810392,1565565740,1580768740,1605543884,1629785912,1632392140,1632509816,1648550564,1634703704,1638831560,1637711268,1607570152,1563769960,1563549360,1563157732,1580646656,1594962232,1622504328,1635208856,1664734028,1697418192,1702570524,1723800328,1719390028,1772303356,1785969900,1795469396,1861870852,1832282596,1865124832,1877680164,1907237620,1929646744,1946871312,1980684080,2007316704,2053008232,2082413836,2104748284,2117319416,2147302284,2163442832,2194110872,2217795996,2249001128,2280464600,2317437024,2362831292,2384655924,2411472432,2449529588,2469492644,2523352608,2544110836,2560010704,2611621372,2659317344,2467691930,2630115466,2733962584,2761469371,2847807915,2922308878,2981623912,2970175724,2980058201,3039231647,3036655012,3096968210,3149143255,3194124281,3206894362,3249002977
 "98000","Far West",8,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",106731872,107396752,109334984,111338444,113869584,114828536,116681660,120538068,125065508,125340692,129570624,129676460,132778672,132803556,132186744,132591472,135127240,136318044,136831508,137732308,139161660,141799872,144528568,146662424,151063664,154740688,157414400,158773308,160969552,162380132,164521640,165882352,170524644,169346240,170015720,171599948,173846184,174113352,174507248,176572632,176798108,177702584,178833940,176732704,172988996,173431832,172069352,171677644,173195276,174071604,174128112,176699308,163351156,163699132,165213696,163921164,168494700,169102328,169530800,175579552,195016804,198540160,199902912,203936920,207222308,208097472,211616756,214544304,219105120,222202400,223900868,225086060,228731788,230361912,233123940,235560908,239303612,242610668,246685292,250882284,254744988,257243884,261226208,263271828,270342288,272130412,272866448,277509028,282575276,266957792,276776484,286695480,291053712,299577592,309043904,318148444,324120724,328283304,336262680,335315648,343430782,348738058,352916364,353652180,360785363
 "98000","Far West",8,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",53582968,53946252,54938904,55994748,57478984,58045612,59068200,61118124,63439976,63688032,65852492,65794384,67426564,67384256,66942872,67060208,68333716,68799132,68947752,69230456,69414916,70476360,71592132,72390828,74303028,75990884,77255008,78069412,79542856,80406416,81622816,82455420,85647752,85360512,85913980,86830952,88571416,89042200,89507928,90897244,91661200,92542008,93423184,92511852,91011288,91250660,90671736,90552168,91092396,91571476,91707516,93351480,76460704,76913876,77758052,77330164,78831988,79005532,79059984,81594116,102723476,104534752,105321240,107492740,109675824,110140424,111936428,113308928,116051596,117615208,118403548,118838604,121532048,122252588,123630704,124775844,127537900,129267760,131381280,133614992,137228484,138786424,140994072,142357748,146970004,148129084,148370144,150466524,153461792,144598228,149833520,155914728,159680180,164858880,170303292,175065972,179688656,181873252,185806304,185144296,189128759,191718336,193833924,194207425,198491031
 "98000","Far West",8,SQINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",53148904,53450500,54396080,55343696,56390600,56782924,57613460,59419944,61625532,61652660,63718132,63882076,65352108,65419300,65243872,65531264,66793524,67518912,67883756,68501852,69746744,71323512,72936436,74271596,76760636,78749804,80159392,80703896,81426696,81973716,82898824,83426932,84876892,83985728,84101740,84768996,85274768,85071152,84999320,85675388,85136908,85160576,85410756,84220852,81977708,82181172,81397616,81125476,82102880,82500128,82420596,83347828,86890452,86785256,87455644,86591000,89662712,90096796,90470816,93985436,92293328,94005408,94581672,96444180,97546484,97957048,99680328,101235376,103053524,104587192,105497320,106247456,107199740,108109324,109493236,110785064,111765712,113342908,115304012,117267292,117516504,118457460,120232136,120914080,123372284,124001328,124496304,127042504,129113484,122359564,126942964,130780752,131373532,134718712,138740612,143082472,144432068,146410052,150456376,150171352,154302023,157019722,159082440,159444755,162294332
 "98000","Far West",8,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-993928,-990384,-1022676,-1062888,-1038940,-1046748,-1089420,-1171492,-1174596,-1164240,-1231484,-1180404,-1290416,-1295116,-1245812,-1233708,-1326652,-1335672,-1347672,-1369660,-1449344,-1491676,-1541296,-1544516,-1657952,-1712304,-1737468,-1771228,-1846252,-1896364,-1902944,-1925172,-1963376,-1933888,-1961192,-1987376,-2030576,-2076516,-2105904,-2168904,-2242388,-2252252,-2269820,-2176900,-2138136,-2112680,-2075536,-2069372,-1968836,-1999360,-2013656,-2083332,-1907004,-1916816,-1934544,-1920000,-1924720,-1939008,-1960336,-2076560,-1757992,-1800984,-1840568,-1916232,-1933224,-1958640,-2037476,-2072804,-2037152,-2128560,-2154560,-2174196,-2365256,-2394828,-2494408,-2524864,-2592712,-2659792,-2741348,-2792332,-2748624,-2775356,-2843244,-2889248,-3198504,-3241192,-3258384,-3405912,-3473388,-3097452,-3377924,-3579364,-3621152,-3810208,-3961380,-4004456,-4227456,-4249588,-4336836,-4295600,-4404048,-4515087,-4588599,-4629937,-4679806
 "98000","Far West",8,SQINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",874346359,883783447,903116799,924502967,944662558,957342670,977021634,1012607154,1050395660,1063323488,1095906264,1095697176,1113080332,1110682760,1104907132,1101793124,1115664408,1124743556,1132031320,1143449036,1147341336,1168723020,1189270032,1203730104,1222129660,1250020592,1267514440,1282475492,1291418492,1308086564,1334383024,1354196788,1395322372,1394285612,1408791828,1431956560,1453909152,1456202272,1455896664,1469809028,1455663208,1458876724,1456607508,1428660548,1388642828,1388004848,1389012844,1406899640,1419798120,1446433364,1459067088,1485951388,1532160032,1536954576,1556652088,1553548864,1601883936,1614928564,1623978260,1684214740,1635507800,1664783688,1675936684,1701384468,1720491212,1736815200,1767029848,1790699596,1831865960,1858082876,1878692856,1890059160,1916205240,1930686092,1958492524,1979710224,2007104804,2035194140,2068010384,2109156676,2127162312,2151453192,2185460136,2203331568,2249811816,2268739232,2283885872,2330706432,2373268680,2197636686,2349961058,2443687740,2466794507,2544420115,2609303594,2659471012,2641827544,2647525309,2698632131,2697043764,2749133380,2795890110,2836619318,2848612245,2883537808
 "98000","Far West",8,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",258346468,264492088,266742080,263975132,264750020,265088100,268232048,271266332,278035916,285649508,293330276,300618280,299048580,299672216,296359632,286437668,283634796,286201540,287036472,292049724,298959784,296920356,301112072,306861616,308473572,311287580,312916924,352440856,328285928,340778472,345164988,361993944,373872004,392253652,395500284,396873732,402866232,428319632,434068956,438642988,447073368,446651332,456364400,446728776,424780848,405144732,392061700,387868228,387205756,393978368,394513908,406321208,423890160,432334000,439274248,455372056,472457524,484014016,470259716,521002228,461656592,465635756,475406128,478011264,490609804,512403588,525104240,538292120,553338704,562054316,566363608,573412808,584714264,588908196,596356232,605048904,623245892,637107368,641489024,646163408,651012916,662557780,673835092,695457612,695330380,705452604,708845156,712760648,716249916,706138640,710541836,738268608,754121748,779303512,794440120,807594116,811951420,830728796,842294236,857806828,873893136,881384892,884059791,897553867,910212823
