GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "13000","Georgia",5,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted) ","Thousands of dollars",199451457,203226101,207722997,210775497,214987614,216441182,219232710,224212846,230827767,235049911,238568395,242020967,245678884,248665124,249460260,251165688,251952916,255762892,256691732,259501152,261333640,263676044,267117392,270364136,273150336,278791148,282734552,287173552,290178232,295105308,298033252,305022968,310350932,314743840,317923988,323176552,331072692,332370824,330944520,331066616,330065776,343183404,335265708,332515144,327068428,330977392,329427864,329161852,331316056,335367400,339276936,343721800,356103576,358588564,363317596,363815252,365253476,367155780,365982852,377768856,369561688,373655304,375133132,378148132,387780036,395767000,402050512,408745300,416321308,421557888,426016368,429072488,436179752,437513708,441961512,448501252,458937500,464170336,469167208,478094848,481213428,487312140,495935812,499890432,510356364,515145456,518344964,522361700,525144872,573280611,558865814,551704119,632670980,593334287,595603217,602845888,602637016,615477529,622615475,629481932,634164157,644242703,648975440,657387112,668463948
 "13000","Georgia",5,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),9678771,9700537,9725481,9750167,9772077,9793726,9819220,9845778,9870410,9894281,9917901,9938298,9954477,9971035,9993650,10019768,10042792,10065546,10093629,10124144,10150518,10177221,10208549,10241670,10271617,10302041,10333349,10362782,10388677,10414326,10442894,10470708,10494391,10519160,10547704,10576978,10602285,10628640,10656139,10681403,10702160,10722136,10740978,10756957,10766024,10781296,10806947,10837456,10864787,10896355,10928658,10958607,10985896,11014136,11045543,11076803,11105286
 "13000","Georgia",5,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),34231,34572,34885,35253,36441,36614,37001,36951,37005,37108,36901,38011,37125,37474,37537,37740,38613,39319,39832,40373,41015,41422,41731,41895,42465,42469,42770,43280,44177,44570,44927,45660,45854,46326,47018,47262,48136,48468,48643,48904,49069,53467,52031,51288,58766,55034,55113,55626,55467,56485,56971,57442,57725,58492,58755,59348,60193
 "13000","Georgia",5,SQINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",157196917,160366329,165077157,168686081,173017162,174680950,176983982,181781794,187042515,189311567,191515735,193389479,196767912,198640440,200391748,201034948,200478056,203599888,204150248,205989700,207290460,209486444,212208404,215359732,217911656,222558152,226338988,227798340,230330792,232684540,234684544,240228808,243370844,245695512,247691824,252548152,257335016,254393176,252261472,251709664,250023136,250208004,250217228,248861020,241297856,243805696,243784532,244050476,243361272,246607796,249104940,251191504,256322596,256554660,260401324,258170460,263261248,264449636,264528708,270123124,272224164,275326180,275100600,277782000,285715948,289374976,293347712,298351140,304392872,308530564,312763264,314977292,321074144,321025096,323801376,328352284,335478980,337617520,341285632,349380440,350592228,354774388,361601032,362368308,370634712,373318508,375893792,379573660,380442136,357747255,381084458,390369951,394130380,409031811,417590441,424749704,428186600,438001109,445041875,451541564,451592697,461302536,467173017,474044606,481137844
 "13000","Georgia",5,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",16257488,16589236,17090364,17418188,17768004,17982328,18186652,18665800,19175848,19250100,19477496,19623932,19919864,20107296,20260608,20314568,20378560,20687076,20645224,20674256,20821400,20993192,21304316,21755372,22424276,22971296,23438380,23482200,23657652,23793840,24009900,24751172,25151132,25381024,25502624,25853376,26165884,26067448,26163956,26395600,27018248,27246144,27475228,27441468,26466192,26667796,26531664,26452892,26784536,27010636,27090016,27151128,24900700,24718080,24989696,24697300,25380988,25584520,25689184,26275916,29899552,30272512,30242808,30553004,31215656,31460472,31843420,32379312,32754844,33212544,33611220,33843628,34422392,34362448,34600100,35024340,35592640,35762400,36175636,37046880,37459020,37994292,38841168,38989296,39902628,40238488,40433612,40821700,41505496,39710356,41359104,42446572,43343100,44477672,45592776,46975968,48278276,49381716,50179532,50709424,51043385,52170552,52726369,53369918,54494033
 "13000","Georgia",5,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",8522484,8697156,8963424,9138904,9349564,9461920,9566260,9814080,10071192,10115580,10222604,10287836,10435740,10534784,10616096,10637892,10698396,10864388,10869016,10926536,11010196,11092436,11214232,11371192,11576152,11780984,11981560,12015000,12206748,12327560,12456716,12874520,13142216,13282800,13355160,13545748,13798860,13774264,13830880,13939436,14299140,14413976,14511556,14483264,14005360,14093060,14033868,14003788,14141388,14263680,14318972,14346996,11605212,11519860,11643896,11556812,11800032,11922736,11987256,12233224,15814332,16012436,16001612,16153880,16601488,16731276,16922888,17185616,17456036,17691320,17889188,17996168,18431120,18391904,18510240,18751080,19199412,19314992,19543416,20001088,20441464,20727184,21170820,21240928,21809012,21988616,22108124,22312328,22834512,21782816,22679604,23307448,23831856,24415736,25011112,25720256,26661628,27307140,27681468,27983840,28002980,28611038,28891087,29258484,29943810
 "13000","Georgia",5,SQINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",7735004,7892080,8126940,8279284,8418440,8520408,8620392,8851720,9104656,9134520,9254892,9336096,9484124,9572512,9644512,9676676,9680164,9822688,9776208,9747720,9811204,9900756,10090084,10384180,10848124,11190312,11456820,11467200,11450904,11466280,11553184,11876652,12008916,12098224,12147464,12307628,12367024,12293184,12333076,12456164,12719108,12832168,12963672,12958204,12460832,12574736,12497796,12449104,12643148,12746956,12771044,12804132,13295488,13198220,13345800,13140488,13580956,13661784,13701928,14042692,14085220,14260076,14241196,14399124,14614168,14729196,14920532,15193696,15298808,15521224,15722032,15847460,15991272,15970544,16089860,16273260,16393228,16447408,16632220,17045792,17017556,17267108,17670348,17748368,18093616,18249872,18325488,18509372,18670984,17927540,18679500,19139124,19511244,20061936,20581664,21255712,21616648,22074576,22498064,22725584,23040405,23559514,23835282,24111434,24550223
 "13000","Georgia",5,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-548132,-556196,-612448,-624196,-584176,-583944,-593028,-638328,-722600,-729972,-728664,-748380,-752044,-772808,-793744,-788268,-815032,-829316,-818772,-822968,-840804,-840676,-843736,-836040,-791036,-797532,-802904,-803856,-739724,-761908,-759268,-867440,-766004,-770576,-791072,-823884,-813920,-799084,-781584,-715700,-687664,-685860,-688316,-715028,-908284,-951340,-946352,-889828,-939224,-927152,-944124,-979840,-1204628,-1166020,-1197220,-1159656,-1323656,-1326124,-1327500,-1372924,-1476888,-1528676,-1507512,-1538972,-1545032,-1573800,-1625896,-1663856,-1590728,-1613820,-1638320,-1653584,-1853056,-1819228,-1821740,-1854856,-1673772,-1669996,-1699524,-1766488,-1554980,-1600292,-1659396,-1613892,-1432996,-1467040,-1469712,-1480252,-1603368,-1501188,-1571196,-1625448,-1759720,-1803256,-1860044,-1944372,-1841600,-1997724,-1940956,-1990012,-1826599,-1994604,-1967515,-2093553,-2112469
 "13000","Georgia",5,SQINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",140391297,143220897,147374345,150643697,154664982,156114678,158204302,162477666,167144067,169331495,171309575,173017167,176096004,177760336,179337396,179932112,179284464,182083496,182686252,184492476,185628256,187652576,190060352,192768320,194696344,198789324,202097704,203512284,205933416,208128792,209915376,214610196,217453708,219543912,221398128,225870892,230355212,227526644,225315932,224598364,222317224,222276000,222053684,220704524,213923380,216186560,216306516,216707756,215637512,218670008,221070800,223060536,230217268,230670560,234214408,232313504,236556604,237538992,237512024,242474284,240847724,243524992,243350280,245690024,252955260,256340704,259878396,264307972,270047300,273704200,277513724,279480080,284798696,284843420,287379536,291473088,298212568,300185124,303410472,310567072,311578228,315179804,321100468,321765120,329299088,331612980,333990468,337271708,337333272,316535711,338154158,346297931,349027560,362750883,370137621,375829364,378066724,386621669,392921387,398842128,398722713,407137380,412479133,418581135,424531342
 "13000","Georgia",5,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",36586016,37434868,37692568,37187200,36851308,36671956,36959852,37295692,38704344,39908424,41010480,42346800,42179124,42474480,42176728,41018808,41047644,41445064,41569968,42297604,43533400,43253456,43768792,44460816,44396420,44570712,44754764,47460044,46639632,48502424,49041780,51079692,51919176,54272960,54709136,55105940,56458968,60338976,61026536,61217724,61797260,61376376,62807104,61990928,59608712,57286528,55646468,54846960,54437912,55277204,55753004,57873848,61522596,63102568,64215636,65912200,64768024,65617064,64068240,70461300,62795968,63569512,64883980,65338176,66793124,69878700,71526652,73117476,74120480,74905312,75261120,75935260,76686096,77274356,78583020,80366856,83359532,86197372,87238912,88021900,88517760,90219432,91916072,94486488,94881116,96369132,96752564,97172492,97376092,95809220,96663916,101383668,104535452,108817728,111075620,112526832,111921868,113968516,115178372,117267896,119661924,120776269,121176082,123175864,125064238
