GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "16000","Idaho",7,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted) ","Thousands of dollars",27982902,28287854,28619598,29102006,29712721,29803217,30199137,31005437,31767000,32592960,32797288,33510760,33831356,34212752,34084232,34109128,34603560,34904256,35391284,35956336,35839560,36075428,36683736,37221004,38345244,39197276,39571100,40433132,40518496,41308484,42069316,43002380,44730664,45906540,45981992,46931552,48354956,48803596,48830252,49425232,49636220,51479928,50185800,49327504,48825236,48427964,48185188,48556832,49003456,49814740,50618100,51371260,52440332,52798212,53402244,53665396,54569736,55208572,55400004,57700960,56645128,57713248,58285400,58518796,59372960,60615428,61186188,62413380,63820956,64183644,65020212,65232416,66194696,67013872,67780308,68187392,69637532,71024560,71948828,73279544,74917084,75900032,76886624,78414548,81013496,82426488,83735984,84901672,87372252,94020408,91934127,94227349,107172582,99983515,101034077,104265766,106220835,108758846,111239235,112884532,114738102,114709955,116142807,117407174,119890932
 "16000","Idaho",7,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1565685,1569443,1573408,1577433,1580922,1584553,1588389,1591965,1595105,1598296,1602566,1607415,1611447,1615702,1620980,1626832,1632063,1637383,1643277,1649195,1654306,1659581,1666854,1675531,1683577,1691781,1701075,1710916,1720014,1729194,1738607,1747557,1755745,1764211,1773808,1783951,1793374,1803013,1813497,1824228,1834172,1844077,1856498,1870511,1883206,1897258,1909082,1917614,1925556,1934398,1942361,1948913,1954974,1961359,1968284,1975178,1981502
 "16000","Idaho",7,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),31298,31740,32171,32566,33171,33321,33620,33710,34211,34542,34570,35897,35152,35720,35957,35971,36379,37020,37234,37845,38579,38675,39008,38932,39318,39611,39846,39854,40487,41074,41383,41933,42670,43022,43346,43956,45174,45716,46174,46541,47636,50985,49520,50375,56910,52699,52923,54373,55164,56224,57270,57922,58690,58485,59007,59441,60505
 "16000","Idaho",7,SQINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",20255446,20446034,20734130,21241950,21870845,21988177,22329137,23041149,23720768,24342292,24275428,24876412,24880892,25085436,25110720,25001824,25505744,25667840,26146076,26551880,26137144,26253136,26616948,26866980,27772920,28424576,28734724,29163652,29342884,29779344,30491784,31009452,32349016,33102584,32996972,33972748,35050156,34874472,34654452,35099424,34934388,34975992,34611976,34125376,33455324,32820120,32974888,33405068,33275100,33891852,34338648,34694176,34907244,35027324,35481556,35321132,35745428,35844912,36310140,36900180,37840716,38734612,38933728,39187400,39781396,40268332,40451688,41355888,42367628,42346748,42958212,42890200,43524988,44167540,44729104,44783864,45736292,46860780,47527972,48700552,49913636,50486716,50980780,51924308,53466296,54264176,55300924,56169920,57996244,55083528,60167859,62607269,62554546,64078883,65063441,67632190,68971811,69789106,71441415,72166212,73224944,73274992,74766965,75521369,76771538
 "16000","Idaho",7,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",2446028,2466816,2491924,2527576,2567320,2581448,2616224,2698320,2801224,2848004,2834456,2904920,2895772,2906408,2892660,2880448,2942376,2967936,3007888,3047344,3094340,3096628,3135220,3160060,3244580,3312060,3363124,3407920,3518808,3561892,3650908,3717516,3894192,3995116,3983664,4117920,4173620,4183560,4176132,4240020,4224696,4244016,4233148,4201432,4121484,4101792,4141112,4175608,4277300,4325008,4337344,4329528,3951596,3930988,3956484,3946412,4006244,4037108,4066612,4076688,4591072,4644768,4656236,4720480,4805664,4806704,4848880,4960848,5034368,5039732,5101844,5110672,5207892,5324540,5378452,5391004,5522308,5655276,5741928,5859756,5954728,6014668,6080480,6178316,6230336,6323460,6448052,6569596,6819832,6783192,7033672,7230700,7359288,7445368,7592368,7884752,8109196,8264840,8510460,8593920,8817018,8856162,9014014,9082222,9314742
 "16000","Idaho",7,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",1161500,1172360,1185776,1206640,1233412,1243180,1261656,1301948,1347608,1371752,1364140,1400456,1398560,1408260,1404300,1399596,1436108,1445784,1466104,1486364,1504804,1506872,1528344,1544124,1587784,1625816,1653104,1677628,1735716,1756452,1797600,1826000,1920868,1971752,1963604,2032392,2072444,2083612,2085088,2118852,2124652,2140796,2136680,2122612,2089240,2069316,2075332,2070512,2082460,2086212,2090408,2096204,1690776,1701248,1725792,1734140,1750104,1766340,1780152,1777112,2293212,2323140,2337424,2378780,2445704,2454764,2480052,2539092,2587352,2588072,2619076,2622668,2689748,2748892,2774404,2775616,2857192,2927476,2979308,3051008,3155876,3201928,3241080,3296432,3331236,3379408,3446980,3510292,3668552,3643596,3781580,3902304,3984628,4028992,4105400,4257232,4418864,4504388,4629732,4675076,4778329,4791962,4871260,4906573,5042624
 "16000","Idaho",7,SQINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",1284528,1294456,1306148,1320936,1333908,1338268,1354568,1396372,1453616,1476252,1470316,1504464,1497212,1498148,1488360,1480852,1506268,1522152,1541784,1560980,1589536,1589756,1606876,1615936,1656796,1686244,1710020,1730292,1783092,1805440,1853308,1891516,1973324,2023364,2020060,2085528,2101176,2099948,2091044,2121168,2100044,2103220,2096468,2078820,2032244,2032476,2065780,2105096,2194840,2238796,2246936,2233324,2260820,2229740,2230692,2212272,2256140,2270768,2286460,2299576,2297860,2321628,2318812,2341700,2359960,2351940,2368828,2421756,2447016,2451660,2482768,2488004,2518144,2575648,2604048,2615388,2665116,2727800,2762620,2808748,2798852,2812740,2839400,2881884,2899100,2944052,3001072,3059304,3151280,3139596,3252092,3328396,3374660,3416376,3486968,3627520,3690332,3760452,3880728,3918844,4038689,4064200,4142754,4175649,4272118
 "16000","Idaho",7,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",433608,441536,451408,456408,499504,495372,514040,532188,539416,518316,520080,519180,515104,526756,509064,513736,497976,500220,501144,502704,493712,510092,522124,519936,504188,521596,523592,529664,504528,509636,511180,526660,482024,477052,496488,498332,480896,502880,520616,535608,551368,555124,571780,566956,653396,661628,649900,653144,707796,719516,730348,737288,854636,860724,872904,890584,1079140,1094908,1101316,1117020,1117736,1122344,1135356,1139288,1203888,1218548,1247276,1262976,1201380,1220892,1232780,1232868,1277652,1268068,1276260,1316004,1310164,1324612,1347800,1375892,1357736,1369116,1405648,1408464,1606660,1606972,1619932,1660120,1710908,1604544,1681384,1723648,1713140,1774076,1808648,1847884,2008564,2021192,2072168,2094032,2140315,2199083,2227255,2266602,2278187
 "16000","Idaho",7,SQINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",18243026,18420754,18693614,19170782,19803029,19902101,20226953,20875017,21458960,22012604,21961052,22490672,22500224,22705784,22727124,22635112,23061344,23200124,23639332,24007240,23536516,23666600,24003852,24226856,25032528,25634112,25895192,26285396,26328604,26727088,27352056,27818596,28936848,29584520,29509796,30353160,31357432,31193792,30998936,31395012,31261060,31287100,30950608,30490900,29987236,29379956,29483676,29882604,29705596,30286360,30731652,31101936,31810284,31957060,32397976,32265304,32818324,32902712,33344844,33940512,34367380,35212188,35412848,35606208,36179620,36680176,36850084,37658016,38534640,38527908,39089148,39012396,39594748,40111068,40626912,40708864,41524148,42530116,43133844,44216688,45316644,45841164,46305948,47154456,48842620,49547688,50472804,51260444,52887320,49904880,54815571,57100217,56908398,58407591,59279721,61595322,62871179,63545458,65003123,65666324,66548241,66617913,67980206,68705749,69734983
 "16000","Idaho",7,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",6180120,6287928,6325884,6276448,6155324,6111448,6123784,6230328,6307924,6453964,6644952,6759172,6835956,6865040,6812068,6632624,6589604,6680744,6713844,6860748,7096664,7082196,7279356,7580104,7747628,7880332,7923716,8276572,8127820,8406312,8496620,8929416,9225116,9648348,9714196,9752820,9850044,10417388,10512536,10560792,10720396,10638032,10817276,10554664,10056000,9555728,9232236,9122848,9210672,9422776,9505776,9845064,10286320,10516352,10743124,11153644,11512824,11844644,11629472,13164108,11603368,11781740,12038596,12035436,12186736,12624208,12865140,13162888,13452664,13698612,13822908,14002420,14266872,14368860,14524852,14699740,15121400,15443668,15519200,15606880,15785788,16115468,16459768,16923260,17298648,17726668,17972676,18294040,18758788,18467508,18706868,19778408,20359344,21333192,22052140,22850244,23528948,24626640,25305700,26036420,26703212,27021496,27115988,27661027,28224173
