GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "17000","Illinois",3,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted) ","Thousands of dollars",358178280,365013936,370064844,373119268,377068627,380304619,382152187,390895643,401681753,407191109,415808933,420201633,427486732,427319588,427397772,426525392,427538268,433070964,432641156,436276204,433453820,438181300,442809240,447476112,448231124,454903292,459921872,468280808,466743272,471512664,478136272,486192672,497363292,504843672,508168412,513711212,525483652,533160280,536840048,544926272,545112928,560211228,552917468,546397304,527026676,525915968,522338880,527894232,529349736,538185248,545314644,550674104,564318204,566496956,570617840,571488392,586996632,591789652,588521888,607948600,598948848,604932032,607600324,611245072,618719776,626261056,631971020,640907992,649016808,655103480,661013648,663187036,661880492,662012920,663848392,671005424,674597908,681638116,689081460,697213420,711311988,720367156,726307392,732759760,737718544,738398632,743427792,747323956,753750636,807292034,796364498,792543968,884235116,841403045,843833409,844612206,837904099,845526415,856011566,865530276,879000826,888700212,893423227,903217928,911804139
 "17000","Illinois",3,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),12827357,12838332,12853532,12867430,12876946,12886598,12898799,12909366,12916724,12923613,12934847,12945928,12950736,12956447,12963752,12968587,12968823,12969125,12972203,12973667,12969096,12965334,12964384,12961883,12954818,12948532,12945952,12943039,12934957,12926815,12922056,12915528,12903272,12892583,12885785,12878415,12865752,12854416,12846125,12836448,12820861,12800862,12779683,12756242,12724172,12700342,12678527,12651385,12619985,12594064,12579758,12572564,12561924,12552942,12548067,12542972,12533676
 "17000","Illinois",3,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),41267,41920,42425,42796,43824,43960,44238,44269,45445,45791,45499,46961,46248,46690,46869,47133,47708,48289,48717,49401,50043,50527,50987,51164,51091,51126,51278,51843,52153,52731,53326,53983,55126,55875,56365,56898,57340,57443,57872,58219,58791,63065,62315,62130,69493,66250,66556,66760,66395,67137,68047,68843,69973,70796,71200,72010,72748
 "17000","Illinois",3,SQINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",272398356,278247788,283660000,288161992,293474267,297432559,297799963,305042459,314156125,316022085,322232145,325265501,332564676,331738160,333585704,333907652,335175252,339632724,339154492,341491152,338129620,343663620,347392248,351529172,351580980,357646032,363264408,366488804,365589484,367500872,372196600,375441244,386032816,388969608,391016008,397029352,404529272,406417452,406585076,413547360,412131676,412288488,412477120,408982776,389183260,386815936,386565552,391449700,388811988,397247328,403047312,405757860,414674568,416686140,421656296,418410088,433066684,434056404,433496380,441806832,449482884,453642320,453649728,456479152,462024944,464071856,465936176,471930748,476984044,479049852,486152756,486898756,486645320,486563496,486864592,493986756,493962392,498565516,504091796,509216124,518514820,523578188,527248620,532240228,538442488,538024980,543469576,545605608,548962936,515868606,544020774,557010540,560093544,579136149,588379121,602044098,596911279,601056459,612380146,615898700,626351918,633433850,636566940,644171817,646237245
 "17000","Illinois",3,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",28669964,29197416,29667732,29999172,30440816,30758048,30651016,31276616,32025232,32011516,32580308,32735656,33302468,33044160,33075748,33137520,33364400,33843464,33763144,33882056,33913996,34435800,34770584,35199840,35717124,36328936,37076164,37402744,38257268,38480740,38922592,39172056,40152096,40337064,40418972,40946420,41876776,42141900,42179604,42965308,43037676,43052264,43195876,42890388,41298784,41147248,40967292,41148316,41166028,41780152,42103628,42179460,39100844,39187168,39563656,39340752,40600972,40770464,40921296,41755788,46625920,47051388,47068160,47556892,48367644,48339652,48498936,48909324,49556232,49628488,50370792,50427944,50731264,50818284,50851368,51561140,51946728,52383452,52930152,53383968,54481056,54995504,55291952,55585716,56593888,56611416,56809576,57075152,57718040,55318900,56836388,57497676,58320200,59223064,60345984,62826364,64602796,65211780,66507560,66854640,68089624,68821112,68975812,69738350,70609898
 "17000","Illinois",3,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",14586592,14858388,15090892,15267528,15533940,15702248,15650724,15964720,16322260,16322628,16615988,16705452,17002404,16883824,16921304,16951988,17093036,17344488,17295772,17365868,17313424,17557772,17701396,17878456,18068668,18310324,18600204,18683276,19051972,19111348,19297236,19435316,20124056,20308924,20419072,20710984,21310696,21493212,21564452,22008092,22208368,22288688,22409304,22329344,21618968,21568428,21500800,21597924,21493948,21756328,21896308,21864120,17781632,17769528,17855572,17711036,18000528,18044072,18142856,18535664,23798540,24131928,24242676,24521380,25097832,25102168,25175536,25394744,25858344,25905436,26288244,26330076,26675144,26741140,26737656,27107744,27491796,27720972,28007272,28197556,29096588,29379048,29548912,29720956,30426844,30480456,30638136,30732980,31249992,29908800,30717008,31188112,31778148,32241880,32802416,34053224,35144940,35358184,35899360,36059132,36555679,36880493,36927198,37358408,37925902
 "17000","Illinois",3,SQINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",14083372,14339028,14576840,14731644,14906876,15055800,15000292,15311896,15702972,15688888,15964320,16030204,16300064,16160336,16154444,16185532,16271364,16498976,16467372,16516188,16600572,16878028,17069188,17321384,17648456,18018612,18475960,18719468,19205296,19369392,19625356,19736740,20028040,20028140,19999900,20235436,20566080,20648688,20615152,20957216,20829308,20763576,20786572,20561044,19679816,19578820,19466492,19550392,19672080,20023824,20207320,20315340,21319212,21417640,21708084,21629716,22600444,22726392,22778440,23220124,22827380,22919460,22825484,23035512,23269812,23237484,23323400,23514580,23697888,23723052,24082548,24097868,24056120,24077144,24113712,24453396,24454932,24662480,24922880,25186412,25384468,25616456,25743040,25864760,26167044,26130960,26171440,26342172,26468048,25410100,26119380,26309564,26542052,26981184,27543568,28773140,29457856,29853596,30608200,30795508,31533945,31940619,32048614,32379942,32683996
 "17000","Illinois",3,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-965376,-1037824,-1055920,-1077120,-1153756,-1189188,-1113360,-1128604,-1339252,-1299804,-1391852,-1487264,-1587772,-1530564,-1560960,-1566888,-1650384,-1738216,-1650224,-1637980,-1554432,-1612832,-1617840,-1591100,-1594456,-1622864,-1636632,-1677268,-1797780,-1741888,-1759944,-1786640,-1761372,-1789320,-1857800,-1923940,-2288024,-2276476,-2268968,-2388968,-1878336,-1814240,-1872904,-1524100,-2110456,-2083940,-2069568,-2111760,-2033584,-2104428,-2198744,-2226680,-2589780,-2589916,-2565800,-2541332,-2421904,-2381468,-2396196,-2453384,-2626664,-2685328,-2669176,-2729128,-2396632,-2324920,-2304292,-2355440,-2545480,-2523764,-2662640,-2580640,-2760140,-2726276,-2601876,-2712956,-3083904,-3162664,-3229920,-3198200,-3034116,-3035584,-3035052,-3002592,-3325528,-3255524,-3298152,-3203240,-3807872,-3566964,-3641884,-3557132,-3429564,-3477696,-3564872,-3913584,-4060344,-3968496,-3895492,-3996988,-3937387,-4032117,-3814999,-3983949,-3841274
 "17000","Illinois",3,SQINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",242763016,248012548,252936348,257085700,261879695,265485323,266035587,272637239,280791641,282710765,288259985,291042581,297674436,297163436,298948996,299203244,300160468,304051044,303741124,305971116,302661192,307614988,311003824,314738232,314269400,319694232,324551612,327408792,325534436,327278244,331514064,334482548,344119348,346843224,348739236,354158992,360364472,361999076,362136504,368193084,367215664,367421984,367408340,364568288,345774020,343584748,343528692,348189624,345612376,353362748,358744940,361351720,372983944,374909056,379526840,376528004,390043808,390904472,390178888,397597660,400230300,403905604,403912392,406193132,411260668,413407284,415132948,420665984,424882332,426897600,433119324,433890172,433153916,433018936,433411348,439712660,438931760,443019400,447931724,452633956,460999648,465547100,468921616,473651920,478523072,478158040,483361848,485327216,487437024,456982742,483542502,495955732,498343780,516435389,524468265,535304150,528248139,531876183,541977094,545047072,554324907,560580621,563776129,570449518,571786073
 "17000","Illinois",3,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",73969108,75395388,75619800,74360184,73276448,72982172,73820356,75463816,77519600,79875692,82138392,82986828,82620360,81813140,80375488,77184852,76402876,76761204,76628712,77413244,77417320,76448248,76947212,77897712,78158876,79016792,79416076,83786332,80546080,83252840,84408708,88499784,90637188,95240192,96285072,96814456,97261920,103065428,104400572,105585168,108115932,107893048,109922412,106951268,100872344,95531064,91961304,90907204,90840836,92570788,92469664,95554240,99757332,101784036,103148044,107204532,109323104,111632640,108385704,119708860,106608636,107696272,110098252,111279352,114552300,118966624,121397612,123475612,125216256,126402020,126469492,127099832,127657108,127524448,128160752,129022888,131680824,134021000,135757512,138500644,142813416,146755636,148857156,150785660,148453308,148233000,147335204,147845232,149210616,147861656,148990052,154364464,157759028,162668728,165094168,167097072,167480252,170913368,173298716,176970128,180034176,181334407,182097685,185058625,186714472
