GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "18000","Indiana",3,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted) ","Thousands of dollars",151247270,153860254,155582118,157397686,157791875,158869127,160412019,164790135,168464191,170677111,172949511,172037415,175730336,175739412,174917488,174531780,175448760,177384792,178507916,180333848,179757736,180920508,182589380,186564188,186594036,190668160,192340924,194750200,192696572,196010060,198448120,200841332,205688968,207903316,209397324,210505200,214079784,215912920,215594428,218092448,222930740,231765624,227164976,224547808,220524248,220026132,219506772,223577492,226019936,230107872,232451648,235522816,241306936,243587692,248121740,249908424,252037680,255465196,255872236,261763600,259907276,259726748,259531568,258973460,263036240,268030636,271120588,274448984,276386796,278907304,279960228,282288616,283599804,285917424,288576112,291007292,293618536,296531184,298964804,302847436,309044848,311080288,314274116,318109632,323508992,324980044,327413524,329644076,336630820,360300122,352708657,354786761,405677021,378547567,381406304,386046172,392836869,395493672,399827883,405932164,407109951,409901510,413248959,415587999,423725376
 "18000","Indiana",3,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),6480780,6487614,6496085,6504466,6510677,6517282,6525079,6532095,6537556,6543003,6551826,6561858,6568709,6576380,6585357,6593706,6599754,6606103,6613372,6619396,6622351,6626019,6633112,6641496,6647582,6654281,6662724,6670797,6676301,6682065,6691783,6702845,6710996,6720322,6731121,6741135,6748522,6756843,6766779,6776176,6782464,6786680,6793023,6799849,6802188,6809348,6816928,6821125,6823306,6828890,6836627,6844422,6850584,6857960,6867218,6876311,6883273
 "18000","Indiana",3,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),34875,35469,35783,36209,37063,37376,38026,38259,38552,39044,39054,39892,39567,39494,39410,39276,39855,40573,40996,41461,41735,42093,42206,42504,42662,42967,43312,43624,43979,44377,44676,45182,46051,46289,46690,47189,47938,48096,48385,48648,49633,53089,51922,52176,59639,55592,55950,56596,57573,57915,58483,59308,59427,59770,60177,60438,61559
 "18000","Indiana",3,SQINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",113480782,115562946,117119242,119417350,120368799,121679023,122812971,126623219,129347627,130098659,131278023,129460511,132367504,131908864,131820552,131309156,132111340,133806952,135140060,136552024,135643672,136864636,138156504,142251064,141727328,145421272,146916928,147486464,146217464,148743232,150587896,151456392,155083040,155759088,156137964,157364140,159697644,159787080,159293364,160521944,164428432,163780820,162627024,161430160,155200508,154247820,154617720,158658368,159014156,163240156,165325048,167275192,170331780,171945168,176085692,176285560,178781828,180400832,180634624,182579808,186245396,186499532,186666788,186143336,187912152,190453976,192057248,194134932,194749440,196914736,198130804,199815072,200438828,202258500,204583048,206689248,208548208,209463824,211071800,214408716,218958360,220142168,222391956,224974540,228148720,228780420,230784876,233039616,238540908,220508586,240090469,247790961,250106253,257424559,262094980,268572252,274942213,275964716,280878743,279367500,285226075,286333730,290718826,291603828,295554660
 "18000","Indiana",3,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",12899708,13101144,13237468,13466028,13587972,13711864,13796712,14164932,14403928,14389480,14517468,14275108,14661108,14586772,14548936,14531504,14736576,14956988,15095176,15220260,15281644,15390980,15494980,15925192,15927740,16288168,16505664,16566328,16733748,16999936,17217684,17317368,17749292,17847492,17880536,17983036,18301284,18359176,18346764,18506104,18798548,18762308,18805712,18829828,18006468,17981868,17940464,18201492,18238992,18520780,18522640,18532948,16963564,16996992,17258400,17164520,17667856,17753956,17791292,17984300,20558440,20617708,20719472,20697696,21118792,21258752,21490124,21786348,21986220,22328520,22399948,22538392,22527768,22655488,22869348,23110696,23440900,23558884,23776676,24052756,24612896,24667208,24902820,25086280,25530608,25752744,25943492,26433520,26957428,25670648,27311340,28020012,28234004,28774364,29235700,30105904,31038960,31014288,31529988,31276580,32090892,32222626,32694261,32781707,33532694
 "18000","Indiana",3,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",6714532,6821356,6892324,7006944,7093244,7152748,7193200,7384308,7494936,7497852,7565112,7444516,7662376,7635132,7624792,7617412,7753952,7864292,7935296,7996644,7988448,8032680,8087824,8320648,8315008,8507164,8611980,8634984,8722032,8852480,8955220,9006572,9313512,9387788,9412208,9458768,9665648,9706332,9702624,9786416,9983892,9974992,9996400,10014680,9608612,9587968,9581668,9737320,9735224,9887092,9893024,9894020,7982548,7997372,8113424,8097612,8282300,8334948,8357972,8414748,10915572,10935736,10991704,10960700,11240460,11310588,11420164,11564264,11721876,11898832,11933676,11999976,12082832,12150684,12261680,12394404,12655208,12731708,12848700,12988028,13440996,13465308,13579404,13673640,13963316,14083808,14194824,14442392,14811464,14075276,14988008,15425772,15606220,15925544,16199316,16680096,17355444,17365120,17628400,17494516,17868746,17923803,18172686,18223351,18684613
 "18000","Indiana",3,SQINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",6185176,6279788,6345144,6459084,6494728,6559116,6603512,6780624,6908992,6891628,6952356,6830592,6998732,6951640,6924144,6914092,6982624,7092696,7159880,7223616,7293196,7358300,7407156,7604544,7612732,7781004,7893684,7931344,8011716,8147456,8262464,8310796,8435780,8459704,8468328,8524268,8635636,8652844,8644140,8719688,8814656,8787316,8809312,8815148,8397856,8393900,8358796,8464172,8503768,8633688,8629616,8638928,8981016,8999620,9144976,9066908,9385556,9419008,9433320,9569552,9642868,9681972,9727768,9736996,9878332,9948164,10069960,10222084,10264344,10429688,10466272,10538416,10444936,10504804,10607668,10716292,10785692,10827176,10927976,11064728,11171900,11201900,11323416,11412640,11567292,11668936,11748668,11991128,12145964,11595372,12323332,12594240,12627784,12848820,13036384,13425808,13683516,13649168,13901588,13782064,14222146,14298823,14521575,14558356,14848081
 "18000","Indiana",3,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",2501676,2550032,2602796,2642168,2775636,2826720,2825152,2877096,3037472,3049468,3134540,3236416,3317912,3335600,3382860,3403344,3402012,3456936,3429720,3439596,3455544,3511840,3555924,3541004,3733556,3741448,3836464,3895116,4058156,4072440,4124196,4168532,4248520,4292580,4332632,4412516,4644484,4678608,4680268,4778088,4648304,4697528,4703744,4692016,4585956,4603048,4607416,4601584,4358212,4438092,4527380,4530500,4696692,4716352,4745832,4730064,4693880,4696852,4711072,4815472,5189560,5244452,5221420,5272732,5167348,5151020,5155460,5242140,5677544,5718544,5815984,5831776,5900552,5871864,5863060,5919608,6196248,6261944,6324364,6357624,6450200,6535212,6576916,6624788,7202924,7217668,7259912,7316372,7633440,7172192,7430728,7606024,7006816,7104764,7246692,7433824,7964488,8073108,8223472,8327676,8505586,8615776,8706161,8769339,8773483
 "18000","Indiana",3,SQINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",103082750,105011834,106484570,108593490,109556463,110793879,111841411,115335383,117981171,118758647,119895095,118421819,121024308,120657692,120654476,120180996,120776776,122306900,123474604,124771360,123817572,124985496,126217448,129866876,129533144,132874552,134247728,134815252,133541872,135815736,137494408,138307556,141582268,142204176,142590060,143793620,146040844,146106512,145626868,146793928,150278188,149716040,148525056,147292348,141779996,140869000,141284672,145058460,145133376,149157468,151329788,153272744,158064908,159664528,163573124,163851104,165807852,167343728,167554404,169410980,170876516,171126276,171168736,170718372,171960708,174346244,175722584,177590724,178440764,180304760,181546840,183108456,183811612,185474876,187576760,189498160,191303556,192166884,193619488,196713584,200795664,202010172,204066052,206513048,209821036,210245344,212101296,213922468,219216920,202010130,220209857,227376973,228879065,235754959,240105972,245900172,251867741,253023536,257572227,256418596,261640769,262726880,266730726,267591460,270795449
 "18000","Indiana",3,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",29140612,29625288,29689332,29240376,28313276,28062960,28261048,28889012,29534164,30322860,31055632,31216724,31278176,30997988,30534192,29478204,29411864,29551032,29526236,29845240,29723180,29487112,29672624,30009116,29683832,29831156,29831080,31243648,29336624,29957544,30103792,31166588,31706348,32920188,33255048,33457248,33533512,35236308,35729472,36163788,37224756,37381156,38222796,37601684,36067600,34594004,33634532,33342596,33308712,33875868,33907448,34857280,36064036,36686976,37159960,38424372,38721916,39494720,38894988,42479496,38594432,39082244,39753084,39871116,40289624,41431544,42078492,42779084,43365680,43905504,44071088,44266540,44416536,44456612,44717100,45121848,45932664,46811836,47290588,47893156,48498288,49450632,50197264,51032628,50846168,51245896,51321884,51490148,51750432,51121200,51434520,53508580,54599044,56564976,57927128,59215428,59821812,61356384,62309992,63431248,64448305,64957366,65045560,65929046,66829765
