GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "21000","Kentucky",5,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted) ","Thousands of dollars",87662605,88995521,89926101,91027977,91550074,92291198,93375254,95483338,98151967,99754191,101456579,102537555,103196672,104126544,104216484,104451488,104985252,106326544,106910632,107985020,108186976,109095684,110301980,111478820,113789288,115099008,116779996,119187988,119331432,121245824,122738884,123621804,127157552,128386296,129017036,129775496,132697924,133992504,134263932,135885388,137844948,144085084,140759432,140661232,136497896,138965868,139217744,141317432,141681456,144097444,145576724,145986612,149623588,150574676,151968932,153352388,156206392,156938912,155897856,157216448,157682656,157692192,158088884,158157768,162334380,164234960,165392176,167486908,169699216,172035524,173014496,174328292,173541196,174462944,176319508,176778676,179112524,179844556,181213108,183174064,184652792,186554500,187446684,189070364,193487520,194665388,195813024,197712852,200395160,224586102,212281928,210604014,245778626,226408911,228326240,228936747,231822711,233646428,235239293,236419120,242453986,243968651,247434726,247251409,252070633
 "21000","Kentucky",5,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),4336185,4344180,4352904,4359731,4365143,4370886,4377140,4382581,4386970,4391433,4397526,4403844,4408049,4412834,4417872,4421881,4424296,4426968,4431334,4435965,4438526,4441583,4445883,4449976,4452556,4455585,4460465,4465794,4469361,4473175,4477724,4481307,4482961,4485467,4489163,4492559,4494223,4496512,4500126,4503676,4505243,4506836,4508591,4508848,4506109,4506707,4508589,4509216,4508576,4510316,4513718,4517508,4520267,4523941,4528693,4533209,4536449
 "21000","Kentucky",5,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),32674,33170,33444,33485,34277,34449,34719,34991,35607,35738,35451,35700,35772,35735,35784,35767,36692,37099,37323,37757,38233,38733,38916,39175,38976,39156,39529,39585,40076,40205,40470,40875,41190,41591,41755,42085,43052,43293,43513,43900,44480,49832,47084,46709,54543,50238,50643,50771,51418,51803,52117,52334,53637,53928,54637,54542,55566
 "21000","Kentucky",5,SQINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",63749509,64870193,65887901,67193233,67955550,68876546,69616934,71388078,73244103,73805591,74920543,75437783,75731268,76292200,76945124,76845168,77106644,78286100,78888220,79811444,79958964,80898140,82036400,83432956,85079800,85923132,87591888,88629156,89163168,90861904,92177516,92645188,94286524,94603812,94945536,95855312,97174676,97790480,97370080,98556332,99711560,100368764,99573180,99524944,95700972,95635136,96329592,98382712,97928488,100531280,102051324,102127392,103377284,104336384,105914724,106117976,108193624,108391932,108000044,108728336,111462308,111346492,111217596,111050032,112516900,113642552,114079512,115437792,116317468,118189188,119064604,120283636,118431852,119261128,121001056,121340908,122513564,122907132,123848920,125383644,126324296,127363652,128209396,129786032,132441484,133103952,133920120,136101668,137597400,127747774,138043220,141058474,143176498,146611319,149345092,151829167,154143747,156708252,160192333,160481628,165947957,166018465,170565885,169805303,171485480
 "21000","Kentucky",5,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",7551192,7685864,7811752,7941556,8098480,8227360,8272236,8431620,8503104,8469700,8556752,8569444,8689884,8726572,8780404,8776096,8881540,9010672,9040660,9091572,9143080,9199268,9282600,9395436,9513776,9552224,9723328,9796184,9916576,10075264,10219828,10285716,10558668,10655668,10721536,10848268,11055876,11163020,11147756,11349276,11529888,11660800,11670936,11755920,11412936,11477844,11538984,11673272,11694880,11869996,11936308,11868892,10839340,10892900,11034656,11021568,11250428,11299032,11278092,11319456,12874288,12868928,12896584,12945308,13284180,13404392,13475472,13652292,13783340,14023060,14097160,14257820,14187632,14285392,14494244,14513376,14652964,14673096,14771468,14928624,15162100,15254224,15328812,15435440,15647620,15722812,15778124,16123612,16479884,15625156,16458868,16690256,16702108,16800316,17058116,17421208,17864016,18190724,18619072,18589876,19339749,19339775,19813284,19684287,20036375
 "21000","Kentucky",5,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",3788456,3853024,3906464,3957972,4029416,4085132,4107436,4199496,4252532,4264572,4327148,4351928,4427924,4460568,4492976,4481252,4525116,4593340,4616660,4654304,4678408,4712916,4766176,4830612,4891964,4917936,5009452,5054712,5133588,5221796,5298316,5335888,5521648,5581384,5621672,5686144,5818176,5880844,5870876,5971328,6081184,6150628,6144488,6186824,6024112,6046028,6066716,6120384,6088652,6168960,6211288,6194692,5008024,5060588,5135800,5153404,5208820,5222692,5209664,5202540,6729320,6721024,6734404,6746268,6956252,7013368,7038844,7111064,7197376,7308208,7341972,7423384,7450804,7506724,7626712,7641244,7773448,7804508,7870672,7967616,8207624,8270860,8306544,8356044,8479356,8510172,8544056,8730020,8987144,8495996,8904428,8988452,8932084,8919732,9023440,9199704,9543296,9745740,9975684,9966924,10323915,10303927,10565619,10494439,10707161
 "21000","Kentucky",5,SQINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",3762736,3832840,3905288,3983584,4069064,4142228,4164800,4232124,4250572,4205128,4229604,4217516,4261960,4266004,4287428,4294844,4356424,4417332,4424000,4437268,4464672,4486352,4516424,4564824,4621812,4634288,4713876,4741472,4782988,4853468,4921512,4949828,5037020,5074284,5099864,5162124,5237700,5282176,5276880,5377948,5448704,5510172,5526448,5569096,5388824,5431816,5472268,5552888,5606228,5701036,5725020,5674200,5831316,5832312,5898856,5868164,6041608,6076340,6068428,6116916,6144968,6147904,6162180,6199040,6327928,6391024,6436628,6541228,6585964,6714852,6755188,6834436,6736828,6778668,6867532,6872132,6879516,6868588,6900796,6961008,6954476,6983364,7022268,7079396,7168264,7212640,7234068,7393592,7492740,7129160,7554440,7701804,7770024,7880584,8034676,8221504,8320720,8444984,8643388,8622952,9015834,9035848,9247665,9189848,9329214
 "21000","Kentucky",5,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-159380,-188416,-210444,-191840,-234684,-271312,-282408,-298776,-236564,-270860,-303732,-367244,-394096,-436728,-477864,-465172,-484616,-506356,-494404,-540536,-689340,-715944,-772240,-753932,-931196,-877628,-926868,-962216,-1252948,-1319172,-1345152,-1323760,-1348276,-1331792,-1346116,-1394492,-1394304,-1506352,-1503548,-1587156,-1757140,-1817212,-1765896,-1815812,-1761872,-1815312,-1872756,-1951480,-2074836,-2146784,-2180680,-2144344,-2304204,-2336348,-2346020,-2376676,-2424396,-2411304,-2401192,-2340744,-2103420,-2034476,-2022824,-1991300,-1953488,-1991044,-1967868,-1997304,-1974188,-2055184,-2082872,-2114124,-1958948,-1990308,-2082548,-2022036,-2149704,-2123900,-2127336,-2163380,-2395256,-2413968,-2369108,-2446172,-2634724,-2689468,-2696560,-2794876,-3147472,-2900596,-3112332,-3197156,-3539016,-3593032,-3703984,-3764488,-3840440,-3979064,-4124724,-4086636,-4415181,-4300488,-4565373,-4428711,-4460183
 "21000","Kentucky",5,SQINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",56038937,56995913,57865705,59059837,59622386,60377874,61062290,62657682,64504435,65065031,66060059,66501095,66647288,67128900,67686856,67603900,67740488,68769072,69353156,70179336,70126544,70982928,71981560,73283588,74634828,75493280,76941692,77870756,77993644,79467468,80612536,81035712,82379580,82616352,82877884,83612552,84724496,85121108,84718776,85619900,86424532,86890752,86136348,85953212,82526164,82341980,82917852,84757960,84158772,86514500,87934336,88114156,90233740,91107136,92534048,92719732,94518800,94681596,94320760,95068136,96484600,96443088,96298188,96113424,97279232,98247116,98636172,99788196,100559940,102110944,102884572,103911692,102285272,102985428,104424264,104805496,105710896,106110136,106950116,108291640,108766940,109695460,110511476,111904420,114159140,114691672,115445436,117183180,117970044,109222022,118472020,121171062,122935374,126217971,128582992,130643471,132439291,134538464,137448537,137805116,142193027,142378202,146187228,145692305,146988922
 "21000","Kentucky",5,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",16530428,16845728,16914812,16676876,16393460,16322312,16505156,16813216,17368832,17893252,18281052,18593880,18631368,18569612,18327176,17689604,17752200,17779224,17757048,17943896,17981344,17873940,17797720,17648504,17955564,17768012,17775064,18815768,18261116,18722332,18848652,19168388,20346236,20874968,20897772,20726888,21489984,22306148,22504064,22766280,23348840,23729268,24627048,24925596,22353748,22389328,22383588,22463488,22152140,22256372,22095744,22298552,23589824,23735164,23665676,24213336,25956884,26200668,25606940,26003908,24702472,24662128,24780168,24754500,25853716,26085396,26272144,26446204,27132460,27566912,27709836,27897316,28802184,28930904,29046196,29170140,29852424,29876312,29990732,30195752,30953204,31243196,31461992,31672744,32693544,32766220,32634360,32631156,33051316,32726952,32792948,32915900,35818116,36031696,36132824,36288772,37446584,38005100,38370836,38807396,39353127,39630130,39668407,40150327,40641009
