GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "92000","Mideast",2,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted) ","Thousands of dollars",1396287838,1425726110,1440117802,1452223014,1484012853,1488181989,1511521045,1529577685,1582280500,1611533684,1637211968,1670367568,1690570720,1691940728,1702131412,1687186220,1694342820,1713253820,1716247200,1724612820,1719313276,1744008516,1764723696,1788045196,1796342416,1826139080,1857585584,1891153140,1870926912,1899403308,1928071528,1965317848,1997876832,2031807008,2048470652,2084728912,2160074376,2165383704,2174374456,2194245808,2226817220,2265167524,2249034024,2232319456,2176967008,2208887504,2203485032,2228869580,2250823816,2292103932,2301749728,2316170256,2390882760,2403565360,2424810476,2430361080,2470592916,2490052112,2486479560,2562464052,2496967324,2522164460,2529346736,2544843868,2571084212,2599407760,2633514592,2669233660,2694418020,2724177164,2747007348,2756508056,2787948476,2800223332,2824227772,2857997996,2896276168,2930241036,2965730700,3015877372,3024897760,3055951332,3095170132,3115981588,3157813664,3185031948,3193652924,3213915568,3227655312,3451427824,3420441910,3350242694,3732823786,3550585375,3552908502,3552872377,3541423364,3574087745,3621249095,3652774300,3715895296,3759943871,3804999273,3810410379,3873148841
 "92000","Mideast",2,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),48118838,48193355,48298670,48404336,48492922,48581483,48679671,48770869,48849616,48925807,49014553,49098262,49157420,49218957,49295191,49369895,49426572,49482764,49551507,49615432,49655390,49697460,49752634,49803753,49836996,49872577,49925093,49978588,50011407,50043185,50093348,50141475,50166558,50197007,50236913,50268293,50278126,50292211,50321719,50348575,50350721,50275781,50188830,50139761,50055629,50004115,49965077,49908639,49834289,49781203,49760442,49753570,49732506,49717454,49718734,49719155,49703211
 "92000","Mideast",2,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),46776,47561,47657,47850,49304,49475,49812,49832,50575,50894,50729,52191,50795,51244,51310,51546,52018,52532,53147,53798,54262,54815,55213,55347,55941,56148,56569,57184,57912,58554,59204,60147,60297,60879,61611,61987,62807,63331,63465,63833,64103,68650,68151,66818,74574,71006,71108,71188,71064,71796,72774,73417,74718,75626,76530,76639,77926
 "92000","Mideast",2,SQINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",1052667570,1078230018,1091974698,1105486618,1140830045,1145486185,1164502693,1176731153,1221440604,1238108484,1257994200,1290098596,1310461272,1308685572,1306599896,1311783708,1320396956,1332801496,1333652124,1336549668,1328244944,1357798252,1373133980,1395722808,1398876956,1425494228,1458037196,1468116916,1459793980,1475523384,1504462040,1526339676,1550906060,1562806944,1569773264,1606080884,1668245672,1646619256,1649033800,1662862592,1687477892,1676056860,1682683968,1680161856,1609906676,1642642760,1651539276,1682287824,1685306648,1725177116,1730234928,1733813468,1776619828,1781310152,1801998616,1788628292,1825284564,1834740680,1842466848,1884815108,1875566784,1900121332,1897920232,1914636124,1936035628,1942447896,1965562060,1993335456,2006821908,2028372424,2049668684,2055691168,2075199416,2082839212,2094757772,2116546648,2143505024,2162234868,2190751976,2241387344,2244856908,2267547460,2297863296,2300258192,2334835160,2349703048,2355351232,2380901240,2409475640,2216178636,2353709178,2410081818,2429971822,2474717703,2529837186,2595908857,2596109476,2613389805,2666565651,2668671620,2721817625,2753910036,2805705147,2800455652,2837183675
 "92000","Mideast",2,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",113698008,116191596,117311676,118530600,121476664,121492228,122893048,123529428,128003612,128922552,131148884,134697908,136576320,136751176,136520092,137468072,139201216,140442716,140454908,140385120,140880712,143750632,144970620,147060156,148329932,150596556,153941592,154500804,156076392,157745852,160601712,162711040,166285388,167617624,168144104,171659772,177221320,175804040,176659392,178863836,183088140,182160384,183574064,184379512,176424504,180343536,180342612,181979976,182856276,185576836,184873968,184019896,170365268,170026680,171126004,169211368,172480988,172990736,174248260,178243016,200267060,203314488,203428716,205476060,209481920,209592640,211673860,215066816,217003112,219745332,221907052,222792388,223123444,224007736,225162124,227936480,232111396,234334744,237255792,241481896,242621240,244198228,246744108,246835196,253336304,254825676,254429260,256040160,259817648,242782328,251735300,257721644,262477028,267149152,274176140,282776076,289248192,292064500,297904956,297142444,304410028,307426588,312399112,310969743,317473062
 "92000","Mideast",2,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",56636172,57967492,58578028,59197324,61132508,61168476,61973648,62157856,64306124,64758880,65746788,67632244,68675836,68663892,68583016,69030284,70081804,70728536,70753652,70786904,70830560,72445668,73109612,74242236,74737620,75896268,77644780,78065660,79019052,79959768,81454032,82540420,85010772,85670844,85913184,87725648,91322164,90308852,90769224,91742464,94353720,93634676,94399388,94842028,90917824,93110544,93224712,94119216,94100028,95505612,94976312,94533232,77177252,76916532,77459764,76661700,77339996,77774212,78463048,80286512,102707180,104432920,104480660,105412336,108037608,107800880,108699788,110327292,111771332,113138660,114205176,114600252,115730880,116302436,116901880,118322936,121392344,122650196,124302216,126683280,128524376,129441904,130811264,130817220,134900320,135735524,135500908,136224696,139040244,129832456,134253068,137465108,140179300,142101728,145603500,150301140,155259780,156916912,159962968,159639120,162584914,164236718,166654088,165865398,169662586
 "92000","Mideast",2,SQINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",57061836,58224104,58733648,59333276,60344156,60323752,60919400,61371572,63697488,64163672,65402096,67065664,67900484,68087284,67937076,68437788,69119412,69714180,69701256,69598216,70050152,71304964,71861008,72817920,73592312,74700288,76296812,76435144,77057340,77786084,79147680,80170620,81274616,81946780,82230920,83934124,85899156,85495188,85890168,87121372,88734420,88525708,89174676,89537484,85506680,87232992,87117900,87860760,88756248,90071224,89897656,89486664,93188016,93110148,93666240,92549668,95140992,95216524,95785212,97956504,97559880,98881568,98948056,100063724,101444312,101791760,102974072,104739524,105231780,106606672,107701876,108192136,107392564,107705300,108260244,109613544,110719052,111684548,112953576,114798616,114096864,114756324,115932844,116017976,118435984,119090152,118928352,119815464,120777404,112949872,117482232,120256536,122297728,125047424,128572640,132474936,133988412,135147588,137941988,137503324,141825114,143189870,145745024,145104345,147810476
 "92000","Mideast",2,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-12782224,-13058436,-13222544,-12954508,-12860984,-13125140,-13520216,-13588604,-11898904,-11688204,-11719264,-12620056,-12880692,-12628056,-12844124,-12866392,-14283248,-14613368,-14567912,-14863396,-15152824,-15795648,-15879828,-16148368,-17256200,-17637324,-17980884,-18128472,-18875600,-19250300,-19636272,-19934692,-21897560,-22141080,-22379072,-22960236,-25044596,-24743328,-25314256,-25472080,-28559496,-27961372,-28178560,-28407480,-24030476,-25044292,-25199920,-25582844,-27911260,-28867056,-28739384,-29019168,-31341144,-31358524,-31765496,-31348196,-32672968,-32763084,-32940408,-33571976,-31094304,-31488732,-31383336,-32043288,-33691500,-33854448,-34400300,-34913876,-34600356,-35094264,-35433776,-35633936,-35656080,-36040784,-36129596,-36610836,-38463008,-38700932,-39553564,-40516676,-40355284,-41033404,-41731676,-41644788,-43025716,-43452196,-43426020,-43985860,-48039320,-44646420,-46236732,-47682040,-47144676,-47524416,-48764708,-50171224,-51826972,-51917732,-52623520,-52463788,-53565814,-54666654,-55621240,-55152207,-55944527
 "92000","Mideast",2,SQINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",926187338,948979986,961440478,974001510,1006492397,1010868817,1028089429,1039613121,1081538088,1097497728,1115126052,1142780632,1161004260,1159306340,1157235680,1161449244,1166912492,1177745412,1178629304,1181301152,1172211408,1198251972,1212283532,1232514284,1233290824,1257260348,1286114720,1295487640,1284841988,1298527232,1324224056,1343693944,1362723112,1373048240,1379250088,1411460876,1465979756,1446071888,1447060152,1458526676,1475830256,1465935104,1470931344,1467374864,1409451696,1437254932,1445996744,1474725004,1474539112,1510733224,1516621576,1520774404,1574913416,1579924948,1599107116,1588068728,1620130608,1628986860,1635278180,1673000116,1644205420,1665318112,1663108180,1677116776,1692862208,1699000808,1719487900,1743354764,1755218440,1773532828,1792327856,1797264844,1816419892,1822790692,1833466052,1851999332,1872930620,1889199192,1913942620,1959388772,1961880384,1982315828,2009387512,2011778208,2038473140,2051425176,2057495952,2080875220,2101618672,1928749888,2055737146,2104678134,2120350118,2160044135,2206896338,2262961557,2255034312,2269407573,2316037175,2319065388,2363841783,2391816794,2437684795,2434333702,2463766086
 "92000","Mideast",2,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",272984212,278209876,279798792,276761732,273216088,272822980,275929636,279872384,287762136,295922600,301905428,307042908,306339292,304003372,298480848,286233988,281047052,282641664,282606224,286286228,287884932,284585608,286978928,290175204,289990376,292711068,294650328,315137812,301696496,313353644,318438164,333900808,338723848,357726096,362521712,366820376,375673556,402817564,408232188,411138156,420704980,416739144,424176044,412960404,397294812,378268500,363994724,358228304,363787220,367680992,366777036,376155040,393338716,400158920,405693016,419677676,431411636,440743828,430706284,468131892,429039400,431381696,437990388,439619904,448058024,462199492,469795552,477262100,484824532,489406968,490714720,494545076,500991124,503401428,509941888,518332120,531004912,544067052,549437152,554667300,558401488,569318332,579118016,593822660,593209144,599397556,597983556,595462040,587827092,576728720,577490888,596319512,613180548,631941992,641192804,647219560,646119616,655651068,661952824,672757128,685115472,690461721,693445635,703587683,712054190
