GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "27000","Minnesota",4,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted) ","Thousands of dollars",137257840,139411620,141110692,143296388,144538365,146088201,147545125,151333229,155104317,158112345,161385465,163779561,166361776,167077056,165835504,166761724,167529112,169122428,170757784,172931336,174386152,176933384,179599528,180529944,184937076,186845820,188666124,194250616,190132736,192026328,195488588,196687604,200409732,203060776,203512836,206014588,211614408,215581020,215409520,218136720,223770560,227867200,227407620,223088436,216236420,216058044,215052640,217994624,218920020,223780648,227854304,233331432,238014152,241184192,243296860,243902848,251265288,254129248,254006808,262309580,254456168,256456528,259306972,259811448,262836300,268506800,273029368,276388352,280664988,281721388,283810152,285755668,285525640,286446116,290627320,292867448,299012472,299999936,301336072,306647480,310721540,315423312,319595868,324518416,325680840,327177124,330831808,332772752,335185056,363646636,349713935,351004049,393111979,378261486,376788451,378994592,384267704,390676326,398583470,400748580,406832215,410593913,414812793,417431007,423392898
 "27000","Minnesota",4,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),5300857,5307953,5318002,5328809,5337772,5347221,5357629,5367133,5375286,5383634,5394585,5406222,5415132,5424801,5436356,5448034,5457719,5467795,5478936,5489144,5496706,5504949,5516232,5528594,5538990,5550038,5563173,5576492,5587528,5598872,5611779,5623914,5633506,5644139,5655489,5665523,5673209,5681787,5690986,5698883,5704095,5708205,5712270,5714644,5713158,5715834,5718208,5716886,5713836,5713786,5717770,5723863,5728575,5734473,5741033,5746504,5751471
 "27000","Minnesota",4,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),41299,42160,42846,43787,44591,45105,45411,45444,46745,47204,47086,48520,46990,47275,47699,47689,48159,49107,49833,50352,51061,51176,51450,51687,51548,51612,52241,52518,53514,53582,53697,54526,55156,55885,56511,57280,57407,57583,58133,58393,58762,63706,61222,61422,68808,66178,65893,66294,67252,68374,69710,70014,71018,71601,72254,72641,73615
 "27000","Minnesota",4,SQINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",107698524,109240168,110720140,113133580,114498173,116162773,117118181,120630941,123705053,125649993,128149997,129891257,131945056,131817544,131019228,131935548,133191860,134191404,135731328,137259148,137860936,140467804,142815224,143238848,147334252,149371192,151380216,155633240,152781056,153316524,156963312,156542628,158702156,159628504,159039020,160841876,165667120,167769928,166488904,168665788,172940476,171100348,173345892,170452644,162046612,161708188,161613612,164899764,163797704,167696932,171181124,175592628,176992252,179968060,181058868,179956396,187037912,188336840,189385260,192988536,192344484,194325908,195692508,195077668,197420860,200329176,203095272,204927472,208339092,208798976,210768144,212157716,211117032,210949016,215203008,216909000,222361724,222204716,222121980,226896372,229029632,231827656,234706992,237399952,237385620,238333548,241844984,244885588,246376244,232834848,244557259,253459533,253291527,264448790,266635459,269356036,273622748,278403846,286795470,285740592,289522400,291487472,296501509,298641209,301106490
 "27000","Minnesota",4,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",12457232,12612784,12762332,13013676,13293200,13480136,13561716,13942908,14253412,14370380,14656544,14818824,15119380,15053960,14918124,15045876,15129828,15277188,15435416,15573784,15714724,15987052,16225088,16219684,16558140,16743084,17003576,17462644,17375108,17473352,17950400,17962232,18445464,18619180,18510220,18660304,19189584,19399716,19242148,19469580,19903552,19711492,20148456,19970004,19255800,19300944,19177736,19339232,19264976,19465244,19622248,19980996,18129572,18383400,18438436,18333572,18763088,18901804,19067560,19522548,22063064,22367952,22603832,22661720,22891952,22974936,23233652,23367844,23804284,23841328,23983700,24120320,24330620,24343772,24806368,25003832,25628840,25543716,25532604,26068216,26526280,26856980,27205292,27287272,27619568,27800244,27997048,28351304,28539736,27467836,28122492,28897984,29033136,29896376,30190108,30880936,31561928,32119196,33081252,32953620,33501946,33750927,34293946,34556733,35222667
 "27000","Minnesota",4,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",6352348,6437372,6515572,6655292,6820144,6924448,6966196,7157392,7296512,7356932,7496936,7582940,7749288,7727784,7664892,7734980,7813372,7877368,7950440,8007024,8027488,8146520,8264816,8257824,8435032,8532844,8659076,8892392,8855332,8889052,9121768,9121476,9435668,9535144,9490940,9561748,9882404,10014368,9937028,10055228,10332176,10231656,10471608,10373268,10036020,10048876,9991368,10074780,9989716,10077884,10150912,10334992,8229092,8338656,8349768,8323400,8458972,8529768,8610304,8779956,11296008,11441840,11580724,11628208,11863324,11946188,12104236,12178264,12461532,12473316,12540192,12613776,12825352,12827008,13068032,13159392,13563000,13515368,13488508,13752248,14148000,14323036,14496060,14544244,14800780,14896936,15002380,15177164,15351836,14740392,15115776,15607444,15770364,16283076,16458668,16827164,17352956,17661916,18163220,18083660,18302083,18411017,18700135,18831840,19240149
 "27000","Minnesota",4,SQINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",6104884,6175412,6246760,6358384,6473056,6555688,6595520,6785516,6956900,7013448,7159608,7235884,7370092,7326176,7253232,7310896,7316456,7399820,7484976,7566760,7687236,7840532,7960272,7961860,8123108,8210240,8344500,8570252,8519776,8584300,8828632,8840756,9009796,9084036,9019280,9098556,9307180,9385348,9305120,9414352,9571376,9479836,9676848,9596736,9219780,9252068,9186368,9264452,9275260,9387360,9471336,9646004,9900480,10044744,10088668,10010172,10304116,10372036,10457256,10742592,10767056,10926112,11023108,11033512,11028628,11028748,11129416,11189580,11342752,11368012,11443508,11506544,11505268,11516764,11738336,11844440,12065840,12028348,12044096,12315968,12378280,12533944,12709232,12743028,12818788,12903308,12994668,13174140,13187900,12727444,13006716,13290540,13262772,13613300,13731440,14053772,14208972,14457280,14918032,14869960,15199863,15339910,15593811,15724893,15982518
 "27000","Minnesota",4,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-826484,-840356,-848160,-873860,-929852,-941268,-945532,-988144,-988124,-1018500,-1054564,-1085848,-1116536,-1091316,-1058620,-1069104,-1102772,-1101060,-1120924,-1126468,-1154180,-1184128,-1208228,-1177468,-1229964,-1235164,-1249936,-1322116,-1315076,-1301876,-1351384,-1317704,-1291820,-1284680,-1262092,-1265312,-1369736,-1423472,-1387332,-1392104,-1465176,-1401648,-1447232,-1372212,-1174056,-1150908,-1113132,-1153088,-1065396,-1078832,-1106104,-1172580,-1179868,-1206028,-1131900,-1052892,-963780,-902332,-913812,-928900,-900952,-887580,-891108,-878636,-924308,-906472,-934896,-915876,-922192,-1003628,-1058244,-1112152,-1133744,-1160232,-1227776,-1267904,-1366304,-1318428,-1295000,-1365744,-1299848,-1327500,-1332344,-1318616,-1454700,-1466912,-1512224,-1545028,-1473960,-1410688,-1522288,-1635340,-1609140,-1742112,-1718476,-1743508,-1779204,-1836592,-1885320,-1830936,-1821693,-1828956,-1861101,-1852478,-1873946
 "27000","Minnesota",4,SQINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",94414808,95787028,97109648,99246044,100275121,101741369,102610933,105699889,108463517,110261113,112438889,113986585,115709140,115672268,115042484,115820568,116959260,117813156,119174988,120558896,120992032,123296624,125381908,125841696,129546148,131392944,133126704,136848480,134090872,134541296,137661528,137262692,138964872,139724644,139266708,140916260,145107800,146946740,145859424,147804104,151571748,149987208,151750204,149110428,141616756,141256336,141322744,144407444,143467332,147152856,150452772,154439052,157682812,160378632,161488532,160569932,167311044,168532704,169403888,172537088,169380468,171070376,172197568,171537312,173604600,176447768,178926724,180643752,183612616,183954020,185726200,186925244,185652668,185445012,189168864,190637264,195366580,195342572,195294376,199462412,201203504,203643176,206169356,208794064,208311352,209066392,212335712,214989256,216362548,203956324,214912479,222926209,222649251,232810302,234726875,236731592,240281616,244448058,251828898,250956036,254198761,255907589,260346462,262231998,264009877
 "27000","Minnesota",4,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",27820536,28485900,28786468,28602676,28471404,28518632,28871368,29366028,30110676,30843168,31625016,32139656,32155372,32184680,31807584,30755076,30165028,30437732,30592156,31160652,31876784,31809580,32134200,32582288,32506860,32591384,32496112,34157128,32471384,33332728,33584220,34942444,35755676,37120448,37425296,37610352,37869684,39850472,40321864,40668684,41805240,41802620,42554972,41711880,39996284,38199624,37103640,36706984,37060064,37817976,38124252,39264700,40771484,41642128,42545564,43958624,45045744,46073836,45277292,50105544,44712532,45299536,46265740,46495668,47360788,49197360,50245196,51354144,52396760,53096596,53452548,53964876,54653540,54812848,55153388,55489880,56250560,57171048,57521172,58158024,59172416,60672804,61999924,63712624,64086772,64962396,65047936,64903312,64461248,63104764,63248936,66139888,67998788,70951372,73031492,75006536,76071236,78301720,79698244,81301068,82688011,83389985,83490257,84729670,85957709
