GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "29000","Missouri",4,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted) ","Thousands of dollars",138270349,140049097,141899077,143140237,144016227,144881959,146299019,149492607,152691433,155582105,157991173,158543805,160990020,161844960,161247892,162041892,163730296,164511380,165625516,167692012,169259484,170589964,172373108,174150156,177259032,179027972,181384780,184143284,182775388,185808544,187607332,190892424,194706208,197994340,198492708,200143244,203501004,207044028,208144020,210956308,214681016,223461216,218764544,222781220,216155676,216954712,215948576,216638836,218649276,221442900,222982312,223966340,228046580,229286460,232090760,234009312,237957452,240349836,238877308,246686420,241131252,242261720,243010320,243568744,246120724,249578820,252277620,255157828,256436052,258337568,260564992,262061324,265254436,265955176,267377612,269607056,270612568,272193736,274262488,278027988,280421320,285723504,287415652,290776744,293937160,295254100,298549680,301655344,306530388,334323450,320320762,321196824,362001363,340154400,338949530,342739543,347739423,353939909,361542156,365557480,374065147,378115104,381204479,384127946,390377892
 "29000","Missouri",4,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),5985073,5992472,5999043,6003787,6006442,6009426,6014165,6018707,6021731,6024740,6030056,6035655,6038206,6041499,6046741,6052015,6055049,6058300,6063702,6069193,6071696,6074821,6079929,6084918,6087686,6091013,6096790,6103087,6106816,6110790,6116433,6121245,6123277,6126324,6131322,6136060,6138213,6141212,6146369,6151678,6153934,6154118,6157235,6161831,6162252,6167103,6171996,6173301,6172718,6175283,6180089,6185127,6188642,6193308,6199841,6206291,6210572
 "29000","Missouri",4,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),36532,36954,37170,37304,37967,38154,38591,38880,39516,39894,39614,40872,39934,40100,40189,40246,40647,41196,41605,42041,42235,42526,42857,43067,43572,43664,43855,44176,44313,44543,44840,45420,45796,46639,46877,47388,47886,48077,48573,49036,49810,54325,52023,52127,58745,55156,54917,55520,56335,57316,58501,59103,60444,61052,61486,61893,62857
 "29000","Missouri",4,SQINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",104865205,106174321,108162465,109719589,111303339,112428343,113442871,116275955,118902897,120463765,122021889,121952273,123585976,124073308,124438504,125261056,127054464,127286896,128309764,129516212,130207344,131531880,132965888,134191444,137103460,138667492,140980912,141442856,141181780,143137456,144810568,146901452,149706148,151178304,150898800,152411956,154344136,155844432,155874000,157480364,159689864,161779100,160262228,167271268,158670528,158681504,159132472,159767620,159681648,161521344,162341420,162559524,163638936,164623048,166890304,166043972,169146088,169625624,169263220,173409312,175927464,177199680,176888900,177043060,178629936,179581456,180901120,183066976,183636644,184836808,186526520,187137700,188944732,188693272,189737024,192423960,193930680,195477072,197048724,199763448,199764500,203059140,203327968,205671292,208883524,209674636,212343256,214711292,217285776,206590058,218145566,224216920,223025151,229647636,232297374,234968167,239749483,243581589,249855968,250849524,257097962,259692555,263308628,265160917,268834361
 "29000","Missouri",4,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",11790684,11910588,12107704,12230540,12455504,12561372,12622500,12907272,13133344,13236560,13418244,13414996,13622872,13678748,13686204,13766256,13950516,13994060,14089444,14182036,14325940,14435536,14555592,14626260,14815892,14924272,15179212,15167132,15466416,15676204,15859296,16096568,16519720,16714880,16678384,16842720,17156868,17366296,17422180,17639152,17855540,18120468,18054936,18962784,17846740,17796452,17685076,17533888,17690412,17722844,17690996,17682000,16159044,16265884,16466380,16296436,16631660,16634572,16635996,17030844,19291912,19442808,19436868,19537692,19803852,19855196,20036016,20344264,20783860,21006748,21193008,21309960,21396000,21380692,21419460,21684816,21986548,22111128,22256156,22486032,22840700,23193416,23209484,23394140,23823636,23999528,24212352,24580636,25039428,24266236,24976032,25517048,25462256,25671224,25963232,26621948,27443380,27959280,28716864,28799968,29659109,29950680,30292545,30487799,31200981
 "29000","Missouri",4,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",6123688,6186352,6286720,6354592,6484860,6541348,6572444,6717696,6819504,6877928,6965636,6962904,7076300,7111652,7125524,7168124,7296604,7311068,7359452,7407020,7451420,7505844,7575568,7628992,7745024,7813352,7949116,7935176,8098984,8194424,8276372,8389724,8669292,8784372,8768272,8853604,9060916,9183640,9203436,9293344,9411964,9547228,9487700,10007096,9421220,9397168,9362392,9300128,9380092,9403276,9406940,9418520,7619444,7689144,7794492,7743572,7834044,7838820,7844548,8000596,10293152,10363888,10362292,10410088,10604876,10627128,10712008,10858364,11122092,11220604,11303300,11346160,11470232,11452848,11482448,11643824,11921684,12024340,12118580,12243388,12574484,12779672,12755548,12840720,13094648,13172324,13291420,13482356,13831072,13366904,13765756,14103860,14117532,14217040,14376188,14715412,15306184,15596904,15983108,16030072,16436054,16576593,16754083,16858457,17289003
 "29000","Missouri",4,SQINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",5666996,5724236,5820984,5875948,5970644,6020024,6050056,6189576,6313840,6358632,6452608,6452092,6546572,6567096,6560680,6598132,6653912,6682992,6729992,6775016,6874520,6929692,6980024,6997268,7070868,7110920,7230096,7231956,7367432,7481780,7582924,7706844,7850428,7930508,7910112,7989116,8095952,8182656,8218744,8345808,8443576,8573240,8567236,8955688,8425520,8399284,8322684,8233760,8310320,8319568,8284056,8263480,8539600,8576740,8671888,8552864,8797616,8795752,8791448,9030248,8998760,9078920,9074576,9127604,9198976,9228068,9324008,9485900,9661768,9786144,9889708,9963800,9925768,9927844,9937012,10040992,10064864,10086788,10137576,10242644,10266216,10413744,10453936,10553420,10728988,10827204,10920932,11098280,11208356,10899332,11210276,11413188,11344724,11454184,11587044,11906536,12137196,12362376,12733756,12769896,13223055,13374087,13538462,13629342,13911978
 "29000","Missouri",4,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-3495104,-3509500,-3579880,-3618356,-3610772,-3652088,-3699532,-3757504,-3927620,-3950688,-3968832,-4007924,-4022372,-4007800,-3994016,-4053560,-4123276,-4060952,-4142956,-4200972,-4102928,-4183100,-4214112,-4230560,-4238480,-4258960,-4304848,-4327464,-4474440,-4555172,-4564116,-4697292,-4997080,-5054308,-4956304,-4895744,-4773352,-4855532,-4877728,-4866316,-5227784,-5331820,-5208912,-5937472,-5179200,-5132968,-5129072,-5038996,-5008140,-4960976,-4891260,-4853284,-4365764,-4305980,-4362684,-4318484,-4787260,-4844788,-4885116,-5001008,-4765404,-4733912,-4695416,-4725472,-4694188,-4738816,-4809204,-4912412,-4852716,-4904520,-4998224,-5031644,-5124428,-5071296,-5052596,-5195872,-5346296,-5450960,-5492456,-5588504,-5678124,-5843156,-5770512,-5886220,-6114384,-6170772,-6253348,-6297172,-6013008,-5597852,-5902816,-6306408,-6329344,-6334952,-6451200,-6503264,-6949564,-7213264,-7268412,-7212884,-7567187,-7684072,-7766261,-7789408,-7954208
 "29000","Missouri",4,SQINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",89579417,90754233,92474881,93870693,95237063,96214883,97120839,99611179,101841933,103276517,104634813,104529353,105940732,106386760,106758284,107441240,108980672,109231884,110077364,111133204,111778476,112913244,114196184,115334624,118049088,119484260,121496852,121948260,121240924,122906080,124387156,126107592,128189348,129409116,129264112,130673492,132413916,133622604,133574092,134974896,136606540,138326812,136998380,142371012,135644588,135752084,136318324,137194736,136983096,138837524,139759164,140024240,143114128,144051184,146061240,145429052,147727168,148146264,147742108,151377460,151870148,153022960,152756616,152779896,154131896,154987444,156055900,157810300,158000068,158925540,160335288,160796096,162424304,162241284,163264968,165543272,166597836,167914984,169300112,171688912,171245676,174022568,174347972,176390932,178945504,179504336,181877556,183833484,186233340,176725970,187266718,192393464,191233551,197641460,199882942,201842955,205356539,208409045,213870692,214836672,219871666,222057803,225249822,226883710,229679172
 "29000","Missouri",4,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",28965004,29418308,29482136,29065140,28212092,28005152,28177912,28611920,29319452,30126548,30791260,31097964,31097152,30788948,30243608,29076060,28822716,29116212,29268232,29902140,30438212,30308684,30647540,31093808,30804812,30875388,30785504,32673328,31024796,31939608,32220852,33553024,34337228,35789008,36037324,36146748,36468428,38676760,39348076,40065252,41444864,41687364,42670884,41665576,39599252,37573632,36330040,36036480,36583832,37307796,37281824,37976352,38577716,39025792,39763648,41800916,43677780,45067236,44295300,48153864,41897184,41652220,42130284,42489992,43711664,45503372,46421708,47098600,47291160,47695160,48099016,48971436,50157808,50609244,50735732,50321080,49783820,49957368,50150872,51144352,53205656,55040988,56168968,57126840,56323984,56680224,57050564,58037716,59916596,59730276,60192556,62651864,62961860,64773108,66120376,67908192,69640540,72164332,73811748,75593752,76920197,77582210,77693619,78951955,80035684
