GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "30000","Montana",7,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted) ","Thousands of dollars",18820818,18978110,19247206,19456758,19376926,19372150,19314270,19924174,20173917,20626401,20857061,21424797,21501392,21695248,21721576,21822688,21900212,22171740,22491716,22837516,23404212,23838232,24182784,24635472,25548820,25976580,26094684,26668584,27357704,27780692,28203116,28866652,29706300,30230716,30599788,30914028,31995432,32556928,32783944,33251052,34157408,35308112,34900388,34556256,34085088,33882256,33803428,33935724,34900216,35498576,35877952,36406740,37503804,37763896,38244928,38818192,39969144,40199484,40134932,41443984,40420332,40760924,40910020,41052696,41838388,42810536,43216764,43740084,44289492,44538908,44868684,44636196,44626096,44843768,45408420,46254916,47144240,47978644,48231028,48659472,49454492,50070108,50523004,51360476,52532156,52918124,53804916,54316984,54579700,60896060,58221602,59137778,66807473,63338178,63367637,64654920,67044426,67981469,68964813,69917436,71540968,72109577,72506770,73606794,74589198
 "30000","Montana",7,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),988633,990125,991946,993918,995554,997235,999205,1001153,1002801,1004474,1006903,1009776,1012107,1014562,1017201,1019681,1021742,1023857,1026395,1028997,1031049,1033209,1035969,1038939,1041515,1044184,1047356,1050662,1053502,1056381,1059214,1061558,1063376,1065398,1067830,1070252,1072207,1074291,1077117,1080317,1082957,1085641,1089764,1094673,1098789,1103742,1108580,1112642,1116316,1120623,1124233,1126756,1128993,1131471,1134290,1137054,1139440
 "30000","Montana",7,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),35301,35853,36169,36630,37671,37869,38275,38773,39858,40020,39860,41043,39937,40176,40218,40260,40948,41813,42105,42507,42956,43107,43311,42963,42847,42946,43355,44025,44750,45418,45535,45838,46507,46997,47314,47989,48994,49259,49953,50279,50399,56092,53426,54023,60801,57385,57161,58109,60059,60664,61344,62052,63367,63731,63923,64735,65461
 "30000","Montana",7,SQINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",12822662,12864606,13153526,13443378,13460034,13513366,13389290,13915182,14012885,14216397,14180201,14615841,14640004,14730616,14902816,15017816,15142140,15345036,15673268,15860620,16102096,16581060,16752916,17009700,17698900,18032616,18168072,18488956,19195348,19356960,19765880,20127228,20516768,20710172,21014748,21309156,22145572,22239388,22256752,22538176,22965056,22953852,23065020,22997184,22528260,22269112,22520744,22607596,23094428,23407668,23664156,23912184,24550628,24708536,25081872,25378348,26112592,25961216,26092024,26607744,26867640,27147496,27034112,27034744,27399336,27753388,27821688,28062896,28751712,28819136,29075708,28657756,28760032,28711976,28956412,29401028,29761744,30113148,30115808,30367052,30893300,31261148,31525820,32082220,32729984,32727404,33487648,33868708,34294808,32917112,35605946,37119026,37052153,38506830,38846945,39801408,41778134,42074969,42866497,43391740,44340501,44730455,45264814,46155493,46422833
 "30000","Montana",7,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",1623700,1624620,1655616,1666392,1687796,1690276,1667632,1723820,1770144,1785668,1787084,1827444,1873444,1892460,1920940,1944064,1967456,2001812,2036644,2044464,2060092,2110052,2128092,2155656,2195680,2238976,2266444,2296144,2402028,2412344,2460632,2508156,2595036,2623536,2670056,2721624,2807020,2847676,2861056,2903548,2934076,2923308,2933552,2929368,2867024,2874448,2900264,2861116,2948508,2944544,2939524,2938676,2762520,2773724,2799544,2816076,2875248,2856088,2849640,2900852,3291728,3326696,3326816,3365592,3447856,3462444,3495592,3535192,3598852,3602832,3613216,3536556,3552676,3513936,3534644,3616120,3735780,3813880,3856496,3896220,3979404,4024676,4061276,4114492,4128320,4126928,4197896,4268672,4392648,4347760,4532780,4617444,4701076,4766212,4835456,5028804,5230912,5323024,5456516,5549484,5700465,5747558,5811043,5939610,6026185
 "30000","Montana",7,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",807684,808872,825508,834448,848440,850480,838292,864268,880888,888208,888412,912236,942804,956584,971648,979376,981328,997368,1013996,1016576,1017472,1041072,1050756,1068004,1090544,1114592,1129708,1145260,1200108,1204816,1226376,1246164,1295140,1307732,1328748,1351056,1395740,1416704,1423124,1443644,1465480,1462812,1469188,1469296,1444760,1448404,1463404,1444556,1483476,1479912,1477468,1479108,1219932,1230064,1244636,1260764,1284228,1278052,1278440,1294212,1675444,1690256,1689724,1707708,1757036,1764952,1778008,1794252,1830376,1837028,1854856,1837560,1891936,1888844,1900516,1929144,1972860,1991260,1996840,2007372,2074960,2104424,2131376,2174560,2212280,2225948,2272624,2307324,2378464,2342708,2443336,2500704,2563996,2605184,2644960,2748220,2879312,2928544,2995412,3045728,3118058,3136831,3169237,3240186,3293054
 "30000","Montana",7,SQINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",816016,815748,830108,831944,839356,839796,829340,859552,889256,897460,898672,915208,930640,935876,949292,964688,986128,1004444,1022648,1027888,1042620,1068980,1077336,1087652,1105136,1124384,1136736,1150884,1201920,1207528,1234256,1261992,1299896,1315804,1341308,1370568,1411280,1430972,1437932,1459904,1468596,1460496,1464364,1460072,1422264,1426044,1436860,1416560,1465032,1464632,1462056,1459568,1542588,1543660,1554908,1555312,1591020,1578036,1571200,1606640,1616284,1636440,1637092,1657884,1690820,1697492,1717584,1740940,1768476,1765804,1758360,1698996,1660740,1625092,1634128,1686976,1762920,1822620,1859656,1888848,1904444,1920252,1929900,1939932,1916040,1900980,1925272,1961348,2014184,2005052,2089444,2116740,2137080,2161028,2190496,2280584,2351600,2394480,2461104,2503756,2582407,2610727,2641806,2699424,2733131
 "30000","Montana",7,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",17172,17852,17920,18324,20096,20624,22128,22452,25524,25268,26372,26804,27500,28220,27800,27920,26468,26276,25968,26528,23888,23456,24280,24424,22700,23100,23824,23840,18912,19656,20188,20604,13504,14796,14872,15532,16296,16772,16920,18040,25888,26832,28060,28236,37856,37100,36324,37192,70036,73340,75940,77976,169804,174572,183136,191508,340976,359208,362752,370572,431356,442184,453240,460872,524908,541920,555344,567460,451728,429956,419500,410552,272748,267756,268936,267724,306276,312712,312076,316540,371972,377876,385076,386920,412604,415204,414340,417136,314084,286492,286328,290160,261056,263340,267944,272532,329360,332184,343404,346416,356850,360737,368695,372436,377371
 "30000","Montana",7,SQINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",11216134,11257838,11515830,11795310,11792334,11843714,11743786,12213814,12268265,12455997,12419489,12815201,12794060,12866376,13009676,13101672,13201152,13369500,13662592,13842684,14065892,14494464,14649104,14878468,15525920,15816740,15925452,16216652,16812232,16964272,17325436,17639676,17935236,18101432,18359564,18603064,19354848,19408484,19412616,19652668,20056868,20057376,20159528,20096052,19699092,19431764,19656804,19783672,20215956,20536464,20800572,21051484,21957912,22109384,22465464,22753780,23578320,23464336,23605136,24077464,24007268,24262984,24160536,24130024,24476388,24832864,24881440,25095164,25604588,25646260,25881992,25531752,25480104,25465796,25690704,26052632,26332240,26611980,26571388,26787372,27285868,27614348,27849620,28354648,29014268,29015680,29704092,30017172,30216244,28855844,31359494,32791742,32612133,34003958,34279433,35045136,36876582,37084129,37753385,38188672,38996886,39343634,39822466,40588319,40774019
 "30000","Montana",7,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",4557992,4652128,4679056,4619988,4566524,4532560,4544900,4627236,4695368,4815396,4980236,5074380,5107888,5137608,5095376,4945800,4911420,4989008,5028508,5164276,5393808,5397296,5532436,5726328,5878456,5922004,5894812,6135568,6102540,6283536,6304332,6609712,6939212,7235448,7284020,7326852,7482728,7955140,8098420,8234736,8594952,8642588,8833608,8620024,8226160,7856408,7628316,7564008,7749080,7914216,7987728,8191708,8501060,8660576,8817352,9105436,9329028,9537396,9323116,10086592,9097016,9160964,9359616,9480196,9810724,10241844,10498640,10747508,10685536,10798412,10827696,10862828,10718592,10723136,10844892,11043528,11453760,11862744,11986220,12064084,12250552,12518692,12756612,13062100,13121012,13337264,13453092,13592116,13806872,13608568,13739244,14524944,14922476,15628616,16149148,16691116,17068556,17739584,18155288,18600136,19004318,19207563,19241474,19577971,19950748
