GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "37000","North Carolina",5,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted) ","Thousands of dollars",193071644,196309648,200081440,203465340,204741917,205886505,209079377,212064389,215747359,220465579,223899547,225952475,227297532,229261784,227230412,228573844,229097368,231995328,232713488,233917356,236878360,238806984,243157796,248377176,253646784,258989828,264191008,269586076,275006904,278290920,281901936,286367588,299525300,302808276,306101532,311055512,325295048,327278916,327711416,331260560,346346928,356684292,351254900,352263956,331760176,339425816,341956588,344623236,339417880,343602880,343654264,345742196,351876508,354007608,356016188,358106224,373105920,377209996,376930880,384222172,371435580,371808632,373248264,376069868,384521544,391175484,397223036,402624140,409428812,412778892,416979320,419854596,424489188,425897876,429910344,435922308,442264700,447081264,451752052,458172668,462962820,469642868,475792340,483975036,494412908,499607096,503293744,509034936,518881188,559143695,542317039,543969918,621796628,583392825,591111558,600233029,613327181,614697931,624465348,634331916,647744790,649374221,658719182,666249896,679586779
 "37000","North Carolina",5,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),9522731,9553424,9581742,9601075,9617292,9633534,9653702,9674889,9693801,9712177,9734172,9756612,9774479,9792965,9814176,9835324,9853017,9870640,9892839,9916464,9935614,9955273,9981167,10010218,10035814,10061968,10089927,10116725,10139637,10162482,10189337,10216340,10238941,10262792,10289144,10314640,10335946,10358285,10383827,10409197,10429520,10445711,10469473,10499185,10521758,10551004,10584593,10616604,10645175,10678331,10714501,10750244,10783198,10817432,10855174,10893041,10927525
 "37000","North Carolina",5,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),35643,35966,35866,36011,36588,36747,36879,37014,38489,38839,38722,39381,38001,37967,38032,38237,39026,39630,40153,40602,41208,41463,41777,41943,42297,42327,42608,43089,43617,43993,44336,44847,45216,45762,46242,46921,47834,48233,48469,48902,49751,53529,51800,51811,59096,55293,55846,56537,57616,57565,58282,59006,60070,60030,60683,61163,62190
 "37000","North Carolina",5,SQINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",145979708,148436940,152178544,155906588,157137537,158251213,160931129,163476433,166490159,169776611,172358523,173221607,173847172,174907460,173614900,174083808,174051676,176546160,177119496,177243132,179334272,181166276,184310208,188816284,191817092,195940504,200860160,203445324,208519808,209340776,212850672,215507828,226498776,227503168,229605840,234622200,246493616,244318464,243206108,245642964,258596924,256926568,257600212,259506284,236153084,241770480,246010908,249497144,242219476,245513888,244949844,245423704,246525396,247060296,248288792,248087496,263871104,265282212,266794088,268185992,264451532,264842776,265079644,267293744,275163672,276451412,280778012,284222004,289053516,290517132,293767548,295980628,299359392,299856352,303732092,308985176,312692268,315136800,318082300,323632832,326284012,330922892,334052580,340757688,348012832,351075720,353835792,359167604,368264364,345745767,369529731,379258994,383092936,394800877,404416178,414812729,429719869,427548803,437247112,444151608,454267857,455294675,465932366,469654706,477196282
 "37000","North Carolina",5,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",16713708,16982868,17384924,17744876,18028040,18167536,18457964,18687300,19072692,19294240,19621648,19722652,20127100,20243736,20018612,20010712,20141680,20472732,20582188,20632560,20985864,21238272,21589656,22020872,21950772,22290836,22848692,23148528,23710176,23898144,24291852,24575348,25360744,25487040,25793412,26441956,27296392,27338672,27468900,27929752,28192572,28234380,28391988,28318864,27247268,27558112,27627080,27539460,27875580,27900904,27731308,27809000,25809204,25927572,26050524,25987412,26744528,26777064,27104668,27276704,31048728,31155208,31261648,31651428,32525132,32561756,33084824,33574312,34159240,34370544,34731392,34977476,35239692,35216780,35570716,36148884,36564172,36729952,36924124,37321620,37747368,38105012,38473360,39214016,39913876,40330080,40680696,41354688,42268724,40834016,42431920,43267944,43993920,44937504,45993852,47475072,49649976,49607656,50853844,51555840,53108782,53208427,54389802,54716437,55939866
 "37000","North Carolina",5,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",8674160,8813968,9022416,9202216,9369904,9442340,9594056,9718512,9916452,10036180,10187368,10215756,10393072,10458772,10363976,10396372,10608348,10755532,10771728,10735836,10790044,10858108,11023640,11273908,11284524,11505912,11811908,11962572,12256800,12324764,12503972,12643660,13159948,13242620,13408300,13734984,14244972,14259628,14315344,14530568,14696100,14714504,14784912,14738116,14215720,14372832,14436116,14426516,14595092,14625956,14547956,14583828,11904216,11954452,12002936,12020512,12290292,12327232,12488536,12518008,16218676,16246984,16292636,16456192,16983552,16964064,17205800,17411016,17777076,17879888,18092804,18277568,18634860,18691144,18938252,19296844,19673952,19813140,19967608,20230120,20776868,21026412,21233072,21634688,22044960,22251056,22434500,22800388,23462572,22587856,23459200,23928268,24322096,24767004,25300780,26056252,27488572,27464420,28103596,28491312,29216722,29233732,29879032,30054605,30787023
 "37000","North Carolina",5,SQINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",8039548,8168900,8362508,8542660,8658136,8725196,8863908,8968788,9156240,9258060,9434280,9506896,9734028,9784964,9654636,9614340,9533332,9717200,9810460,9896724,10195820,10380164,10566016,10746964,10666248,10784924,11036784,11185956,11453376,11573380,11787880,11931688,12200796,12244420,12385112,12706972,13051420,13079044,13153556,13399184,13496472,13519876,13607076,13580748,13031548,13185280,13190964,13112944,13280488,13274948,13183352,13225172,13904988,13973120,14047588,13966900,14454236,14449832,14616132,14758696,14830052,14908224,14969012,15195236,15541580,15597692,15879024,16163296,16382164,16490656,16638588,16699908,16604832,16525636,16632464,16852040,16890220,16916812,16956516,17091500,16970500,17078600,17240288,17579328,17868916,18079024,18246196,18554300,18806152,18246160,18972720,19339676,19671824,20170500,20693072,21418820,22161404,22143236,22750248,23064528,23892060,23974695,24510770,24661832,25152843
 "37000","North Carolina",5,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-718796,-723644,-746360,-762448,-787564,-801344,-818364,-820140,-906936,-912960,-935944,-927544,-937696,-944508,-921472,-917672,-904892,-914344,-898732,-876776,-737656,-736316,-753728,-792824,-716180,-742120,-778772,-788692,-833424,-809800,-823004,-838328,-970144,-986020,-1020440,-1070416,-1258284,-1231956,-1220996,-1260320,-1282916,-1275668,-1279988,-1258168,-1017060,-1042656,-1072336,-1062984,-989008,-966980,-943488,-952884,-912752,-893544,-868204,-889000,-921956,-923792,-976588,-932960,-859992,-837560,-833104,-863524,-913028,-877824,-942112,-949600,-1180048,-1143848,-1144580,-1181540,-1278592,-1253864,-1297724,-1348800,-1333376,-1342188,-1355820,-1406416,-1480836,-1543140,-1562576,-1649332,-1576108,-1620248,-1614788,-1655792,-1809440,-1723796,-1853856,-1921708,-1876568,-1960880,-2049628,-2146504,-2673256,-2477572,-2509460,-2578536,-2706084,-2635267,-2736449,-2722332,-2758637
 "37000","North Carolina",5,SQINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",128547204,130730428,134047260,137399264,138321933,139282333,141654801,143968993,146510531,149569411,151800931,152571411,152782376,153719216,152674816,153155424,153005104,155159084,155638576,155733796,157610752,159191688,161966824,166002588,169150140,172907548,177232696,179508104,183976208,184632832,187735816,190094152,200167888,201030108,202791988,207109828,217938940,215747836,214516212,216452892,229121436,227416520,227928236,229929252,207888756,213169712,217311492,220894700,213354888,216646004,216275048,216661820,219803440,220239180,221370064,221211084,236204620,237581356,238712832,239976328,232542812,232850008,232984892,234778792,241725512,243011832,246751076,249698092,253714228,255002740,257891576,259821612,262841108,263385708,266863652,271487492,274794720,277064660,279802356,284904796,287055808,291274740,294016644,299894340,306522848,309125392,311540308,316157124,324186200,303187955,325243955,334069342,337222448,347902493,356372698,365191153,377396637,375463575,383883808,390017232,398452991,399450981,408806115,412215937,418497779
 "37000","North Carolina",5,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",38340400,39275168,39638236,39251096,38865496,38813336,39148532,39469628,40175544,40991624,41770008,42570560,42027848,42035120,41581420,40372408,40371524,40700228,40730148,41330912,41955584,41746196,42499456,43693020,44355580,45165332,45631260,47994536,47350468,48979532,49251628,51024892,51770108,53742948,53950912,54292396,55622716,59578932,60726904,61587412,62948480,63083300,64657732,63664448,61010808,58613256,56854948,56029660,55843100,56459832,56501064,58098748,60341336,61475496,62165044,63889812,64510416,65454216,63738632,69382816,63112556,63883884,65221312,65673052,67051956,69689804,71269644,72909148,74219152,75298472,75752708,76362940,77130024,77337424,77952852,78749288,80366252,82162960,82808928,83596504,84315940,86029872,87698212,89907200,90751036,92216016,92800364,93389336,93919212,92484312,92963300,96851700,98690484,102205216,104584984,106956984,108166040,111332740,113298188,115606396,117767086,118818892,119076450,120894248,122750337
