GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "33000","New Hampshire",1,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted) ","Thousands of dollars",35388265,36242221,37083973,37675365,37958149,38421353,39156857,40184401,42773005,43209037,44087761,45114685,46266140,46157908,46037264,46258404,46491284,47070188,46995820,47331920,47074552,47409456,48026044,48821756,49451536,50350172,51269676,51860568,51337176,52243480,52827496,53449060,55021708,55546760,56067968,57702980,57718400,58703304,58251792,58548612,59473796,60811168,60124960,60205128,58145672,59125028,59875180,60380244,60406360,62078272,62474284,62564584,63990104,65006960,65209956,65348772,66713124,67054160,66957040,68547896,66634560,67127708,67234732,67490072,68401276,69361760,69632104,71126668,71187656,72529420,72968604,74432596,74171188,74983216,75817572,75943928,77359804,77890032,79469344,79924660,81489828,81865500,82824740,83234852,87389056,87522768,87712280,88201268,90706672,94960561,93965856,94694995,101323737,98898765,99474936,101089958,101055138,102684165,103769109,104979256,106871577,108341582,108478124,109575391,111160076
 "33000","New Hampshire",1,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1316570,1316763,1317888,1319266,1320187,1321237,1322698,1324194,1325370,1326578,1327991,1329193,1329731,1330498,1332205,1334477,1336277,1338158,1340015,1341387,1342128,1343030,1344737,1346764,1348332,1350047,1352242,1354462,1356148,1357906,1359912,1361604,1362685,1364033,1365929,1367896,1369290,1370890,1373023,1375252,1376788,1378009,1379987,1382322,1383684,1386103,1389112,1391862,1394186,1397310,1399515,1400313,1400762,1401540,1402685,1403737,1404342
 "33000","New Hampshire",1,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),45882,47145,47405,47424,48470,49202,49301,49350,50335,50547,50420,51571,50111,50453,50469,50574,51188,51834,51964,53025,53041,54004,54262,55268,55010,55541,56068,56069,57044,57360,58437,58699,59801,60017,60636,60849,63821,63844,63883,64135,65883,68911,68092,68504,73228,71350,71610,72629,72483,73487,74146,74968,76295,77302,77336,78060,79155
 "33000","New Hampshire",1,SQINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",24506537,25102949,25955497,26734769,26821461,27322461,27845545,28696809,30663501,30672861,31120893,31985153,33099480,32957008,32944956,33297472,33500428,34030976,33990420,34307116,34141408,34609496,35073600,35883564,35776232,36553464,37542880,37635932,37656060,38375820,38826640,39270960,40250092,40294596,40733096,42516312,41480628,42112500,41259668,41232292,41947708,41691636,41453244,41509844,40666684,41140632,42093084,42520120,42144112,43818260,44035124,43903032,43834968,44541152,44812576,44682252,44727728,44729080,44872944,46215540,45425028,45865244,45802172,45987200,46547624,47426160,47259556,48488372,47659620,48621848,48989088,50525104,49835956,50553756,51126328,51017364,51722948,51976352,53539480,53592268,54817684,54833912,55528588,55724528,58092000,58013284,58170356,58509340,61112468,56254785,60803276,63577003,63331117,68404753,70004520,71842026,68987986,70433109,71557321,72203524,73301058,74760293,74738171,75917318,76672000
 "33000","New Hampshire",1,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",2624348,2686428,2773500,2853244,2826152,2872388,2919844,2997576,3171912,3138700,3180972,3268996,3343996,3318420,3300660,3332160,3314920,3378432,3382020,3407440,3449344,3501100,3547404,3635160,3682028,3759404,3864600,3863228,3901920,3961464,3986340,3993292,4078116,4074164,4121672,4320780,4254748,4367024,4304288,4349724,4455652,4441152,4454360,4482640,4366608,4407004,4478304,4473200,4463420,4610508,4599236,4552728,4182772,4230616,4255040,4226088,4280620,4297364,4308192,4426668,4939396,4972536,4947744,4955188,5049304,5125572,5088588,5249380,5174328,5304032,5342200,5511332,5421612,5508304,5574040,5574184,5696552,5742696,5937244,5927488,6050956,6034352,6099484,6114636,6338924,6317068,6310120,6340860,6593572,6285500,6511468,6746288,6638488,7125196,7288112,7544040,7457772,7743324,7930580,8010640,8152444,8313121,8259185,8364492,8504428
 "33000","New Hampshire",1,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",1403188,1436912,1484200,1527900,1517548,1543408,1568688,1609948,1699372,1680784,1702336,1751776,1794784,1784092,1777228,1795760,1794896,1829748,1833560,1850772,1871820,1898724,1921092,1964316,1980728,2017584,2074588,2078308,2112416,2152812,2167792,2168140,2225584,2223992,2251792,2374252,2339888,2408620,2371172,2393788,2460580,2451248,2451332,2459204,2391364,2400744,2432916,2422896,2401996,2476680,2470160,2444164,1986040,2012660,2024616,2015876,2024180,2035568,2044884,2103728,2667572,2693800,2688916,2696744,2766856,2817148,2799004,2897108,2876688,2956352,2980984,3078488,3044248,3092708,3126980,3117664,3202640,3224560,3337528,3324308,3434152,3422696,3456920,3468492,3611920,3600008,3596492,3613344,3779060,3587084,3695860,3809024,3730236,4029268,4118336,4246524,4223168,4414020,4532184,4584760,4640554,4723744,4688231,4746911,4835216
 "33000","New Hampshire",1,SQINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",1221160,1249516,1289300,1325344,1308604,1328980,1351156,1387628,1472540,1457916,1478636,1517220,1549212,1534328,1523432,1536400,1520024,1548684,1548460,1556668,1577524,1602376,1626312,1670844,1701300,1741820,1790012,1784920,1789504,1808652,1818548,1825152,1852532,1850172,1869880,1946528,1914860,1958404,1933116,1955936,1995072,1989904,2003028,2023436,1975244,2006260,2045388,2050304,2061424,2133828,2129076,2108564,2196732,2217956,2230424,2210212,2256440,2261796,2263308,2322940,2271824,2278736,2258828,2258444,2282448,2308424,2289584,2352272,2297640,2347680,2361216,2432844,2377364,2415596,2447060,2456520,2493912,2518136,2599716,2603180,2616804,2611656,2642564,2646144,2727004,2717060,2713628,2727516,2814512,2698416,2815608,2937264,2908252,3095928,3169776,3297516,3234604,3329304,3398396,3425880,3511890,3589377,3570954,3617581,3669212
 "33000","New Hampshire",1,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",2790396,2918180,2956328,2950988,3243528,3295596,3433796,3530356,3937612,3927552,4120008,4097700,4161056,4072908,4037172,3984116,3943976,3950080,3941220,3906872,3879596,3886448,3995828,4038028,4149968,4268044,4295820,4205428,4173692,4153416,4245116,4313768,4332612,4403792,4378620,4387492,4689920,4648956,4775956,4874784,4879900,4904340,4858460,4870060,4127976,4157940,4144388,4215664,4610528,4697500,4862452,4899932,4982172,5180760,5089788,5091656,5414260,5482848,5502576,5571996,5135584,5191184,5210896,5262452,4897716,4815620,4972172,5083000,5415156,5481168,5492108,5505744,5752168,5785616,5925016,5953168,5926212,6067836,6095876,6249092,6317816,6373884,6438960,6516400,7244980,7261108,7302132,7425924,7564900,7065968,7201924,7636668,5021832,4717008,4880140,4899932,6796536,6728148,6760040,6933600,6944797,6918855,7053657,6949784,7052619
 "33000","New Hampshire",1,SQINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",24672585,25334701,26138325,26832513,27238837,27745669,28359497,29229589,31429201,31461713,32059929,32813857,33916540,33711496,33681468,33949428,34129484,34602624,34549620,34806548,34571660,34994844,35522024,36286432,36244172,37062104,37974100,37978132,37927832,38567772,39085416,39591436,40504588,40624224,40990044,42583024,41915800,42394432,41731336,41757352,42371956,42154824,41857344,41897264,40428052,40891568,41759168,42262584,42291220,43905252,44298340,44250236,44634368,45491296,45647324,45547820,45861368,45914564,46067328,47360868,45621216,46083892,46065324,46294464,46396036,47116208,47143140,48321992,47900448,48798984,49138996,50519516,50166512,50831068,51477304,51396348,51952608,52301492,53698112,53913872,55084544,55173444,55868064,56126292,58998056,58957324,59162368,59594404,62083796,57035253,61493732,64467383,61714461,65996565,67596548,69197918,68326750,69417933,70386781,71126484,72093411,73366027,73532643,74502610,75220191
 "33000","New Hampshire",1,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",6858784,7026312,7065804,6940704,6795128,6756220,6830488,6932724,7243656,7503972,7706284,7921168,7852160,7827748,7721384,7445548,7383648,7383600,7356088,7408816,7369156,7300196,7273404,7231988,7649312,7593816,7611024,8090492,7528372,7728948,7779148,7940332,8313868,8635040,8696848,8676596,9056684,9541088,9639232,9708640,9797824,9897636,10327696,10499860,9503400,9521560,9457996,9403872,9024800,9057028,9005612,9146496,10287996,10429584,10464364,10758320,11745044,11930968,11643788,11885696,11730148,11701852,11736920,11660128,12252804,12299304,12380812,12515088,12775960,12967536,12968640,12914668,12823356,12766560,12791612,12912656,13681612,13798000,13890736,13947812,14064796,14130080,14221916,14373360,15337904,15484892,15472084,15529208,15399768,15198728,15220068,15236140,15896764,15966940,15999664,16113120,16544112,16955692,17231132,17541884,17864837,18003995,18083385,18345896,18567202
