GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "32000","Nevada",8,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted) ","Thousands of dollars",52265371,53565771,54944703,56093107,57511379,58024555,58732623,60225919,62324506,64044466,65066546,65814874,67323968,68540996,68521316,67720684,68651876,69561932,70218236,71378924,72027732,73216316,75334248,77495416,79165072,81397724,83387452,86148484,89702660,92506892,92629084,93937936,98058048,99334088,99446632,101101748,102816612,103202168,103540692,105264408,103076324,104355144,102301724,100410308,97007504,96944440,96529504,97449556,98354528,100546460,101845240,102255376,103606584,104659856,105235096,104884064,107448992,107833948,107856064,111645556,107302852,108476080,109405984,110472532,112074176,114503780,116309384,119169084,122870060,124833752,125516796,127133756,127138788,128580164,132449872,131347760,136037580,138055332,140350140,140944852,145678380,146829248,149069584,152055308,156241036,158252324,159966240,162711948,163725360,176581421,169927806,170842309,197554143,188654241,190611350,191204502,193401813,196144566,198486553,201130660,204384368,206934375,209284672,212616719,216888452
 "32000","Nevada",8,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),2698408,2701277,2703477,2706067,2707776,2709435,2714578,2722345,2729395,2736284,2744274,2752468,2759355,2766264,2775380,2785915,2795419,2804839,2816244,2828717,2839915,2851150,2863524,2876173,2887788,2899486,2912326,2925513,2937494,2949343,2963113,2977747,2991064,3004587,3019263,3034179,3047850,3061689,3075394,3087922,3099097,3110002,3120169,3128342,3134413,3142231,3150919,3158740,3165410,3173156,3179905,3184458,3188080,3191914,3196868,3201858,3205784
 "32000","Nevada",8,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),36449,37222,37672,37787,38263,38628,38767,38527,39367,39409,39302,40562,38887,39214,39420,39654,40092,40824,41299,42128,43265,43784,43833,44202,44026,44346,45479,44897,46311,46809,47366,47333,48705,48868,49373,50114,51263,51688,52015,52693,52830,56779,54461,54611,63027,60038,60494,60532,61099,61814,62419,63160,64109,64831,65466,66404,67655
 "32000","Nevada",8,SQINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",40109155,41046467,42350867,43716599,45017879,45403219,45817803,47210591,48564242,49654854,50195242,50277006,51745568,52945296,53210884,52265948,52853400,53451668,54051224,54928972,54626228,55614136,57345740,58934072,60026624,61827756,63854268,65710048,67374428,70149884,70264260,71280492,74140884,75451192,75496964,77163280,77452720,77135724,77104772,78660368,75785972,73736704,73514820,72081384,69241544,68803320,68546616,69349204,69730580,71314176,72223676,72046400,72246944,73115476,73287616,72441228,73816668,73688716,73553372,74486772,74689852,75456540,75934820,77140400,77428668,78180644,79132684,81129860,82465500,84137320,84382468,85472360,84502556,85656744,89553000,87646016,90792800,92040216,94094480,94041976,97480848,97955764,99296128,101808232,104191876,105558676,106873388,109364044,110780736,93385505,103959150,107363421,109325199,117186289,122443666,124705770,127344953,130163074,133019153,135671592,137030391,138945241,141604518,144410889,146656430
 "32000","Nevada",8,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",4619572,4706188,4836820,4977988,5127576,5103292,5047476,5064448,5017688,4983996,4981952,4961872,5170072,5337244,5375020,5284044,5411604,5462716,5479444,5487128,5462020,5450616,5568856,5695772,5839712,5995432,6159716,6269212,6358656,6652776,6719308,6939508,7401048,7709840,7814928,8047680,8186396,8127108,8085820,8155604,7939976,7656824,7629540,7551544,7441036,7464844,7413824,7403900,7241532,7300140,7362900,7334152,6729812,6893392,7014832,7015584,7280276,7314732,7257336,7236944,7947772,7946836,7985004,8166292,8540244,8697492,8871752,9137752,9202460,9396728,9417000,9552708,9597884,9731632,10147392,9883868,10019936,10125348,10296988,10306764,10628452,10694160,10892264,11296560,11597972,11855560,12052708,12347432,12669568,10638780,11564276,11991868,12057516,12840808,13556888,13966636,14425312,14913912,15370364,15671008,15867905,16035422,16331814,16615323,17004055
 "32000","Nevada",8,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",2058920,2099768,2162280,2230172,2307928,2323828,2336140,2400192,2446012,2489516,2516972,2521660,2611848,2691696,2705864,2656300,2727676,2750760,2763356,2774164,2757388,2758552,2823012,2892248,2969764,3050832,3133164,3187168,3241928,3401068,3412888,3516968,3772028,3929716,3980148,4092020,4174764,4145888,4128892,4185228,4092352,3944464,3932668,3885412,3841416,3851348,3840044,3852912,3787120,3828760,3861392,3832900,3072084,3136512,3173116,3176116,3264152,3275728,3248088,3226112,4054772,4070972,4106020,4205400,4422144,4503436,4582924,4711764,4753264,4843620,4846864,4913000,4982896,5054064,5287024,5118740,5216940,5262596,5353324,5329552,5568348,5600060,5696096,5909108,6072264,6209708,6320640,6485252,6711088,5677156,6170892,6427396,6498432,6927932,7310360,7496084,7807132,8073512,8281684,8461500,8529377,8608185,8743550,8903150,9127240
 "32000","Nevada",8,SQINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",2560652,2606420,2674540,2747816,2819648,2779464,2711336,2664256,2571676,2494480,2464980,2440212,2558224,2645548,2669156,2627744,2683928,2711956,2716088,2712964,2704632,2692064,2745844,2803524,2869948,2944600,3026552,3082044,3116728,3251708,3306420,3422540,3629020,3780124,3834780,3955660,4011632,3981220,3956928,3970376,3847624,3712360,3696872,3666132,3599620,3613496,3573780,3550988,3454412,3471380,3501508,3501252,3657728,3756880,3841716,3839468,4016124,4039004,4009248,4010832,3893000,3875864,3878984,3960892,4118100,4194056,4288828,4425988,4449196,4553108,4570136,4639708,4614988,4677568,4860368,4765128,4802996,4862752,4943664,4977212,5060104,5094100,5196168,5387452,5525708,5645852,5732068,5862180,5958480,4961624,5393384,5564472,5559084,5912876,6246528,6470552,6618180,6840400,7088680,7209508,7338528,7427237,7588264,7712173,7876815
 "32000","Nevada",8,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-326632,-340048,-357044,-375344,-379392,-378900,-378480,-391044,-334172,-350564,-334808,-333096,-333132,-366652,-371108,-346080,-344528,-353688,-368728,-388236,-381120,-389052,-420072,-449624,-451912,-478064,-509524,-538872,-516092,-580340,-548360,-551396,-455700,-482752,-468468,-487644,-386592,-382196,-394872,-436112,-358728,-317588,-311748,-293236,-328972,-309388,-296724,-294204,-253080,-259056,-265940,-228504,-142080,-156420,-144516,-138152,-168888,-164484,-163488,-130452,-140020,-134356,-136200,-133468,-173896,-177260,-168312,-187952,-119016,-133336,-122696,-135528,-172464,-186056,-256104,-190880,-192196,-198588,-213644,-174252,-210072,-195064,-192224,-230204,-266984,-275552,-285752,-297908,-325360,-72812,-168092,-180148,-116980,-211892,-279336,-278272,-458460,-521464,-541764,-611704,-588229,-589873,-611884,-666374,-681539
 "32000","Nevada",8,SQINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",35162951,36000231,37157003,38363267,39510911,39921027,40391847,41755099,43212382,44320294,44878482,44982038,46242364,47241400,47464756,46635824,47097268,47635264,48203052,49053608,48783088,49774468,51356812,52788676,53735000,55354260,57185028,58901964,60499680,62916768,62996592,63789588,66284136,67258600,67213568,68627956,68879732,68626420,68624080,70068652,67487268,65762292,65573532,64236604,61471536,61029088,60836068,61651100,62235968,63754980,64594836,64483744,65375052,66065664,66128268,65287492,66367504,66209500,66132548,67119376,66602060,67375348,67813616,68840640,68714528,69305892,70092620,71804156,73144024,74607256,74842772,75784124,74732208,75739056,79149504,77571268,80580668,81716280,83583848,83560960,86642324,87066540,88211640,90281468,92326920,93427564,94534928,96718704,97785808,82673913,92226782,95191405,97150703,104133589,108607442,110460862,112461181,114727698,117107025,119388880,120574257,122319946,124660820,127129192,128970836
 "32000","Nevada",8,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",11802644,12220148,12424672,12331948,12491820,12542040,12725060,12826264,13328356,13737604,14130860,14656656,14562156,14574336,14371656,13857980,14090784,14281244,14335016,14509796,15260712,15259592,15631420,16343608,16830948,17200976,17282668,18103732,19751628,20028180,19986016,20498920,21621172,21799584,21814040,21924320,22860812,23372760,23544472,23591104,23655028,23554680,23454756,22973280,21251648,20433968,20122412,20073856,19352408,19947220,20389140,20937420,21243452,21536700,22065124,22479580,24036464,24449476,24570604,27119000,23261400,23561432,23920196,23997468,24937664,26059860,26675136,27385640,29179732,29222440,29471392,29748788,30435876,30642824,30892268,31137112,32326640,33070244,33279520,33535188,34502236,35034940,35714888,36432180,37532840,38134892,38631984,38971756,38554320,38215492,38644544,40490752,41725204,43360588,44514024,45356932,46581312,47292988,47602612,47983652,49096029,49615211,49799854,50699998,51605336
