GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "40000","Oklahoma",6,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted) ","Thousands of dollars",73869999,74888515,75339623,75676247,75659075,76192503,77135531,78838799,80697805,82593037,84187733,85849901,87777252,88811208,88568532,89281144,89897504,90446428,90983944,91518636,93441200,94792792,95632544,97236132,100432212,102307220,103572344,105357296,109666892,111488328,113323156,115471972,123733940,124313760,124780536,125317756,127456644,127841292,129751700,130927696,137145684,145393628,145471484,146608620,138183872,132790532,130686824,131212048,133893612,138493656,141905380,144487600,146128340,149284596,152131792,153663080,157549616,158847740,158722596,164381496,164987852,167648296,168718468,169832984,174777924,177362556,179081072,179321404,174549276,172472860,172732884,171150136,164868700,164319668,164471032,165176776,168430196,171342152,172986088,175223316,177962568,179531908,181886892,183914472,189744460,188970852,190143748,191065976,191824332,208108353,199073352,197926775,228114278,215700689,216195223,220695738,221622756,224641724,228625644,230341868,234388141,235707780,238082286,240819924,245203914
 "40000","Oklahoma",6,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),3746415,3755527,3763607,3770950,3776989,3783171,3790736,3798424,3805093,3811737,3820220,3829255,3836423,3843882,3851493,3858170,3863394,3868644,3876077,3884316,3890692,3897345,3903565,3908055,3911200,3914680,3917868,3919584,3919700,3919816,3922049,3924814,3925788,3927289,3931022,3935537,3938402,3941716,3947065,3953149,3957349,3961996,3969110,3976173,3980555,3987571,3995617,4002413,4007950,4015269,4024004,4032910,4040798,4049242,4059000,4068744,4077168
 "40000","Oklahoma",6,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),35739,36877,37705,38316,38689,39460,40133,40454,41405,41673,41548,42928,43006,43614,43806,44019,45239,45846,46202,46166,44863,44254,44250,43794,42153,41975,41980,42141,42970,43712,44106,44645,45332,45714,46270,46732,48178,47941,48173,48333,48473,52526,50156,49778,57307,54093,54108,55141,55296,55947,56815,57116,58005,58210,58655,59188,60141
 "40000","Oklahoma",6,SQINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",52743163,53382771,53594439,53867711,53877943,54328459,54913971,56250371,57383045,58458521,59608793,60724669,62121756,62776120,63052716,63644040,64055944,64356588,64867308,65100480,66486004,67805080,68120744,69083596,72068316,73560156,74826580,75826344,78806672,80168548,82114680,83697644,89548280,89515708,89601980,89769668,89900644,89585120,90843588,91461508,95822772,99460836,102655840,104806240,96243340,90474300,88913828,89312432,90866020,94851300,97538536,99488520,99017200,101873576,104257752,105153864,108551776,109071112,108791576,112703140,117128612,119377904,119768276,120625340,124482116,125903588,127228716,127263528,123342352,121005080,121239968,119790976,113280872,112561272,112474588,112919520,114721984,117197364,118481460,120458528,121681288,122824452,124803604,126401352,130463112,128861732,129665880,130302748,131089836,123957733,129815000,130939851,131808134,138804705,141109663,145223650,145527028,148068272,152253332,153474328,155831073,156595236,159150386,161872144,163980234
 "40000","Oklahoma",6,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",5998008,6047312,6044644,6041612,6148740,6175388,6211328,6336620,6434548,6515144,6654308,6794884,6941520,7027344,7069788,7150608,7261244,7291500,7326520,7307960,7370200,7494276,7523132,7647156,7803924,7990264,8132280,8197252,8335784,8442268,8570060,8677172,9110968,9066544,9085068,9177252,9397020,9530848,9655668,9758088,9891516,10021176,10076708,10170624,9920912,9856036,9854420,9761020,9910204,10088256,10172984,10208960,9384984,9657612,9881296,10005492,10139392,10251004,10266248,10638312,11813392,11917468,11884896,11945164,12146584,12159712,12258708,12334988,12440864,12237376,12295940,12246952,12102392,12045408,12011584,12080156,12256008,12496372,12628540,12788576,13020068,13163448,13350992,13499980,13838192,13674236,13784508,13894040,14129780,13902812,14006624,14097632,14212576,14629640,14837828,15257092,15556852,15796164,16214848,16429484,16871225,17042296,17189215,17523252,17932990
 "40000","Oklahoma",6,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",3132760,3162364,3165384,3173004,3247336,3271216,3294296,3360316,3401800,3440708,3504616,3570928,3641776,3678084,3691448,3721832,3772136,3781456,3796676,3781888,3792736,3843160,3843404,3892528,3948692,4035352,4101724,4141228,4236780,4302828,4377548,4439680,4726284,4706352,4723216,4774552,4920224,5006644,5082820,5145164,5245716,5328556,5356568,5403524,5273028,5229188,5237608,5195188,5272456,5366624,5401316,5393384,4332124,4427792,4509504,4574200,4586920,4631316,4629964,4764672,6026636,6081012,6079636,6137952,6316988,6357008,6434224,6474708,6557852,6454900,6516612,6533064,6557800,6566772,6565872,6600552,6717072,6832204,6890408,6961408,7162664,7236944,7328528,7401388,7603280,7507996,7577236,7640904,7837052,7684964,7735328,7775864,7824404,8029448,8139100,8371920,8644928,8803396,9036488,9167588,9385888,9459213,9536439,9729067,9977000
 "40000","Oklahoma",6,SQINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",2865248,2884948,2879260,2868608,2901404,2904172,2917032,2976304,3032748,3074436,3149692,3223956,3299744,3349260,3378340,3428776,3489108,3510044,3529844,3526072,3577464,3651116,3679728,3754628,3855232,3954912,4030556,4056024,4099004,4139440,4192512,4237492,4384684,4360192,4361852,4402700,4476796,4524204,4572848,4612924,4645800,4692620,4720140,4767100,4647884,4626848,4616812,4565832,4637748,4721632,4771668,4815576,5052860,5229820,5371792,5431292,5552472,5619688,5636284,5873640,5786756,5836456,5805260,5807212,5829596,5802704,5824484,5860280,5883012,5782476,5779328,5713888,5544592,5478636,5445712,5479604,5538936,5664168,5738132,5827168,5857404,5926504,6022464,6098592,6234912,6166240,6207272,6253136,6292728,6217848,6271296,6321768,6388172,6600192,6698728,6885172,6911924,6992768,7178360,7261896,7485337,7583083,7652776,7794185,7955990
 "40000","Oklahoma",6,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",868496,881880,903156,917472,920056,929532,941400,964700,1010412,1012452,1028788,1023560,1014148,1013104,1015568,1013156,971132,984564,989124,997952,948012,953552,973504,991688,926400,938496,963932,966780,898380,903288,912644,929412,860484,877240,885364,907360,828216,841224,837836,878296,788984,789144,789416,794392,683248,675784,673680,684100,605404,610276,617052,614156,578616,558808,558944,545800,548748,550272,551904,551584,468956,471136,475792,472316,455120,458676,457168,475584,410108,435264,441224,450248,439420,447880,459772,475428,446092,435328,439904,451772,473500,472228,477072,476700,443572,468392,471896,489236,450100,424664,462328,499196,568200,581724,601344,615524,648116,624836,665508,669596,676401,664314,699676,682081,686034
 "40000","Oklahoma",6,SQINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",47613651,48217339,48452951,48743571,48649259,49082603,49644043,50878451,51958909,52955829,53983273,54953345,56194384,56761880,56998496,57506588,57765832,58049652,58529912,58790472,60063816,61264356,61571116,62428128,65190792,66508388,67658232,68595872,71369268,72629568,74457264,75949884,81297796,81326404,81402276,81499776,81331840,80895496,82025756,82581716,86720240,90228804,93368548,95430008,87005676,81294048,79733088,80235512,81561220,85373320,87982604,89893716,90210832,92774772,94935400,95694172,98961132,99370380,99077232,102616412,105784176,107931572,108359172,109152492,112790652,114202552,115427176,115404124,111311596,109202968,109385252,107994272,101617900,100963744,100922776,101314792,102912068,105136320,106292824,108121724,109134720,110133232,111929684,113378072,117068492,115655888,116353268,116897944,117410156,110479585,116270704,117341415,118163758,124756789,126873179,130582082,130618292,132896944,136703992,137714440,139636249,140217254,142660847,145030973,146733278
 "40000","Oklahoma",6,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",14801388,15126440,15273020,15191440,15047120,15084348,15330544,15689396,16324896,16894972,17289028,17780940,17786116,17859412,17671320,17131160,17253992,17384648,17324244,17355848,17643600,17543452,17800560,18422428,18474712,18848816,18897196,19499112,20462576,20671484,20442436,20926000,22912596,23108196,23173824,23410936,24937612,25715452,26169048,26532788,28238208,28423256,28372488,27604544,26436372,25207284,24643916,24538476,24761080,25531448,26121692,26805152,27992368,28495080,29185588,29826308,30315616,30763608,30965216,32864664,30103788,30498236,31009632,31311856,32448460,33009772,33213432,33338244,32097656,32048200,31965844,31879388,31150448,31131000,31182964,31360444,32166964,32703572,32982916,33252916,34078296,34656756,35213184,35605908,35837244,36109172,36403668,36726584,36332128,36242668,36927772,38691960,39961640,41502468,42402620,42740084,42889144,43128304,43126436,43310996,44292557,44731484,44946586,45613786,46446168
