GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "42000","Pennsylvania",2,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted) ","Thousands of dollars",327974331,333624539,335803211,340284935,343156932,345895720,349797360,355106620,363863739,369731139,375959295,381208679,386549500,389227464,388650736,388317328,391983308,394997608,396817032,398735296,403292924,406326724,410519708,416604004,423005492,428677268,435777084,443078756,440105600,447698124,453601132,460033924,463966556,470505804,475942008,481348064,498621544,501546568,503236660,507230380,512992664,529904200,525340972,523737428,509358752,512310688,509087288,518516048,522493992,533022732,540188648,545636648,555286320,561702160,567672076,569454924,578838332,582341512,582410920,595930568,583653312,590335368,591202940,593689072,601057352,608125388,614497128,622006960,628355396,633016428,638373212,643527040,646163288,649418816,657085612,660647748,660409648,665945612,675732420,684723336,694479548,701765040,713009268,718919820,724482720,727712980,729026760,735346904,742085200,811506196,802791436,778919444,867707741,822415217,821105530,822059396,820301474,832490092,844425658,849896112,869551907,874857003,881386821,888926842,903979957
 "42000","Pennsylvania",2,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),12698494,12709513,12725877,12742042,12753405,12765382,12779854,12792317,12801296,12810099,12822275,12832980,12836856,12842204,12852700,12863699,12869720,12876136,12885532,12893130,12894064,12896145,12903111,12910092,12912136,12915197,12923787,12933292,12937162,12941324,12951992,12963420,12968516,12975692,12984370,12989454,12988716,12989513,12995885,13002983,13003160,12997975,12999832,13005875,13002573,13008651,13010326,12999397,12983968,12975134,12972228,12970413,12965067,12962058,12962977,12963453,12959521
 "42000","Pennsylvania",2,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),41146,41939,42448,42822,43540,44002,44419,44515,45217,45460,45422,46437,45467,45968,45998,46152,46703,47229,47689,48243,48732,49086,49474,49847,50043,50283,50843,51081,51047,51459,52172,52820,53551,54083,54913,55346,55778,56023,56097,56552,57070,62433,61754,59890,66734,63221,63112,63238,63178,64160,65095,65526,67069,67494,67993,68572,69754
 "42000","Pennsylvania",2,SQINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",236187747,240998599,242821167,248319403,251505076,254512720,257090296,261181312,267730391,270132491,274672367,278154715,282770512,284729232,285993144,285574300,289406428,291054288,292649160,293174136,296551780,299466116,302466572,308546936,314032496,319363656,326313808,328828648,327668112,331872108,338260212,340952328,341885692,344691684,347883580,352646104,365404344,361995404,361422300,363290520,365099088,370081020,370435904,370975716,356513704,356839868,356636924,367176820,364666736,374202292,380694784,384174272,386601376,392231312,398778504,395664048,403641708,404669560,406256236,412484100,416518920,423640188,422089556,423581028,429016908,431150212,434385436,440094896,445605656,447936876,451878892,455504792,454377148,455895268,462019040,464293628,465004184,468647836,476004828,482255860,484348172,487899440,494392472,495521820,502477760,504701172,505484144,511207300,514173524,471818928,504717008,518326448,514585689,527272641,537336838,551211380,549129638,558679824,571270634,571331324,581242501,583975610,594701729,598165732,605508748
 "42000","Pennsylvania",2,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",27559680,28080556,28184932,28768120,29088948,29292052,29450752,29776712,30503884,30562544,31051868,31337056,31826352,31956884,31993608,31959896,32574136,32714836,32824804,32718184,33050140,33294228,33529320,34122516,34319072,34857776,35701456,35956360,36184436,36728320,37435980,37649604,38520368,38820476,39118144,39610308,40328460,40318800,40573308,40941664,41388844,41803096,41875496,42053044,40939508,41199912,41010480,41839740,41516468,42276632,42718336,42884984,39000464,39342332,39875124,39408924,40084404,40131112,40268664,40772084,46204404,46908668,46701188,46886524,47821272,47923948,48215620,48908400,49646852,49922292,50246984,50662816,50321008,50551180,51347976,51867516,52744948,53297624,54141052,54567424,55102768,55286860,55846580,55926168,57387732,57632560,57530160,58026736,58440532,54673772,56956472,58288156,58331188,59597200,60900612,62813176,63932648,65256684,66758552,66558932,68092033,68315897,69415011,69655978,71076146
 "42000","Pennsylvania",2,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",13693572,13963184,14029276,14325544,14564272,14718112,14819192,14974172,15302772,15331712,15567668,15729892,16006076,16103228,16163320,16167936,16569092,16634160,16693396,16644668,16754484,16877392,17033552,17399428,17546944,17864000,18295628,18398980,18481432,18708024,19028172,19115192,19706860,19899848,20082680,20357592,20863212,20904152,21061496,21243616,21537264,21774284,21794368,21890604,21393804,21506544,21424924,21880008,21620224,22001604,22256484,22364440,17926344,18118892,18378920,18220992,18391024,18419352,18478604,18611440,23952120,24285012,24146284,24208588,24851516,24886708,25009480,25326732,25822708,25916832,26055100,26243524,26236108,26339332,26738172,26992564,27618628,27915468,28374760,28588544,29245316,29363892,29654152,29667264,30546920,30690624,30691096,31021232,31540096,29569832,30860916,31727800,31879756,32592468,33319892,34336196,35249048,36006660,36779240,36678784,37346118,37428320,38001967,38125580,38982992
 "42000","Pennsylvania",2,SQINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",13866108,14117372,14155656,14442576,14524676,14573940,14631560,14802540,15201112,15230832,15484200,15607164,15820276,15853656,15830288,15791960,16005044,16080676,16131408,16073516,16295656,16416836,16495768,16723088,16772128,16993776,17405828,17557380,17703004,18020296,18407808,18534412,18813508,18920628,19035464,19252716,19465248,19414648,19511812,19698048,19851580,20028812,20081128,20162440,19545704,19693368,19585556,19959732,19896244,20275028,20461852,20520544,21074120,21223440,21496204,21187932,21693380,21711760,21790060,22160644,22252284,22623656,22554904,22677936,22969756,23037240,23206140,23581668,23824144,24005460,24191884,24419292,24084900,24211848,24609804,24874952,25126320,25382156,25766292,25978880,25857452,25922968,26192428,26258904,26840812,26941936,26839064,27005504,26900436,25103940,26095556,26560356,26451432,27004732,27580720,28476980,28683600,29250024,29979312,29880148,30745915,30887577,31413044,31530398,32093154
 "42000","Pennsylvania",2,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",3177140,3215404,3373976,3316352,3545284,3474696,3554080,3651396,3867284,4030948,4052440,4273256,4235892,4284816,4262384,4485724,4584956,4577948,4565772,4622376,4844236,5079216,5206892,5173204,5694816,5834752,5887632,6047508,6718820,6756036,6868888,7207844,7270772,7385976,7273592,7408488,8251124,8274656,8104576,8253940,8767932,8448512,8526460,8545128,7178944,7352384,7509396,7269108,8078644,8041664,7981076,7893440,7940156,7882604,7834368,7797312,8183864,8149608,8181672,8385096,8118372,8035660,8085404,8313612,8835960,8917296,9020408,9107064,8806876,9013436,8989852,8988892,9337328,9451120,9379032,9571020,9847120,9949212,10018116,10166252,10711824,10810136,10959264,11016296,11560640,11590924,11717164,11687076,12923884,11964532,12582936,12811176,13178412,13111856,13471108,13744676,13933564,13892360,14052724,14296344,14271922,14767384,14995078,14934391,15098402
 "42000","Pennsylvania",2,SQINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",211805207,216133447,218010211,222867635,225961412,228695364,231193624,235055996,241093791,243600895,247672939,251090915,255180052,257057164,258261920,258100128,261417248,262917400,264390128,265078328,268345876,271251104,274144144,279597624,285408240,290340632,296499984,298919796,298202496,301899824,307693120,310510568,310636096,313257184,316039028,320444284,333327008,329951260,328953568,330602796,332478176,336726436,337086868,337467800,322753140,322992340,323135840,332606188,331228912,339967324,345957524,349182728,355541068,360771584,366737748,364052436,371741168,372688056,374169244,380097112,378432888,384767180,383473772,385008116,390031596,392143560,395190224,400293560,404765680,407028020,410621760,413830868,413393468,414795208,420050096,421997132,422106356,425299424,431881892,437854688,439957228,443422716,449505156,450611948,456650668,458659536,459671148,464867640,468656876,429109688,460343472,472849468,469432913,480787297,489907334,502142880,499130554,507315500,518564806,519068736,527422390,530427097,540281796,543444145,549531004
 "42000","Pennsylvania",2,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",64332480,65443516,65599120,64579044,63483640,63156272,63676116,64419968,66477928,68408316,69787488,70976032,70757484,70255428,69120144,66516524,66000040,66399644,66435864,67305656,67569560,67003548,67472448,68245572,67881304,68159696,68010284,71993732,67455076,69134412,69598928,72540524,74180404,78074268,79280896,80186092,81458704,87039788,88449436,89384828,91434608,91230720,93562316,91790676,87558144,83874252,81408036,80828324,81259236,82687152,82443024,84689812,87476252,88984564,90231940,94295920,96239468,98378436,96293188,103456720,92850228,92795720,93870948,94372600,96461504,99520128,101101056,102293372,102815116,103892604,104242004,105137504,105933888,106426460,107213576,107957408,109530300,111796200,113111812,115129336,118081680,121204740,123421204,125728872,124335048,125384832,125822272,127226224,129976376,128708668,130015492,134935132,137567756,141852096,144141760,146071680,146499476,150175656,152506316,155773160,159162778,160619846,161463477,164174883,166519818
