GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "44000","Rhode Island",1,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted) ","Thousands of dollars",27797402,28179410,28547230,28874830,28941418,29284998,29821102,30276766,31168745,31547777,32212865,32571749,33351164,33652744,33591212,33851912,34540532,34896564,35060976,35364636,36196368,36345048,36869160,37390244,37771448,38334992,38969104,39090512,38571188,39117724,39384144,39892216,40225212,41080796,41703900,41638220,42834960,42791780,42969800,43144308,43247064,44381008,43616880,43829468,41895156,42664992,42935224,43564328,43993360,44968144,45342928,45591064,45992300,46852868,46923436,46972872,47968648,48121468,47983524,48672164,47868260,48016568,48344952,48518280,49366776,49653592,50177720,50982504,51201528,51747716,51930844,52220680,51978332,52293244,52891888,52894352,53604008,54178636,55444028,55590388,56364980,56585916,56951632,57773192,60036708,60236680,60187396,60793484,61644720,67420485,65731165,64229846,72621218,69162143,68693864,68872123,68055466,69592264,70170822,70238292,71840966,71962493,73338284,73262874,74533093
 "44000","Rhode Island",1,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1053216,1053952,1055612,1056709,1057406,1058152,1059402,1060792,1061890,1062969,1064394,1065765,1066589,1067528,1068904,1070324,1071347,1072424,1073807,1075109,1075896,1076766,1078110,1079483,1080483,1081578,1082740,1083618,1084061,1084525,1085942,1087827,1089259,1090827,1092277,1093151,1093577,1094118,1095195,1096424,1097090,1096833,1096706,1097003,1096495,1096796,1096858,1096006,1094787,1094083,1094227,1094843,1095120,1095613,1096524,1097449,1097854
 "44000","Rhode Island",1,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),41771,42666,42954,43144,43495,44278,44292,44281,45173,45271,45081,45669,44880,44979,45229,45330,46079,46300,46729,47421,47590,48058,48168,48376,48107,48349,48850,48813,49447,49956,51056,51102,51746,51874,52140,52850,54899,55055,54956,55447,56189,61468,59935,58550,66230,63058,62628,62839,62163,63608,64128,64154,65601,65682,66883,66757,67890
 "44000","Rhode Island",1,SQINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",18897910,19152334,19533470,19894174,19986074,20410642,20851922,21181894,21892525,22007749,22441653,22621981,22997224,23193932,23310904,23474544,24086604,24389424,24617568,24868264,25428800,25544492,26013968,26692836,26683632,27108120,27762124,27338476,27526408,27912072,28112792,28504096,28468484,29343952,29919668,29734924,30411104,29830524,29670476,29575376,30032804,29768284,29452120,29829124,28171108,28551904,28853612,29459472,29636884,30620740,31136260,31157736,30552364,31399080,31581040,31441828,32086740,32286872,32327188,32723828,32902320,32962032,33161884,33286392,33868944,33892852,34198460,34931896,34947756,35311412,35477180,35823780,35277840,35715444,36423972,36220628,36189860,36673396,37798928,37663004,37918676,38018576,38231136,39100564,39672768,39587248,39516432,40071816,40775488,37255653,40447465,41431802,41057854,43053311,43575200,45067839,44617866,46057820,46632130,46174624,47166988,47038057,49087263,48574747,49422512
 "44000","Rhode Island",1,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",2421012,2447056,2491788,2526608,2521896,2568120,2618532,2647132,2721732,2726372,2779404,2797332,2853512,2868260,2867056,2876724,2924244,2963340,2993372,3019244,3089516,3106196,3155580,3229404,3240760,3281248,3359192,3298432,3374840,3416416,3431812,3471256,3498968,3611940,3691436,3655688,3767484,3692236,3675960,3669220,3761684,3726164,3710172,3794332,3626032,3689096,3705632,3736000,3716416,3792860,3829948,3818244,3412728,3515940,3537388,3514532,3561128,3582380,3575012,3598100,4104200,4103480,4124356,4137388,4250560,4241996,4275656,4390672,4416416,4487460,4509020,4564744,4536188,4600016,4687572,4640204,4663068,4719444,4860668,4832688,4882420,4893716,4920752,5040304,5111316,5087256,5056704,5108832,5179308,4805352,5112120,5238712,5205380,5462680,5544200,5757460,5750584,5947564,6010036,5925868,6071709,6044740,6300327,6216321,6378264
 "44000","Rhode Island",1,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",1244652,1258920,1282772,1303424,1306672,1333212,1359696,1376540,1413324,1417320,1447572,1460552,1494800,1510028,1515376,1523116,1556988,1577912,1595668,1611788,1650756,1656012,1685252,1728080,1731712,1754612,1794144,1756760,1800396,1820420,1824824,1846032,1871668,1938352,1983300,1961092,2028440,1992520,1985900,1980364,2041096,2022668,2007612,2052032,1958760,1983956,1988948,1999984,1976956,2015332,2039772,2043312,1621580,1686820,1702368,1695664,1698780,1705096,1695904,1693620,2182448,2175520,2184164,2186728,2260064,2249668,2263192,2322584,2347184,2381176,2391356,2420300,2423752,2461784,2511648,2481952,2512304,2543684,2629320,2611128,2667460,2673956,2687092,2759332,2798868,2786716,2770936,2801204,2864624,2658176,2827300,2899008,2876364,3014980,3056004,3170476,3191800,3312460,3337212,3289464,3352479,3329727,3475033,3422581,3516335
 "44000","Rhode Island",1,SQINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",1176360,1188136,1209016,1223184,1215224,1234908,1258836,1270592,1308408,1309052,1331832,1336780,1358712,1358232,1351680,1353608,1367256,1385428,1397704,1407456,1438760,1450184,1470328,1501324,1509048,1526636,1565048,1541672,1574444,1595996,1606988,1625224,1627300,1673588,1708136,1694596,1739044,1699716,1690060,1688856,1720588,1703496,1702560,1742300,1667272,1705140,1716684,1736016,1739460,1777528,1790176,1774932,1791148,1829120,1835020,1818868,1862348,1877284,1879108,1904480,1921752,1927960,1940192,1950660,1990496,1992328,2012464,2068088,2069232,2106284,2117664,2144444,2112436,2138232,2175924,2158252,2150764,2175760,2231348,2221560,2214960,2219760,2233660,2280972,2312448,2300540,2285768,2307628,2314684,2147176,2284820,2339704,2329016,2447700,2488196,2586984,2558784,2635104,2672824,2636404,2719230,2715013,2825294,2793740,2861929
 "44000","Rhode Island",1,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",1010456,1075048,1100712,1107868,1127868,1139804,1189304,1243624,1311628,1289820,1364956,1374992,1501244,1439424,1399408,1375816,1433148,1438528,1411648,1378136,1342160,1366392,1403540,1392836,1548820,1608152,1618360,1620176,1412948,1404224,1460884,1480064,1492692,1432568,1375924,1508124,1438852,1507052,1552180,1619956,1295420,1323352,1333644,1292264,1246932,1240788,1239956,1226892,993816,1004408,1039852,1055912,1278148,1312448,1262748,1266444,1394536,1396960,1408756,1491516,1376592,1428696,1416336,1439284,1115712,1126204,1167164,1204768,1291368,1338044,1341232,1392704,1418988,1411980,1409700,1442100,1632804,1668132,1608064,1725704,2034308,2048588,2118536,2041896,2997584,3011672,3040476,3063332,3220588,3131228,3037044,3353004,3098440,3215092,3380496,3305728,3009624,2854436,2892252,3091100,3051531,3166407,2935493,3032332,3028790
 "44000","Rhode Island",1,SQINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",17487354,17780326,18142394,18475434,18592046,18982326,19422694,19778386,20482421,20571197,21027205,21199641,21644956,21765096,21843256,21973636,22595508,22864612,23035844,23227156,23681444,23804688,24261928,24856268,24991692,25435024,26021292,25660220,25564516,25899880,26141864,26512904,26462208,27164580,27604156,27587360,28082472,27645340,27546696,27526112,27566540,27365472,27075592,27327056,25792008,26103596,26387936,26950364,26914284,27832288,28346164,28395404,28417784,29195588,29306400,29193740,29920148,30101452,30160932,30617244,30174712,30287248,30453864,30588288,30734096,30777060,31089968,31745992,31822708,32161996,32309392,32651740,32160640,32527408,33146100,33022524,33159596,33622084,34546324,34556020,35070564,35173448,35428920,36102156,37559036,37511664,37500204,38026316,38816768,35581529,38372389,39546094,38950914,40805723,41411496,42616107,41876906,42964692,43514346,43339856,44146810,44159724,45722429,45390758,46073038
 "44000","Rhode Island",1,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",5744188,5842492,5866284,5798184,5652080,5597080,5625448,5692328,5889852,6079124,6223576,6339232,6348228,6364412,6319560,6168248,6260488,6272220,6280284,6349692,6681784,6661088,6644556,6589996,6679276,6607156,6599592,6978940,6498968,6643792,6693700,6814356,7016144,7210772,7242856,7215900,7541328,7821356,7884260,7948040,7976920,8049776,8303332,8363500,7498964,7490596,7473284,7509216,7566440,7600036,7521240,7582660,7980912,8019012,7983820,8172724,8480988,8560528,8410952,8534820,8147364,8159736,8207564,8201884,8503892,8568184,8624040,8682528,8877760,9010648,9025100,9033476,9205356,9198440,9223436,9283124,9756060,9797840,9855188,9925564,10172064,10269484,10361832,10455320,10917912,10979092,10945756,10964984,11049700,10906888,10954996,11014188,11961868,12061692,12119012,12199988,12167692,12439584,12610632,12804424,13053086,13166538,13214602,13403215,13606488
