GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "97000","Rocky Mountain",7,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted) ","Thousands of dollars",224448648,228582336,234326620,236304016,240035503,243045167,245620155,253445267,259388841,266745657,272260481,276701705,281445768,283031368,281816344,281869592,283094136,285421480,287041956,290323812,290593824,293088888,298436508,300213096,304595840,310290360,313053248,320499508,325171812,331515288,337745556,344330216,357804280,363770384,368873184,373168396,383927776,391306792,393085532,399873184,403744084,418616972,415513400,409821420,400031420,394268212,390613028,391498900,397519660,403022440,409657836,418008444,432189032,436988352,443173976,446107456,456823252,461768132,460033792,481223680,472964136,480288156,485671712,489537780,503064524,512839604,519207736,528838512,535627008,540472224,543442116,545501336,546016292,549461040,556095144,563974584,575207724,585283572,593740852,605275156,617886892,627732200,638860100,650180892,668519412,673898216,683968252,689821892,704722596,750236491,733020174,744267659,835233040,797848167,808303225,826449632,841009242,853868890,879070980,882300616,897144851,908528890,915715811,926946615,942831752
 "97000","Rocky Mountain",7,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),10895597,10931685,10968677,11004919,11037628,11071126,11107862,11144479,11178250,11212209,11251741,11293112,11329127,11366412,11406819,11447180,11483469,11520341,11564638,11612460,11654989,11698687,11747514,11797602,11843683,11890994,11939839,11986613,12028674,12071229,12117473,12162891,12203272,12245625,12289608,12331234,12368265,12406867,12448927,12490692,12527281,12563475,12604625,12645426,12677962,12719091,12758369,12789003,12815765,12848364,12880710,12909259,12934640,12962060,12992572,13022381,13049074
 "97000","Rocky Mountain",7,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),36484,36867,37348,37984,39156,39471,39897,40029,40867,41184,40886,42612,41748,42255,42577,42765,43808,44516,44896,45541,45957,46199,46260,46238,46102,46208,46575,47050,47820,48486,48999,49764,50633,51262,51984,52726,54051,54317,54942,55227,56255,59716,58155,58857,65881,62728,63355,64622,65623,66457,68247,68346,69360,70091,70480,71181,72253
 "97000","Rocky Mountain",7,SQINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",170559060,173501420,179175592,181357744,185639783,189026563,190856079,198257203,202479525,208015725,211958317,214817825,218584700,219050900,218913916,218930408,219882172,221251828,222794612,225057024,223070408,225830088,230368888,230884804,234346480,239425648,241946540,245681420,250089780,253323940,259212488,262534308,273217304,275402104,279897032,283930380,291577868,293579548,293258536,298794992,298796668,301734084,304013392,300958068,291280468,285457436,284945228,286556416,288391252,291943360,296689808,302044516,307276820,309803332,314672428,314183556,323308996,325619084,326698384,336997160,343052628,348937816,351336844,354770528,365375556,369665476,372829412,379520868,383470620,385048520,386843376,387337092,386391176,388753044,394528816,400390052,407429084,414387700,421268876,431325580,440332560,446231036,453479992,459940408,472994316,474288944,483937172,488312840,500786108,475301131,505789266,520879639,526781972,543661451,556563773,575342928,588187122,593692418,606856892,612527792,621585909,631744009,639104588,647358034,655083224
 "97000","Rocky Mountain",7,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",18797216,19074152,19665332,19770444,20159196,20480960,20596160,21332804,21851980,22343120,22775788,23070884,23511912,23589692,23601156,23733420,24246384,24380940,24496300,24646364,24703868,24988760,25504424,25621248,26302812,26901200,27251472,27640044,28327412,28643204,29289824,29666044,30837316,31094252,31640180,32175960,32826212,33304632,33388028,34176860,34386812,34592456,34760548,34414816,33721788,33441980,33374628,33241116,33815736,33820468,34030920,34363760,31765216,31941856,32373068,32304212,33088964,33392084,33427320,34328016,38410804,38901024,39152836,39614372,40790288,41091948,41518692,42441424,42916808,43238164,43466596,43670620,44101564,44367720,44881460,45454492,46359380,46992100,47767752,48546360,49414140,49920232,50557672,51148300,52348440,52383664,53436604,53940480,55424792,54025096,55674288,57085452,57847564,59050924,60514272,62875908,65017152,66122692,67901332,68706100,70182723,71445062,71975338,72865191,74309111
 "97000","Rocky Mountain",7,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",9556548,9701236,10007736,10076288,10309412,10486696,10546980,10924416,11151880,11412852,11633936,11798640,12058252,12101904,12074972,12062748,12180016,12231140,12291424,12369924,12348876,12473036,12718084,12750684,13043040,13321296,13473940,13656588,14033628,14180224,14466264,14620076,15276036,15407060,15695304,15977824,16415100,16702548,16759748,17145320,17289088,17406712,17497344,17343892,17098368,16964884,16962180,16913572,17137956,17103424,17193244,17336000,14010952,14076012,14245984,14266188,14529380,14700204,14771172,15171928,19445184,19728784,19884540,20090584,20755820,20889248,21079676,21540648,21904464,22078428,22198476,22302504,22688532,22823692,23095944,23412816,24060236,24443420,24871660,25304748,26100444,26406704,26736460,27047012,27781788,27797068,28388648,28647508,29634124,28830256,29705296,30517776,31011292,31612928,32366032,33590328,35052620,35644620,36525940,36963112,37614545,38236475,38464583,38938815,39802537
 "97000","Rocky Mountain",7,SQINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",9240668,9372916,9657596,9694156,9849784,9994264,10049180,10408388,10700100,10930268,11141852,11272244,11453660,11487788,11526184,11670672,12066368,12149800,12204876,12276440,12354992,12515724,12786340,12870564,13259772,13579904,13777532,13983456,14293784,14462980,14823560,15045968,15561280,15687192,15944876,16198136,16411112,16602084,16628280,17031540,17097724,17185744,17263204,17070924,16623420,16477096,16412448,16327544,16677780,16717044,16837676,17027760,17754264,17865844,18127084,18038024,18559584,18691880,18656148,19156088,18965620,19172240,19268296,19523788,20034468,20202700,20439016,20900776,21012344,21159736,21268120,21368116,21413032,21544028,21785516,22041676,22299144,22548680,22896092,23241612,23313696,23513528,23821212,24101288,24566652,24586596,25047956,25292972,25790668,25194840,25968992,26567676,26836272,27437996,28148240,29285580,29964532,30478072,31375392,31742988,32568178,33208587,33510755,33926376,34506574
 "97000","Rocky Mountain",7,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",683632,692788,700488,717260,782536,778868,803120,826908,874732,846488,856004,850884,842356,853836,837164,840200,822040,834176,838428,844044,822324,846520,860432,872100,853916,876496,890964,902504,867388,882860,885052,902024,856092,850136,857060,868452,845576,859440,883644,894488,928504,924232,936036,926408,1038336,1052156,1040864,1054560,1190768,1224452,1235748,1248184,1597992,1611884,1639048,1663280,2204152,2246616,2264612,2302188,2505136,2535828,2567332,2599520,2747604,2792904,2857084,2900980,2654248,2652844,2655984,2647396,2435996,2432864,2456852,2495896,2624512,2656880,2687640,2731188,2783380,2809872,2865676,2876536,3079472,3104812,3105192,3172376,3066564,2826552,2956848,3039804,3025080,3120532,3194712,3252752,3490704,3516912,3608008,3623720,3710859,3781343,3838231,3883626,3919017
 "97000","Rocky Mountain",7,SQINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",152445476,155120056,160210748,162304560,166263123,169324471,171063039,177751307,181502277,186519093,190038533,192597825,195915144,196315044,196149924,196037188,196457828,197705064,199136740,201254704,199188864,201687848,205724896,206135656,208897584,213400944,215586032,218943880,222629756,225563596,230807716,233770288,243236080,245157988,249113912,252622872,259597232,261134356,260754152,265512620,265338360,268065860,270188880,267469660,258597016,253067612,252611464,254369860,255766284,259347344,263894636,268928940,277109596,279473360,283938408,283542624,292424184,294473616,295535676,304971332,307146960,312572620,314751340,317755676,327332872,331366432,334167804,339980424,343208060,344463200,346032764,346313868,344725608,346818188,352104208,357431456,363694216,370052480,376188764,385510408,393701800,399120676,405787996,411668644,423725348,425010092,433605760,437544736,448427880,424102587,453071826,466833991,471959488,487731059,499244213,515719772,526660674,531086638,542563568,547445412,555114045,564080290,570967481,578376469,584693130
 "97000","Rocky Mountain",7,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",48518708,49794988,50342032,49923380,49137716,48952200,49445716,50319776,52001320,53576428,55106228,56563724,56890600,57170244,56636340,54903416,54988644,55487880,55503760,56321672,57924452,57431584,58291076,59663016,60430480,61112568,61489412,64945952,64627920,67223444,67871020,71218748,73572400,77033720,77566508,78046520,80053344,85693016,87136712,88269344,91136484,91337492,93493424,91460332,87193352,82613648,79375720,77761836,78560568,79922912,80759712,83787340,89280408,91752784,93830048,96681280,99117520,101149332,98406532,109439908,98173964,99670540,102145104,102683884,105240280,109381052,111828860,114564136,116175016,118354652,119106748,120070784,120902116,121222216,122383028,124040708,127972984,131286444,132328136,133445780,135115804,138414320,141635532,146057724,148807060,152101336,153462160,155142864,157363752,154457284,155995572,164165768,169405944,177014900,181914688,186742036,189551024,196655528,201085488,206445040,211605461,213961760,214930480,219160354,223133701
