GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "48000","Texas",6,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted) ","Thousands of dollars",502334916,511032900,520201536,525960968,533374059,538154847,544917543,558743991,575998972,586305432,598118768,606530172,630080544,631787368,631050048,631402876,631440388,637386080,641595764,647350304,653510240,661369968,669230136,675149368,681942764,689050500,699834768,714697220,732005308,744626364,761141892,781329868,810488056,824387884,831883120,842999564,858039192,874080672,883677896,899811888,935125724,982017604,976561776,980292076,937065744,921956612,913513040,921347516,952994916,974170368,992376820,1008668940,1053245176,1068266220,1085615160,1092305312,1126725296,1137664360,1132864772,1174295536,1152225176,1169747408,1181130232,1191886844,1229454932,1252629108,1267767180,1280707152,1285232572,1279785188,1282380612,1277282168,1262423340,1265145616,1279380276,1298373128,1332393580,1355879964,1377510080,1405520392,1429974328,1450969896,1476734548,1497480604,1514937824,1528139088,1542899184,1560411884,1553244232,1649900969,1623058210,1618709609,1839896926,1751180069,1766118141,1801682528,1825797912,1861370352,1902672056,1927838260,1966967444,1975665877,2005469150,2028640021,2061535174
 "48000","Texas",6,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),25092384,25192019,25291801,25394327,25488391,25581207,25686853,25797372,25901172,26002872,26108966,26210707,26300413,26390243,26500044,26622801,26736489,26849297,26974290,27102913,27220101,27337789,27456856,27569219,27672089,27775638,27879439,27975921,28061831,28146421,28236263,28321384,28395067,28470471,28558172,28649726,28730587,28813461,28909855,29010869,29100759,29187765,29279172,29365176,29432167,29515153,29623684,29742395,29850531,29967795,30092350,30214578,30327977,30442626,30568874,30696814,30814815
 "48000","Texas",6,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),37979,38670,39237,39720,41323,41760,42263,42342,43501,43751,43390,44802,43810,44325,44571,44769,45984,46654,46999,47253,47216,46814,46705,46330,45621,45549,45890,46410,47481,48172,48785,49628,50360,50964,51710,52269,52729,53036,53369,53787,53375,56527,55434,55123,62513,59332,59618,60576,61165,62112,63228,63805,64857,64898,65605,66086,66901
 "48000","Texas",6,SQINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",398363516,405245680,414604080,421093648,427840111,432573663,437972703,451520107,466112792,472072340,481530932,485854328,509240644,507670272,509327228,508456936,507483096,511512916,514981704,517211280,517862628,525722848,531426604,536454056,542751252,548839268,558829584,564940388,577052748,582028956,596393748,611038400,635262520,643993668,652053928,664941672,672220824,678107756,681466212,690562876,708464504,720194408,732109868,743453520,699223308,683549760,680935500,690073236,708277072,725233064,739414700,750114520,776515952,786339028,800288520,799409784,831872820,837145752,838938412,861723028,868280684,883361356,887929852,895446552,928718540,941246764,950119448,958415036,959425008,950019580,954079580,950907660,937756652,940550152,951935464,967255480,988337548,1004619768,1018028156,1042499580,1061804532,1074547592,1092510460,1104735260,1117840692,1123717336,1136442616,1152404044,1139286548,1070719689,1124269470,1149106069,1161887414,1208680221,1240341685,1275293700,1308128432,1329256644,1368270992,1382723456,1408099651,1415073338,1447814803,1467789855,1486065696
 "48000","Texas",6,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",39828996,40413500,41326520,41792520,42609488,42965208,43338012,44526740,45914200,46138512,47091060,47456448,49313556,48947268,48945360,48906764,48902288,49363424,49763388,50002952,50519416,51415908,52057236,52542656,53448416,53885540,54813052,55160936,56827196,57127092,58176404,59312280,60884956,61520868,62303680,63786552,65074516,66246244,66717968,67915292,68849556,69434292,70030532,71050016,68958660,69263388,69398488,69833736,71400800,72027488,72510264,72785416,67601712,67712192,68416600,68208900,70785372,71364492,71909472,74202168,83631332,85098408,85617880,86295832,88772960,89665772,90706940,92386548,93927136,93825512,94811604,95174480,95826508,96081024,97017836,98262768,100452988,101796204,102971020,104453672,106182788,106967920,107992348,108922436,111412764,112018040,113239844,114793056,116405008,112258240,113913716,116260836,117281120,120183208,122981508,126817580,131062848,133483380,137508852,139138524,142921826,143819308,146525487,148424918,151625457
 "48000","Texas",6,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",20704412,21007528,21478744,21729408,22201480,22401400,22602120,23230472,23912708,24041616,24505432,24682496,25640252,25479388,25526664,25553284,25743056,25906388,26003560,25956704,25893728,26163716,26414880,26680536,27218048,27533344,28048820,28264052,29229996,29390480,29948204,30574036,31671760,32099208,32532732,33279816,34054216,34726536,35021060,35740656,36505460,36952872,37307056,37849540,36821708,36847448,36864456,36988764,37554132,37722428,37943544,38066152,31204876,31273780,31574212,31572732,32506940,32810056,33123604,34120488,43861432,44695304,45027380,45347004,46859064,47321372,47807264,48590692,49553212,49417076,49870380,50016480,50723536,50809716,51228404,51858996,53316640,54014468,54638316,55373808,56995524,57458992,57980916,58466964,60004636,60348368,61116552,62027088,63448744,61033884,61763100,62872124,63199796,64384080,65665416,67560928,70621324,72021904,74088952,75042160,76751254,77100602,78466589,79498871,81394053
 "48000","Texas",6,SQINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",19124584,19405972,19847776,20063112,20408008,20563808,20735892,21296268,22001492,22096896,22585628,22773952,23673304,23467880,23418696,23353480,23159232,23457036,23759828,24046248,24625688,25252192,25642356,25862120,26230368,26352196,26764232,26896884,27597200,27736612,28228200,28738244,29213196,29421660,29770948,30506736,31020300,31519708,31696908,32174636,32344096,32481420,32723476,33200476,32136952,32415940,32534032,32844972,33846668,34305060,34566720,34719264,36396836,36438412,36842388,36636168,38278432,38554436,38785868,40081680,39769900,40403104,40590500,40948828,41913896,42344400,42899676,43795856,44373924,44408436,44941224,45158000,45102972,45271308,45789432,46403772,47136348,47781736,48332704,49079864,49187264,49508928,50011432,50455472,51408128,51669672,52123292,52765968,52956264,51224356,52150616,53388712,54081324,55799128,57316092,59256652,60441524,61461476,63419900,64096364,66170572,66718706,68058898,68926047,70231404
 "48000","Texas",6,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-1020812,-1040048,-1080528,-1092224,-1052984,-1063384,-1078832,-1135860,-1149256,-1163900,-1201320,-1205956,-1222784,-1181712,-1170832,-1164484,-1157180,-1154288,-1162396,-1154280,-1069784,-1080024,-1089512,-1086388,-985752,-986584,-1009256,-1010692,-931696,-923044,-973720,-1040056,-984716,-1026416,-1070428,-1124392,-1084928,-1147276,-1147772,-1177724,-1169008,-1186416,-1199392,-1242904,-1395672,-1402744,-1407088,-1425048,-1515636,-1516356,-1543044,-1578872,-1821552,-1834288,-1867408,-1878884,-2146240,-2166404,-2225996,-2330732,-2320012,-2385672,-2422900,-2451472,-2371392,-2436944,-2482312,-2544568,-2461460,-2419972,-2453428,-2453788,-2143996,-2123796,-2138032,-2172004,-1815904,-1862380,-1897924,-1969816,-1925164,-1974444,-2015064,-2063920,-2311584,-2348836,-2404092,-2446308,-2186632,-2113600,-2125576,-2233964,-2018940,-2104344,-2180812,-2282540,-2523916,-2594192,-2693912,-2764724,-2850771,-2842288,-2957704,-3017761,-3066301
 "48000","Texas",6,SQINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",357513708,363792132,372197032,378208904,384177639,388545071,393555859,405857507,419049336,424769928,433238552,437191924,458704304,457541292,459211036,458385688,457423628,460995204,464055920,466054048,466273428,473226916,478279856,482825012,488317084,493967144,503007276,508768760,519293856,523978820,537243624,550686064,573392848,581446384,588679820,600030728,606061380,610714236,613600472,621469860,638445940,649573700,660879944,671160600,628868976,612883628,610129924,618814452,635360636,651689220,665361392,675750232,707092688,716792548,730004512,729322000,758941208,763614856,764802944,785190128,782329340,795877276,799889072,806699248,837574188,849144048,856930196,863483920,863036412,853774096,856814548,853279392,839786148,842345332,852779596,866820708,886068656,900961184,913159212,936076092,953696580,965605228,982503048,993748904,1004116344,1009350460,1020798680,1035164680,1020694908,956347849,1008230178,1030611269,1042587354,1086392669,1115179365,1146193580,1174541668,1193179072,1228068228,1240820208,1262327054,1268411742,1298331612,1316347176,1331373938
 "48000","Texas",6,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",85759532,87844972,88689568,87942160,88424172,88860060,90084672,91147272,94233524,97023200,99396112,102902476,102599880,103210140,102103200,98718624,97622792,98753840,99159952,101466168,105583356,105019904,106256744,107803848,107457656,107809804,108397928,115637352,118257672,124028156,125049928,130347644,134656416,139332536,138325512,136982236,139946608,149931928,154642736,161152660,178346620,182576956,188354140,183746528,174302636,164294228,157826968,155618044,161804000,165351500,166662752,171773368,182542524,187211720,191457036,198119428,204929768,210123880,205041716,224057556,203618640,205907256,210385440,212222496,219633376,226795068,230657256,234072304,235009540,236384684,234422420,231869016,225904480,223810576,225593560,230701168,242705956,253090856,258768856,263410060,265944808,272554732,279195668,286365548,287271700,292705356,294486328,297682040,300003484,293717440,297935004,312019756,321451676,334834304,342767860,349280528,349993120,362249828,369284816,378421196,389955367,394914588,397873765,405819855,414817477
