GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "49000","Utah",7,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted) ","Thousands of dollars",46867899,47776327,48528655,49221211,49573680,50217572,51020428,51868316,52855539,53972699,54633263,55460755,56298388,56772644,56894552,57189124,58145456,58217468,58554916,59116484,59814480,60302164,61041552,61923584,62990508,64295696,65214160,66679484,68029928,69809452,71407580,73400428,76187072,77925196,79157208,80974952,83480652,85618008,85809520,87205716,88237656,92041588,90590620,89001216,87077540,86977948,86154680,86168536,87390112,88039444,89354940,90977552,94017980,95382140,96670892,97455832,100116372,101189408,100706864,105699900,103241508,104882336,106060280,105927792,108731956,110149760,111506008,113838068,117219172,119039612,120463312,121923828,124311804,125444944,127122176,129283372,131269936,133324704,135643380,137948916,141396204,143494224,145716872,147974708,153560356,154098496,156410400,158625340,161438440,174771644,169548580,174002152,196466172,185056087,187728116,192622689,194937520,198785712,203206244,207117772,209688511,213533628,216296283,219201238,223186641
 "49000","Utah",7,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),2757555,2769948,2781703,2792499,2802509,2812806,2823786,2834615,2844806,2855102,2866917,2879341,2890483,2901970,2913614,2924719,2934854,2945215,2957178,2969809,2981190,2992920,3007397,3023690,3039042,3054837,3071248,3087427,3102482,3117726,3132967,3147159,3160183,3173777,3187679,3201003,3213292,3226022,3239539,3253028,3265379,3277531,3291156,3305239,3317393,3331730,3344854,3355191,3364660,3375580,3385994,3395293,3403868,3412935,3422577,3431986,3440875
 "49000","Utah",7,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),31691,31784,32122,32579,33548,33910,34234,34381,35193,35442,35127,36710,35718,36142,36402,36218,37049,37400,37707,38332,39320,39774,40056,40323,40905,41064,41391,41874,42311,42763,43296,43833,44743,45212,45713,46228,47789,47767,48282,48762,49439,53324,51516,52644,59223,55544,56124,57410,57937,58889,60014,61001,61603,62566,63197,63870,64863
 "49000","Utah",7,SQINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",37556635,38267915,38990723,39816211,40085660,40808272,41530996,42281052,42931147,43644923,43925643,44473171,45136232,45427756,45783724,46000340,46510040,46329868,46634808,46987900,47204840,47780432,48409632,49259848,50298408,51642760,52522736,53085048,54162972,55133168,56667556,58219888,60726664,61910412,63070192,64891084,66476976,67484148,67069648,68042332,68241032,68972224,69045452,68032156,65941656,65721824,65354928,65441696,65761356,66161428,67202688,68342836,69713068,70547536,71682796,71800948,74595304,75314384,75368316,78177060,78562820,79914676,80533956,80359876,83105400,83355488,84065244,85772996,88117232,89283908,90330792,91465580,92998704,93907484,95430448,97127268,98089304,99498060,101673816,103860712,106259084,107701764,109395972,110761232,114950412,114688548,116930736,118990604,121171176,119808412,126190856,131018756,131348852,134476935,137597592,141735649,143745844,145982396,149508680,151914776,153167458,156941531,159721687,162221548,164140808
 "49000","Utah",7,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",4375124,4445872,4520516,4595884,4622192,4691396,4771056,4835092,4958288,5031800,5062724,5131556,5242744,5278352,5311844,5333632,5441876,5423696,5458836,5494876,5553612,5631372,5711364,5815880,5975768,6135420,6247460,6318760,6473076,6591108,6757124,6918564,7099476,7193944,7315704,7525180,7681264,7853140,7831784,7965708,7976924,8047244,8074408,7988444,7826024,7816692,7740236,7687960,7826040,7797352,7867420,7964764,7375384,7429364,7533700,7517636,7719312,7796456,7799928,8101636,9118852,9297668,9388720,9399128,9722092,9716876,9770824,9953992,10078308,10200824,10268208,10385644,10538740,10657584,10816760,11025412,11147644,11287008,11525620,11667604,11879616,11941828,12064188,12181428,12630852,12570180,12823216,13084172,13380624,13462108,13822948,14446648,14505368,14777108,15128024,15646256,16059212,16389892,16792936,17033788,17240827,17673203,17916069,18167715,18511626
 "49000","Utah",7,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",2172640,2210240,2250748,2295732,2320888,2362324,2404728,2438392,2494420,2527512,2537132,2567184,2618236,2631624,2645452,2652208,2714788,2698124,2711876,2723512,2735060,2763916,2796644,2842952,2911332,2984804,3033984,3065132,3144616,3199172,3277064,3355636,3466820,3525612,3595752,3712916,3826376,3929624,3923624,3985552,3992736,4026252,4037088,3996904,3938268,3941044,3919780,3913256,3991456,3980052,4012624,4042308,3250772,3256092,3285752,3290276,3366548,3413852,3428256,3552324,4577548,4666656,4713508,4714176,4903928,4904912,4934908,5031640,5130920,5194784,5227472,5274712,5371140,5429032,5525548,5670604,5825204,5940532,6084620,6155620,6322700,6343340,6394112,6453712,6721964,6692500,6837796,6970956,7175080,7196164,7388808,7737012,7778236,7907096,8081152,8330872,8602284,8762044,8947532,9069092,9143110,9356749,9481762,9613755,9819773
 "49000","Utah",7,SQINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",2202484,2235632,2269768,2300152,2301304,2329072,2366328,2396700,2463868,2504288,2525592,2564372,2624508,2646728,2666392,2681424,2727088,2725572,2746960,2771364,2818552,2867456,2914720,2972928,3064436,3150616,3213476,3253628,3328460,3391936,3480060,3562928,3632656,3668332,3719952,3812264,3854888,3923516,3908160,3980156,3984188,4020992,4037320,3991540,3887756,3875648,3820456,3774704,3834584,3817300,3854796,3922456,4124612,4173272,4247948,4227360,4352764,4382604,4371672,4549312,4541304,4631012,4675212,4684952,4818164,4811964,4835916,4922352,4947388,5006040,5040736,5110932,5167600,5228552,5291212,5354808,5322440,5346476,5441000,5511984,5556916,5598488,5670076,5727716,5908888,5877680,5985420,6113216,6205544,6265944,6434140,6709636,6727132,6870012,7046872,7315384,7456928,7627848,7845404,7964696,8097717,8316454,8434307,8553960,8691853
 "49000","Utah",7,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-4372,-5032,-3076,-2816,-1128,-2312,-3276,1436,3192,2800,7872,5672,2200,1864,-936,-3992,-7348,-1784,-1012,1468,-1444,60,3016,3316,1444,228,2124,4296,17472,20352,15108,8528,25304,21544,17924,13208,19168,11464,15464,17524,40328,32884,31924,29224,10300,5624,5652,7380,416,5188,2632,-3232,2152,-696,-2324,-3304,16316,17292,18380,13856,26644,25316,24316,34520,29120,33368,37112,35568,16556,10384,5692,-256,-22192,-25776,-25228,-37000,-28552,-29016,-34720,-40784,-27948,-30924,-32396,-32408,-50360,-41724,-50196,-53012,-61304,-107392,-101676,-115208,-138840,-131180,-129712,-140616,-125676,-134524,-140180,-148428,-140955,-154805,-159586,-168129,-167718
 "49000","Utah",7,SQINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",33177139,33817011,34467131,35217511,35462340,36114564,36756664,37447396,37976051,38615923,38870791,39347287,39895688,40151268,40470944,40662716,41060816,40904388,41174960,41494492,41649784,42149120,42701284,43447284,44324084,45507568,46277400,46770584,47707368,48562412,49925540,51309852,53652492,54738012,55772412,57379112,58814880,59642472,59253328,60094148,60304436,60957864,61002968,60072936,58125932,57910756,57620344,57761116,57935732,58369264,59337900,60374840,62339836,63117476,64146772,64280008,66892308,67535220,67586768,70089280,69470612,70642324,71169552,70995268,73412428,73671980,74331532,75854572,78055480,79093468,80068276,81079680,82437772,83224124,84588460,86064856,86913108,88182036,90113476,92152324,94351520,95729012,97299388,98547396,102269200,102076644,104057324,105853420,107729248,106238912,112266232,116456900,116704644,119568647,122339856,125948777,127560956,129457980,132575564,134732560,135785676,139113523,141646032,143885704,145461464
 "49000","Utah",7,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",8912484,9137348,9204688,9071660,9066744,9025296,9111428,9219820,9576780,9895600,10174028,10468968,10544908,10588808,10503692,10211780,10619712,10731620,10741852,10901708,11271260,11140284,11237188,11384176,11351720,11391228,11493412,12307832,12443416,13134688,13286536,13838212,13960100,14460620,14460176,14578636,15173708,16492388,16935896,17299892,17948760,18026088,18532968,18168316,17304828,16486184,15908228,15623132,15802996,16033228,16152604,16689232,17579700,18021284,18350632,18811456,19196096,19572004,19021068,21376828,19317280,19685880,20216148,20242340,20509344,21408604,21948356,22625368,23338140,23919268,24224720,24643060,25228288,25439984,25822172,26257608,27175408,27931632,28112912,28293696,28732324,29357944,29926744,30811240,31325776,31941988,32178552,32545816,33001780,32449076,32805056,34688604,35896248,37651004,38805900,39986716,40816680,42465052,43522064,44778852,45883852,46394270,46584679,47544400,48372950
