GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "53000","Washington",8,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted) ","Thousands of dollars",165536226,168262850,170993454,172669234,176453179,175872695,180712555,186442907,191973994,191114610,191744638,194437934,196887260,200197632,196087248,196610608,198808244,200077792,201723148,203683364,204478368,208170492,211795488,212227036,213523420,218467760,219522844,245857684,227121628,230508844,233416584,240088092,247558116,251713048,254413980,259114420,266156908,273521576,277481572,281921720,284959272,293970716,291867744,286726756,278259944,278764496,276169528,278365252,280119044,284438356,287162016,290027572,298351492,300095492,303354076,308042164,318006312,323104672,323158192,335261748,325973176,329084792,333616200,335136104,344684172,351820516,359233452,365368364,370309172,374878168,378918920,381337032,389748124,393500476,398568248,407265692,413637016,419557628,425653504,433220776,442205064,446587760,455437172,462206664,475841384,481461336,486358256,493675672,500434884,536599900,527593491,526226881,586276070,567969635,568206450,574615185,575708444,581290889,590745451,598335968,610975136,621279678,626209838,635580132,645126713
 "53000","Washington",8,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),6715990,6733933,6755528,6778217,6798598,6819352,6840492,6859717,6877192,6894713,6914177,6933231,6948906,6965152,6986699,7011483,7033697,7056174,7083463,7113106,7139401,7166284,7198358,7233210,7265602,7298650,7333379,7367564,7398759,7430095,7460579,7487324,7510834,7535411,7560862,7584627,7605380,7627028,7651025,7674821,7695194,7714271,7727732,7732806,7732776,7737826,7747765,7758316,7766387,7777930,7788776,7796350,7801922,7808745,7817796,7826557,7832936
 "53000","Washington",8,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),41709,42240,42508,42788,43884,44006,44347,44906,46241,46863,46738,48356,46910,47247,47750,47798,49005,49860,50714,51366,51868,52311,52640,52720,53643,53914,54350,55278,55906,56467,57054,57861,58876,59265,60236,60940,62566,63126,63568,64324,65032,69559,68273,68051,75817,73402,73338,74064,74128,74736,75846,76746,78311,79562,80101,81208,82361
 "53000","Washington",8,SQINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",125415214,127478030,129960674,131699122,136491383,135595019,140514187,146175907,150891434,147889606,147083562,149229862,150648052,153717656,149897840,150421160,152577836,153194164,154669996,155715140,155325988,158510520,161737088,161010628,162275304,167539680,168603888,171723936,173786416,174901484,177208840,182014964,187055856,188431168,190211688,194394428,198768944,201784904,204238860,207103928,207515956,208133932,209638932,206540452,198201384,199233596,198395824,201165060,200267852,204146676,206258512,207508432,211901316,212778452,215577352,217493124,224953836,227378876,230252844,233257444,236676508,239124204,241429668,242119576,248209000,249551844,254078884,257349216,261418656,265594400,269097268,269865472,275818772,277903156,281060368,287998592,292773960,297183060,302656076,309868720,318966196,321298596,328223372,330355140,339899428,342047976,345776728,352943704,359727316,341572480,365294863,371751141,377985866,391065879,398447042,409040393,410079032,414308017,425623103,430455396,438897493,448959379,454657208,463095309,467988354
 "53000","Washington",8,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",16046804,16217404,16383268,16334236,16759116,16430568,16999840,17817424,18729792,18329764,18211476,18357056,18295936,18447092,17898384,17953016,18295000,18405540,18563868,18669704,18801168,19169372,19567484,19476288,19800228,20456004,20668964,20999288,21392648,21605296,21818792,22350300,22923124,23042832,23171712,23574600,23957376,24336680,24612744,24859604,24928760,24938516,25244248,25051972,24606172,24924780,24782804,24931328,25191412,25468212,25557948,25628660,23867408,23849720,24001840,24025584,24391844,24516384,24754264,25119540,28454060,28812052,29156696,29262108,29999516,29958504,30526616,31074232,31422016,32080168,32459088,32372164,33062880,33143480,33456976,34400320,35134528,35782288,36420744,37076268,38069364,37977920,38459356,38412148,39316796,39362388,39667344,40542556,41689900,40367560,42097456,42454664,42884516,44032836,44935084,46637052,47449084,48423912,49986532,50534980,51818276,52822693,53464573,54363991,55306070
 "53000","Washington",8,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",7256736,7343580,7433200,7441668,7721624,7572136,7863012,8232600,8592092,8377564,8289184,8343364,8348912,8485940,8181288,8258060,8483460,8516008,8585140,8621552,8615392,8779572,8949624,8852108,8971040,9260012,9319080,9496068,9698168,9813948,9935204,10220412,10622412,10742640,10846776,11053092,11299652,11516516,11696168,11862056,11975056,12026796,12188172,12068604,11857680,11948992,11834928,11873964,11897556,11990208,12002400,12034520,9744116,9755324,9840116,9914764,10048404,10157404,10312472,10432120,13606184,13782192,13942452,13952196,14360524,14326864,14597220,14834996,15053612,15388640,15586476,15570524,16062228,16115244,16276384,16744532,17229648,17527168,17820180,18105812,18809068,18774888,19088384,19164860,19892520,20019028,20180936,20538952,21071204,20317672,21133076,21353384,21693308,22267616,22646960,23363780,24005932,24471236,25192888,25450200,25958322,26514012,26766921,27288931,27818416
 "53000","Washington",8,SQINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",8790068,8873824,8950068,8892568,9037492,8858432,9136828,9584824,10137700,9952200,9922292,10013692,9947024,9961152,9717096,9694956,9811540,9889532,9978728,10048152,10185776,10389800,10617860,10624180,10829188,11195992,11349884,11503220,11694480,11791348,11883588,12129888,12300712,12300192,12324936,12521508,12657724,12820164,12916576,12997548,12953704,12911720,13056076,12983368,12748492,12975788,12947876,13057364,13293856,13478004,13555548,13594140,14123292,14094396,14161724,14110820,14343440,14358980,14441792,14687420,14847876,15029860,15214244,15309912,15638992,15631640,15929396,16239236,16368404,16691528,16872612,16801640,17000652,17028236,17180592,17655788,17904880,18255120,18600564,18970456,19260296,19203032,19370972,19247288,19424276,19343360,19486408,20003604,20618696,20049888,20964380,21101280,21191208,21765220,22288124,23273272,23443152,23952676,24793644,25084780,25859954,26308681,26697652,27075060,27487654
 "53000","Washington",8,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",1880672,1882388,1883816,1921080,1913852,1972232,1951568,1996132,2156596,2268156,2366148,2333288,2409156,2342104,2393940,2358696,2395028,2432872,2429236,2468008,2534020,2526588,2547168,2657648,2716120,2756144,2805412,2783712,2992184,2999392,3066468,3072416,3400228,3402188,3450048,3515328,3657768,3656188,3655704,3691452,3723236,3708004,3665628,3630644,3442748,3390188,3387036,3357196,3243552,3214348,3248160,3257328,3524104,3525348,3515472,3534164,3609260,3613096,3600116,3613120,3527840,3575352,3583072,3634804,3459916,3514904,3545356,3612056,3768028,3764736,3877008,3891152,4090824,4095656,4112240,4134932,4136876,4268476,4285672,4355316,4513872,4586168,4634840,4677484,4674496,4701984,4738348,4883828,5328960,4994056,5072112,5390596,5388340,5460160,5609472,5666104,6195228,6140384,6228272,6190344,6477091,6300546,6526519,6279099,6301926
 "53000","Washington",8,SQINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",111249082,113143014,115461222,117285966,121646119,121136683,125465915,130354615,134318238,131827998,131238234,133206094,134761272,137612668,134393396,134826840,136677864,137221496,138535364,139513444,139058840,141867736,144716772,144191988,145191196,149839820,150740336,153508360,155385952,156295580,158456516,162737080,167532960,168790524,170490024,174335156,178469336,181104412,183281820,185935776,186310432,186903420,188060312,185119124,177037960,177699004,177000056,179590928,178319992,181892812,183948724,185137100,191558012,192454080,195090984,197001704,204171252,206475588,209098696,211751024,211750288,213887504,215856044,216492272,221669400,223108244,227097624,229887040,233764668,237278968,240515188,241384460,246846716,248855332,251715632,257733204,261776308,265669248,270521004,277147768,285410704,287906844,294398856,296620476,305257128,307387572,310847732,317284976,323366376,306198976,328269519,334687073,340489690,352493203,359121430,368069445,368825176,372024489,381864843,386110760,393556308,402437232,407719154,415010417,418984210
 "53000","Washington",8,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",34719716,35470880,35698124,35258788,34196580,33895860,34127588,34715020,35973024,37003616,37851736,38192636,37647552,37386720,36874900,35811588,35772280,36146764,36367320,37211312,38220912,38097740,38853176,39792828,39964232,40337440,40484176,63679808,42255704,44077208,44594344,46944668,48299984,50932088,51384960,51822720,53315236,57763928,59071528,60163824,62057488,62104460,63745896,62059292,58792484,55278660,52728532,51653312,52101576,52823300,52662152,54146440,56460568,57599008,58687204,61200632,64103552,66348220,64130576,73268716,63575088,64569200,66575712,67251728,69406208,73400876,75696976,78034868,79810584,81099300,81736968,82793836,84555708,85227716,86409924,87822180,90826344,92873508,93115964,93178392,92960588,94445488,96464728,99937460,102791892,105450344,106455868,107099156,107009028,105086092,105488792,109697548,112077308,115799612,117718552,119233996,119176644,121646884,123199380,125605448,128005246,129105045,129536331,131650366,133395978
