GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "01000","Alabama",5,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted) ","Thousands of dollars",63263220,63770104,64657108,65570208,66209548,66689676,67677372,68616884,69474892,69914376,69670504,70654784,71435832,72150192,72527408,72143724,72728880,74002896,74707720,75203460,76005924,76382620,77277868,78718568,79202532,80985680,82481304,83734844,84615504,85926316,86528012,88419480,89770108,90786328,91354636,92627792,94407412,94955196,95275568,96472864,97452892,97632820,97848888,97585764,94741756,95722048,95455956,95399260,95022152,96714448,98157476,97379328,98475916,98415696,99747964,98963808,100106428,100449404,99449500,101441768,101757692,102303540,102009548,102587988,104076176,105374540,106573112,108018764,108810784,109438116,110807340,110939056,111689452,112475788,112914700,114301164,115180440,116041928,116606740,118573036,119942992,120889764,121902276,123568304,125844540,126307736,127270176,128501520,130805724,123582256,130696732,134308832,134857424,137812712,140237840,143361084,145372888,146631748,151025028,152595120,156026993,157761582,160724156,162631184,165459631
 "01000","Alabama",5,SQINC6N,5,"..."," Wages and salaries ","Thousands of dollars",51907352,52288020,53008156,53766744,54320308,54707692,55474416,56257352,56991828,57243520,57000928,57720792,58269648,58754392,58966940,58610304,59122216,60123080,60611076,60842636,61350748,61619324,62316112,63486188,63658864,65118808,66323248,67260576,67822516,68888576,69475572,71124668,72509528,73409232,73955756,75051208,76608280,77000712,77222468,78241196,79141592,79213280,79291368,78900520,75970740,76669116,76306180,76276776,75739652,77242792,78429148,77776744,78463916,78435144,79689936,79172208,80668300,81208824,80505740,82275200,82302936,82536532,82074608,82434196,83692612,84635012,85569628,86750784,87481356,87964156,89047468,89104488,89685612,90260740,90647800,91893784,92747116,93559048,94093860,95729452,96848436,97547832,98365792,99626520,101574904,101923940,102744748,103964280,106153552,99939556,105763600,108709992,108777572,111319248,113557420,116486140,118433684,119682200,123655140,124905368,127818088,129321691,131937557,133392766,135724698
 "01000","Alabama",5,SQINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",11355868,11482084,11648952,11803464,11889240,11981984,12202956,12359532,12483064,12670856,12669576,12933992,13166184,13395800,13560468,13533420,13606664,13879816,14096644,14360824,14655176,14763296,14961756,15232380,15543668,15866872,16158056,16474268,16792988,17037740,17052440,17294812,17260580,17377096,17398880,17576584,17799132,17954484,18053100,18231668,18311300,18419540,18557520,18685244,18771016,19052932,19149776,19122484,19282500,19471656,19728328,19602584,20012000,19980552,20058028,19791600,19438128,19240580,18943760,19166568,19454756,19767008,19934940,20153792,20383564,20739528,21003484,21267980,21329428,21473960,21759872,21834568,22003840,22215048,22266900,22407380,22433324,22482880,22512880,22843584,23094556,23341932,23536484,23941784,24269636,24383796,24525428,24537240,24652172,23642700,24933132,25598840,26079852,26493464,26680420,26874944,26939204,26949548,27369888,27689752,28208905,28439891,28786599,29238418,29734933
 "01000","Alabama",5,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",7430668,7533236,7654288,7764140,7821848,7890560,8054836,8159628,8229956,8404696,8412184,8616448,8804128,9004760,9157312,9159612,9212532,9406348,9587032,9836024,10045348,10136380,10303272,10522928,10789144,11045152,11267376,11522272,11757880,11929932,11909312,12044084,11969488,12043428,12040372,12147476,12271140,12400616,12470524,12560916,12577488,12672420,12793020,12945480,13226924,13435360,13530456,13471920,13485368,13553944,13737068,13690232,13905208,13923492,13940528,13753520,13286796,13068880,12839808,12926592,13217568,13484852,13688720,13895372,14096868,14413868,14615988,14784824,14814168,14908280,15122432,15210104,15424716,15623608,15670812,15738180,15711364,15711672,15692208,15891668,16101284,16282040,16400144,16702228,16897396,16985672,17073672,17001000,16988476,16235732,17173276,17695748,18105440,18352032,18401388,18400348,18362932,18312824,18472476,18723592,18970559,19106586,19283799,19644367,19936964
 "01000","Alabama",5,SQINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",3925200,3948848,3994664,4039324,4067392,4091424,4148120,4199904,4253108,4266160,4257392,4317544,4362056,4391040,4403156,4373808,4394132,4473468,4509612,4524800,4609828,4626916,4658484,4709452,4754524,4821720,4890680,4951996,5035108,5107808,5143128,5250728,5291092,5333668,5358508,5429108,5527992,5553868,5582576,5670752,5733812,5747120,5764500,5739764,5544092,5617572,5619320,5650564,5797132,5917712,5991260,5912352,6106792,6057060,6117500,6038080,6151332,6171700,6103952,6239976,6237188,6282156,6246220,6258420,6286696,6325660,6387496,6483156,6515260,6565680,6637440,6624464,6579124,6591440,6596088,6669200,6721960,6771208,6820672,6951916,6993272,7059892,7136340,7239556,7372240,7398124,7451756,7536240,7663696,7406968,7759856,7903092,7974412,8141432,8279032,8474596,8576272,8636724,8897412,8966160,9238346,9333305,9502800,9594051,9797969
 "01000","Alabama",5,SQINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",147960,148648,147400,145108,137464,134964,134540,135960,139740,142880,149552,158688,191672,194584,196496,197364,189736,188964,187740,185948,155788,155392,156756,159880,203296,207504,209852,210460,185860,184244,182096,179436,185800,186656,191464,200372,211648,221540,227996,230700,209208,208696,208500,208756,209888,209012,206932,203336,215184,209780,204656,199512,174716,174744,179664,189564,221964,233112,240796,245088,179680,180328,180840,181124,151028,150100,148252,145568,206828,203936,203284,205028,160856,164428,168428,173036,170848,172684,171500,167268,170992,165808,162688,161896,121084,122920,125660,129220,125664,128656,129552,128688,159420,157528,157152,158368,150744,153956,157392,161648,163846,165369,165954,169730,174383
 "01000","Alabama",5,SQINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",63115260,63621456,64509708,65425100,66072084,66554712,67542832,68480924,69335152,69771496,69520952,70496096,71244160,71955608,72330912,71946360,72539144,73813932,74519980,75017512,75850136,76227228,77121112,78558688,78999236,80778176,82271452,83524384,84429644,85742072,86345916,88240044,89584308,90599672,91163172,92427420,94195764,94733656,95047572,96242164,97243684,97424124,97640388,97377008,94531868,95513036,95249024,95195924,94806968,96504668,97952820,97179816,98301200,98240952,99568300,98774244,99884464,100216292,99208704,101196680,101578012,102123212,101828708,102406864,103925148,105224440,106424860,107873196,108603956,109234180,110604056,110734028,111528596,112311360,112746272,114128128,115009592,115869244,116435240,118405768,119772000,120723956,121739588,123406408,125723456,126184816,127144516,128372300,130680060,123453600,130567180,134180144,134698004,137655184,140080688,143202716,145222144,146477792,150867636,152433472,155863147,157596213,160558202,162461454,165285248
 "01000","Alabama",5,SQINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",49619536,49950976,50526712,51083548,51692464,52185112,52886760,53863400,54517000,54593148,54506868,55084988,55724292,56201308,56342196,55881040,56292980,57253052,57733824,57918388,58365376,58515020,59159428,60619592,60658832,62230680,63415148,64561712,65081356,66212668,66718424,68308440,69689832,70093460,70812608,71313968,72709500,73093988,73212436,73764944,74762148,74566476,74499912,74021396,71138200,71586488,71208572,71227036,70489368,71782896,73181908,72674784,73546972,73384148,74697656,73990000,75146880,75871756,75104420,76888124,77319660,77855088,77550044,77967376,79281808,80354172,81227444,82528844,83289556,83708308,84808412,85053896,85728556,86289252,86451096,87652528,88396708,89237324,90094852,91634900,92767996,93584944,94626432,95954216,98290324,98441924,98735872,99685048,101427076,94803864,101059756,104741228,105046484,107653664,109703772,112884672,114658568,115634788,119539032,120464880,123073774,124422346,127126575,127772744,129927720
 "01000","Alabama",5,SQINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",309924,321036,313912,308380,308988,298632,305396,309340,292972,271628,309056,395156,(D),(D),(D),(D),312512,314120,306692,282716,304388,297420,298936,319684,336048,340580,353856,349232,327660,322148,324452,339360,347104,343148,337704,341916,339976,355140,345708,331316,335484,331116,331224,335816,324944,328740,336656,329752,339760,350136,354440,355312,350520,349128,356640,351260,357824,368816,363540,366360,360288,369716,368436,375620,388260,392688,403632,418512,408264,402060,439972,415724,435108,415748,419804,435876,421396,422444,427748,434620,445344,440296,446460,449804,471120,467016,472776,486524,487492,501332,525508,523008,503136,474564,525932,520220,506704,515844,517216,520752,526279,501579,505380,513648,489733
 "01000","Alabama",5,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",568028,564900,553352,552964,551952,537092,515964,506776,484184,475848,474816,474004,491236,490252,482064,477588,480188,469304,487464,480872,462892,477100,456840,478964,447316,484548,496260,510800,544496,542828,574484,576408,596924,585672,583704,586788,588216,601452,610924,607216,626080,665072,674844,682128,645188,625876,620744,629136,685016,647040,702176,714184,764728,747560,728700,786692,777368,802032,776340,769224,778472,768180,733028,697980,740040,733320,712480,717076,660508,679436,685576,615940,488212,445252,450868,456532,506236,567768,588416,618536,651100,638208,652104,674672,685960,635128,642008,594768,593968,588432,581204,563216,542508,518704,491476,539632,586812,565460,572200,563888,673288,604751,617048,632134,633376
