GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "05000","Arkansas",5,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted) ","Thousands of dollars",34299004,34702104,35264072,35683296,36226892,36512472,37019184,37562584,38606564,38511788,39038376,39098448,40218844,40410940,40523540,40528724,41043688,41631388,41888476,42227320,42615904,42994292,43740072,44760152,44867168,45685652,46812480,47068044,47738500,48154984,48539120,49668404,50636712,51000060,51113732,51642876,52345192,53010072,53164616,55983944,54285296,54789388,54965136,55064332,55198004,53833344,53925284,54129504,54081920,55341980,56066636,55531564,56791256,56365352,57171156,57228716,58510644,59114732,59037724,60081004,60442416,60522588,60559492,60534124,61770080,62015344,62510540,63921712,63659968,64303996,65204076,65531868,65633160,65890632,65996844,67212852,67990900,68138844,68586808,69644172,70429024,70151728,71375996,71951496,73472640,73561408,73874024,74798364,76061944,73691544,76077448,78000912,78906620,81112788,82529820,84181212,86985248,85226608,89624096,90957516,92722440,91932607,94728777,94689249,95791713
 "05000","Arkansas",5,SQINC6N,5,"..."," Wages and salaries ","Thousands of dollars",27999276,28323068,28792688,29161952,29650956,29901172,30312988,30786940,31712216,31573364,32019016,32017452,32885036,32983600,33016700,32997260,33415364,33870104,34023552,34183724,34392684,34674988,35270916,36135092,36178184,36892216,37832344,37992616,38426532,38744332,39081320,40053356,40952388,41264848,41380876,41852416,42501976,43021372,43100476,45500332,44033704,44438436,44624348,44756864,44729976,43687276,43744048,43907780,43690084,44794096,45444176,45101052,46193760,45914448,46576936,46470772,47458708,47819280,47668996,48572508,48818084,48834444,48802348,48741016,49808924,49985888,50429144,51644968,51495516,52092964,52921360,53255244,53395584,53675472,53819420,54891892,55561640,55668484,56009240,56877188,57521164,57192572,58171480,58576068,59869680,59903884,60149444,61007196,62164356,60121656,62145876,63903084,64698392,66709240,68045632,69541444,71912092,70355204,74172528,75204292,76742200,76098164,78586178,78480368,79394940
 "05000","Arkansas",5,SQINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",6299728,6379036,6471384,6521344,6575936,6611300,6706196,6775644,6894348,6938424,7019360,7080996,7333808,7427340,7506840,7531464,7628324,7761284,7864924,8043596,8223220,8319304,8469156,8625060,8688984,8793436,8980136,9075428,9311968,9410652,9457800,9615048,9684324,9735212,9732856,9790460,9843216,9988700,10064140,10483612,10251592,10350952,10340788,10307468,10468028,10146068,10181236,10221724,10391836,10547884,10622460,10430512,10597496,10450904,10594220,10757944,11051936,11295452,11368728,11508496,11624332,11688144,11757144,11793108,11961156,12029456,12081396,12276744,12164452,12211032,12282716,12276624,12237576,12215160,12177424,12320960,12429260,12470360,12577568,12766984,12907860,12959156,13204516,13375428,13602960,13657524,13724580,13791168,13897588,13569888,13931572,14097828,14208228,14403548,14484188,14639768,15073156,14871404,15451568,15753224,15980240,15834443,16142599,16208881,16396773
 "05000","Arkansas",5,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",4016904,4073788,4134916,4167316,4193132,4214684,4281384,4319596,4364988,4421224,4469568,4539936,4740452,4839428,4928556,4958588,5016504,5110352,5201328,5369068,5506732,5583000,5698848,5806608,5851016,5926652,6056460,6149656,6337296,6415032,6435552,6515072,6522520,6547920,6539504,6568032,6597676,6718808,6787508,7076540,6873736,6928324,6889428,6838632,7009796,6735184,6759100,6783200,6885248,6964472,7009404,6865572,6855204,6744124,6846112,7030880,7237032,7465428,7568428,7655760,7780608,7840368,7909284,7932344,8020928,8066108,8079672,8174980,8104832,8116780,8146992,8147124,8156324,8146368,8118884,8196516,8269932,8307332,8405212,8555504,8718508,8799848,8978064,9102456,9216664,9243800,9275332,9266792,9297384,9013960,9272152,9376024,9435772,9521472,9523012,9578164,9880160,9777980,10119428,10363208,10424590,10326615,10494358,10565025,10661315
 "05000","Arkansas",5,SQINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",2282824,2305248,2336468,2354028,2382804,2396616,2424812,2456048,2529360,2517200,2549792,2541060,2593356,2587912,2578284,2572876,2611820,2650932,2663596,2674528,2716488,2736304,2770308,2818452,2837968,2866784,2923676,2925772,2974672,2995620,3022248,3099976,3161804,3187292,3193352,3222428,3245540,3269892,3276632,3407072,3377856,3422628,3451360,3468836,3458232,3410884,3422136,3438524,3506588,3583412,3613056,3564940,3742292,3706780,3748108,3727064,3814904,3830024,3800300,3852736,3843724,3847776,3847860,3860764,3940228,3963348,4001724,4101764,4059620,4094252,4135724,4129500,4081252,4068792,4058540,4124444,4159328,4163028,4172356,4211480,4189352,4159308,4226452,4272972,4386296,4413724,4449248,4524376,4600204,4555928,4659420,4721804,4772456,4882076,4961176,5061604,5192996,5093424,5332140,5390016,5555650,5507828,5648241,5643856,5735458
 "05000","Arkansas",5,SQINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",260156,264204,266788,268232,271360,272856,272860,271904,268620,267348,269044,274092,287248,291028,293640,295084,290376,288940,286464,282844,287712,286040,287648,292564,302980,309292,313588,316032,260756,259896,257740,254320,245020,247752,257596,275152,278908,294456,300440,296156,311712,302340,298760,301036,261920,265428,265768,262580,291988,283984,275824,267200,237124,236412,243428,258360,289288,304444,311864,311604,330160,327108,328880,335460,289724,293896,292352,285256,339288,330240,327156,330112,336880,346688,357384,369240,292476,296532,294868,287448,303168,293636,288248,287308,345548,351100,358452,367340,296552,302888,305388,304828,298052,295852,295216,296368,298196,302704,308336,315912,320477,323582,324795,332137,341310
 "05000","Arkansas",5,SQINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",34038848,34437900,34997284,35415064,35955532,36239616,36746324,37290680,38337944,38244440,38769332,38824356,39931596,40119912,40229900,40233640,40753312,41342448,41602012,41944476,42328192,42708252,43452424,44467588,44564188,45376360,46498892,46752012,47477744,47895088,48281380,49414084,50391692,50752308,50856136,51367724,52066284,52715616,52864176,55687788,53973584,54487048,54666376,54763296,54936084,53567916,53659516,53866924,53789932,55057996,55790812,55264364,56554132,56128940,56927728,56970356,58221356,58810288,58725860,59769400,60112256,60195480,60230612,60198664,61480356,61721448,62218188,63636456,63320680,63973756,64876920,65201756,65296280,65543944,65639460,66843612,67698424,67842312,68291940,69356724,70125856,69858092,71087748,71664188,73127092,73210308,73515572,74431024,75765392,73388656,75772060,77696084,78608568,80816936,82234604,83884844,86687052,84923904,89315760,90641604,92401963,91609025,94403982,94357112,95450403
 "05000","Arkansas",5,SQINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",27781872,28118028,28500680,28840884,29325724,29627632,29943784,30405880,31380608,31111396,31748216,31563632,32507956,32495532,32434884,32348448,32857508,33339680,33512892,33710232,33925340,34201936,34823184,35691036,35687288,36323948,37265808,37271860,37705084,38054708,38364752,39450296,40085568,40290836,40319640,40770840,41401652,41948004,41931192,44690064,42821456,43302528,43384524,43469964,43420096,42058448,41899248,42079852,41898240,43170768,43712356,43222644,44264972,44110208,44746212,44788144,46128544,46619600,46630872,47461400,47706808,47637928,47700688,47524408,48828472,48978628,49543080,50795068,50421216,51102260,52147612,52421652,52324708,52478472,52687492,54057500,54763992,54981456,55148380,56082332,56955796,56682780,57623520,58137568,59416612,59364556,59362108,60176324,61116624,59253892,61178916,63177864,64182944,65932132,67256116,69054600,71667856,69911776,73983208,74746872,77018383,75819507,78658560,78106401,78937279
 "05000","Arkansas",5,SQINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",250396,246736,236152,236424,258108,259012,242764,239704,231424,216344,261608,321496,265912,263380,256040,250536,272552,269216,261748,260688,251448,254464,259528,276460,288440,290844,300668,287020,279576,279484,286748,287872,289816,302108,295208,317320,299808,302064,294164,296144,299436,298296,290108,297404,296588,288360,298992,291836,295844,317588,321712,298640,303588,298180,304812,320980,326096,359512,314040,340612,334760,324044,330156,327220,349000,348012,351356,370164,354656,358840,394656,357708,389840,382488,376664,383620,391376,388584,377428,400184,401184,410084,403468,399240,407816,399008,420128,426460,426712,425644,458236,446968,428280,407312,454692,445252,441156,432272,457608,440668,453842,436081,430390,451358,423136
 "05000","Arkansas",5,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",150076,145812,143576,139208,138632,135216,141996,141304,139780,141980,144760,150508,173644,180988,184892,181220,159132,165808,166200,166752,161512,176396,182656,192804,195996,201140,207996,207292,211948,219136,229540,249188,277652,300688,320996,340320,398232,423928,459496,479252,497140,575368,636744,666780,652112,623868,602956,598056,610400,656860,648908,659828,668324,705848,734740,710856,764784,738660,674864,634756,628864,622424,629324,610288,585484,557588,570792,569532,553720,505992,490668,453200,392972,332548,307784,302304,306408,313448,314004,309524,323044,325588,320076,315788,317628,310804,304544,297544,301152,279220,269988,287240,264120,280148,281824,287444,290364,299260,305712,309488,306877,324857,328857,334148,333699
