GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "06000","California",8,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted) ","Thousands of dollars",610118092,614723980,628691704,643913016,658426864,670271928,683416400,710977676,745394576,753366680,786903500,781080720,796768172,787710240,781285024,781494564,786040384,792433180,795159136,801682912,806321088,821916656,835395032,845410712,859693832,876426960,891501864,900327412,907679796,918345248,937157300,946090960,975443104,969824032,981107604,996319520,1018295220,1026741940,1030649644,1044810144,1041780044,1047764216,1050026360,1028811456,995754368,991643192,984643332,985471680,989211224,1003681268,1008694248,1034942552,1054264856,1055548996,1066623292,1054502632,1092869332,1099278220,1105156460,1161698880,1133165648,1155818312,1164229224,1194518120,1206074488,1214363364,1239543156,1258940236,1292965816,1315714284,1327536024,1336550576,1354908944,1367182968,1387356096,1403313848,1422674408,1444968200,1472705312,1502840800,1511806128,1531237828,1554059328,1566255960,1600568980,1615026984,1621784736,1659556024,1692394524,1587611356,1668697076,1752409724,1777158508,1825428036,1878045028,1917407188,1912402636,1917407540,1954181456,1937537880,1983543605,2018441498,2044867184,2044558697,2072880858
 "06000","California",8,SQINC6N,5,"..."," Wages and salaries ","Thousands of dollars",505751804,509465580,521080448,534072636,546678072,556634296,567642048,591544404,621890108,627598860,655532808,648798876,659699224,649770412,642329380,640402184,641620048,646074228,646699428,649592348,650602664,662344376,672052132,679232052,687811904,701278952,713551976,720270284,725116200,734433728,750848016,759669168,785737796,782214512,791910948,805936780,825715512,832242776,834783212,845888504,843310724,847400728,849291316,832488556,802310172,800952268,795300916,797093024,797426400,810193504,813976788,833199640,845371344,844933168,854250628,845511028,882674564,890531796,895685592,943937196,913797408,929515704,933306496,958954524,971528364,978944908,1000327408,1017300728,1047323712,1065666284,1074924392,1082906708,1097688364,1108394792,1125403532,1140175452,1157263724,1176918348,1201308900,1227500680,1235247904,1252087208,1272613560,1281981088,1314995964,1327273684,1332688896,1364421112,1392766632,1301401868,1370342428,1446972620,1469160460,1516402012,1565011792,1601179696,1593717780,1596339048,1628004116,1611304148,1650829744,1681678752,1704811182,1702801179,1726358637
 "06000","California",8,SQINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",104366288,105258400,107611256,109840380,111748792,113637632,115774352,119433272,123504468,125767820,131370692,132281844,137068948,137939828,138955644,141092380,144420336,146358952,148459708,152090564,155718424,159572280,163342900,166178660,171881928,175148008,177949888,180057128,182563596,183911520,186309284,186421792,189705308,187609520,189196656,190382740,192579708,194499164,195866432,198921640,198469320,200363488,200735044,196322900,193444196,190690924,189342416,188378656,191784824,193487764,194717460,201742912,208893512,210615828,212372664,208991604,210194768,208746424,209470868,217761684,219368240,226302608,230922728,235563596,234546124,235418456,239215748,241639508,245642104,250048000,252611632,253643868,257220580,258788176,261952564,263138396,265410684,268049852,271396412,275340120,276558224,279150620,281445768,284274872,285573016,287753300,289095840,295134912,299627892,286209488,298354648,305437104,307998048,309026024,313033236,316227492,318684856,321068492,326177340,326233732,332713861,336762746,340056002,341757518,346522221
 "06000","California",8,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",69121684,69843004,71415908,72767756,73877088,75189256,76785128,79210692,81783604,83842976,87429660,88203732,91653548,92481260,93424116,95180932,97579572,99006524,100880096,104052748,106662172,109233648,111773772,113498992,117123928,119001464,120744568,122522908,124734996,125804020,127563688,127635232,130120688,129111636,130772880,131748216,133691040,135958636,137518988,140085328,140027424,141699196,141936576,138553040,137357220,134696268,134054544,133535100,136447520,138030608,139519220,145612648,150313068,152136120,153408508,150865156,149778884,148044752,148530556,153732492,157252008,162809604,167106100,170120452,168532204,169076616,171610984,173074836,175588972,178969088,180986892,181269820,184099428,184855436,187046364,187534076,189294332,191039564,193001412,195521880,196777088,198453192,199399580,201712472,201065036,202711924,203870880,208270040,211481168,202458404,211609548,215693632,218052996,217191140,218557292,218938884,220546720,221727828,224244400,225033324,228882238,230832686,232965871,234735076,237467196
 "06000","California",8,SQINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",35244604,35415396,36195348,37072624,37871704,38448376,38989224,40222580,41720864,41924844,43941032,44078112,45415400,45458568,45531528,45911448,46840764,47352428,47579612,48037816,49056252,50338632,51569128,52679668,54758000,56146544,57205320,57534220,57828600,58107500,58745596,58786560,59584620,58497884,58423776,58634524,58888668,58540528,58347444,58836312,58441896,58664292,58798468,57769860,56086976,55994656,55287872,54843556,55337304,55457156,55198240,56130264,58580444,58479708,58964156,58126448,60415884,60701672,60940312,64029192,62116232,63493004,63816628,65443144,66013920,66341840,67604764,68564672,70053132,71078912,71624740,72374048,73121152,73932740,74906200,75604320,76116352,77010288,78395000,79818240,79781136,80697428,82046188,82562400,84507980,85041376,85224960,86864872,88146724,83751084,86745100,89743472,89945052,91834884,94475944,97288608,98138136,99340664,101932940,101200408,103831623,105930060,107090131,107022442,109055025
 "06000","California",8,SQINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",4299136,4379484,4511600,4677188,4948080,5141988,5272084,5320292,5286724,5271812,5242028,5233592,5161816,5235736,5291396,5327572,5005664,4991592,4970564,4940108,4938480,4940652,4991572,5089900,5316556,5415860,5464196,5465212,5888932,5823748,5747336,5660284,5469364,5496204,5640328,5906628,5129620,5353992,5475372,5484816,5834188,5776312,5762784,5796612,6328308,6347612,6303920,6191564,6458068,6275556,6109784,5951188,5056960,5077128,5257812,5608796,5783792,6110504,6284936,6304088,6868272,6804072,6806756,6874052,6424720,6452964,6383744,6221604,6358208,6231124,6235984,6376748,6154516,6369236,6535084,6650176,8158508,8148728,8068756,7918368,6714584,6572636,6471536,6422064,8126496,8169152,8260900,8395108,8399052,8544336,8597100,8589432,7168064,7178904,7258680,7413324,7941112,8186312,8419960,8671312,8782207,8856490,8883876,9082993,9339593
 "06000","California",8,SQINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",605818956,610344496,624180104,639235828,653478784,665129940,678144316,705657384,740107852,748094868,781661472,775847128,791606356,782474504,775993628,776166992,781034720,787441588,790188572,796742804,801382608,816976004,830403460,840320812,854377276,871011100,886037668,894862200,901790864,912521500,931409964,940430676,969973740,964327828,975467276,990412892,1013165600,1021387948,1025174272,1039325328,1035945856,1041987904,1044263576,1023014844,989426060,985295580,978339412,979280116,982753156,997405712,1002584464,1028991364,1049207896,1050471868,1061365480,1048893836,1087085540,1093167716,1098871524,1155394792,1126297376,1149014240,1157422468,1187644068,1199649768,1207910400,1233159412,1252718632,1286607608,1309483160,1321300040,1330173828,1348754428,1360813732,1380821012,1396663672,1414515900,1436819472,1464636556,1494922432,1505091544,1524665192,1547587792,1559833896,1592442484,1606857832,1613523836,1651160916,1683995472,1579067020,1660099976,1743820292,1769990444,1818249132,1870786348,1909993864,1904461524,1909221228,1945761496,1928866568,1974761398,2009585008,2035983308,2035475704,2063541265
 "06000","California",8,SQINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",491801636,495115728,506471796,520026188,532584348,542240428,553502056,578354796,608850672,613700488,644225352,638389624,647551388,635337044,626198616,622700172,625587256,629211796,629202696,633131452,635342572,649071692,661214160,668819972,679932856,695021332,708661420,716248992,719124408,730046776,746226444,756094784,779084808,773732780,780828188,793909600,810754460,816096264,818409552,827558448,823787676,827368248,825805744,803887408,773069876,768670608,760390768,764257604,763317424,776588764,785361616,808246592,825498796,827090268,836138428,828092972,862568596,871784932,880198864,932082696,899988216,920087596,923330620,951029924,963310668,968638224,989012612,1005061892,1039056120,1055680568,1061643996,1071350424,1083844152,1094492552,1109428152,1126229804,1140562212,1161565476,1188107756,1215971100,1223860540,1243314016,1266264048,1271100044,1307861288,1317351640,1320443304,1348653432,1376347860,1280894632,1351521580,1439859544,1457697300,1505485560,1551504352,1593644684,1584670096,1590097516,1621523316,1602935388,1637920426,1669933585,1690092071,1685597366,1706507571
 "06000","California",8,SQINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",3127508,3005196,3204584,3297224,3198776,3199472,3296448,3433356,3081488,3059032,3504232,4390264,3538840,3549740,3496000,3494084,3590076,3634124,3687716,3673992,3718396,3732260,3844008,4052732,4294556,4503980,4407424,4205500,4220628,4169716,4355376,4762848,5027972,4763756,5164632,5239060,5118472,5434580,5407016,5312752,5262976,5411548,5498904,5381448,5225708,5477208,5456112,5418080,5485388,5608540,5757152,5778852,5870316,5600264,6239272,6556516,6672572,6668140,6790500,6853752,7059848,7149428,7058896,7254124,7416956,7508204,7762276,7803108,8443048,8096500,8597404,8288272,9061684,8926272,9009000,9207992,8993636,9358196,9464024,9555824,9810616,9743088,9901816,10140160,10000420,10261612,10387560,10824528,11063244,10723176,11682232,12023144,11279528,10779856,12093780,11688032,11964872,12097792,12120496,12067432,11347347,11930088,12128450,12640843,11511694
 "06000","California",8,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",2039480,1617996,1689024,1630200,1655176,1656316,1630088,1650812,1645420,1784728,1696256,1798548,1973900,2056276,2005132,2025788,1910828,1751136,1786916,1758100,1784756,1881768,1846000,1986188,2238064,2080232,2271620,2413048,2245360,2331868,2508896,2247124,2510520,2790124,2874960,2960560,2975720,3039824,3233348,3247388,3333636,3563844,3573048,3933412,2894468,3352556,3211496,3379908,3304232,3222880,3593072,4739452,3955812,3976200,4048608,3814448,4365032,4251452,4644872,4545180,4502524,4615952,4570868,4102500,4577128,4490588,4509792,4965604,4406896,4217832,4296752,4079384,3934160,3488492,3369612,3208972,2816812,2850656,2853688,3081548,3059904,3050136,3068684,2979492,3279460,3207452,2791992,2669024,2666292,2442092,2440476,2251116,2183672,2272080,2344040,2560744,2502572,2480872,2647464,2708368,2625546,2724962,2788244,2674229,2756852
