GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "09000","Connecticut",1,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted) ","Thousands of dollars",80334644,80927748,82651748,84421340,84437368,86181884,87928244,89026972,92732652,92610180,94567600,95015872,97036660,98291680,96744444,97821120,95610620,96959784,97533328,97524144,96921012,98968072,100506544,102195672,102636412,104824296,108146416,108115876,108505424,109756180,110853460,112944816,115259020,114364940,114463840,116980348,122250144,122305096,122801084,122974340,125026244,123583420,124274784,123553792,117747264,118214336,118039748,119202916,117261012,120397908,122033560,122137436,125094320,125400688,125231076,122719008,126490412,126153512,126218508,130497304,128640780,128788052,129494408,129714248,131954180,132371204,132830228,135092492,136362248,137207096,137354824,139272092,138529504,139616592,138617120,138658616,138234448,140456640,140976172,142155732,142389576,142105592,145090632,143830620,146527384,145909572,145261488,148027756,148112084,140106484,145329240,151277220,148453800,154045028,156780748,159259884,164389416,163296760,167249572,168683088,173655304,173982424,174456338,175859678,178111991
 "09000","Connecticut",1,SQINC6N,5,"..."," Wages and salaries ","Thousands of dollars",67077028,67548732,68961184,70454592,70527268,71912104,73289208,74259244,77501732,77224864,78936100,79121252,80610452,81504740,80036188,80827944,78891556,79963044,80305032,80090864,79282080,80959728,82103040,83327476,83354916,85052084,87794748,87695936,87950816,88935380,90018784,92025192,94297068,93645532,93794336,96025664,100640608,100540880,100738044,100824808,102457120,101073860,101637436,101002728,95653940,96171856,95966400,96899484,95069196,97728280,99060580,99265224,101740228,102209772,102119500,99923532,103492412,103182148,103262892,107003024,105134584,105115656,105659328,105906572,108106184,108428532,108836500,110628324,111656164,112108548,112181840,113592496,113146388,113922944,113099836,113244044,112899688,114875596,115235488,116117644,116190376,115824968,118343656,117489616,120163696,119797304,119336864,121800448,121858028,114962944,119288720,124409388,122153948,127116644,129748652,132077288,136580156,135548316,139038388,140151800,144501206,144715282,145287259,146259044,148164114
 "09000","Connecticut",1,SQINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",13257616,13379016,13690564,13966748,13910100,14269780,14639036,14767728,15230920,15385316,15631500,15894620,16426208,16786940,16708256,16993176,16719064,16996740,17228296,17433280,17638932,18008344,18403504,18868196,19281496,19772212,20351668,20419940,20554608,20820800,20834676,20919624,20961952,20719408,20669504,20954684,21609536,21764216,22063040,22149532,22569124,22509560,22637348,22551064,22093324,22042480,22073348,22303432,22191816,22669628,22972980,22872212,23354092,23190916,23111576,22795476,22998000,22971364,22955616,23494280,23506196,23672396,23835080,23807676,23847996,23942672,23993728,24464168,24706084,25098548,25172984,25679596,25383116,25693648,25517284,25414572,25334760,25581044,25740684,26038088,26199200,26280624,26746976,26341004,26363688,26112268,25924624,26227308,26254056,25143540,26040520,26867832,26299852,26928384,27032096,27182596,27809260,27748444,28211184,28531288,29154098,29267142,29169079,29600634,29947877
 "09000","Connecticut",1,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",8659048,8763104,8997040,9185796,9167872,9452188,9745944,9838836,10083888,10263752,10427124,10722184,11190044,11486652,11443736,11571144,11140836,11362576,11579064,11817124,12006264,12297064,12628512,13019808,13380120,13781588,14219220,14353756,14448084,14695588,14685916,14696420,14663244,14461736,14437948,14628096,15083812,15248148,15521500,15556684,15855352,15813524,15856256,15725212,15519848,15403728,15453152,15666796,15592544,15986060,16260512,16211904,16350840,16200328,16122860,15913672,15839008,15844468,15813992,16116060,16214276,16351296,16482068,16451696,16411816,16493972,16530816,16859656,17085136,17416664,17449352,17851232,17615656,17856240,17720924,17575604,17522528,17627284,17745000,17963224,18166444,18255016,18576344,18233096,18121952,17912304,17773180,17904612,17933424,17150836,17832884,18463568,18044964,18405784,18368976,18381656,18696864,18690056,18906384,19167372,19404358,19529219,19381810,19758258,19933674
 "09000","Connecticut",1,SQINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",4598568,4615912,4693524,4780952,4742228,4817592,4893092,4928892,5147032,5121564,5204376,5172436,5236164,5300288,5264520,5422032,5578228,5634164,5649232,5616156,5632668,5711280,5774992,5848388,5901376,5990624,6132448,6066184,6106524,6125212,6148760,6223204,6298708,6257672,6231556,6326588,6525724,6516068,6541540,6592848,6713772,6696036,6781092,6825852,6573476,6638752,6620196,6636636,6599272,6683568,6712468,6660308,7003252,6990588,6988716,6881804,7158992,7126896,7141624,7378220,7291920,7321100,7353012,7355980,7436180,7448700,7462912,7604512,7620948,7681884,7723632,7828364,7767460,7837408,7796360,7838968,7812232,7953760,7995684,8074864,8032756,8025608,8170632,8107908,8241736,8199964,8151444,8322696,8320632,7992704,8207636,8404264,8254888,8522600,8663120,8800940,9112396,9058388,9304800,9363916,9749740,9737923,9787269,9842376,10014203
 "09000","Connecticut",1,SQINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",122028,122360,121032,118916,114004,111132,111684,114980,123328,130112,135872,139952,138320,140648,141764,141644,177664,176956,175784,174092,155736,155428,156948,160292,147940,151460,153772,154968,123100,122600,121576,120060,132264,132708,135700,141276,151524,157964,162436,164728,152312,152472,152596,152808,147068,146652,145712,144100,143064,140376,137412,134052,119212,119056,122256,128900,168076,175696,179804,180500,181524,180472,180672,182072,192264,193356,192716,190488,161452,159376,158640,159348,173844,177116,181512,187228,152956,155164,154116,149752,142036,137360,135096,135412,110192,112504,114940,117364,118384,120460,121192,121076,114880,114392,114364,114880,165876,168360,171392,175644,178012,179628,180240,184312,189433
 "09000","Connecticut",1,SQINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",80212616,80805388,82530716,84302424,84323364,86070752,87816560,88911992,92609324,92480068,94431728,94875920,96898340,98151032,96602680,97679476,95432956,96782828,97357544,97350052,96765276,98812644,100349596,102035380,102488472,104672836,107992644,107960908,108382324,109633580,110731884,112824756,115126756,114232232,114328140,116839072,122098620,122147132,122638648,122809612,124873932,123430948,124122188,123400984,117600196,118067684,117894036,119058816,117117948,120257532,121896148,122003384,124975108,125281632,125108820,122590108,126322336,125977816,126038704,130316804,128459256,128607580,129313736,129532176,131761916,132177848,132637512,134902004,136200796,137047720,137196184,139112744,138355660,139439476,138435608,138471388,138081492,140301476,140822056,142005980,142247540,141968232,144955536,143695208,146417192,145797068,145146548,147910392,147993700,139986024,145208048,151156144,148338920,153930636,156666384,159145004,164223540,163128400,167078180,168507444,173477292,173802796,174276098,175675366,177922558
 "09000","Connecticut",1,SQINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",68682604,69226232,70535220,72228212,72478912,73686212,74881520,75757976,79552584,78710272,81212100,81064412,82809836,83911228,81815120,82836876,80617340,81686312,82007804,81969956,81144104,83318616,84816444,86009376,86443304,88175464,91636868,90849032,91770024,92100712,93102264,95519664,97547836,96981572,96785848,99033212,104053540,103868484,103700836,103904472,105512948,104108092,104643884,104322060,98147596,98746416,98712852,99416260,98251828,100659488,101922688,101855800,104853836,105573900,104826644,102687836,106962752,106064976,106458708,110263656,108271816,108154820,108980356,109003676,111073612,111317152,111643540,113605264,114733884,115039048,115510192,116698288,116739420,117245652,116153592,116621896,115838548,118492520,118870540,119892840,120209672,120015136,122484256,121966168,124767876,124181208,123310860,126012688,125504572,118744884,123000380,128356992,126484344,131296296,133841696,136064196,141911296,140009328,143607884,144823928,150249572,149425722,150561584,150629805,152483006
 "09000","Connecticut",1,SQINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",21468,23204,23072,22296,19128,22212,25508,21448,20952,21104,24048,31108,17276,19304,18088,15976,17216,17692,16828,20032,18296,17740,17800,20848,21176,22080,23104,20104,19812,19484,20120,20408,23908,23832,21276,25856,21760,23848,24312,24324,22000,21172,22568,22648,23668,24224,24344,23136,21280,21632,24252,19260,20332,21920,23340,21292,23384,22884,21424,23112,22852,22132,22336,23544,24284,24728,24868,25112,25788,25128,26808,26156,25648,25960,26720,26108,25036,24992,24724,24356,25292,25672,25456,25148,24920,25120,25148,26700,(D),(D),(D),(D),26216,26400,29764,29444,(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "09000","Connecticut",1,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",38872,39780,44732,42712,42352,40780,46256,56328,49468,47604,42460,41828,47032,46012,44680,44804,44888,44012,45280,45088,45080,47912,47852,52240,48580,50996,53052,44396,50636,50020,50968,46920,56132,56152,53756,56720,53124,51440,53116,56340,57320,60340,59832,57244,52988,51188,49548,45376,47980,48880,48028,44520,53408,45876,40572,39580,46336,43060,42464,43940,43456,43592,44260,42156,43672,47764,49388,46568,48804,50336,49600,45948,50292,48848,47884,51020,55528,47980,48176,53844,51172,50016,48916,51416,51364,49316,47568,50312,(D),(D),(D),(D),39620,42944,42756,37484,(D),(D),(D),(D),(D),(D),(D),(D),(D)
