GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "10000","Delaware",2,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted) ","Thousands of dollars",16570520,16796912,16905828,17266816,17743676,17768788,17942248,18464860,18856808,18862896,19192092,19605484,19540828,19826988,20222804,20443868,20534028,20439976,20707252,20531432,20836232,21175020,21624744,21876324,21952712,22653376,22685336,23542348,23403312,23540848,23838132,25809156,25399188,25723704,25624396,25336756,25947480,26359728,25967068,26203456,26290688,26281864,26299340,26229360,25363268,25172124,25265296,25072812,24795772,25151140,25967948,26186848,26527436,26807592,26935708,26595744,27085428,27483684,27162124,28105780,27652272,28102280,28008744,28456660,29147836,29242072,29495464,29761424,30003800,30594736,30202460,30662328,29881924,30498676,30787772,31116704,31749688,31526520,32234644,32424012,32837364,33024100,33583876,33630496,34728484,34646156,34780196,34749020,35473636,33451332,35322040,35506956,35943236,36778888,37444888,38325848,38911284,39422300,40402052,41039200,40607690,41854141,42250349,42706114,43333822
 "10000","Delaware",2,SQINC6N,5,"..."," Wages and salaries ","Thousands of dollars",13556840,13763108,13842424,14160080,14582344,14600476,14728996,15146756,15459432,15418848,15700480,16046032,15994952,16255292,16544084,16725068,16764600,16662496,16855940,16663728,16895968,17176976,17554956,17745936,17768276,18330124,18396328,19075768,18977120,19042356,19260348,20896256,20450348,20660528,20506512,20291720,20855184,21193684,20849012,21049552,21119724,21102036,21128664,21087788,20257628,20155288,20235576,20073640,19839512,20140808,20781568,20946672,21218548,21439364,21475888,21184416,21681700,22004920,21794864,22657244,22286452,22659588,22555968,22884308,23444328,23466364,23677060,23899172,24158708,24674476,24388616,24742140,24117852,24600776,24842096,25154060,25659908,25487240,26010792,26123140,26362888,26438828,26840312,26827536,27757608,27673560,27755772,27801284,28381024,26662528,28211956,28444436,28794032,29535976,30173300,30985152,31600112,32064768,32943900,33436884,33150731,34187181,34592907,34854330,35360057
 "10000","Delaware",2,SQINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",3013680,3033804,3063404,3106736,3161332,3168312,3213252,3318104,3397376,3444048,3491612,3559452,3545876,3571696,3678720,3718800,3769428,3777480,3851312,3867704,3940264,3998044,4069788,4130388,4184436,4323252,4289008,4466580,4426192,4498492,4577784,4912900,4948840,5063176,5117884,5045036,5092296,5166044,5118056,5153904,5170964,5179828,5170676,5141572,5105640,5016836,5029720,4999172,4956260,5010332,5186380,5240176,5308888,5368228,5459820,5411328,5403728,5478764,5367260,5448536,5365820,5442692,5452776,5572352,5703508,5775708,5818404,5862252,5845092,5920260,5813844,5920188,5764072,5897900,5945676,5962644,6089780,6039280,6223852,6300872,6474476,6585272,6743564,6802960,6970876,6972596,7024424,6947736,7092612,6788804,7110084,7062520,7149204,7242912,7271588,7340696,7311172,7357532,7458152,7602316,7456959,7666960,7657442,7851784,7973765
 "10000","Delaware",2,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",2038500,2048412,2070280,2090136,2117504,2120820,2160064,2238404,2296628,2349728,2383628,2435776,2441196,2456032,2546840,2569952,2601468,2611532,2674420,2707396,2757784,2795544,2843604,2889084,2915024,3017352,2982612,3123996,3098256,3170196,3233420,3472640,3512408,3604408,3660768,3601276,3624940,3679884,3645960,3655388,3655752,3651300,3628988,3593760,3606788,3520076,3529008,3515888,3466484,3515292,3667912,3732244,3765392,3823692,3913456,3884408,3825548,3872360,3772872,3800620,3749404,3796336,3802928,3887508,3971336,4029252,4047896,4071092,4044932,4088608,4001356,4084744,3983768,4091976,4125068,4129652,4235920,4200228,4348740,4407148,4564228,4662672,4793968,4857452,4981744,4994536,5048580,4967572,5071152,4834156,5044976,4982152,5001960,5030528,5014024,5032860,4996088,5032408,5086536,5210908,5062090,5200254,5164168,5342020,5414932
 "10000","Delaware",2,SQINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",975180,985392,993124,1016600,1043828,1047492,1053188,1079700,1100748,1094320,1107984,1123676,1104680,1115664,1131880,1148848,1167960,1165948,1176892,1160308,1182480,1202500,1226184,1241304,1269412,1305900,1306396,1342584,1327936,1328296,1344364,1440260,1436432,1458768,1457116,1443760,1467356,1486160,1472096,1498516,1515212,1528528,1541688,1547812,1498852,1496760,1500712,1483284,1489776,1495040,1518468,1507932,1543496,1544536,1546364,1526920,1578180,1606404,1594388,1647916,1616416,1646356,1649848,1684844,1732172,1746456,1770508,1791160,1800160,1831652,1812488,1835444,1780304,1805924,1820608,1832992,1853860,1839052,1875112,1893724,1910248,1922600,1949596,1945508,1989132,1978060,1975844,1980164,2021460,1954648,2065108,2080368,2147244,2212384,2257564,2307836,2315084,2325124,2371616,2391408,2394869,2466706,2493274,2509764,2558833
 "10000","Delaware",2,SQINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",34352,34468,34240,33832,30580,30116,30144,30592,33100,34112,35064,35848,34636,35188,35492,35512,42988,42800,42460,41972,37724,37608,37968,38780,36096,37028,37672,38044,30504,30400,30144,29684,32848,32864,33548,34928,37808,39368,40364,40752,37436,37312,37228,37264,35844,35800,35608,35268,35056,34348,33484,32460,28580,28472,29320,31204,45584,48176,49508,49584,49424,48852,48764,49192,52168,52600,52460,51796,43796,43192,43040,43344,47512,48520,49692,51112,46580,47108,46748,45512,43352,41992,41240,41188,33312,33856,34500,35196,35540,36184,36516,36636,34912,34808,34700,34628,49452,49784,50452,51524,52319,52854,53070,54270,55763
 "10000","Delaware",2,SQINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",16536168,16762444,16871588,17232984,17713096,17738672,17912104,18434268,18823708,18828784,19157028,19569636,19506192,19791800,20187312,20408356,20491040,20397176,20664792,20489460,20798508,21137412,21586776,21837544,21916616,22616348,22647664,23504304,23372808,23510448,23807988,25779472,25366340,25690840,25590848,25301828,25909672,26320360,25926704,26162704,26253252,26244552,26262112,26192096,25327424,25136324,25229688,25037544,24760716,25116792,25934464,26154388,26498856,26779120,26906388,26564540,27039844,27435508,27112616,28056196,27602848,28053428,27959980,28407468,29095668,29189472,29443004,29709628,29960004,30551544,30159420,30618984,29834412,30450156,30738080,31065592,31703108,31479412,32187896,32378500,32794012,32982108,33542636,33589308,34695172,34612300,34745696,34713824,35438096,33415148,35285524,35470320,35908324,36744080,37410188,38291220,38861832,39372516,40351600,40987676,40555371,41801287,42197279,42651844,43278059
 "10000","Delaware",2,SQINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",13995876,14203788,14239192,14583084,14988312,15029108,15131024,15610456,15987248,15857244,16224936,16574412,16418000,16820404,16988976,17258876,17151592,16964600,17205432,16896368,17276372,17530956,18007656,18142876,18292864,18749952,18917992,19479376,19507356,19356760,19666056,21744420,21211068,21668696,21305488,21069760,21616576,21978412,21424496,21716064,21693312,21672240,21675124,21629988,20509668,20382672,20459604,20104564,20131776,20321364,20935572,21157560,21694932,22053140,21829112,21536736,22115848,22280780,22218548,22984672,22586464,22985640,22985444,23364128,24061480,24116744,24414196,24540988,24835064,25277836,25078940,25295500,24750452,25082940,25354208,25824640,26122576,26094380,26474140,26689544,26891480,27014424,27364120,27359776,28359128,28271512,28222368,28362472,28670000,26918244,28593084,29001440,29485760,30073820,30604088,31371616,32175860,32593220,33395260,33822780,33772022,34791943,35409745,35215330,35664603
 "10000","Delaware",2,SQINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",15144,14484,14828,14720,14584,14764,14388,15600,13668,12352,12748,13292,(D),(D),(D),(D),6844,7548,7220,7496,(D),(D),(D),(D),9156,8160,9252,9044,7636,9628,8492,8308,10376,8712,9020,9464,8484,8920,9624,9624,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),21520,24692,28088,29216,25612,19800,20968,21464,17764,21380,25616,25392,34445,32823,28183,25306,25142
 "10000","Delaware",2,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",(T),(T),(T),(T),(T),(T),(T),(T),(T),(T),(T),(T),(D),(D),(D),(D),3548,3560,3544,4912,(D),(D),(D),(D),4800,4840,3196,3104,(D),(D),(D),(D),596,864,960,964,272,280,448,448,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),4132,5880,5840,4996,6788,6640,4464,4904,5600,7300,5424,6864,5871,6202,6006,7181,7207
 "10000","Delaware",2,SQINC6N,300,"22","   Utilities ","Thousands of dollars",206736,190316,195276,203640,185516,209672,216928,203748,199116,187076,197084,220968,242680,223624,214680,246228,238576,219064,315248,242592,234480,215388,235144,229288,218848,250800,219696,236052,238412,223508,234172,248316,262968,262196,267500,260396,242568,254408,254112,251416,274560,274784,271524,274240,311248,266068,255712,271456,252156,276756,288732,280632,283760,272664,269212,264268,243740,257808,276944,273564,293004,284144,287668,285076,290340,310492,297736,359208,290428,307516,314036,354056,310400,329676,349212,337328,339996,333896,331784,332980,340864,331228,319260,330876,341148,331628,346264,355128,359224,365244,371444,368356,364308,354360,350760,359032,357800,358872,364936,350772,352015,340331,377636,361263,368738
