GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "15000","Hawaii",8,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted) ","Thousands of dollars",21674416,21615056,21722492,21866520,21930536,22098208,22763220,22807032,23115508,23638772,23726228,24108728,24414860,24418600,24916100,24787012,25452164,25918544,26341564,26869508,27271628,27762452,28075920,28562124,28949504,29512044,30376140,30985760,31258904,31804820,32144136,32779732,33210212,33544020,34129400,34523920,35096572,35434280,36031064,36419176,36876408,36952160,36721568,36646224,35970908,36291260,35860804,35889584,35970112,36331644,36863164,37005704,37893516,37896044,38285392,38515680,38946448,39461420,39566800,40108464,40466308,40686776,40794200,41248564,41891772,42279540,42659272,43149056,43886488,44391892,44689504,45098912,45679416,46090428,46397976,46780448,47135160,47449708,48022364,48248064,48341164,49018996,49260640,49656208,49877016,49996952,50498448,51258864,51815108,45606044,46055648,48098840,48621808,51013060,53170248,52771948,53377024,54023564,55570404,56782964,56907013,58559803,58864859,60095632,60931011
 "15000","Hawaii",8,SQINC6N,5,"..."," Wages and salaries ","Thousands of dollars",17580240,17529348,17623988,17750568,17817392,17951288,18459076,18513988,18786964,19173688,19226908,19504560,19727744,19694288,20030616,19871720,20391360,20736464,21012612,21326836,21523300,21864492,22102736,22528696,22820056,23320368,24033632,24481940,24584168,24996208,25310984,25848076,26318268,26618176,27098336,27442256,27940384,28164684,28585440,28880840,29253780,29288300,29128268,29107424,28470500,28774748,28412764,28402588,28236848,28501812,28826464,28827648,29321852,29250776,29552476,29675592,30185220,30612620,30696544,31171068,31358804,31449992,31457508,31786892,32338880,32637364,32946200,33398928,34035900,34486484,34745800,35101940,35525152,35876224,36168980,36486788,36824944,37072624,37509980,37621124,37611652,38037708,38220092,38542688,38862684,38966852,39344856,39903312,40207592,34842980,35149984,36851576,37265872,39416436,41354224,41157456,41542944,42077908,43404196,44299952,44422136,45765729,46009299,46984827,47591200
 "15000","Hawaii",8,SQINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",4094176,4085708,4098504,4115952,4113144,4146920,4304144,4293044,4328544,4465084,4499320,4604168,4687116,4724312,4885484,4915292,5060804,5182080,5328952,5542672,5748328,5897960,5973184,6033428,6129448,6191676,6342508,6503820,6674736,6808612,6833152,6931656,6891944,6925844,7031064,7081664,7156188,7269596,7445624,7538336,7622628,7663860,7593300,7538800,7500408,7516512,7448040,7486996,7733264,7829832,8036700,8178056,8571664,8645268,8732916,8840088,8761228,8848800,8870256,8937396,9107504,9236784,9336692,9461672,9552892,9642176,9713072,9750128,9850588,9905408,9943704,9996972,10154264,10214204,10228996,10293660,10310216,10377084,10512384,10626940,10729512,10981288,11040548,11113520,11014332,11030100,11153592,11355552,11607516,10763064,10905664,11247264,11355936,11596624,11816024,11614492,11834080,11945656,12166208,12483012,12484877,12794074,12855560,13110805,13339811
 "15000","Hawaii",8,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",2765024,2763712,2771948,2784084,2781860,2808388,2935792,2917908,2933596,3040552,3062476,3138792,3195628,3228808,3362364,3400760,3511500,3595280,3707232,3878464,4026676,4138224,4200992,4253936,4343908,4403840,4523752,4661808,4800176,4892340,4878472,4921784,4838160,4839292,4904708,4936556,4999924,5117120,5273500,5354496,5428964,5478092,5423856,5377132,5381060,5358176,5292320,5286832,5439400,5478316,5633840,5752228,6022992,6095372,6154520,6267688,6151648,6203312,6203600,6194792,6306072,6398332,6513260,6658788,6804752,6934620,7017252,7030676,7079572,7097096,7126408,7170644,7351712,7409936,7412536,7456720,7441972,7479796,7569068,7663560,7781840,7995716,8035776,8083556,7972552,7981492,8078704,8229608,8447360,7916580,8066552,8309632,8371388,8452740,8529208,8336644,8532700,8603660,8724144,8980552,8941873,9149925,9194438,9386312,9537503
 "15000","Hawaii",8,SQINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",1329152,1321996,1326556,1331868,1331284,1338532,1368352,1375136,1394948,1424532,1436844,1465376,1491488,1495504,1523120,1514532,1549304,1586800,1621720,1664208,1721652,1759736,1772192,1779492,1785540,1787836,1818756,1842012,1874560,1916272,1954680,2009872,2053784,2086552,2126356,2145108,2156264,2152476,2172124,2183840,2193664,2185768,2169444,2161668,2119348,2158336,2155720,2200164,2293864,2351516,2402860,2425828,2548672,2549896,2578396,2572400,2609580,2645488,2666656,2742604,2801432,2838452,2823432,2802884,2748140,2707556,2695820,2719452,2771016,2808312,2817296,2826328,2802552,2804268,2816460,2836940,2868244,2897288,2943316,2963380,2947672,2985572,3004772,3029964,3041780,3048608,3074888,3125944,3160156,2846484,2839112,2937632,2984548,3143884,3286816,3277848,3301380,3341996,3442064,3502460,3543004,3644149,3661122,3724493,3802308
 "15000","Hawaii",8,SQINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",172076,176560,181696,186632,195936,200216,202944,203732,200280,199868,199532,200104,194148,197152,199080,199880,202716,201848,200412,198328,196648,196216,198304,202864,201636,206456,209116,209724,199548,197772,195676,193328,184872,186172,191156,199940,185952,193624,197572,197488,212308,209332,207460,206864,207080,207108,206780,205880,205088,202200,198216,192972,186960,186340,191564,202796,268908,282652,290128,291416,286368,284460,284956,287860,293696,295096,292460,285980,274828,269040,267456,270184,276804,284172,291912,300188,226192,229016,228388,224276,214148,208720,204920,203152,202588,204076,207160,211664,217972,222792,224748,224608,225908,225636,227384,231336,241960,248676,255272,262668,266083,268396,269260,275322,283032
 "15000","Hawaii",8,SQINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",21502340,21438496,21540796,21679888,21734600,21897992,22560276,22603300,22915228,23438904,23526696,23908624,24220712,24221448,24717020,24587132,25249448,25716696,26141152,26671180,27074980,27566236,27877616,28359260,28747868,29305588,30167024,30776036,31059356,31607048,31948460,32586404,33025340,33357848,33938244,34323980,34910620,35240656,35833492,36221688,36664100,36742828,36514108,36439360,35763828,36084152,35654024,35683704,35765024,36129444,36664948,36812732,37706556,37709704,38093828,38312884,38677540,39178768,39276672,39817048,40179940,40402316,40509244,40960704,41598076,41984444,42366812,42863076,43611660,44122852,44422048,44828728,45402612,45806256,46106064,46480260,46908968,47220692,47793976,48023788,48127016,48810276,49055720,49453056,49674428,49792876,50291288,51047200,51597136,45383252,45830900,47874232,48395900,50787424,52942864,52540612,53135064,53774888,55315132,56520296,56640930,58291407,58595599,59820310,60647979
 "15000","Hawaii",8,SQINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",14669108,14635608,14790268,14849576,14839880,14961344,15008664,15408212,15680744,16078096,16171376,16407128,16736084,16767752,16848572,16420160,17041696,17281348,17529028,17884912,18086956,18355000,18630640,19061972,19155432,19558052,20227772,20756704,20642032,21162940,21569764,21865960,22223980,22325248,22622924,22902916,23430180,23624228,23943636,24133612,24453948,24349592,23976892,23785696,22906172,23058436,22774540,22896592,22560920,22952800,23431384,23608996,23961728,23960824,24460108,24365996,24836972,25116952,25236860,25842576,26293560,26479896,26570500,26786116,27116456,27352036,27542412,27998908,28506956,29004580,29252428,29825888,29901248,30352120,30691280,30854136,31393476,31693652,32187032,32380536,32694768,33162264,33308664,33617900,33838292,33861196,34246332,34873560,35097500,28982800,29217840,31040576,31194072,33643632,35866740,35941152,36178484,36929796,38396832,39131948,39231614,40483166,40254571,41199333,41544179
 "15000","Hawaii",8,SQINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",39704,38568,38340,43820,40712,44088,44048,40436,40704,37512,45780,53760,41404,36628,37304,37556,39516,42168,40784,38612,39288,38520,41264,42396,42224,40060,39004,40000,35304,37824,39336,39816,40464,41708,37776,46568,41684,37164,31116,31072,39160,35568,35344,33296,31160,39224,42612,42456,35720,40552,38540,39184,39856,41584,45912,48356,50300,46704,46944,48920,49236,46332,49356,53536,48160,53220,54376,55928,54888,58132,60980,59768,60392,60112,62556,59940,58748,58888,60176,64736,65404,65580,58740,56980,63204,64196,61148,71856,71888,64504,73068,72152,(D),(D),(D),(D),75420,82496,77664,75344,71440,72832,69296,74721,71759
 "15000","Hawaii",8,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",16728,16120,15544,15168,15156,15676,15320,15712,15720,16788,17468,17896,18056,17812,17016,17000,16284,16828,17260,16764,20076,21176,22120,22416,20176,25988,28984,30892,28540,29180,30036,30088,30964,28008,29280,28896,30376,30320,29776,28940,33636,33476,31552,32056,28772,30736,32288,34964,31240,30732,29976,29072,30404,30928,33092,30656,29764,30424,29844,31520,27864,26940,27444,28720,29224,28900,29216,26872,35380,31928,31760,32736,31828,26016,25128,24124,25700,25864,26268,25152,25468,26416,25964,26996,26348,29196,28804,28548,28304,27896,29336,29272,28432,28192,28132,30116,31748,32792,34504,34512,36662,40326,39518,39355,39487
