GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "17000","Illinois",3,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted) ","Thousands of dollars",246634816,251704228,256279392,259848808,264069508,267642708,267662752,274103964,281486524,282213348,287922300,289769824,295377824,293841012,295007572,296078860,295992404,300434020,299397208,300990392,299081396,303342632,306339200,309916896,311161268,316389536,322271056,324701160,328597092,330467108,334677592,337757592,346485852,349602380,351803652,357119780,364771908,367510596,368091356,374796676,375278060,375525488,376547868,374346064,359673272,358519504,357408876,359552924,354815100,361416268,366023604,368078120,375476316,376864308,380441696,377867864,388736172,389511460,391057208,399287120,396936288,400078864,400449756,404289164,410046068,410779400,413199328,419165240,427299140,429527684,435878792,436297584,436096840,436382592,436445704,443358004,445742336,450659656,456451428,460647528,467521708,472030508,474906932,476824416,483557692,483741988,486281872,488601544,492357588,464745792,483136536,494713692,500739380,509884684,519544540,539129476,545764444,547836964,557643364,561145632,569647262,576945292,579542542,587051690,590746743
 "17000","Illinois",3,SQINC6N,5,"..."," Wages and salaries ","Thousands of dollars",204480964,208661008,212422876,215524664,219095768,222014348,221977404,227452352,234185464,234463144,239025164,239999568,243836732,241621156,241656008,241786244,240846088,244240860,243116340,243646016,241380888,244866860,247091896,250183292,250537228,254929340,259797260,261282160,263638020,264975648,268428572,271022448,278817488,281311296,283069856,287679916,294588488,296796124,297152668,302969144,303755008,303653192,304255996,301770552,287479340,286429000,285347548,287564572,283392628,289885576,294113780,295792760,301280564,302176068,305041156,302359400,312125188,312679164,313518044,320667816,317648980,319695460,319602784,323465976,329825884,331088712,333694484,338719316,345718552,347665008,353450036,353910016,354209380,354700092,354944844,360558984,362311612,366073696,370517576,373649560,378845416,382228080,384620112,386217292,392777156,393189152,395523600,398419896,402294204,378591552,394213616,404496012,409509452,418335288,427635768,445264060,451175076,453368468,462476300,464984584,472585375,478844686,481302379,487100298,490034978
 "17000","Illinois",3,SQINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",42153852,43043220,43856516,44324144,44973740,45628360,45685348,46651612,47301060,47750204,48897136,49770256,51541092,52219856,53351564,54292616,55146316,56193160,56280868,57344376,57700508,58475772,59247304,59733604,60624040,61460196,62473796,63419000,64959072,65491460,66249020,66735144,67668364,68291084,68733796,69439864,70183420,70714472,70938688,71827532,71523052,71872296,72291872,72575512,72193932,72090504,72061328,71988352,71422472,71530692,71909824,72285360,74195752,74688240,75400540,75508464,76610984,76832296,77539164,78619304,79287308,80383404,80846972,80823188,80220184,79690688,79504844,80445924,81580588,81862676,82428756,82387568,81887460,81682500,81500860,82799020,83430724,84585960,85933852,86997968,88676292,89802428,90286820,90607124,90780536,90552836,90758272,90181648,90063384,86154240,88922920,90217680,91229928,91549396,91908772,93865416,94589368,94468496,95167064,96161048,97061887,98100606,98240163,99951392,100711765
 "17000","Illinois",3,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",28070480,28704192,29279676,29592500,30066864,30572560,30685056,31339716,31598088,32061316,32932816,33740052,35241028,36059520,37197120,38107084,38874952,39694184,39813496,40828188,41099936,41597744,42178116,42412220,42975584,43441584,43997836,44699532,45753776,46122068,46623664,46998404,47640324,48262944,48733896,49204428,49617340,50065784,50323536,50870316,50693744,51108720,51505300,52014468,52514116,52511684,52594836,52437960,51750392,51506868,51702504,51970020,52876540,53270600,53692456,53878748,54010540,54105904,54760724,55399180,56459928,57463944,58021488,57787676,56950372,56453204,56181444,56931344,57882700,58139624,58346208,58289700,57831340,57605356,57387148,58345624,58975792,59923480,61010972,61811556,63291824,64185972,64543780,64742364,64613492,64421876,64586832,63839476,63595336,60744140,62803540,63908116,64687876,64568212,64365204,65092276,65131512,64614900,64558864,65365540,65527942,66159987,66191549,67571450,68027769
 "17000","Illinois",3,SQINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",14083372,14339028,14576840,14731644,14906876,15055800,15000292,15311896,15702972,15688888,15964320,16030204,16300064,16160336,16154444,16185532,16271364,16498976,16467372,16516188,16600572,16878028,17069188,17321384,17648456,18018612,18475960,18719468,19205296,19369392,19625356,19736740,20028040,20028140,19999900,20235436,20566080,20648688,20615152,20957216,20829308,20763576,20786572,20561044,19679816,19578820,19466492,19550392,19672080,20023824,20207320,20315340,21319212,21417640,21708084,21629716,22600444,22726392,22778440,23220124,22827380,22919460,22825484,23035512,23269812,23237484,23323400,23514580,23697888,23723052,24082548,24097868,24056120,24077144,24113712,24453396,24454932,24662480,24922880,25186412,25384468,25616456,25743040,25864760,26167044,26130960,26171440,26342172,26468048,25410100,26119380,26309564,26542052,26981184,27543568,28773140,29457856,29853596,30608200,30795508,31533945,31940619,32048614,32379942,32683996
 "17000","Illinois",3,SQINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",373904,389980,398164,398420,388000,380352,374284,371456,368012,370780,377228,387008,406760,412320,415888,417312,391568,389708,386604,382044,490016,487388,490300,498636,571520,583408,591708,596800,499752,499540,497732,494356,439584,442780,453216,471020,548840,568540,579952,582464,597100,593272,591476,592088,520400,522044,523484,523952,521816,514184,500564,480968,614616,606044,621952,663528,489920,522536,542380,548696,484588,481708,481360,483420,515800,514792,508108,496100,570976,559760,557384,564148,560260,575724,591276,607152,515768,521132,518920,509024,529056,515844,507228,503912,481252,486164,494676,506536,565768,578380,581896,578736,645396,639320,638292,642748,701300,714912,730088,749148,759523,766593,769312,786699,808499
 "17000","Illinois",3,SQINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",246260912,251314248,255881228,259450388,263681508,267262356,267288468,273732508,281118512,281842568,287545072,289382816,294971064,293428692,294591684,295661548,295600836,300044312,299010604,300608348,298591380,302855244,305848900,309418260,310589748,315806128,321679348,324104360,328097340,329967568,334179860,337263236,346046268,349159600,351350436,356648760,364223068,366942056,367511404,374214212,374680960,374932216,375956392,373753976,359152872,357997460,356885392,359028972,354293284,360902084,365523040,367597152,374861700,376258264,379819744,377204336,388246252,388988924,390514828,398738424,396451700,399597156,399968396,403805744,409530268,410264608,412691220,418669140,426728164,428967924,435321408,435733436,435536580,435806868,435854428,442750852,445226568,450138524,455932508,460138504,466992652,471514664,474399704,476320504,483076440,483255824,485787196,488095008,491791820,464167412,482554640,494134956,500093984,509245364,518906248,538486728,545063144,547122052,556913276,560396484,568887739,576178699,578773230,586264991,589938244
 "17000","Illinois",3,SQINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",209264924,213877524,217808952,221218252,224802808,227700244,227534812,232990708,240219812,240660936,245169672,246575492,250945388,248096492,247729552,247723136,247514952,250706736,250251960,250504984,248168912,252409348,254142964,258165680,257683512,262243200,268012900,269603932,272792800,274535036,278532076,281436608,289759320,292211584,293759764,298234224,305619444,308338284,308255624,314232928,314369540,314041316,314743772,311616740,297207752,295144468,293408708,294956840,288488664,294805344,299646536,301610760,308941700,310629060,313904440,311726752,322779764,323621908,324316732,332718556,329087984,331346580,330662344,334832172,340675240,341639184,344462644,348505096,356695940,358931372,366817864,366484648,366578456,366853668,367406856,373537548,375630776,380597292,386058848,390004868,396252528,400344804,402812736,404862088,411893516,411127948,411597576,414680904,417067632,391763988,408304888,418671324,424339612,432693688,441391384,460628976,466358488,470089592,479330264,481450428,490707649,496169097,497684532,501979942,503810075
 "17000","Illinois",3,SQINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",113508,108596,108536,143408,115572,107364,97232,106280,101632,103168,105856,140944,121500,119456,119012,114096,117644,115824,115960,114908,112756,115440,114900,120844,123516,126044,122320,128856,126560,126452,133416,127304,139340,138952,136868,142652,141196,151696,159748,156276,156872,161732,175436,169392,174836,176956,181700,175224,146184,145872,142876,150552,148064,152140,158828,162952,167916,182340,179088,174552,167144,162824,174564,181620,239432,231088,230496,230884,231756,228852,242124,233536,236048,230792,241788,245660,261460,247260,258952,256960,265472,261960,269516,270012,259296,257360,270216,277072,280376,289812,293000,306916,293512,270920,292208,292172,302288,286008,297688,303552,302067,295992,281664,309654,283968
 "17000","Illinois",3,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",611260,591320,652120,604136,596404,620992,605712,598944,579816,553272,577788,578752,623512,632388,624248,611868,604228,591456,590092,606932,582040,587084,593464,602216,595876,609524,625560,620216,622948,647328,676576,701024,708740,731788,728652,745856,739840,767308,749468,719528,737476,727168,730240,742060,725352,736928,678224,683864,660976,708908,877008,738380,730496,759284,780040,774116,847424,861616,849000,844448,838636,842600,842384,853464,861240,900428,874232,918380,911860,860572,850812,827568,765076,738836,754564,758144,741820,766836,750696,742596,787036,777824,788976,785976,838824,856508,804268,775436,721876,645500,631708,633360,633360,661884,676480,688972,689192,720180,737588,763836,784307,859058,820767,833761,844912
