GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "18000","Indiana",3,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted) ","Thousands of dollars",103105904,104940828,106213396,108152156,109266584,110449076,111414372,114835708,117224876,117477128,118561520,116409112,119448400,118663264,118273616,118005244,118673644,120417620,121535540,122723548,122367412,123292428,124350428,128240600,127268172,130525484,132371440,132872072,132802140,134854160,136389796,137015664,139868928,140686468,141114676,142081184,144560352,145385264,145371800,146537388,148527648,147802620,147326220,146554776,138577376,137633456,137314136,139871388,138980588,142389092,143547684,144556636,146069236,146870088,149420616,148884440,153694860,154524976,154909472,156443812,157464020,157327460,158137264,158451564,162244904,164067964,166096476,168244044,169252692,171634072,172316604,173786412,174106400,175779668,177953792,180185460,181853060,183201740,185326232,188052124,191813968,192595824,194387824,195310060,197389776,198179004,198751032,201371496,203001892,188973636,202378352,208988964,209376484,214135296,218394536,225851548,231884800,232763852,237715120,236637928,242163451,243787967,247947770,248853019,252799617
 "18000","Indiana",3,SQINC6N,5,"..."," Wages and salaries ","Thousands of dollars",85019604,86491632,87529880,89135404,90017884,90830736,91437868,94064836,95893340,95813372,96612804,94783572,97245848,96592064,96195412,95951420,96417032,97766856,98545832,99234464,98701624,99429912,100323204,103566344,102649352,105445648,106986600,107207404,106867692,108314584,109515228,109953380,112396920,112928160,113178464,114015488,116193084,116721124,116500784,117362104,118847392,118209264,118050612,117764792,111303920,110944360,110757748,112803900,111493128,114333148,115331408,116268240,117735484,118447272,120553004,119793800,123662908,124168912,124489980,126229604,127392584,127352548,127755968,127616064,130186888,131245084,132820756,134872484,136375236,138679600,139419008,140585992,140631576,141856824,143659640,145687076,147366016,148589524,150307440,152324464,155081168,155360368,156786400,157569140,159710168,160497700,161061908,163375960,164834376,152885860,164039660,169850192,170277196,174867916,179073812,185765704,191112688,192009132,196533336,195581976,200266496,201751618,205335740,205985080,209285899
 "18000","Indiana",3,SQINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",18086300,18449196,18683516,19016752,19248700,19618340,19976504,20770872,21331536,21663756,21948716,21625540,22202552,22071200,22078204,22053824,22256612,22650764,22989708,23489084,23665788,23862516,24027224,24674256,24618820,25079836,25384840,25664668,25934448,26539576,26874568,27062284,27472008,27758308,27936212,28065696,28367268,28664140,28871016,29175284,29680256,29593356,29275608,28789984,27273456,26689096,26556388,27067488,27487460,28055944,28216276,28288396,28333752,28422816,28867612,29090640,30031952,30356064,30419492,30214208,30071436,29974912,30381296,30835500,32058016,32822880,33275720,33371560,32877456,32954472,32897596,33200420,33474824,33922844,34294152,34498384,34487044,34612216,35018792,35727660,36732800,37235456,37601424,37740920,37679608,37681304,37689124,37995536,38167516,36087776,38338692,39138772,39099288,39267380,39320724,40085844,40772112,40754720,41181784,41055952,41896955,42036349,42612030,42867939,43513718
 "18000","Indiana",3,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",11901124,12169408,12338372,12557668,12753972,13059224,13372992,13990248,14422544,14772128,14996360,14794948,15203820,15119560,15154060,15139732,15273988,15558068,15829828,16265468,16372592,16504216,16620068,17069712,17006088,17298832,17491156,17733324,17922732,18392120,18612104,18751488,19036228,19298604,19467884,19541428,19731632,20011296,20226876,20455596,20865600,20806040,20466296,19974836,18875600,18295196,18197592,18603316,18983692,19422256,19586660,19649468,19352736,19423196,19722636,20023732,20646396,20937056,20986172,20644656,20428568,20292940,20653528,21098504,22179684,22874716,23205760,23149476,22613112,22524784,22431324,22662004,23029888,23418040,23686484,23782092,23701352,23785040,24090816,24662932,25560900,26033556,26278008,26328280,26112316,26012368,25940456,26004408,26021552,24492404,26015360,26544532,26471504,26418560,26284340,26660036,27088596,27105552,27280196,27273888,27674809,27737526,28090455,28309583,28665637
 "18000","Indiana",3,SQINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",6185176,6279788,6345144,6459084,6494728,6559116,6603512,6780624,6908992,6891628,6952356,6830592,6998732,6951640,6924144,6914092,6982624,7092696,7159880,7223616,7293196,7358300,7407156,7604544,7612732,7781004,7893684,7931344,8011716,8147456,8262464,8310796,8435780,8459704,8468328,8524268,8635636,8652844,8644140,8719688,8814656,8787316,8809312,8815148,8397856,8393900,8358796,8464172,8503768,8633688,8629616,8638928,8981016,8999620,9144976,9066908,9385556,9419008,9433320,9569552,9642868,9681972,9727768,9736996,9878332,9948164,10069960,10222084,10264344,10429688,10466272,10538416,10444936,10504804,10607668,10716292,10785692,10827176,10927976,11064728,11171900,11201900,11323416,11412640,11567292,11668936,11748668,11991128,12145964,11595372,12323332,12594240,12627784,12848820,13036384,13425808,13683516,13649168,13901588,13782064,14222146,14298823,14521575,14558356,14848081
 "18000","Indiana",3,SQINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",265860,276648,281352,280116,271012,264604,259772,257784,255952,258156,262748,269372,282460,286228,288768,290020,272176,270804,268428,264940,300360,299416,302864,310728,332348,341268,345980,346524,325088,321412,317588,313584,291624,293632,301348,315004,347716,361912,369340,369648,332304,328656,327280,328296,365204,367292,367964,366956,401824,394760,384192,370144,353436,350036,360320,384748,407152,432264,444516,443620,447332,441016,441740,449512,482172,488912,486540,475348,396660,386836,383976,388160,386956,397504,407648,417456,488448,491532,487472,476236,534696,521064,514164,514556,403176,410216,418816,428680,432304,440456,442612,440440,387788,384292,383128,384472,437600,444204,452620,463604,470684,475450,477351,488103,501607
 "18000","Indiana",3,SQINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",102840044,104664180,105932044,107872040,108995572,110184472,111154600,114577924,116968924,117218972,118298772,116139740,119165940,118377036,117984848,117715224,118401468,120146816,121267112,122458608,122067052,122993012,124047564,127929872,126935824,130184216,132025460,132525548,132477052,134532748,136072208,136702080,139577304,140392836,140813328,141766180,144212636,145023352,145002460,146167740,148195344,147473964,146998940,146226480,138212172,137266164,136946172,139504432,138578764,141994332,143163492,144186492,145715800,146520052,149060296,148499692,153287708,154092712,154464956,156000192,157016688,156886444,157695524,158002052,161762732,163579052,165609936,167768696,168856032,171247236,171932628,173398252,173719444,175382164,177546144,179768004,181364612,182710208,184838760,187575888,191279272,192074760,193873660,194795504,196986600,197768788,198332216,200942816,202569588,188533180,201935740,208548524,208988696,213751004,218011408,225467076,231447200,232319648,237262500,236174324,241692767,243312517,247470419,248364916,252298010
 "18000","Indiana",3,SQINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",88823240,90301588,91357912,93352564,94115448,94889840,95936576,98684304,100660464,100806420,101682260,100073840,102281976,101623920,100984196,100615936,101119732,102600836,103507360,104435796,103892460,104482992,105204068,108881388,107503088,110660100,112427032,112374216,112476616,113689812,115450032,116256108,119101576,119689680,119851256,120586992,122878240,123428016,123136940,124114540,125744224,124924584,124176532,123291956,115198308,114105368,113611100,116003456,115234288,118425804,120055064,120376604,122796032,122655872,124921784,124861952,129636940,130670252,130947112,132678024,133786008,133771080,134474076,134552408,138138748,139590648,141456640,143415548,144725220,146963064,147290388,148877536,148895276,150259396,152181216,154453116,155806384,157007948,158801452,160896784,164558024,164752120,166325736,167273120,169640184,170388692,170460236,172782704,173816640,160725696,173223960,180261800,180737884,185190512,189297592,196239172,202420696,202868596,207299344,206011488,210898598,212170676,215491954,215895233,219094411
 "18000","Indiana",3,SQINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",69268,66464,64676,70948,70052,72788,71240,68860,63388,62680,73060,98968,63112,61424,87136,66348,67056,63984,63656,65800,67500,66344,69320,74664,82272,88896,77800,88024,78568,79620,80944,88304,98816,99372,91820,97176,96012,100864,99372,103780,79688,83444,91404,90688,92468,91836,93376,86720,91452,90680,95732,95552,90228,91708,93336,97704,102560,106028,104080,108236,103056,107260,112420,104268,160432,140532,164828,154072,152796,153448,158428,162868,184116,163704,171072,168572,161124,169528,173224,179552,179904,172908,182664,187312,192468,202568,208384,208740,(D),(D),(D),(D),224240,206344,229200,240164,(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "18000","Indiana",3,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",384912,371468,386116,383136,373556,370584,379036,378736,386560,384116,381180,395364,365972,386000,392636,396620,381512,376784,376228,385196,382624,386892,388816,413652,396384,418660,428052,408060,411968,407732,405612,399444,439124,460724,455652,460268,466344,462500,483516,474116,456404,471504,472788,483588,433924,453080,439396,460488,457972,470748,482740,485192,496556,504224,522868,510148,566736,540832,532472,508304,577420,548924,540124,551176,575036,588720,592696,590532,559764,555640,562404,552604,520484,501316,495872,484160,497716,507340,514172,549140,544384,544452,542668,532140,552180,556584,536636,549008,(D),(D),(D),(D),453088,459388,468096,477296,(D),(D),(D),(D),(D),(D),(D),(D),(D)
