GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "20000","Kansas",4,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted) ","Thousands of dollars",44360880,45173416,45824580,46416188,47084580,47529220,47777668,49625144,49890480,50764780,51810504,50828704,52163404,52705152,53090460,53206644,53171252,53864820,53739044,53983200,54365668,54259244,55022560,55678192,56299332,57250004,58916824,58643236,59017740,59729732,60884648,60784368,62499500,63132324,63804436,65681504,67147104,68025960,68106392,69235844,70655060,71475016,71733796,71280552,68357376,68720400,68431760,68972412,68149720,69692320,70789592,71159152,71357048,72486176,73198404,72738776,74269924,74102772,74311348,76500548,76316236,77434848,77751604,78198180,79831256,79924792,80410800,81110540,82571448,83193800,83005912,83307116,82441260,82931588,83739836,84252592,84403412,84635844,85504188,86376104,87241456,88596052,89458272,89635268,91209020,91693012,91829676,93158200,94122556,90443536,93612372,95374608,94684944,97122708,98165240,101079068,102067096,102031372,105992836,107142396,108521080,109848674,111781419,112840833,114461574
 "20000","Kansas",4,SQINC6N,5,"..."," Wages and salaries ","Thousands of dollars",36437652,37087720,37624424,38121480,38692384,39042388,39227304,40791776,41017640,41707936,42617996,41723940,42808020,43216668,43485792,43568456,43530020,44076048,43908084,43978336,44161524,44031056,44611804,45142544,45510720,46298756,47624704,47365984,47558480,48153724,49186428,49245080,50937576,51555980,52147916,53683488,54889644,55442676,55323372,56104320,57126300,57692336,57943200,57722656,55310740,55754572,55501284,55847560,54758440,55914000,56718016,56959928,57081816,58040780,58774000,58514576,60173536,60136352,60209076,61938820,61280112,61888424,61947276,62364992,63961816,64129252,64568152,65166072,66362124,66858940,66709848,67029320,66428984,66901148,67628176,68060512,68210236,68327916,69054016,69714460,70417588,71444232,72139644,72255168,73678312,74096740,74258992,75521540,76542240,73384148,76116736,77617212,76915068,79143520,80205880,82765848,83673916,83648524,87091248,88031000,89196471,90369616,92001743,92877473,94230954
 "20000","Kansas",4,SQINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",7923228,8085696,8200156,8294708,8392196,8486832,8550364,8833368,8872840,9056844,9192508,9104764,9355384,9488484,9604668,9638188,9641232,9788772,9830960,10004864,10204144,10228188,10410756,10535648,10788612,10951248,11292120,11277252,11459260,11576008,11698220,11539288,11561924,11576344,11656520,11998016,12257460,12583284,12783020,13131524,13528760,13782680,13790596,13557896,13046636,12965828,12930476,13124852,13391280,13778320,14071576,14199224,14275232,14445396,14424404,14224200,14096388,13966420,14102272,14561728,15036124,15546424,15804328,15833188,15869440,15795540,15842648,15944468,16209324,16334860,16296064,16277796,16012276,16030440,16111660,16192080,16193176,16307928,16450172,16661644,16823868,17151820,17318628,17380100,17530708,17596272,17570684,17636660,17580316,17059388,17495636,17757396,17769876,17979188,17959360,18313220,18393180,18382848,18901588,19111396,19324609,19479058,19779676,19963360,20230620
 "20000","Kansas",4,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",5039428,5154636,5232672,5305928,5365976,5446292,5504120,5679388,5702836,5840212,5906872,5883304,6054692,6158684,6257736,6284768,6268452,6367600,6417536,6580492,6723048,6749228,6885504,6973996,7151312,7261332,7505800,7514520,7658000,7740072,7791640,7635204,7554244,7540892,7605044,7872768,8116668,8443640,8653808,8929472,9232408,9420216,9400168,9188924,8856540,8738800,8704704,8849676,9050280,9339000,9589508,9738252,9723916,9867948,9820640,9654912,9378328,9249712,9383784,9698768,10213148,10655132,10911936,10929968,10911476,10838172,10826780,10829544,10959040,11007176,10988028,11002248,10918300,10977936,11047484,11097084,11062004,11143904,11214260,11358484,11509004,11763500,11869792,11915884,11983188,12017096,11988132,11960416,11846260,11419760,11717516,11936292,11972104,12037384,11946576,12108396,12124372,12097184,12372240,12518544,12594749,12661360,12859982,12984936,13123433
 "20000","Kansas",4,SQINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",2883800,2931060,2967484,2988780,3026220,3040540,3046244,3153980,3170004,3216632,3285636,3221460,3300692,3329800,3346932,3353420,3372780,3421172,3413424,3424372,3481096,3478960,3525252,3561652,3637300,3689916,3786320,3762732,3801260,3835936,3906580,3904084,4007680,4035452,4051476,4125248,4140792,4139644,4129212,4202052,4296352,4362464,4390428,4368972,4190096,4227028,4225772,4275176,4341000,4439320,4482068,4460972,4551316,4577448,4603764,4569288,4718060,4716708,4718488,4862960,4822976,4891292,4892392,4903220,4957964,4957368,5015868,5114924,5250284,5327684,5308036,5275548,5093976,5052504,5064176,5094996,5131172,5164024,5235912,5303160,5314864,5388320,5448836,5464216,5547520,5579176,5582552,5676244,5734056,5639628,5778120,5821104,5797772,5941804,6012784,6204824,6268808,6285664,6529348,6592852,6729860,6817698,6919694,6978424,7107187
 "20000","Kansas",4,SQINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",333488,345564,348340,343196,328892,316424,311408,314044,325696,338520,351860,364316,377216,383096,387072,389104,351132,349616,347084,343340,365368,364336,367588,375140,405524,414872,420924,423800,359020,356752,352572,346512,360964,360324,366988,381180,483632,503956,518456,526736,500976,501488,501004,499596,415568,412572,408856,404296,402320,394240,383920,371268,457632,455200,469396,500756,499076,529992,547460,551380,439692,436084,436184,440104,560524,562828,557812,545808,522392,511492,508152,512544,558572,572836,588640,606320,545780,553064,550972,539356,535248,520208,510856,507716,583060,590164,601620,617104,540764,554132,560548,561656,613504,610780,610068,611768,527556,534144,543320,556048,564521,570219,572490,585380,601589
 "20000","Kansas",4,SQINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",44027392,44827852,45476240,46072992,46755688,47212796,47466260,49311100,49564784,50426260,51458644,50464388,51786188,52322056,52703388,52817540,52820120,53515204,53391960,53639860,54000300,53894908,54654972,55303052,55893808,56835132,58495900,58219436,58658720,59372980,60532076,60437856,62138536,62772000,63437448,65300324,66663472,67522004,67587936,68709108,70154084,70973528,71232792,70780956,67941808,68307828,68022904,68568116,67747400,69298080,70405672,70787884,70899416,72030976,72729008,72238020,73770848,73572780,73763888,75949168,75876544,76998764,77315420,77758076,79270732,79361964,79852988,80564732,82049056,82682308,82497760,82794572,81882688,82358752,83151196,83646272,83857632,84082780,84953216,85836748,86706208,88075844,88947416,89127552,90625960,91102848,91228056,92541096,93581792,89889404,93051824,94812952,94071440,96511928,97555172,100467300,101539540,101497228,105449516,106586348,107956559,109278455,111208929,112255453,113859985
 "20000","Kansas",4,SQINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",35693636,36312072,36887396,37323812,37996736,38187512,38474776,39938752,40104584,40848828,41891096,40929444,42070432,42406700,42546224,42532448,42428932,42942828,42771856,42959472,43124788,42901684,43469776,44144352,44378936,45259608,46525908,46245996,46818288,47418600,48200400,47848976,49483500,49785120,50344268,51934712,53138640,53655564,53454604,54183624,55514508,56155424,56178584,55664532,52773248,53001840,52734612,53099756,52225724,53539420,54756744,54841536,55096260,55774636,56421704,56088456,57586560,57550268,57452096,59651096,59353896,60415296,60648376,61132548,62453904,62400912,62707176,63358600,64765412,65606196,65358608,65774280,64813100,65111388,65845784,66305844,66895684,66667672,67855088,68275080,69244132,70330956,71050388,71294556,72707408,73090188,72840576,74040152,75056624,71791068,74776560,76309724,75146532,77635308,78692476,81191932,82403908,82143932,85587004,86924744,87719951,89202748,90225867,91330105,92635097
 "20000","Kansas",4,SQINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",66864,69352,68928,73640,73616,70212,71584,71572,66240,63368,78948,95836,73368,74308,70552,72864,72780,75832,79496,72928,72284,74592,79692,85056,91852,89544,85712,85316,89364,86256,85596,95832,92848,95936,94416,94832,93584,97180,94332,95820,96256,97348,106592,103724,110776,106904,115360,117168,112548,127980,119268,121692,122568,118604,128524,131748,131208,137772,134888,152092,140972,147424,148124,153196,154928,153564,161796,164256,171388,168860,184428,164912,179644,178084,184804,187728,176148,178284,179560,188864,198136,193548,192960,196644,201156,208144,216772,203788,219548,223016,236760,228856,226212,208556,233556,223200,226284,218912,222816,240696,223068,229288,248740,262572,223428
 "20000","Kansas",4,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",304356,276688,277572,257184,265676,258320,257456,269392,260416,282216,302692,320012,344968,346340,345456,329260,294172,290632,284320,285668,307512,314508,321164,341288,338888,352672,404220,385536,391628,392080,410780,444948,487176,525780,518196,533256,546512,536048,565668,565764,603880,632568,643784,638832,543168,484136,491456,483132,535364,531064,525600,543228,553992,577948,664420,590256,660204,698352,702572,716720,722840,738172,720072,723032,765852,766208,743124,744504,689784,596224,589620,527204,508708,452272,467020,493028,484484,487964,497268,493052,512076,554100,513052,503916,524648,510176,507028,505864,474220,429388,412020,403504,434208,453676,468352,475800,544100,508860,549188,551088,541359,570726,555418,559562,550452
