GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "23000","Maine",1,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted) ","Thousands of dollars",18177624,18677984,19074548,19416492,19391504,19879676,20787268,20469556,21195692,21404380,21593156,21683028,22443968,22576564,22639664,22752768,23177664,23419032,23678120,23710076,23984388,24158412,24509476,25271348,25280216,25648736,26052760,26277840,26026520,26216096,26319116,26724980,27419300,27776056,27879316,27998184,28657248,28847892,28895168,29079964,29706424,29642172,29733808,29656436,28485964,28906460,29061172,29218352,28874884,29300684,29651216,29238640,29749276,29495100,29720292,29725216,30187932,30497580,30307164,30441488,31050612,31060000,31059576,31259924,31706944,31880396,32146460,32963792,32607908,33334132,33694276,34235540,34079584,34442496,34455352,34885056,35208648,35344736,35966408,36410104,36860344,37256864,37633464,37649588,38577472,38655444,39053476,39743440,40324488,38440220,40300244,42302792,42074712,43512560,44801888,45711724,46475568,47267032,47507444,48489420,49306584,50162671,50760249,51265275,51814553
 "23000","Maine",1,SQINC6N,5,"..."," Wages and salaries ","Thousands of dollars",14776768,15173716,15492740,15781596,15760092,16145472,16873824,16575712,17162288,17290976,17442536,17502904,18121508,18227488,18252688,18337284,18645192,18842804,19047064,19047976,19260360,19415904,19703076,20322448,20256732,20555500,20894328,21046172,20801076,20927532,21001212,21284492,21822608,22066756,22112076,22244664,22829812,22994564,23035292,23224908,23769788,23720244,23816932,23748052,22700268,23048476,23166804,23306332,22944608,23336192,23664120,23382560,23827040,23661376,23860660,23817876,24209176,24430780,24254740,24405224,24872624,24866964,24843644,25000316,25412056,25540136,25756092,26420048,26126516,26702016,26988416,27443036,27323212,27626484,27656240,28043876,28311552,28436000,28923392,29258580,29575516,29852192,30153452,30159708,30998648,31077332,31423128,32009800,32524380,30854132,32375108,34078928,33875256,35154100,36340556,37168248,37829556,38509100,38786048,39585580,40262760,41012958,41540573,41940783,42385242
 "23000","Maine",1,SQINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",3400856,3504268,3581808,3634896,3631412,3734204,3913444,3893844,4033404,4113404,4150620,4180124,4322460,4349076,4386976,4415484,4532472,4576228,4631056,4662100,4724028,4742508,4806400,4948900,5023484,5093236,5158432,5231668,5225444,5288564,5317904,5440488,5596692,5709300,5767240,5753520,5827436,5853328,5859876,5855056,5936636,5921928,5916876,5908384,5785696,5857984,5894368,5912020,5930276,5964492,5987096,5856080,5922236,5833724,5859632,5907340,5978756,6066800,6052424,6036264,6177988,6193036,6215932,6259608,6294888,6340260,6390368,6543744,6481392,6632116,6705860,6792504,6756372,6816012,6799112,6841180,6897096,6908736,7043016,7151524,7284828,7404672,7480012,7489880,7578824,7578112,7630348,7733640,7800108,7586088,7925136,8223864,8199456,8358460,8461332,8543476,8646012,8757932,8721396,8903840,9043824,9149713,9219676,9324492,9429311
 "23000","Maine",1,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",2173228,2246616,2303220,2338168,2344524,2420972,2545196,2557256,2648724,2722504,2749492,2775340,2876024,2906008,2963168,3005460,3138572,3168412,3214540,3257420,3302696,3320920,3375032,3486576,3551960,3612064,3655860,3722388,3718548,3771412,3791328,3889152,4011856,4103804,4160184,4134612,4174160,4190364,4192932,4172628,4223204,4213004,4199648,4199900,4148692,4192260,4215620,4214344,4205216,4210920,4217092,4117888,4115488,4049856,4063900,4113568,4143692,4207732,4205436,4172812,4281660,4290160,4316964,4363012,4395784,4447064,4479976,4575152,4522960,4619304,4667672,4727252,4732140,4785476,4777576,4793048,4839252,4838884,4939176,5015904,5146412,5241376,5290796,5295036,5329952,5322480,5351888,5418540,5455384,5310964,5563632,5758944,5737520,5809712,5835844,5863188,5930876,6005764,5958696,6089840,6164074,6216285,6253037,6331419,6389331
 "23000","Maine",1,SQINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",1227628,1257652,1278588,1296728,1286888,1313232,1368248,1336588,1384680,1390900,1401128,1404784,1446436,1443068,1423808,1410024,1393900,1407816,1416516,1404680,1421332,1421588,1431368,1462324,1471524,1481172,1502572,1509280,1506896,1517152,1526576,1551336,1584836,1605496,1607056,1618908,1653276,1662964,1666944,1682428,1713432,1708924,1717228,1708484,1637004,1665724,1678748,1697676,1725060,1753572,1770004,1738192,1806748,1783868,1795732,1793772,1835064,1859068,1846988,1863452,1896328,1902876,1898968,1896596,1899104,1893196,1910392,1968592,1958432,2012812,2038188,2065252,2024232,2030536,2021536,2048132,2057844,2069852,2103840,2135620,2138416,2163296,2189216,2194844,2248872,2255632,2278460,2315100,2344724,2275124,2361504,2464920,2461936,2548748,2625488,2680288,2715136,2752168,2762700,2814000,2879750,2933428,2966639,2993073,3039980
 "23000","Maine",1,SQINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",80008,80340,79800,78824,74056,72616,72892,74484,80500,83868,86836,89108,87436,88856,89552,89436,110368,109884,109080,107880,96972,96656,97532,99604,92604,94860,96372,97200,77820,77472,76696,75516,83468,83528,85284,88820,96132,100352,103276,104772,96860,96872,96800,96728,92820,92464,92024,91348,91220,89556,87284,84396,73988,73352,75240,79756,125328,132148,135860,136436,136616,135392,135272,136180,143808,144600,144100,142408,120660,119096,118548,119160,130096,132584,135856,140000,117532,119180,118376,115084,109336,105824,104068,104244,84724,86416,88268,90192,91064,92764,93500,93648,89056,88876,89032,89608,129548,131648,134124,137488,139340,140602,141082,144269,148277
 "23000","Maine",1,SQINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",18097616,18597644,18994748,19337668,19317448,19807060,20714376,20395072,21115192,21320512,21506320,21593920,22356532,22487708,22550112,22663332,23067296,23309148,23569040,23602196,23887416,24061756,24411944,25171744,25187612,25553876,25956388,26180640,25948700,26138624,26242420,26649464,27335832,27692528,27794032,27909364,28561116,28747540,28791892,28975192,29609564,29545300,29637008,29559708,28393144,28813996,28969148,29127004,28783664,29211128,29563932,29154244,29675288,29421748,29645052,29645460,30062604,30365432,30171304,30305052,30913996,30924608,30924304,31123744,31563136,31735796,32002360,32821384,32487248,33215036,33575728,34116380,33949488,34309912,34319496,34745056,35091116,35225556,35848032,36295020,36751008,37151040,37529396,37545344,38492748,38569028,38965208,39653248,40233424,38347456,40206744,42209144,41985656,43423684,44712856,45622116,46346020,47135384,47373320,48351932,49167244,50022069,50619167,51121006,51666276
 "23000","Maine",1,SQINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",14534580,14937084,15239776,15586380,15523000,15949844,16768708,16343620,17011464,17169120,17361268,17410668,18017268,18127828,18040040,18157180,18408132,18623700,18830560,18761552,18971376,19046032,19316812,19952744,19939740,20214120,20647144,20780452,20503172,20574116,20719956,21035372,21581144,21947748,21867912,22071852,22547972,22760824,22730460,22920848,23440748,23361880,23445060,23271056,22218296,22476644,22628620,22774068,22448928,22747304,23192560,22873040,23383472,23257436,23467104,23538508,23868820,24212984,24000092,24147880,24634588,24662436,24697612,24721916,25116748,25150980,25393016,26114928,25884200,26494552,26823432,27327560,27059392,27337092,27310368,27814000,28031388,28285508,28804776,29282264,29612052,30007100,30354804,30385664,31304444,31367676,31728864,32229848,32734176,30923784,32453876,34509316,34254404,35517948,36765796,37487300,38168604,38872660,39061096,40031608,40532539,41394798,41872368,42281478,42667318
 "23000","Maine",1,SQINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",107852,116516,120140,118564,126756,124432,121348,125736,114588,123476,135008,174620,139480,138236,142424,140624,140416,142176,140872,142572,140752,138808,144592,149036,159968,174744,165240,174556,172812,173592,169432,174852,188644,195680,202684,198980,197896,202344,206184,202548,(D),(D),(D),(D),(D),(D),(D),(D),201728,205240,204272,190096,195776,199720,207288,218364,(D),(D),(D),(D),211704,210036,204888,207544,221080,220584,228520,230068,234852,228528,242012,240624,235960,217936,217296,232316,235140,246468,253976,251768,253220,280288,270936,263116,265896,260672,255212,260740,268280,263164,268996,276376,264516,247480,282940,277708,273064,277556,273096,270172,273236,283464,271704,259962,260513
 "23000","Maine",1,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",(T),(T),(T),(T),(T),(T),(T),(T),(T),(T),(T),(T),4580,4432,4552,4408,4364,4756,4436,5088,4580,4732,4640,4468,4700,4340,4212,4268,4460,4096,4652,5676,5252,5468,5908,5876,4976,4816,5548,6872,(D),(D),(D),(D),(D),(D),(D),(D),10244,12364,12980,12488,12140,12544,14980,13864,(D),(D),(D),(D),12636,12340,12848,14164,13948,13624,13248,13932,12468,13676,15308,15184,16520,15188,15128,14708,15768,15840,15880,16956,18816,17104,17104,16924,16924,16948,16372,17012,17412,17548,18624,18540,19428,19396,19216,19728,(D),(D),(D),(D),(D),(D),(D),(D),(D)
