GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "28000","Mississippi",5,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted) ","Thousands of dollars",34285232,34768560,35275204,35850876,35940748,36256852,36892936,37437232,37938440,38149912,38020656,37990672,38331368,38775440,38674220,39037984,39381724,40053792,40326440,40395880,40767748,41002380,41628172,42504788,42737024,43570348,44549180,44468876,45273696,45487944,45545352,46913120,47414800,47913080,48204236,49022244,49762556,49814340,50515184,51264980,52037704,52389412,52089412,52163904,50755916,50898040,50607252,50631296,50642428,51437168,51661632,51150724,51879336,51721544,52257644,52243608,53731944,54116720,53796816,54266640,54724716,54696404,54976092,55309840,55963308,56599096,56516288,57245912,57054700,57696444,57995644,58085452,58986888,58770612,58730700,59324124,59910168,59929236,60525448,61043104,61384892,62026952,62385320,62660428,63512476,63684752,63974100,64811616,65764512,62038996,65217268,67522364,67173860,68794976,70321976,71508464,72932808,72845564,74741012,75100740,76310752,77728109,77791649,78827931,79915102
 "28000","Mississippi",5,SQINC6N,5,"..."," Wages and salaries ","Thousands of dollars",28139556,28529540,28938776,29426516,29500812,29745704,30223048,30655776,31072220,31174572,31051696,30981700,31237328,31547408,31403080,31664056,31873932,32416956,32610332,32602556,32876156,33053332,33517436,34165164,34144568,34767524,35514008,35406600,36009812,36198176,36314296,37492488,38033632,38481108,38731896,39427096,40076860,40071268,40597444,41237160,41924004,42206932,41954012,42010244,40645248,40803412,40568068,40631208,40525604,41289228,41552280,41206960,41799668,41701880,42145876,41998420,43234032,43468308,43173476,43662296,44054264,44025852,44203396,44422720,44935644,45379576,45298236,45898948,45791024,46345600,46616876,46715452,47442780,47272208,47274132,47784968,48273732,48281868,48744360,49127212,49353776,49802372,50051292,50243776,50977816,51114700,51373596,52157732,53091736,49876564,52487036,54346524,53861860,55235328,56602432,57706536,58952372,58927148,60644296,60872068,61892457,63081620,63217537,64033753,64926808
 "28000","Mississippi",5,SQINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",6145676,6239020,6336428,6424360,6439936,6511148,6669888,6781456,6866220,6975340,6968960,7008972,7094040,7228032,7271140,7373928,7507792,7636836,7716108,7793324,7891592,7949048,8110736,8339624,8592456,8802824,9035172,9062276,9263884,9289768,9231056,9420632,9381168,9431972,9472340,9595148,9685696,9743072,9917740,10027820,10113700,10182480,10135400,10153660,10110668,10094628,10039184,10000088,10116824,10147940,10109352,9943764,10079668,10019664,10111768,10245188,10497912,10648412,10623340,10604344,10670452,10670552,10772696,10887120,11027664,11219520,11218052,11346964,11263676,11350844,11378768,11370000,11544108,11498404,11456568,11539156,11636436,11647368,11781088,11915892,12031116,12224580,12334028,12416652,12534660,12570052,12600504,12653884,12672776,12162432,12730232,13175840,13312000,13559648,13719544,13801928,13980436,13918416,14096716,14228672,14418295,14646489,14574112,14794178,14988294
 "28000","Mississippi",5,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",4007424,4073680,4142260,4197392,4209148,4265360,4389576,4472660,4528264,4633876,4632156,4684132,4754144,4866104,4917412,4993224,5080224,5168752,5241188,5333644,5401040,5450792,5576632,5751576,5950936,6115448,6301064,6362048,6532836,6573128,6520736,6618344,6532428,6538168,6557900,6635524,6710112,6786612,6925520,6990748,7049228,7094004,7049720,7045472,7068144,7026564,6998012,6978456,7063832,7063668,7017544,6866020,6825712,6748576,6788232,6929128,7069360,7213452,7235220,7201064,7282468,7303156,7405036,7510528,7627104,7789592,7789476,7860812,7790580,7825580,7834620,7828088,7983260,7960660,7921088,7964348,8021076,8028816,8135392,8253928,8405268,8577296,8665000,8716320,8754820,8755384,8750464,8732304,8686656,8316468,8731024,9100508,9284020,9458076,9542688,9535948,9618280,9548392,9606752,9717816,9798530,9943183,9868444,10039424,10145382
 "28000","Mississippi",5,SQINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",2138252,2165340,2194168,2226968,2230788,2245788,2280312,2308796,2337956,2341464,2336804,2324840,2339896,2361928,2353728,2380704,2427568,2468084,2474920,2459680,2490552,2498256,2534104,2588048,2641520,2687376,2734108,2700228,2731048,2716640,2710320,2802288,2848740,2893804,2914440,2959624,2975584,2956460,2992220,3037072,3064472,3088476,3085680,3108188,3042524,3068064,3041172,3021632,3052992,3084272,3091808,3077744,3253956,3271088,3323536,3316060,3428552,3434960,3388120,3403280,3387984,3367396,3367660,3376592,3400560,3429928,3428576,3486152,3473096,3525264,3544148,3541912,3560848,3537744,3535480,3574808,3615360,3618552,3645696,3661964,3625848,3647284,3669028,3700332,3779840,3814668,3850040,3921580,3986120,3845964,3999208,4075332,4027980,4101572,4176856,4265980,4362156,4370024,4489964,4510856,4619765,4703306,4705668,4754754,4842912
 "28000","Mississippi",5,SQINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",186864,190000,192104,193304,195616,196716,196752,196132,193928,193064,194460,198348,208200,210952,212756,213644,210248,209460,208176,206304,154516,154200,155528,158440,201500,205576,208024,208928,185352,184248,182660,180592,187972,189332,194588,203884,215876,225892,232240,234600,212272,211260,210636,210496,211064,210008,207856,204416,216664,211488,206388,201144,176040,175984,180892,190824,257192,269744,277688,281252,204692,205004,206100,208024,301260,301880,299244,293524,241792,237360,235892,237484,186240,190164,194508,199388,198208,200228,199156,194996,200552,195252,192004,191092,142656,144708,147976,152404,148572,152524,154024,153468,190788,188392,187020,186788,175508,177496,180328,184544,187263,189132,189870,194182,199495
 "28000","Mississippi",5,SQINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",34098368,34578560,35083100,35657572,35745132,36060136,36696184,37241100,37744512,37956848,37826196,37792324,38123168,38564488,38461464,38824340,39171476,39844332,40118264,40189576,40613232,40848180,41472644,42346348,42535524,43364772,44341156,44259948,45088344,45303696,45362692,46732528,47226828,47723748,48009648,48818360,49546680,49588448,50282944,51030380,51825432,52178152,51878776,51953408,50544852,50688032,50399396,50426880,50425764,51225680,51455244,50949580,51703296,51545560,52076752,52052784,53474752,53846976,53519128,53985388,54520024,54491400,54769992,55101816,55662048,56297216,56217044,56952388,56812908,57459084,57759752,57847968,58800648,58580448,58536192,59124736,59711960,59729008,60326292,60848108,61184340,61831700,62193316,62469336,63369820,63540044,63826124,64659212,65615940,61886472,65063244,67368896,66983072,68606584,70134956,71321676,72757300,72668068,74560684,74916196,76123489,77538977,77601779,78633749,79715607
 "28000","Mississippi",5,SQINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",26175180,26574952,26946380,27470588,27432044,27668928,27989184,28432312,28847848,28767100,28882324,28635476,28907932,29203684,29030780,29255972,29488820,29990364,30023848,29927880,30072136,30132552,30595100,31280596,31320344,32029660,32829532,32738768,33238444,33376488,33563272,34702328,35173164,35552336,35667936,36303644,36949336,36791412,37237984,37823624,38405968,38640816,38201024,38118500,36531624,36649540,36383832,36561808,36108340,36991368,37308264,37040564,37490040,37466408,37995296,37787584,39380412,39622784,39296732,39700580,40122724,40010932,40316100,40564724,41036196,41646752,41522200,42058224,41918076,42497032,42728616,42873092,43370108,43116744,43247940,43791592,44115400,44184332,44718628,45149952,45548456,46129532,46278980,46560608,47273124,47319480,47302064,47929116,48712600,45463076,48396452,50551488,49971240,51421696,52753444,54154628,55307168,55304964,57124184,56976328,58006425,58748472,59275890,59742996,60543450
 "28000","Mississippi",5,SQINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",247016,266204,256760,253448,255456,255988,263880,270052,247820,229724,269044,319888,274764,268132,264124,272388,270924,275724,266920,252192,254152,260252,272100,283968,293320,300888,307392,317624,298272,293928,291964,306832,319708,312392,318496,318468,309028,313472,302520,307804,301708,299532,278544,289912,287516,278180,277964,263420,274384,293980,298776,281272,281260,279968,292420,310104,311120,314180,302232,309796,311388,308340,307692,315268,327088,327424,335420,349152,347152,344420,366376,345100,375824,363996,358508,361588,367272,349156,361968,376428,394876,408488,404828,400336,407148,399728,414656,425440,413136,419616,450504,457932,434996,430228,469664,459232,461372,459284,465344,456008,483947,475470,493780,473626,449645
 "28000","Mississippi",5,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",286004,289348,293856,282516,283672,258692,246760,240064,221032,218764,217556,226640,272600,285052,276024,265104,259580,237028,252444,234876,240012,252740,262716,262216,259316,272564,274956,277292,284348,270808,293500,305308,340424,371764,397856,432908,423496,431004,435268,449572,461908,505052,507032,555948,471400,432568,411200,394428,424032,438540,445048,443308,483496,471428,498700,517980,544924,541704,575596,566880,548888,554560,540360,536896,552980,578656,563684,580204,568908,445732,438444,407700,393100,338168,323996,329408,361020,372996,376852,362744,353420,372940,369092,369936,382208,361192,362292,354576,370884,316548,274740,273744,272436,306380,335136,325700,325088,335148,344232,366556,364810,362363,367417,380144,385388
