GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "31000","Nebraska",4,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted) ","Thousands of dollars",28388988,29113980,29592380,29768812,30244272,30749988,31037088,32037780,32670792,32767448,33082352,33220432,33762580,34293216,34296200,34880156,35220088,35538720,35898432,36101540,36647892,36985728,37257384,37770452,38123168,38701964,39439736,39543692,39935636,40231284,40730900,41559188,42130296,42822540,42251856,43532120,43900824,44834496,45291760,46089448,45882296,46726392,47322124,46736848,46579208,46084556,46244180,46283336,46177204,46762828,46800444,46696528,47479776,47903632,48151076,48249888,49986092,50195060,50709448,51549700,51638208,51355192,52018992,51861216,53535788,54023688,54244276,55373324,56137472,56819644,57137496,57269608,57537788,57812300,58326900,59195804,59447960,60259324,60867580,61744832,62379900,63158824,63788856,64142300,64903044,65384296,65857008,66721360,67152072,65216276,67373124,69227804,69488428,70911196,71401032,73081844,74491268,74908204,76720344,78128924,79295340,80186134,80958475,82179860,83362960
 "31000","Nebraska",4,SQINC6N,5,"..."," Wages and salaries ","Thousands of dollars",23326036,23912528,24305380,24458600,24854052,25254372,25472416,26302796,26837192,26879504,27129768,27208924,27642220,28020024,27963328,28366392,28517648,28761364,29011436,29106888,29492920,29758328,29978388,30406316,30612788,31096520,31683588,31706440,31909036,32120460,32542040,33233448,33812924,34394500,33940032,35027144,35368292,36119712,36463384,37136612,37003744,37664336,38136932,37610048,37242700,36857032,36982152,37081124,36970680,37596568,37707736,37667952,38269768,38598836,38755664,38654600,40018332,40079860,40476204,41296208,41464540,41265796,41768320,41567012,42869404,43168328,43345308,44328900,45105756,45742196,46058436,46196032,46378804,46606144,46989752,47644392,47795880,48375308,48782092,49387184,49790484,50290676,50735308,50970472,51646368,52052936,52506792,53368344,53941248,52318872,54146164,55773864,55927536,57236184,57860540,59417448,60641368,61052592,62700500,63813772,64815696,65582399,66276765,67240937,68229151
 "31000","Nebraska",4,SQINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",5062952,5201452,5287000,5310212,5390220,5495616,5564672,5734984,5833600,5887944,5952584,6011508,6120360,6273192,6332872,6513764,6702440,6777356,6886996,6994652,7154972,7227400,7278996,7364136,7510380,7605444,7756148,7837252,8026600,8110824,8188860,8325740,8317372,8428040,8311824,8504976,8532532,8714784,8828376,8952836,8878552,9062056,9185192,9126800,9336508,9227524,9262028,9202212,9206524,9166260,9092708,9028576,9210008,9304796,9395412,9595288,9967760,10115200,10233244,10253492,10173668,10089396,10250672,10294204,10666384,10855360,10898968,11044424,11031716,11077448,11079060,11073576,11158984,11206156,11337148,11551412,11652080,11884016,12085488,12357648,12589416,12868148,13053548,13171828,13256676,13331360,13350216,13353016,13210824,12897404,13226960,13453940,13560892,13675012,13540492,13664396,13849900,13855612,14019844,14315152,14479644,14603735,14681710,14938923,15133809
 "31000","Nebraska",4,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",3263772,3356564,3409716,3432664,3475636,3555492,3615412,3736804,3805640,3863172,3907128,3953860,4026068,4145844,4204156,4347308,4498844,4553784,4646232,4744024,4861136,4918100,4961776,5029616,5139380,5213584,5325888,5399080,5551804,5610784,5643108,5712892,5646460,5700700,5618112,5737832,5782248,5938388,6037812,6120940,6048452,6184220,6282432,6256256,6491380,6401336,6407252,6314880,6225812,6125760,6050564,6014324,6105624,6208152,6311964,6543076,6822248,6978172,7092516,7070156,7013812,6951248,7077804,7118708,7393888,7547864,7568220,7644140,7609476,7613336,7602800,7590844,7678060,7707036,7796648,7946972,8024472,8201880,8374888,8609036,8858232,9114852,9269116,9369592,9411984,9450688,9428652,9358016,9166388,8858640,9099996,9260408,9360340,9425456,9240768,9252176,9350196,9312308,9356896,9573572,9621692,9693053,9737792,9925206,10034787
 "31000","Nebraska",4,SQINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",1799180,1844888,1877284,1877548,1914584,1940124,1949260,1998180,2027960,2024772,2045456,2057648,2094292,2127348,2128716,2166456,2203596,2223572,2240764,2250628,2293836,2309300,2317220,2334520,2371000,2391860,2430260,2438172,2474796,2500040,2545752,2612848,2670912,2727340,2693712,2767144,2750284,2776396,2790564,2831896,2830100,2877836,2902760,2870544,2845128,2826188,2854776,2887332,2980712,3040500,3042144,3014252,3104384,3096644,3083448,3052212,3145512,3137028,3140728,3183336,3159856,3138148,3172868,3175496,3272496,3307496,3330748,3400284,3422240,3464112,3476260,3482732,3480924,3499120,3540500,3604440,3627608,3682136,3710600,3748612,3731184,3753296,3784432,3802236,3844692,3880672,3921564,3995000,4044436,4038764,4126964,4193532,4200552,4249556,4299724,4412220,4499704,4543304,4662948,4741580,4857952,4910682,4943918,5013717,5099022
 "31000","Nebraska",4,SQINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",330128,344924,350596,347868,335420,324480,321784,327060,341284,356820,373328,389096,409952,416436,420988,423620,393776,391568,387676,381928,457496,455156,459592,470916,425036,436228,442272,443248,394104,390532,387172,383956,417964,421400,431416,448208,501384,519576,531252,536092,548340,546820,545952,545860,549024,547704,544724,539864,513784,503184,489028,471324,513840,509412,524352,559164,531876,564484,581640,583140,555376,549404,550324,558300,583740,589824,586468,574000,652448,637564,632500,637520,597376,612412,628912,647208,714028,722476,718436,701784,714768,693884,681592,678516,654096,663080,675972,692336,588488,601528,607636,608444,642688,640064,639728,642104,627228,635680,646996,662384,672490,679328,682058,697455,716679
 "31000","Nebraska",4,SQINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",28058860,28769056,29241784,29420944,29908852,30425508,30715304,31710720,32329508,32410628,32709024,32831336,33352628,33876780,33875212,34456536,34826312,35147152,35510756,35719612,36190396,36530572,36797792,37299536,37698132,38265736,38997464,39100444,39541532,39840752,40343728,41175232,41712332,42401140,41820440,43083912,43399440,44314920,44760508,45553356,45333956,46179572,46776172,46190988,46030184,45536852,45699456,45743472,45663420,46259644,46311416,46225204,46965936,47394220,47626724,47690724,49454216,49630576,50127808,50966560,51082832,50805788,51468668,51302916,52952048,53433864,53657808,54799324,55485024,56182080,56504996,56632088,56940412,57199888,57697988,58548596,58733932,59536848,60149144,61043048,61665132,62464940,63107264,63463784,64248948,64721216,65181036,66029024,66563584,64614748,66765488,68619360,68845740,70271132,70761304,72439740,73864040,74272524,76073348,77466540,78622850,79506806,80276417,81482405,82646281
 "31000","Nebraska",4,SQINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",22579436,23241080,23684512,23834868,24311956,24737088,24983072,25915948,26441632,26481536,26857028,26688256,27207068,27465540,27345860,27686996,28078164,28235176,28487692,28611716,28932636,29073852,29448748,29699756,30030380,30488560,31149808,31209080,31435524,31817704,32309132,32925616,33289460,33800596,33119804,34337588,34611980,35574160,35952652,36747588,36368432,37181460,37709736,37017904,36797300,36189612,36121144,36101128,35749916,36262724,36276424,36239424,36770792,37189100,37543220,37503628,39271304,39402368,39906416,40702772,40848432,40529820,41182840,40932416,42494780,42832988,42992552,43912808,44592000,45081348,45320160,45550236,45513072,45916680,46293688,46957100,47073500,47786348,48352564,49106888,49701488,50403168,50895576,51288712,51976208,52354896,52633776,53323320,53792396,52119120,53753280,55671852,55612412,56910492,57468828,59140868,60233808,60568784,62390948,63295396,64404446,64867828,65548650,66413413,67365242
 "31000","Nebraska",4,SQINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",65808,63936,63784,58592,63148,64264,63684,66572,61576,61036,68548,86024,62436,63408,65288,61592,60076,59040,59708,59012,61408,63216,62240,70336,72840,80388,69032,77992,78672,80808,83352,83820,87972,92324,88048,91432,99196,100296,107640,103432,106536,105664,118264,127592,125464,134104,140112,138704,134452,140052,135132,123656,153724,146788,153728,159872,164156,175520,187940,185488,181784,182980,197836,205928,226624,194844,196252,205284,204932,202272,203072,207388,215344,216580,220848,213796,218324,214192,225092,230344,229520,231656,232840,230416,230708,231960,241376,254696,268600,263144,284204,277448,271556,248436,266272,270760,266432,271880,262084,278036,296990,291521,270121,281562,264832
 "31000","Nebraska",4,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",50636,50952,55080,54948,51884,52084,53888,57728,57640,56468,52688,51056,56432,58112,56704,57488,54568,53980,54424,54056,64908,62912,66060,66244,67984,70420,70920,70548,68156,70660,70684,71280,70540,70988,69364,70828,49660,50940,50700,50636,55052,55072,54500,54600,53304,51784,50500,50996,49416,54756,53144,57228,58312,58248,60720,62356,68988,70312,84068,69940,67032,66164,68144,69088,74236,76140,73168,74696,73536,71400,73336,72256,68436,68052,70540,70648,72180,73544,75116,79168,82136,84820,83052,82564,81424,78800,77532,78812,77688,76060,75684,80344,81564,80864,82284,85312,89104,93636,92556,91816,96691,97579,102415,108553,110438
