GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "34000","New Jersey",2,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted) ","Thousands of dollars",177354004,180270172,184636312,186033912,188795424,189765780,191755368,195541696,203110392,208104852,210409596,216104944,210813656,214081816,213741372,218136520,219685572,219230056,219154192,221049912,220883448,225581204,228733280,231144404,230794108,234734296,240133576,242760136,242922264,245717920,250178596,251349052,253739588,257794252,257546376,262745644,266387968,269213736,268326560,271717584,275160316,272573704,272902440,274733924,262397400,264671052,266722488,267860340,266292768,267660676,268991212,268540552,270744536,272908360,275015532,272855572,280262260,278463788,281400240,284072288,287581988,288722320,288293648,291956276,294587664,296175604,297654216,301919708,305942544,308135380,309589884,310585760,311382008,312232532,314985788,317862912,317635736,322530132,326428620,328373636,332644560,335005504,339206552,340569032,347463604,348608744,351142664,354214048,362993708,330843104,350602492,363513512,367524648,371870380,381859376,391659772,398440184,404039100,410025132,411752860,416490277,421655682,429981657,430213674,435490995
 "34000","New Jersey",2,SQINC6N,5,"..."," Wages and salaries ","Thousands of dollars",146817820,149181480,152935380,154208036,156717576,157607484,159252908,162631632,169184040,173242016,175117608,179672840,174951808,177228396,176494972,179493124,180048608,179584708,179285992,180498156,179886196,183815368,186325016,188361880,187513500,190777804,195022604,196693248,196089076,198215196,202006112,203370376,206498556,210210524,210299136,214731468,217923780,220008728,219202008,222308692,225596536,223362728,223487496,224448796,212585756,214170908,215628244,216703900,215052228,216873220,218356460,218144364,219871712,221552784,223299360,221112776,227587100,225895912,228031056,230558040,233129620,233807088,233026588,235862160,238094836,239204676,240487796,244393176,248307520,250474352,251984028,253252988,254264168,255354740,257887588,260536180,260728700,264802908,268227624,269494016,272864656,274250020,277361932,277742940,283280752,283866720,285745664,288828040,296845460,269695816,286411004,297574852,300479880,305036480,314171056,323116948,329389808,334497568,340332788,341726084,345658777,350342992,357415425,357373023,361773554
 "34000","New Jersey",2,SQINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",30536184,31088692,31700932,31825876,32077848,32158296,32502460,32910064,33926352,34862836,35291988,36432104,35861848,36853420,37246400,38643396,39636964,39645348,39868200,40551756,40997252,41765836,42408264,42782524,43280608,43956492,45110972,46066888,46833188,47502724,48172484,47978676,47241032,47583728,47247240,48014176,48464188,49205008,49124552,49408892,49563780,49210976,49414944,50285128,49811644,50500144,51094244,51156440,51240540,50787456,50634752,50396188,50872824,51355576,51716172,51742796,52675160,52567876,53369184,53514248,54452368,54915232,55267060,56094116,56492828,56970928,57166420,57526532,57635024,57661028,57605856,57332772,57117840,56877792,57098200,57326732,56907036,57727224,58200996,58879620,59779904,60755484,61844620,62826092,64182852,64742024,65397000,65386008,66148248,61147288,64191488,65938660,67044768,66833900,67688320,68542824,69050376,69541532,69692344,70026776,70831500,71312690,72566232,72840651,73717441
 "34000","New Jersey",2,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",19568088,19960604,20311576,20362024,20454236,20524568,20816216,21054548,21671796,22379408,22632764,23362296,23008196,23744900,24142228,25302124,26299916,26351896,26664692,27383012,27863860,28471596,29033504,29315640,29681424,30153752,31008180,31858440,32533120,33070112,33527040,33330296,32583524,32742184,32396708,32742480,32833552,33310748,33161772,33172028,33155636,32941676,33088148,33828788,34063568,34548608,35024848,35046008,34944268,34443332,34278880,34146776,34073744,34441820,34695228,34892236,35258836,35288168,35941648,35851368,36606888,36942604,37321064,37946056,38328736,38740756,38852632,38941572,38912352,38761820,38654348,38374816,38285328,38054540,38132856,38163076,37722244,38289220,38555780,39164228,40053376,40992836,41928504,42889600,43894088,44434712,44992924,44861252,45187016,41765220,43730848,44886712,45589168,44964180,45083864,45162356,45143832,45169256,44864692,45114536,45407416,45571390,46380414,46628115,47058033
 "34000","New Jersey",2,SQINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",10968096,11128088,11389356,11463852,11623612,11633728,11686244,11855516,12254556,12483428,12659224,13069808,12853652,13108520,13104172,13341272,13337048,13293452,13203508,13168744,13133392,13294240,13374760,13466884,13599184,13802740,14102792,14208448,14300068,14432612,14645444,14648380,14657508,14841544,14850532,15271696,15630636,15894260,15962780,16236864,16408144,16269300,16326796,16456340,15748076,15951536,16069396,16110432,16296272,16344124,16355872,16249412,16799080,16913756,17020944,16850560,17416324,17279708,17427536,17662880,17845480,17972628,17945996,18148060,18164092,18230172,18313788,18584960,18722672,18899208,18951508,18957956,18832512,18823252,18965344,19163656,19184792,19438004,19645216,19715392,19726528,19762648,19916116,19936492,20288764,20307312,20404076,20524756,20961232,19382068,20460640,21051948,21455600,21869720,22604456,23380468,23906544,24372276,24827652,24912240,25424084,25741300,26185818,26212536,26659408
 "34000","New Jersey",2,SQINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",177160,177692,175832,172816,165756,161740,162832,168048,180900,191312,200012,206088,203528,206824,208416,208260,261640,260324,258108,254864,233128,232176,234340,239640,227740,233720,237772,239984,195968,195468,194240,192316,218384,219700,225080,234644,258832,269844,277332,280924,259280,259232,259316,259680,250060,249668,248528,246392,245524,241068,235684,229144,202792,202256,208252,221056,262080,276020,283316,283880,283692,280864,280564,282664,298944,301144,300732,297736,252780,250016,249472,251328,275092,280672,287492,295812,290384,293440,290372,281196,265816,256536,252128,252920,206240,210608,214856,218728,219496,222948,224412,225016,214924,215124,215872,217380,314180,319152,325080,333228,337552,340467,341550,349228,359039
 "34000","New Jersey",2,SQINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",177176844,180092480,184460480,185861096,188629668,189604040,191592536,195373648,202929492,207913540,210209584,215898856,210610128,213874992,213532956,217928260,219423932,218969732,218896084,220795048,220650320,225349028,228498940,230904764,230566368,234500576,239895804,242520152,242726296,245522452,249984356,251156736,253521204,257574552,257321296,262511000,266129136,268943892,268049228,271436660,274901036,272314472,272643124,274474244,262147340,264421384,266473960,267613948,266047244,267419608,268755528,268311408,270541744,272706104,274807280,272634516,280000180,278187768,281116924,283788408,287298296,288441456,288013084,291673612,294288720,295874460,297353484,301621972,305689764,307885364,309340412,310334432,311106916,311951860,314698296,317567100,317345352,322236692,326138248,328092440,332378744,334748968,338954424,340316112,347257364,348398136,350927808,353995320,362774212,330620156,350378080,363288496,367309724,371655256,381643504,391442392,398126004,403719948,409700052,411419632,416152725,421315215,429640107,429864446,435131956
 "34000","New Jersey",2,SQINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",147854164,149986592,154420244,155339076,157881304,158622452,159659192,163681988,170916588,174769084,176920992,182464768,176565464,178678216,178510944,180147320,182168356,181457056,180798872,182524348,181080016,185371076,187887564,190258108,188810004,192447460,196699532,198616616,199088700,201636112,204853452,205299896,208648480,211441256,211702700,215915916,218839100,220816232,220056484,223219384,226056772,222902544,222962652,223471448,211708108,213117536,214788056,215276624,213884868,215278264,217726652,216979960,220575020,222020916,224093560,223289284,230720596,229662192,230771156,233249724,235726772,236624092,235761976,238949124,241150612,242847572,243965208,248636480,251734592,254661456,255618320,257378792,258210296,259306872,260842100,263562916,264146092,267520792,272391908,272960968,277635816,278943908,282866080,282785932,290203092,291354516,292570520,295389192,302874980,272560368,292221404,304596868,307879788,313394532,322504916,331246280,337804512,342856216,348495996,350483844,354178769,360206884,365240691,366055677,370141299
 "34000","New Jersey",2,SQINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",62356,68748,66904,62924,61156,67860,68068,68336,73848,68896,71600,93572,66996,66336,65756,64560,67660,68768,70284,70408,68564,65896,63912,76004,79516,81088,79300,79156,73372,76820,80156,72688,81348,81628,79796,82812,83200,87756,88368,84444,86968,85308,89180,93868,93020,102308,102988,107120,109408,107760,105620,112968,100460,105480,111156,113708,116460,118060,124348,118660,103708,105256,103272,109916,119896,133160,137212,134668,137968,132204,156344,146856,181668,168728,171556,175936,171040,177412,175016,175480,183544,181872,182028,184604,185612,186924,192004,191060,201576,182936,204596,204984,208616,200228,224932,213964,206056,214844,202668,224476,240107,238548,208127,190198,206209
 "34000","New Jersey",2,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",149516,138000,140280,138720,137736,134252,125716,119284,118592,120188,124372,125572,111004,117244,118504,120016,85656,88312,88480,98360,93228,97960,100104,102588,104264,107916,111792,115476,112524,128048,119784,115388,122772,118948,119080,117252,117440,117908,117976,120236,127620,123180,122532,120592,117004,110020,125948,116508,107316,115532,115480,113324,99652,108028,106284,111512,110544,110632,109360,109712,107124,118464,130272,117112,121884,126000,120704,131232,131444,128852,133020,134880,129752,121824,126340,121724,123124,129168,136084,137524,137068,140264,136404,137384,139832,145428,152008,147840,143404,139752,147136,155008,186052,149976,166424,199508,189852,198984,198288,194276,141831,162708,169088,165069,168924
