GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "35000","New Mexico",6,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted) ","Thousands of dollars",24000016,24060808,24373160,24820592,24552740,24975448,25187216,25855924,26308820,26830116,27020796,27446080,27935040,28263568,28918568,28816588,29322188,29985552,30239936,30407536,30702064,31318080,31773756,32574540,32749864,33325708,33877904,34506388,34889288,35743592,36216348,36528944,37565764,37970576,38311884,39003412,39415828,39957524,40647572,41225560,41764004,42072448,42194224,42457260,41222476,41112096,41287716,41622088,41176744,41876564,42295212,42628456,42498672,42868224,43415776,43168184,43966744,44533140,43925312,44070004,44535904,44566068,44278756,44512644,44990424,45272640,45754112,46907120,46492680,46959060,47060516,47389372,46949248,47500204,47500164,47757048,48109956,48314428,48788860,49192688,50000016,50604284,51285464,51797412,52520692,53165592,54079912,54461004,55300208,51755600,52746552,54011664,54332380,55741808,57476436,58762436,59408672,60279080,62058336,63300272,64244588,66565376,66360335,68080247,69190247
 "35000","New Mexico",6,SQINC6N,5,"..."," Wages and salaries ","Thousands of dollars",19566964,19618372,19875472,20254556,20053736,20398680,20555848,21076504,21466856,21854824,22040752,22409800,22866688,23136496,23634756,23517172,23828852,24356532,24514700,24574300,24763348,25227296,25587076,26228008,26299536,26784072,27241068,27700268,27943664,28615628,28990348,29286904,30191000,30559084,30903556,31478096,31854060,32255416,32741176,33233580,33696136,33942140,34067632,34342956,33184008,33126712,33222508,33428208,32891068,33417684,33735768,33989232,33848572,34118824,34523644,34210324,34893284,35293052,34785496,34998088,35417320,35464716,35249236,35497252,36013352,36254372,36646772,37577820,37172180,37475500,37526864,37713032,37333244,37699084,37685848,37941764,38240900,38435432,38831696,39184092,39882116,40373828,40949092,41417244,42139024,42724160,43501084,43905616,44656656,41581552,42436496,43537336,43719168,44992032,46562568,47732088,48380452,49096736,50658700,51648188,52508508,54411081,54338763,55712067,56603034
 "35000","New Mexico",6,SQINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",4433052,4442436,4497688,4566036,4499004,4576768,4631368,4779420,4841964,4975292,4980044,5036280,5068352,5127072,5283812,5299416,5493336,5629020,5725236,5833236,5938716,6090784,6186680,6346532,6450328,6541636,6636836,6806120,6945624,7127964,7226000,7242040,7374764,7411492,7408328,7525316,7561768,7702108,7906396,7991980,8067868,8130308,8126592,8114304,8038468,7985384,8065208,8193880,8285676,8458880,8559444,8639224,8650100,8749400,8892132,8957860,9073460,9240088,9139816,9071916,9118584,9101352,9029520,9015392,8977072,9018268,9107340,9329300,9320500,9483560,9533652,9676340,9616004,9801120,9814316,9815284,9869056,9878996,9957164,10008596,10117900,10230456,10336372,10380168,10381668,10441432,10578828,10555388,10643552,10174048,10310056,10474328,10613212,10749776,10913868,11030348,11028220,11182344,11399636,11652084,11736080,12154295,12021572,12368180,12587213
 "35000","New Mexico",6,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",2967544,2973644,3010548,3054428,2999184,3052988,3099504,3217440,3258288,3369096,3356204,3380220,3373876,3408428,3526032,3543548,3704312,3800480,3883392,3988580,4059704,4180848,4260568,4391948,4480876,4557128,4633644,4779544,4893132,5030520,5098208,5079480,5142992,5142480,5107436,5185580,5215040,5335552,5499472,5535592,5566496,5597032,5571772,5529444,5526468,5469980,5541828,5659128,5732632,5877340,5967788,6041680,5976400,6060296,6173836,6271728,6328944,6468376,6405904,6310320,6318448,6283156,6227172,6201532,6156196,6180564,6213140,6310560,6272516,6356476,6368772,6493376,6500472,6684444,6731164,6748876,6828644,6859440,6934604,6973764,7061520,7149476,7223088,7245112,7216508,7242924,7331808,7274476,7304716,6963192,7063916,7176412,7286732,7331608,7385528,7413664,7375304,7476752,7587384,7772284,7768147,8049736,7929873,8179878,8312031
 "35000","New Mexico",6,SQINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",1465508,1468792,1487140,1511608,1499820,1523780,1531864,1561980,1583676,1606196,1623840,1656060,1694476,1718644,1757780,1755868,1789024,1828540,1841844,1844656,1879012,1909936,1926112,1954584,1969452,1984508,2003192,2026576,2052492,2097444,2127792,2162560,2231772,2269012,2300892,2339736,2346728,2366556,2406924,2456388,2501372,2533276,2554820,2584860,2512000,2515404,2523380,2534752,2553044,2581540,2591656,2597544,2673700,2689104,2718296,2686132,2744516,2771712,2733912,2761596,2800136,2818196,2802348,2813860,2820876,2837704,2894200,3018740,3047984,3127084,3164880,3182964,3115532,3116676,3083152,3066408,3040412,3019556,3022560,3034832,3056380,3080980,3113284,3135056,3165160,3198508,3247020,3280912,3338836,3210856,3246140,3297916,3326480,3418168,3528340,3616684,3652916,3705592,3812252,3879800,3967933,4104559,4091699,4188302,4275182
 "35000","New Mexico",6,SQINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",182420,179832,177464,176568,175940,176012,178020,181024,187720,192840,197188,200544,194600,198108,199752,199520,221748,221256,220564,219532,194676,195452,198268,203164,209476,214304,216832,217112,245480,242992,240276,237344,227736,229012,234476,244256,264400,275152,282128,285120,262488,261396,260208,259008,289004,287384,285772,284024,261500,257196,250632,241864,244116,241776,248416,264188,260964,276844,286116,288716,317416,315192,314976,316796,304084,304604,302100,296736,258724,254748,254180,257132,286504,293576,300672,307896,317876,320504,318724,312492,319272,311756,307524,306884,222768,225624,229388,233908,326268,331380,332228,330024,357032,354840,356144,361144,297656,305204,313048,321712,326500,329687,330942,338354,347822
 "35000","New Mexico",6,SQINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",23817596,23880976,24195696,24644024,24376800,24799436,25009196,25674900,26121100,26637276,26823608,27245536,27740440,28065460,28718816,28617068,29100440,29764296,30019372,30188004,30507388,31122628,31575488,32371376,32540388,33111404,33661072,34289276,34643808,35500600,35976072,36291600,37338028,37741564,38077408,38759156,39151428,39682372,40365444,40940440,41501516,41811052,41934016,42198252,40933472,40824712,41001944,41338064,40915244,41619368,42044580,42386592,42254556,42626448,43167360,42903996,43705780,44256296,43639196,43781288,44218488,44250876,43963780,44195848,44686340,44968036,45452012,46610384,46233956,46704312,46806336,47132240,46662744,47206628,47199492,47449152,47792080,47993924,48470136,48880196,49680744,50292528,50977940,51490528,52297924,52939968,53850524,54227096,54973940,51424220,52414324,53681640,53975348,55386968,57120292,58401292,59111016,59973876,61745288,62978560,63918088,66235689,66029393,67741893,68842425
 "35000","New Mexico",6,SQINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",16383704,16507864,16698356,16928976,16829144,17113080,17272428,17546732,18038380,18311100,18648596,18916276,19384592,19444968,19523176,19523668,19808212,20224448,20284340,20341304,20630228,20951236,21321640,21770164,21799996,22259936,22681168,23014840,23369848,23976980,24142568,24645852,25348444,25944908,26810420,27300316,27704096,28096408,28430468,29042472,29430052,29630324,29556792,29785908,28375188,28124340,28119928,28156196,28026124,28339992,28812848,29119304,29158988,29357496,29738644,29507568,30457404,30790956,30259240,30371928,30753592,30728356,30490648,30690724,31200468,31422992,31857704,32897380,32570328,32842532,33098612,33132768,32760112,32884504,32833428,33299792,33514860,33804116,34195356,34544648,35342964,35840616,36183120,36661232,37363936,37854884,38276084,38572808,38922900,35795732,36754324,38109756,38075412,39307844,40860092,41955120,42924128,43290632,44579512,45362492,46233003,47679132,47821724,48747425,49368114
 "35000","New Mexico",6,SQINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",64592,57056,54432,58308,72264,53544,58356,54660,50952,54248,64792,77228,60292,62144,56776,60892,60824,59584,63608,61804,61428,61452,62324,65508,69756,72680,73664,74772,72044,69460,64764,76904,76716,77020,74376,74660,71772,73192,71360,70480,81408,71360,70616,68848,73292,76920,78044,79932,76240,78912,80480,74384,76996,75432,82952,84656,93156,88168,73672,85756,86896,90640,87084,87084,93500,101472,100172,105704,104800,105796,117868,113304,124268,115988,119608,126412,122508,127516,127716,123052,133152,136088,133848,129544,129656,135656,141804,142488,144832,135932,150100,152308,145320,128348,154884,140776,146696,155624,145660,148664,153957,151780,138355,148087,141875
 "35000","New Mexico",6,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",775512,742296,717944,713464,659148,685708,684688,686952,729532,753232,763740,816016,871424,912728,893340,859836,804900,781388,772896,791648,802404,840916,847128,866828,896576,923748,977204,976028,1038736,1043068,1143948,1188932,1307356,1359336,1384492,1407776,1369468,1463988,1464916,1456640,1565252,1703980,1748768,1778344,1483396,1378024,1328724,1346188,1459912,1461616,1543008,2060816,1648400,1817448,1883784,1861620,2013264,2174192,2141596,2126784,2199020,2317024,2270476,2259800,2399660,2473668,2524692,2634352,2467928,2301800,2276620,2128684,1870036,1738328,1668544,1849580,1837040,1913536,2069608,2129440,2268024,2413044,2445176,2498100,2604624,2623304,2616448,2520784,2467536,1928720,1719000,1730084,1841808,1882580,2004700,2167860,2252416,2340952,2563928,2559052,2593517,2894081,2911179,2860932,2890387
 "35000","New Mexico",6,SQINC6N,300,"22","   Utilities ","Thousands of dollars",236588,228688,236388,245712,248072,245040,252772,247508,240440,281596,238284,270632,309852,321776,311260,310392,301064,293312,301476,317612,286384,303648,304992,315112,308952,330012,303556,319996,312716,328124,336724,336056,339432,344300,363532,358824,365520,365652,416560,427784,454768,456592,419880,397948,478592,427892,451140,442080,435536,443912,445720,444600,459592,446156,459268,464692,415576,461960,452044,458768,454472,475980,464392,467884,472172,473260,473312,493308,463144,483856,480124,501496,503176,526348,531212,510152,506356,481724,499316,491136,493764,502896,516952,506528,529900,515216,508232,517616,554668,529664,550708,566744,562312,563864,575864,556492,525384,546472,552548,608856,550872,571470,553077,587516,599654
 "35000","New Mexico",6,SQINC6N,400,"23","   Construction ","Thousands of dollars",1413796,1451028,1430164,1401384,1429864,1455104,1474020,1531724,1557228,1606052,1680096,1740388,1768552,1785952,1797836,1764164,1751656,1723188,1691296,1734872,1768092,1825332,1866300,1912084,1904860,1995720,2077600,2079296,2157276,2214708,2344604,2403096,2554488,2571856,2541104,2607548,2602276,2664032,2728684,2829808,2965040,2927824,2831300,2845204,2619116,2439832,2404304,2339224,2289512,2263244,2255944,2248872,2200060,2236056,2235704,2115696,2196072,2193876,2173940,2153792,2197572,2185808,2197608,2279912,2253132,2277252,2312176,2405876,2407124,2409300,2416560,2429616,2436564,2434200,2407348,2462032,2533012,2616152,2705404,2791812,2878388,2881368,2888720,2956664,3050356,3210916,3374988,3374580,3391240,3189980,3151736,3201632,3186556,3177860,3386256,3456536,3427272,3579988,3692444,3797112,3924542,4162521,4359926,4431673,4507196
 "35000","New Mexico",6,SQINC6N,500,"31-33","   Manufacturing ","Thousands of dollars",1751496,1677216,1668064,1724856,1691724,1733868,1763836,1789052,1872684,1919556,1956060,1937928,2052712,1948796,1882208,1884184,1855084,1879136,1890080,1826956,1797864,1826796,1864468,2010988,1861096,1888492,1886964,1848132,1956856,1914752,1932712,2006768,2094792,2094720,2092112,2134640,2123328,2203556,2320872,2266428,2171356,2167980,2147416,2096108,1953292,1892172,1866344,1909672,1880512,1980360,1945812,1945688,2024776,2011852,2048432,2038380,2146580,2148920,2073048,2107368,2142884,2057928,2005304,2015616,2044140,2004400,2109216,2018176,2113000,2058068,2022580,2062628,1901692,2049424,1971216,1846516,1858732,1830432,1832720,1869068,1850104,1863168,1907472,1951124,1973816,2042464,2085512,2135708,2086424,2036016,2018112,2092496,2062876,2082472,2058128,2165596,2205008,2250080,2346992,2362552,2317218,2317107,2431779,2462030,2521243
 "35000","New Mexico",6,SQINC6N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",1414868,1338564,1323292,1374232,1338656,1384164,1404980,1417096,1502108,1538788,1564232,1553592,1628848,1517328,1466144,1471688,1445668,1467212,1473056,1412944,1376360,1398328,1418400,1562004,1414868,1434604,1432092,1396304,1492280,1454516,1458488,1520008,1600012,1590072,1581668,1618360,1601104,1670560,1773068,1677732,1617600,1611996,1603480,1558568,1416132,1347316,1316956,1342220,1349024,1433448,1394304,1395812,1488440,1444980,1462460,1468212,1541672,1528320,1461916,1475088,1505980,1423980,1366128,1380452,1387204,1347064,1433128,1354472,1335404,1383000,1343784,1367164,1253192,1374400,1284980,1172644,1173608,1140984,1139692,1180916,1160768,1168316,1191484,1215140,1215052,1238260,1283344,1321932,1279304,1245804,1200696,1274588,1265008,1289236,1255904,1307272,1363596,1353688,1401820,1435852,1396034,1380761,1454880,1522128,1563870
 "35000","New Mexico",6,SQINC6N,530,"311-316,322-326","    Nondurable goods manufacturing ","Thousands of dollars",336628,338652,344772,350624,353068,349704,358856,371956,370576,380768,391828,384336,423864,431468,416064,412496,409416,411924,417024,414012,421504,428468,446068,448984,446228,453888,454872,451828,464576,460236,474224,486760,494780,504648,510444,516280,522224,532996,547804,588696,553756,555984,543936,537540,537160,544856,549388,567452,531488,546912,551508,549876,536336,566872,585972,570168,604908,620600,611132,632280,636904,633948,639176,635164,656936,657336,676088,663704,777596,675068,678796,695464,648500,675024,686236,673872,685124,689448,693028,688152,689336,694852,715988,735984,758764,804204,802168,813776,807120,790212,817416,817908,797868,793236,802224,858324,841412,896392,945172,926700,921184,936346,976899,939902,957373
 "35000","New Mexico",6,SQINC6N,600,"42","   Wholesale trade ","Thousands of dollars",919196,929912,915668,884564,867496,863428,855244,871852,904168,892396,941732,947476,982376,999900,983152,984612,1019636,1032936,1033208,1026568,1022252,1017164,1026868,1032464,1038452,1057080,1078400,1100668,1108080,1133864,1151740,1156184,1192028,1212328,1242812,1287284,1274212,1297676,1315968,1343252,1356780,1354020,1351664,1372184,1270260,1232164,1221052,1237248,1271884,1292120,1310144,1323748,1239964,1274536,1286908,1266524,1307048,1315688,1308380,1316268,1322468,1319372,1298300,1300600,1333612,1343188,1369424,1385548,1393828,1375168,1380128,1358980,1385520,1361344,1358820,1376960,1356576,1387700,1404504,1408812,1410936,1441736,1448432,1452924,1502316,1512256,1520760,1533628,1547888,1459932,1446788,1472512,1481704,1494816,1540156,1625068,1672028,1686840,1731488,1705076,1812045,1802942,1867397,1844263,1877279
