GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "36000","New York",2,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted) ","Thousands of dollars",400872756,413445096,415655704,417351832,434189296,431659444,441040152,439838056,466285164,470937976,478812140,494887908,504046932,491762888,483381968,482049396,480068932,487455516,484801856,482827676,479083224,494785356,498925496,509728604,510180664,520554524,537029284,536708236,539086024,544536716,555944688,568305816,582913332,585717636,587420348,609230580,649066220,630120908,636253972,642950780,667083576,650317664,655573652,650723984,599797040,623061176,622466016,630880516,632433568,653254456,647769812,644711652,673698972,664430172,667943432,659557264,669907504,679295704,684730624,712139552,692542200,705759396,707892844,717919020,736028296,733392736,745059556,760432532,760380512,774068228,785524180,784548900,787724756,789280416,786393484,796565032,813052936,820477480,832557704,865720972,859906772,872340900,884600216,882836184,905758336,913520712,912331996,922839552,938511704,861699812,898862888,927316944,944618248,961290412,986934868,1020323628,1033230196,1027958112,1049469228,1043855344,1072792636,1088751598,1110630070,1094640843,1111162832
 "36000","New York",2,SQINC6N,5,"..."," Wages and salaries ","Thousands of dollars",329872628,340495672,342328556,343569476,358757448,355847452,363801672,362303792,385452988,388924936,395480500,409463096,417707616,406366644,398679088,396332396,392896104,398832664,395615480,392431688,387498432,400610420,403701212,413263092,412580224,421764040,435773108,435169712,436003024,440372388,450100104,460622260,474888316,476732376,478268572,497014504,532462560,515099952,520003524,525523116,546072776,530130104,534005140,528399780,481234012,500449492,499559032,506649064,506401048,525589352,521059532,519088916,543978896,535620036,539527996,531291448,540572932,548186120,551359180,574518524,554368480,564581372,565581660,575308944,593893932,592330568,602440484,615586236,614601720,625655624,634902744,634576820,638609112,640987128,638773848,646693592,659621136,665148372,675200264,703808232,696704048,706814400,717207072,714885044,735750372,741616884,739789484,748313704,761742492,695722976,726620164,751682508,766556284,782159476,805228800,836664948,848435476,844979944,865219796,860056988,883467165,899420993,915773597,902602000,916409506
 "36000","New York",2,SQINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",71000128,72949424,73327148,73782356,75431848,75811992,77238480,77534264,80832176,82013040,83331640,85424812,86339316,85396244,84702880,85717000,87172828,88622852,89186376,90395988,91584792,94174936,95224284,96465512,97600440,98790484,101256176,101538524,103083000,104164328,105844584,107683556,108025016,108985260,109151776,112216076,116603660,115020956,116250448,117427664,121010800,120187560,121568512,122324204,118563028,122611684,122906984,124231452,126032520,127665104,126710280,125622736,129720076,128810136,128415436,128265816,129334572,131109584,133371444,137621028,138173720,141178024,142311184,142610076,142134364,141062168,142619072,144846296,145778792,148412604,150621436,149972080,149115644,148293288,147619636,149871440,153431800,155329108,157357440,161912740,163202724,165526500,167393144,167951140,170007964,171903828,172542512,174525848,176769212,165976836,172242724,175634436,178061964,179130936,181706068,183658680,184794720,182978168,184249432,183798356,189325471,189330605,194856473,192038843,194753326
 "36000","New York",2,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",47372008,48714472,49029708,49373576,50458372,50963512,52044152,52382060,54364352,55344508,56106248,57341568,57691216,57039876,56625408,57466460,58616988,59661248,60283080,61556200,62542392,64405308,65257308,66054688,66972724,67733604,69472720,70035136,71216832,72158856,73329080,74529536,74277488,74999704,75159464,77310236,80431160,79564996,80640512,81314348,83845952,83371588,84338288,85055692,83639276,86556664,87042788,88184916,89533944,90611548,90068912,89431924,91401044,90896432,90502592,90817240,90921300,92465648,94434808,97304168,98442252,100600440,101428428,101035160,99692484,98516932,99363984,100698752,101783564,103665780,105170200,104425456,103751172,102880868,102290388,103807436,106532060,108040500,109625700,112935460,114900788,116872604,118258668,118864388,119653148,121149200,121917308,123497908,125302588,118423824,122767008,124821264,126003848,125565316,126383452,126628248,126985028,125239892,125368544,125357440,128532142,127960307,132254325,130263732,131755963
 "36000","New York",2,SQINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",23628120,24234952,24297440,24408780,24973476,24848480,25194328,25152204,26467824,26668532,27225392,28083244,28648100,28356368,28077472,28250540,28555840,28961604,28903296,28839788,29042400,29769628,29966976,30410824,30627716,31056880,31783456,31503388,31866168,32005472,32515504,33154020,33747528,33985556,33992312,34905840,36172500,35455960,35609936,36113316,37164848,36815972,37230224,37268512,34923752,36055020,35864196,36046536,36498576,37053556,36641368,36190812,38319032,37913704,37912844,37448576,38413272,38643936,38936636,40316860,39731468,40577584,40882756,41574916,42441880,42545236,43255088,44147544,43995228,44746824,45451236,45546624,45364472,45412420,45329248,46064004,46899740,47288608,47731740,48977280,48301936,48653896,49134476,49086752,50354816,50754628,50625204,51027940,51466624,47553012,49475716,50813172,52058116,53565620,55322616,57030432,57809692,57738276,58880888,58440916,60793329,61370298,62602148,61775111,62997363
 "36000","New York",2,SQINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",464332,465768,461540,454608,428732,419264,420776,431048,465716,487424,506676,521448,513128,521712,524984,522720,641428,638824,634492,628144,579324,577576,582164,593032,562632,574968,583728,589184,484340,483432,480064,474272,526508,528224,540232,562900,638312,667052,688604,702096,653364,656644,658456,659112,608824,605656,600380,592472,610500,598268,585464,571480,509476,508992,522432,549780,715444,747796,767572,775460,779108,778552,780236,784048,830144,831184,827232,818516,696168,688728,686220,689120,750388,764124,783564,809552,760892,773608,769516,748628,710252,687360,676696,678980,546784,557948,568852,578836,587520,597340,601600,603900,577988,579328,581860,586264,833916,846996,862796,884160,895423,902859,905584,925770,952164
 "36000","New York",2,SQINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",400408424,412979328,415194164,416897224,433760564,431240180,440619376,439407008,465819448,470450552,478305464,494366460,503533804,491241176,482856984,481526676,479427504,486816692,484167364,482199532,478503900,494207780,498343332,509135572,509618032,519979556,536445556,536119052,538601684,544053284,555464624,567831544,582386824,585189412,586880116,608667680,648427908,629453856,635565368,642248684,666430212,649661020,654915196,650064872,599188216,622455520,621865636,630288044,631823068,652656188,647184348,644140172,673189496,663921180,667421000,659007484,669192060,678547908,683963052,711364092,691763092,704980844,707112608,717134972,735198152,732561552,744232324,759614016,759684344,773379500,784837960,783859780,786974368,788516292,785609920,795755480,812292044,819703872,831788188,864972344,859196520,871653540,883923520,882157204,905211552,912962764,911763144,922260716,937924184,861102472,898261288,926713044,944040260,960711084,986353008,1019737364,1032396280,1027111116,1048606432,1042971184,1071897213,1087848739,1109724486,1093715073,1110210668
 "36000","New York",2,SQINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",324895792,336326576,337940804,338432388,354656740,349739476,358453452,356493648,381360568,385214000,392110416,407043464,417002508,404043212,396580768,393188832,390549224,397158744,393378216,389829236,384231552,400484556,403202044,414734868,411966144,421537620,436018812,435144652,437590400,442064088,451680932,462088416,479414980,478505320,479774748,498860244,537453984,517560044,523408188,529206828,550755160,532311400,536707128,530276204,478743564,500323348,500027092,506702516,505459120,525888488,520085536,517812900,546749040,536232864,542291980,534532388,544113600,553650556,557251836,582733060,559298984,571696272,572723644,582629276,601577648,598594236,608013212,622860716,622126888,634769020,644935092,643861228,646860612,649800176,646888084,655429116,669241948,675694748,686507160,718534312,702440036,712404552,721933896,718626708,743436156,749195108,745632092,752659112,765875156,694545088,728609600,756704152,773654488,786917684,806334460,840514708,851906476,849653920,870802780,865719512,886921288,907340544,914835992,904641570,917781535
 "36000","New York",2,SQINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",123320,129584,130068,134348,136544,130316,128280,125644,119716,119624,140384,185420,130032,127056,129228,137128,130968,132260,131512,132332,128220,128484,129184,134824,143492,147232,151268,153940,144772,145368,150752,150176,156872,162848,170108,172632,165948,168768,164532,172168,176880,177960,178540,186228,189888,198464,194340,201688,196404,193204,194280,194208,191832,194240,203648,204128,203708,202588,203148,204624,195276,196556,202348,214008,214252,220652,223588,225000,238116,235636,252564,248732,246500,237832,243312,251704,254988,257268,257372,256752,263724,266432,270312,266076,254516,278884,272692,277396,290588,277476,309712,306708,295012,278116,306044,302204,298748,299824,305896,306984,328271,322023,320341,313625,297767
 "36000","New York",2,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",223500,227608,227080,226864,217144,226360,218008,232812,237100,231200,229520,229744,240944,247492,240464,236736,223264,221344,220312,226736,244272,255556,254988,274376,260268,277312,297272,288900,277364,287352,299928,313192,326156,329268,333724,339876,355792,370284,358688,373936,398584,425916,435616,399804,329340,327468,336004,322072,321732,351852,339536,325136,362904,348196,357348,458604,451620,356068,345276,332400,323708,349852,337140,325692,373232,364184,379960,368696,356864,385068,384796,383404,369320,343624,358536,342164,343584,357020,372012,390224,415352,425516,415984,405416,421984,412580,402248,402208,412736,377072,394796,408144,410472,442000,454172,464468,483000,488856,483744,498824,534738,531564,540263,562293,563990
