GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "39000","Ohio",3,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted) ","Thousands of dollars",204558000,206540496,208876376,214018228,215110108,216823328,218265932,223227964,228534992,227467208,229527940,228231756,233126036,232822840,232954192,232811944,232805380,235833244,238447212,238599664,240723784,242354428,243396988,249014848,247573372,252747412,257017788,259743540,257986812,259960376,262894152,265108208,269205132,271577328,272977936,274274160,281735456,279540544,278733556,279833104,283215068,283350280,283093156,280417416,270254892,268087384,267409536,268332608,266625272,272317136,276368956,278270324,281777352,283058808,288065132,287187740,293436536,295583432,296187648,301108812,304016388,306385144,306445452,308088272,314533404,315467832,319013740,323405076,325275820,328820928,330386312,334291608,334128292,335127484,337198916,341029856,344076128,347835668,350943272,353486160,356503460,359077868,364362396,365957376,371722852,372520576,373418016,378549652,382391520,355909928,377597088,389058436,388255260,394583316,402385008,412920476,416667088,421962576,430426216,432562352,440481597,446401844,453820076,455614056,460498109
 "39000","Ohio",3,SQINC6N,5,"..."," Wages and salaries ","Thousands of dollars",167285076,168862468,170847504,175133076,176111384,177538644,178741424,182988592,187655872,186661972,188259788,186921108,190689868,190054368,189786632,189554268,189600456,191933304,193772272,193383720,194563900,195809092,196536848,201105312,199373492,203702432,207327808,209356920,207743172,209208292,211519580,212929428,216150368,217565712,218431784,219772308,226464548,224728852,223887108,224787688,227319712,227238200,227137524,225194600,216334400,215016896,214476928,215214456,212921676,217728504,221006076,222555988,225253476,226425192,230851100,230284932,236729336,238624380,238870820,242659096,243621416,244553296,244008448,245499584,251760896,252794236,256024196,259747428,261207988,264051256,265329660,268545540,268583448,269483224,271306852,274617968,277430872,280580848,283173252,285348888,287786280,289653068,293929156,295110984,300237612,300910296,301911684,306743340,310859044,288596300,306884556,316818896,316025128,322161600,329503612,339031884,342522504,346988772,354718204,356277256,363136958,368289074,374746398,375846028,379932895
 "39000","Ohio",3,SQINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",37272924,37678028,38028872,38885152,38998724,39284684,39524508,40239372,40879120,40805236,41268152,41310648,42436168,42768472,43167560,43257676,43204924,43899940,44674940,45215944,46159884,46545336,46860140,47909536,48199880,49044980,49689980,50386620,50243640,50752084,51374572,52178780,53054764,54011616,54546152,54501852,55270908,54811692,54846448,55045416,55895356,56112080,55955632,55222816,53920492,53070488,52932608,53118152,53703596,54588632,55362880,55714336,56523876,56633616,57214032,56902808,56707200,56959052,57316828,58449716,60394972,61831848,62437004,62588688,62772508,62673596,62989544,63657648,64067832,64769672,65056652,65746068,65544844,65644260,65892064,66411888,66645256,67254820,67770020,68137272,68717180,69424800,70433240,70846392,71485240,71610280,71506332,71806312,71532476,67313628,70712532,72239540,72230132,72421716,72881396,73888592,74144584,74973804,75708012,76285096,77344639,78112770,79073678,79768028,80565214
 "39000","Ohio",3,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",24438324,24720584,24904644,25382164,25440856,25657104,25904792,26529328,27187812,27360884,27789132,27842380,28452948,28769756,29235164,29456672,29757156,30248324,30851576,31346952,31967928,32144216,32292716,32882688,32969600,33412464,33778084,34417532,34422696,34952628,35423100,36106628,36734028,37578392,38096004,38001796,38480508,38207804,38284228,38306400,38879140,38955400,38622056,37852788,37027080,36171344,36110656,36398796,37046380,37791104,38514568,38876436,38972384,39062144,39328668,39117180,38423712,38645544,39193776,40265824,42462500,44011220,44800524,44967804,44899672,44838336,44988180,45412904,45852548,46318672,46427276,46760448,46555248,46394996,46344724,46443796,46256220,46586072,46978144,47363584,48283248,49104952,49944308,50210164,50366436,50357760,50205588,50246648,49914392,46862464,49244748,50393760,50401088,50281172,50303200,50595684,50534688,51053280,51192516,51700868,52044827,52533451,53088249,53746333,54160151
 "39000","Ohio",3,SQINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",12834600,12957444,13124228,13502988,13557868,13627580,13619716,13710044,13691308,13444352,13479020,13468268,13983220,13998716,13932396,13801004,13447768,13651616,13823364,13868992,14191956,14401120,14567424,15026848,15230280,15632516,15911896,15969088,15820944,15799456,15951472,16072152,16320736,16433224,16450148,16500056,16790400,16603888,16562220,16739016,17016216,17156680,17333576,17370028,16893412,16899144,16821952,16719356,16657216,16797528,16848312,16837900,17551492,17571472,17885364,17785628,18283488,18313508,18123052,18183892,17932472,17820628,17636480,17620884,17872836,17835260,18001364,18244744,18215284,18451000,18629376,18985620,18989596,19249264,19547340,19968092,20389036,20668748,20791876,20773688,20433932,20319848,20488932,20636228,21118804,21252520,21300744,21559664,21618084,20451164,21467784,21845780,21829044,22140544,22578196,23292908,23609896,23920524,24515496,24584228,25299812,25579319,25985429,26021695,26405063
 "39000","Ohio",3,SQINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",345716,359100,365956,366588,355836,348760,341572,335992,326604,326776,332128,342416,362040,369580,372676,371184,335196,333640,330968,327028,388328,387144,391040,400040,422604,433400,440200,443112,390988,389240,386752,383480,366668,369868,379956,397216,537700,559732,572140,574192,458604,454032,451320,450560,471668,473732,476936,480868,398168,394920,385460,370140,466932,458292,467852,495700,602912,636916,653000,651160,584228,575904,575864,584176,530940,536332,532120,518632,684640,666308,659808,665288,731436,752016,774688,799860,613312,622704,621336,609068,631596,613552,601300,595428,604504,609496,619672,634740,520196,534616,542888,547196,535696,535492,534796,534116,601212,605016,612864,625860,635105,641253,643665,658076,676514
 "39000","Ohio",3,SQINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",204212284,206181396,208510420,213651640,214754272,216474568,217924360,222891972,228208388,227140432,229195812,227889340,232763996,232453260,232581516,232440760,232470184,235499604,238116244,238272636,240335456,241967284,243005948,248614808,247150768,252314012,256577588,259300428,257595824,259571136,262507400,264724728,268838464,271207460,272597980,273876944,281197756,278980812,278161416,279258912,282756464,282896248,282641836,279966856,269783224,267613652,266932600,267851740,266227104,271922216,275983496,277900184,281310420,282600516,287597280,286692040,292833624,294946516,295534648,300457652,303432160,305809240,305869588,307504096,314002464,314931500,318481620,322886444,324591180,328154620,329726504,333626320,333396856,334375468,336424228,340229996,343462816,347212964,350321936,352877092,355871864,358464316,363761096,365361948,371118348,371911080,372798344,377914912,381871324,355375312,377054200,388511240,387719564,394047824,401850212,412386360,416065876,421357560,429813352,431936492,439846492,445760591,453176411,454955980,459821595
 "39000","Ohio",3,SQINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",172161820,174047840,176243188,180732528,181000216,182525348,184212560,188634552,192467900,191886820,193101192,191632388,196423680,195317820,194413288,194220656,193707240,196275912,198224124,198043176,199460416,200720596,201313708,206577136,204177460,209229716,213415628,214972292,213832024,214892868,218044652,219702628,224076008,225778288,226398540,228042724,233884044,232100988,230737956,231988892,234415908,234368004,233860296,231068316,220726020,218474460,217403584,217585480,214978936,219977388,223807472,225488032,229742968,230954044,235542144,234992788,241137216,242827484,243366856,247930480,250892036,252764688,253010084,254403656,260765424,260991044,264462268,268525224,269480952,272945744,274309452,278141728,277222696,278120824,279502680,282568236,286570020,289550008,292174672,294755188,297310628,299208184,303275536,305470808,311058864,311725952,312037496,315621988,318634164,294830892,314271100,325315532,324300868,330574264,337087592,347464176,351573036,355323072,363749720,365013576,372750002,377475482,383755984,383413805,387176988
 "39000","Ohio",3,SQINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",79536,80248,77852,79372,78824,79820,86972,88616,73888,77200,82660,104608,84688,85376,83480,86144,91464,91740,92368,91700,90532,94676,98304,104412,110068,119252,117860,117896,104940,106992,108632,111820,118800,120076,123884,126000,121120,129644,127056,128284,128456,128684,133444,132368,141956,138056,150744,144664,137032,144600,153284,154276,142780,150456,154172,167040,169684,178004,172604,167712,172928,177892,184216,187760,192104,193576,199384,207300,202744,205388,216424,212220,211836,207316,229644,220552,216160,219844,238728,229660,232560,236224,238908,244724,244764,242632,243592,250568,263944,261216,281928,285596,274628,258116,287272,280144,269684,285716,286196,298136,300675,308830,304987,313445,282617
 "39000","Ohio",3,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",653124,649136,644480,668732,678816,675368,657648,658376,653132,635072,656624,654476,740120,695248,777284,760124,659252,680140,643380,662876,633816,670360,650220,700812,739940,687292,721788,692648,711988,723808,739868,750600,770564,792900,890648,783904,823372,865116,788712,820236,846496,875588,896512,907948,873204,897564,877624,863556,802328,912012,948060,885244,952100,1027540,968624,955404,1043332,1137160,1060904,1145768,908596,937540,1004544,1050364,1125248,1163824,1283824,1358068,1260740,1188276,1137924,1083024,972292,931544,929268,929300,933516,977972,1029700,1053816,1090016,1112472,1112404,1047248,1136788,1100948,1032996,984924,946472,827496,756812,762908,752524,776044,777556,817576,818520,881640,926544,932344,980859,986275,1006819,983457,992001
 "39000","Ohio",3,SQINC6N,300,"22","   Utilities ","Thousands of dollars",1653532,1492492,1518844,1543596,1586544,1572120,1598528,1511152,1515072,1638900,1554340,1729648,1834652,2013652,2081176,2076016,1838868,1950044,1975152,1986308,1996064,1921444,1930060,1921400,1775112,1973200,1848032,1986192,1920444,1952592,2072920,2062124,2172620,2271940,2244608,2278296,2184636,2381604,2313188,2300392,2554584,2444040,2483028,2482220,2701904,2389632,2366476,2276628,2065416,2341500,2641412,2291168,2260220,2384264,2371868,2479524,2161616,2238248,2350016,2323716,2368296,2451852,2370768,2382440,2446880,2367120,2335948,2373032,2520520,2588208,2551436,2636692,2620284,2669640,2746492,2661896,2660612,2646220,2640508,2630896,2683348,2706752,2772704,2900496,2736132,2831464,2843508,2844648,2934968,2960292,3010516,3072224,2862620,2969984,2907880,2881408,2770816,2854208,2916500,2997784,2745269,2935502,3059259,3104404,3179534
 "39000","Ohio",3,SQINC6N,400,"23","   Construction ","Thousands of dollars",9422136,9759440,10122708,10507728,10763352,10657968,11060808,11592304,11881432,11728064,11466988,11160676,11474020,11241316,11191440,11266948,11290516,11066480,11407284,11350684,11220204,11358460,11282732,11493864,11672328,11723576,11913324,11758024,11849068,11948328,12032208,11892544,12585584,12234388,11998392,12068380,12423580,12667248,12453656,12585732,12608128,12314000,12147576,12023696,11557016,10707916,10964288,10133060,10031900,10019856,10264368,10202004,10444616,10679672,11166564,11099984,11490524,11533812,11334412,11724464,11853468,12021280,12327968,12608696,12838912,13270060,13443336,13807760,13829012,13804628,14045508,14544348,14690072,14651896,14299864,14773372,15567460,16620560,16958844,16431144,16391148,16535032,16925196,16925280,17513960,17411220,17574296,18054396,18140320,16274556,17956056,18135296,18378448,17978168,18791940,19494328,20178832,20227228,20299764,20911452,21728040,21545275,21527077,22391005,22235688
 "39000","Ohio",3,SQINC6N,500,"31-33","   Manufacturing ","Thousands of dollars",50913900,51289044,50793392,52462936,51391588,51571884,52278972,52646588,53656532,53224708,53234536,52398632,52418092,51359160,50527588,49392724,48422544,49622996,49407328,49290372,49570604,49087332,48398372,50651584,48095620,50364444,51094808,51404560,50739876,50080208,50434428,50900128,51065448,51578556,51895772,51874640,52837660,51750196,50939616,50488716,50634356,50420004,49929348,48243752,43305572,42274352,41262464,42043308,41271832,43048240,43589204,43873684,45438160,44939016,46290876,46386856,46878960,47469048,47110676,47161764,47873036,48103488,48250612,48558864,49615392,49945804,50397952,51736148,51260132,51820212,51910544,52977464,51976700,52411200,52346808,52190796,53153576,53226712,53548700,54171592,55413784,55078844,55565720,56666928,56645856,57121360,56478112,56863152,56508724,50820932,54510720,56259800,55499900,56733132,56585252,58254404,59690052,60247904,61904604,61449436,62187988,64503449,63809840,64371014,65096858
 "39000","Ohio",3,SQINC6N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",37444772,37788380,37254684,38704472,37431456,37482352,38045140,38471144,39171876,38832788,38786212,38187432,38003660,37103812,36363484,35376196,34368388,35350904,35056640,34897964,35061764,34619320,34100188,36002132,34017508,35860756,36287228,36647404,36036932,35419200,35837720,36203056,36320608,36889924,37158940,36706464,37721400,36685656,35989204,35828720,35528424,35657256,35303920,33924616,30025136,28799076,27806636,28095812,27477316,29017296,29606292,29771848,30884160,30581672,31440716,31869332,32355988,32569052,32330404,32230108,32701056,33014860,33138892,33280980,33960872,34280468,34679892,35589392,35126824,35798444,35756260,36156660,35431196,35548612,35499892,35575592,35936996,36180608,36554220,37103528,37900084,37703716,37919272,38219520,38400268,38415400,37624148,38488032,37933064,32727780,35017460,36535212,36311448,37374220,36612312,37892424,38497212,39484384,41058796,40337684,41554923,42897294,42402592,43139173,43983636
 "39000","Ohio",3,SQINC6N,530,"311-316,322-326","    Nondurable goods manufacturing ","Thousands of dollars",13469128,13500664,13538708,13758464,13960132,14089532,14233832,14175444,14484656,14391920,14448324,14211200,14414432,14255348,14164104,14016528,14054156,14272092,14350688,14392408,14508840,14468012,14298184,14649452,14078112,14503688,14807580,14757156,14702944,14661008,14596708,14697072,14744840,14688632,14736832,15168176,15116260,15064540,14950412,14659996,15105932,14762748,14625428,14319136,13280436,13475276,13455828,13947496,13794516,14030944,13982912,14101836,14554000,14357344,14850160,14517524,14522972,14899996,14780272,14931656,15171980,15088628,15111720,15277884,15654520,15665336,15718060,16146756,16133308,16021768,16154284,16820804,16545504,16862588,16846916,16615204,17216580,17046104,16994480,17068064,17513700,17375128,17646448,18447408,18245588,18705960,18853964,18375120,18575660,18093152,19493260,19724588,19188452,19358912,19972940,20361980,21192840,20763520,20845808,21111752,20633065,21606155,21407248,21231841,21113222
 "39000","Ohio",3,SQINC6N,600,"42","   Wholesale trade ","Thousands of dollars",11695508,11713680,11968032,12168072,12408956,12184252,12204912,12365184,12566140,12785688,12957584,12995972,13535192,13506924,13302168,13161224,13148648,13225624,13281972,13212780,13246180,13277284,13402080,13511856,13474432,13965736,14208448,14395076,14517400,14631332,14818976,14942904,15261712,15365700,15384264,15778664,15966272,16019968,16061240,16180340,16327308,16424256,16448652,16100504,15485812,15069232,14841308,14845052,14807468,15188120,15531356,15617108,15717300,16185460,16342148,16309860,16748628,16696936,16822468,17268112,17357592,17390108,17313652,17706544,17953124,18066588,18647708,18689176,19058948,19147148,19066128,19018152,18864740,18955036,19081600,19212916,19493436,19922112,19904572,19956536,20407196,20391300,20491928,20578092,20991168,20933784,21007912,20962840,21256576,20241012,20797244,21370216,21523976,21983256,22620308,23383708,24008848,24024672,24532052,24758808,25038740,25491853,26249990,25889547,26217500
 "39000","Ohio",3,SQINC6N,700,"44-45","   Retail trade ","Thousands of dollars",15580948,15752180,15927484,16173264,16201936,16513796,16665448,17219288,17619000,17454884,17559780,17217840,17230000,16955788,16800384,16865596,16995920,17051532,17210568,17224576,17356376,17516056,17671272,18059108,17538348,17582708,17713804,17678436,17517528,17652280,17581932,17460100,17603804,17638920,17661864,17584656,18225640,17888444,17699064,17691628,17920448,17819584,17657976,17458328,16812616,16835948,16809336,16955360,16307628,16897372,16994240,17031680,17270484,17380480,17672488,17588404,17942180,17741356,17686556,17916960,18296840,18365868,18457096,18348556,18612772,18617748,18700624,18926360,18937044,19124656,19500276,19533604,19370808,19390280,19529808,19824732,20084432,20125024,20143748,20342996,20125872,20165220,20238900,20430524,20637804,21035720,21048248,21313424,21319792,20625456,22200680,22733816,23025184,23429728,23867588,24725516,24660944,24385208,24890748,25127600,25451882,25052697,25447411,25384090,25474546
 "39000","Ohio",3,SQINC6N,800,"48-49","   Transportation and warehousing ","Thousands of dollars",6403776,6447676,6640060,6951284,6853444,7043128,7242752,7474804,7383512,7617544,7366992,7535988,7618700,7656468,7526088,7404680,7432720,7547140,7632484,7709900,7685304,7809024,7911028,8050500,8035836,8403500,8637692,8957816,9000476,9128568,9370308,9494468,9785264,9834604,9946100,10010972,10455364,10426080,10434428,10485756,10712032,10533172,10432108,10213548,9802864,9523032,9339256,9344968,8997084,9156332,9325400,9501776,9580196,9744988,9955556,9979848,10179212,10470604,10213020,10273560,10413908,10525988,10595192,10690056,10710784,10927460,11020332,11252136,11532448,11754668,11853024,12424588,11876972,12119136,12296904,12405840,12485016,12530056,12696076,12807876,13516168,13476872,13871512,14176828,14548340,14623004,14807232,14873820,14845104,14631940,15554828,16422664,16881388,16646788,17670580,18158420,18408244,18522084,18792932,18889020,19376320,19394741,19456010,19547511,19858876
