GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "42000","Pennsylvania",2,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted) ","Thousands of dollars",210638152,215077992,216341380,221094908,223852396,226408516,228579676,232021056,238459208,239751056,243963600,246568628,250828692,252051760,252676980,252165288,255593096,256887460,258327884,258656304,260661120,263353552,266031048,271797636,271181184,276179792,282979988,285324012,284128776,288361436,293875728,295433620,301118032,303795808,306882260,311605336,317708928,318804580,321294804,323875592,326295076,329083284,328742744,329432124,319287900,320587456,319276824,326620136,319860400,327604620,333269416,336744192,337288288,341539588,346766728,342727412,348825632,349435160,351244924,356142620,358086500,363128892,361177420,362683592,369031284,370095548,372535492,377921080,384198476,386123116,388643968,392075176,388137908,389933316,395550120,398028672,400615280,404095824,410950068,415348132,419295900,422608204,428153968,428702680,437996760,440059644,440411736,446236684,449408184,415472296,437681988,452664228,450405332,460496252,470285772,483748956,485735204,494642120,506152016,505152428,515265131,518153109,527696254,529948263,536940567
 "42000","Pennsylvania",2,SQINC6N,5,"..."," Wages and salaries ","Thousands of dollars",171719476,175246904,176164352,179890268,182046464,183911448,185423472,188065540,193600204,194119872,197196216,198659224,201325112,201662120,201558108,200944088,203825000,204771332,205664012,205484768,206680076,208850516,211007172,215550572,214320600,218298896,223792424,225166140,223948888,227026952,231303732,232330920,237070904,238875124,241243784,245453184,251253588,252225348,254155004,256497504,258559856,260779908,260743164,261490224,252399020,253887588,252773184,258488160,252081072,258395896,262729860,265169124,265569056,268838620,273561792,270830116,277641952,278570716,279907032,283814276,283539032,286603288,284545324,286159564,293060348,294482576,296747636,301144828,305903876,307084164,308955820,311537816,308883984,310169180,314719376,317118344,319436568,322357312,327976696,331654604,334979944,337453444,342087212,342570496,351048708,352948860,353554324,359015172,362424148,333924372,352912696,366028940,364628192,374514176,383898000,396011008,398419080,405936072,416215052,415299644,423923411,426692697,434890837,436465658,442242625
 "42000","Pennsylvania",2,SQINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",38918676,39831088,40177028,41204640,41805932,42497068,43156204,43955516,44859004,45631184,46767384,47909404,49503580,50389640,51118872,51221200,51768096,52116128,52663872,53171536,53981044,54503036,55023876,56247064,56860584,57880896,59187564,60157872,60179888,61334484,62571996,63102700,64047128,64920684,65638476,66152152,66455340,66579232,67139800,67378088,67735220,68303376,67999580,67941900,66888880,66699868,66503640,68131976,67779328,69208724,70539556,71575068,71719232,72700968,73204936,71897296,71183680,70864444,71337892,72328344,74547468,76525604,76632096,76524028,75970936,75612972,75787856,76776252,78294600,79038952,79688148,80537360,79253924,79764136,80830744,80910328,81178712,81738512,82973372,83693528,84315956,85154760,86066756,86132184,86948052,87110784,86857412,87221512,86984036,81547924,84769292,86635288,85777140,85982076,86387772,87737948,87316124,88706048,89936964,89852784,91341720,91460412,92805417,93482605,94697942
 "42000","Pennsylvania",2,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",25052568,25713716,26021372,26762064,27281256,27923128,28524644,29152976,29657892,30400352,31283184,32302240,33683304,34535984,35288584,35429240,35763052,36035452,36532464,37098020,37685388,38086200,38528108,39523976,40088456,40887120,41781736,42600492,42476884,43314188,44164188,44568288,45233620,46000056,46603012,46899436,46990092,47164584,47627988,47680040,47883640,48274564,47918452,47779460,47343176,47006500,46918084,48172244,47883084,48933696,50077704,51054524,50645112,51477528,51708732,50709364,49490300,49152684,49547832,50167700,52295184,53901948,54077192,53846092,53001180,52575732,52581716,53194584,54470456,55033492,55496264,56118068,55169024,55552288,56220940,56035376,56052392,56356356,57207080,57714648,58458504,59231792,59874328,59873280,60107240,60168848,60018348,60216008,60083600,56443984,58673736,60074932,59325708,58977344,58807052,59260968,58632524,59456024,59957652,59972636,60595805,60572835,61392373,61952207,62604788
 "42000","Pennsylvania",2,SQINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",13866108,14117372,14155656,14442576,14524676,14573940,14631560,14802540,15201112,15230832,15484200,15607164,15820276,15853656,15830288,15791960,16005044,16080676,16131408,16073516,16295656,16416836,16495768,16723088,16772128,16993776,17405828,17557380,17703004,18020296,18407808,18534412,18813508,18920628,19035464,19252716,19465248,19414648,19511812,19698048,19851580,20028812,20081128,20162440,19545704,19693368,19585556,19959732,19896244,20275028,20461852,20520544,21074120,21223440,21496204,21187932,21693380,21711760,21790060,22160644,22252284,22623656,22554904,22677936,22969756,23037240,23206140,23581668,23824144,24005460,24191884,24419292,24084900,24211848,24609804,24874952,25126320,25382156,25766292,25978880,25857452,25922968,26192428,26258904,26840812,26941936,26839064,27005504,26900436,25103940,26095556,26560356,26451432,27004732,27580720,28476980,28683600,29250024,29979312,29880148,30745915,30887577,31413044,31530398,32093154
 "42000","Pennsylvania",2,SQINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",471996,474272,472144,468000,430980,424904,426284,433500,468760,484380,498660,510476,497016,505212,509420,509440,621596,618620,613568,606220,560464,558400,563700,576384,552952,567172,576556,581332,478772,477016,473548,468452,522356,524884,536932,558788,637484,663288,680384,687948,633888,633164,633188,634328,593444,592808,590212,584952,599864,587856,572996,554852,488092,485432,499540,531248,638588,674580,693572,695028,685072,677464,676132,680716,686040,690224,687736,678844,609976,602204,600796,606220,665800,680816,698016,717956,702984,709980,702820,681492,645904,624268,613944,615588,495372,505180,514632,523044,530384,537284,540044,540796,515664,515484,516696,519796,738576,749792,763516,782388,793079,800373,803163,821320,844091
 "42000","Pennsylvania",2,SQINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",210166156,214603720,215869236,220626908,223421416,225983612,228153392,231587556,237990448,239266676,243464940,246058152,250331676,251546548,252167560,251655848,254971500,256268840,257714316,258050084,260100656,262795152,265467348,271221252,270628232,275612620,282403432,284742680,283650004,287884420,293402180,294965168,300595676,303270924,306345328,311046548,317071444,318141292,320614420,323187644,325661188,328450120,328109556,328797796,318694456,319994648,318686612,326035184,319260536,327016764,332696420,336189340,336800196,341054156,346267188,342196164,348187044,348760580,350551352,355447592,357401428,362451428,360501288,362002876,368345244,369405324,371847756,377242236,383588500,385520912,388043172,391468956,387472108,389252500,394852104,397310716,399912296,403385844,410247248,414666640,418649996,421983936,427540024,428087092,437501388,439554464,439897104,445713640,448877800,414935012,437141944,452123432,449889668,459980768,469769076,483229160,484996628,493892328,505388500,504370040,514472052,517352736,526893091,529126943,536096476
 "42000","Pennsylvania",2,SQINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",177552344,181559316,182790944,186914860,189798100,191653588,193244928,195799972,202171084,202887424,206638516,208390596,211606340,212169052,211542920,210640272,213484180,214339376,214858268,214893736,216053104,218369640,221247408,225617196,224486336,228651388,235277632,235946272,236534476,239747208,244031132,245706544,250974228,252769924,255254672,259340364,265018732,265620868,267288080,269795916,271909472,274212392,273672896,273767536,264008532,264888664,263578644,268902724,263447056,269920412,275088224,277361968,280742264,283613320,288626500,286419296,292810328,293619636,295058012,299925684,300251484,304718784,302999076,303868416,310535660,311507820,313571136,318687376,324469480,326470828,328846244,331178800,328968024,329198828,333114476,336693968,339563392,342887972,348985384,353081668,356810748,359504900,364160680,365160060,374834956,376800208,376696004,381380772,383556308,351523980,372791244,386611640,385910792,396476248,405369792,417710736,421403172,428453592,438424944,438178124,447553427,450371232,458489530,459654294,465391218
 "42000","Pennsylvania",2,SQINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",137416,145920,147728,148972,151296,153908,153524,166712,153560,151340,185348,224372,179448,181044,174992,174036,180908,177604,181072,171028,180836,173588,175828,188716,194708,208872,204808,212616,198820,200832,211576,214468,229308,230024,235804,237648,225776,230180,232376,227804,228504,229684,235944,245728,249888,256112,254976,255828,250780,255144,254896,257916,250676,252220,270756,265968,283240,281136,281584,279168,291996,291676,291872,297032,297240,310208,309940,322084,303092,312412,328920,329732,339140,319664,335552,335276,333380,333432,339692,341764,352876,361800,355700,360704,347120,349984,361500,366860,375580,367632,404872,391248,368692,365260,395472,396812,391888,404428,417092,415640,410855,403496,397296,395750,386361
 "42000","Pennsylvania",2,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",1004312,1024904,1058344,1045588,1044148,991608,950188,974080,986596,929032,1026748,1008260,1045512,1078272,1157080,1083564,1056244,1012256,1016192,1003912,970836,1010712,1009164,1084844,1006320,1145972,1156156,1190468,1209908,1204604,1251268,1208408,1326480,1339404,1350956,1411092,1339812,1396920,1480604,1460972,1491012,1602520,1597084,1645428,1598116,1550304,1618316,1708240,1777528,2054956,2225956,2443192,2587704,2688648,2936872,2962984,3406548,3353320,3235776,3117892,3323340,3373132,3277508,3266608,3473840,3606104,3671476,3802072,3602244,3365692,3159480,2904344,2514268,2320712,2346304,2314008,2491576,2663496,2751708,3454400,2854148,3028204,3000260,3082600,3135388,3148516,3050824,2819996,2665120,2398092,2242544,2274920,2357972,2353896,2361180,2467448,2609620,2566728,2763256,2713036,2590139,2808929,2651862,2742021,2798798
