GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "95000","Southeast",5,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted) ","Thousands of dollars",1058812100,1080146616,1101329528,1120721220,1136203020,1147904552,1165546584,1188187260,1222906624,1232434424,1249556308,1256886336,1278819368,1289014296,1291035224,1295498428,1302824328,1322243244,1332568212,1344001404,1354571172,1371211272,1393821664,1422298676,1431782608,1460708540,1491924796,1511905292,1533412456,1552647168,1577023100,1596758556,1630925248,1642549288,1655881212,1687211040,1717862380,1726967648,1737047744,1755241280,1765354448,1767037664,1768819328,1762296888,1705368364,1710942868,1707499488,1717634636,1711021280,1739161560,1755496844,1759597496,1778234184,1785230720,1801320920,1792689720,1837320608,1847380860,1855126024,1887914968,1896631348,1904037924,1906043728,1923115804,1960178344,1976591832,1995650708,2028043272,2052518460,2078103712,2100287792,2116822640,2124947892,2137801612,2161842144,2190910296,2214077500,2231957228,2254702744,2291989692,2320050400,2339575968,2376650896,2396640728,2439339820,2452086844,2468424428,2500365140,2537718472,2387855396,2511626872,2592472464,2621322388,2698188964,2768075760,2845904728,2893835836,2927338244,3009391316,3041267432,3112146386,3149895479,3201993515,3230790697,3278344255
 "95000","Southeast",5,SQINC6N,5,"..."," Wages and salaries ","Thousands of dollars",873890548,891300948,908643664,924904880,938026352,947059904,960788648,980025220,1010562260,1017049264,1031486512,1036314920,1053679192,1060441568,1059764296,1061793780,1065667740,1080883988,1087488700,1093623452,1099029708,1111790124,1129835144,1153472120,1158385732,1182814336,1208697632,1223612840,1238398984,1253749360,1275154100,1293199228,1326206896,1337066664,1348296080,1375251204,1402327460,1408252212,1414367908,1428937944,1436990244,1436893120,1437713444,1431710984,1377366212,1382323408,1378324172,1386409228,1375796796,1401267476,1416385168,1422219160,1438687036,1445955284,1461227016,1451292832,1490808100,1497383572,1502364220,1531253956,1535309676,1539233588,1538925928,1553033704,1586595132,1600173164,1616530380,1644260612,1665522064,1687244388,1706732028,1721363332,1729817972,1741198300,1762214980,1786936188,1806271444,1820459264,1838445904,1868571584,1891122596,1904968932,1935473396,1951158500,1989075400,1999684336,2013702912,2043561864,2078423448,1948469068,2053625696,2124576784,2147740284,2217492576,2281655420,2352305348,2394342772,2423422760,2496945184,2521429088,2582658289,2615790305,2661226850,2683521993,2722927703
 "95000","Southeast",5,SQINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",184921552,188845668,192685864,195816340,198176668,200844648,204757936,208162040,212344364,215385160,218069796,220571416,225140176,228572728,231270928,233704648,237156588,241359256,245079512,250377952,255541464,259421148,263986520,268826556,273396876,277894204,283227164,288292452,295013472,298897808,301869000,303559328,304718352,305482624,307585132,311959836,315534920,318715436,322679836,326303336,328364204,330144544,331105884,330585904,328002152,328619460,329175316,331225408,335224484,337894084,339111676,337378336,339547148,339275436,340093904,341396888,346512508,349997288,352761804,356661012,361321672,364804336,367117800,370082100,373583212,376418668,379120328,383782660,386996396,390859324,393555764,395459308,395129920,396603312,399627164,403974108,407806056,411497964,416256840,423418108,428927804,434607036,441177500,445482228,450264420,452402508,454721516,456803276,459295024,439386328,458001176,467895680,473582104,480696388,486420340,493599380,499493064,503915484,512446132,519838344,529488097,534105174,540766665,547268704,555416552
 "95000","Southeast",5,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",121451060,124229548,126909428,128973764,130539192,132574696,135598048,137821916,140124536,142872544,144472044,146455556,149607160,152558156,155182280,157379136,160324344,163353228,166608200,171544024,175477076,178402412,181755936,185080136,188083308,191139528,194865656,199173508,204646404,207690448,209228816,209538748,208567604,208549108,210013208,212831864,215499620,218773828,222331828,224803468,226227840,227690664,228103764,227520740,227991704,227799308,228657984,230436768,233269536,234872580,235813588,234227168,232423464,231897400,231699988,233900856,235664732,238733316,241318972,243208164,247952044,250884684,253182564,255154732,257051012,259175760,260780328,263445244,265835604,268191176,269697744,270903256,271181192,272241244,274098348,277014236,279905216,282920244,286676000,291899684,297189092,301984880,306400528,309344892,311453000,312618472,314028520,314169928,314966108,300741068,313801176,320832060,324861404,327959748,329841872,332048920,334983172,337224656,340706696,346638240,350743898,353415829,357172845,362298060,366884637
 "95000","Southeast",5,SQINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",63470492,64616120,65776436,66842576,67637476,68269952,69159888,70340124,72219828,72512616,73597752,74115860,75533016,76014572,76088648,76325512,76832244,78006028,78471312,78833928,80064388,81018736,82230584,83746420,85313568,86754676,88361508,89118944,90367068,91207360,92640184,94020580,96150748,96933516,97571924,99127972,100035300,99941608,100348008,101499868,102136364,102453880,103002120,103065164,100010448,100820152,100517332,100788640,101954948,103021504,103298088,103151168,107123684,107378036,108393916,107496032,110847776,111263972,111442832,113452848,113369628,113919652,113935236,114927368,116532200,117242908,118340000,120337416,121160792,122668148,123858020,124556052,123948728,124362068,125528816,126959872,127900840,128577720,129580840,131518424,131738712,132622156,134776972,136137336,138811420,139784036,140692996,142633348,144328916,138645260,144200000,147063620,148720700,152736640,156578468,161550460,164509892,166690828,171739436,173200104,178744199,180689345,183593820,184970644,188531915
 "95000","Southeast",5,SQINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",3233664,3273800,3284724,3276108,3215044,3203216,3195116,3194732,3137420,3141544,3215800,3347696,3855740,3903144,3932264,3942504,4071916,4056284,4030984,3993988,3677728,3672604,3710624,3791716,4099864,4192828,4246348,4262244,3880452,3845456,3798760,3740736,3966324,3981912,4084648,4278608,4372988,4569312,4681916,4703952,4625024,4583372,4566044,4575352,4225656,4229200,4209720,4162628,4203716,4109048,4003316,3883264,3575240,3565900,3677980,3916568,4374496,4622560,4757260,4777116,4633732,4587916,4589280,4637072,4579448,4614496,4593188,4517560,4399312,4319492,4291384,4317144,4472372,4564444,4671116,4795764,4563808,4615508,4590740,4489020,4451152,4325524,4249108,4227376,4136324,4185732,4260392,4357168,4557076,4647456,4679084,4663924,5166048,5131392,5135248,5180552,4991056,5084188,5190632,5324204,5401324,5453812,5474376,5598161,5752646
 "95000","Southeast",5,SQINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",1055578436,1076872816,1098044804,1117445112,1132987976,1144701336,1162351468,1184992528,1219769204,1229292880,1246340508,1253538640,1274963628,1285111152,1287102960,1291555924,1298752412,1318186960,1328537228,1340007416,1350893444,1367538668,1390111040,1418506960,1427682744,1456515712,1487678448,1507643048,1529532004,1548801712,1573224340,1593017820,1626958924,1638567376,1651796564,1682932432,1713489392,1722398336,1732365828,1750537328,1760729424,1762454292,1764253284,1757721536,1701142708,1706713668,1703289768,1713472008,1706817564,1735052512,1751493528,1755714232,1774658944,1781664820,1797642940,1788773152,1832946112,1842758300,1850368764,1883137852,1891997616,1899450008,1901454448,1918478732,1955598896,1971977336,1991057520,2023525712,2048119148,2073784220,2095996408,2112505496,2120475520,2133237168,2157171028,2186114532,2209513692,2227341720,2250112004,2287500672,2315599248,2335250444,2372401788,2392413352,2435203496,2447901112,2464164036,2496007972,2533161396,2383207940,2506947788,2587808540,2616156340,2693057572,2762940512,2840724176,2888844780,2922254056,3004200684,3035943228,3106745062,3144441667,3196519139,3225192536,3272591609
 "95000","Southeast",5,SQINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",845954836,864942236,881862512,899162976,912636660,922284536,933416520,954221504,985663760,989020164,1005926684,1008780936,1028919576,1033967940,1030883392,1031249672,1035370500,1050048692,1055436988,1062634740,1068471080,1079372896,1098889596,1123042784,1126235364,1150152808,1177522132,1192887824,1209404448,1225015044,1246778828,1262649460,1294151060,1301817580,1307782964,1333171368,1360046728,1366512396,1369299560,1381495568,1386411548,1384721748,1382067168,1375138156,1315249784,1318552488,1314588948,1322502584,1309876068,1333330808,1349937080,1356335080,1373628548,1377385848,1397874792,1386270816,1431876960,1440492584,1447864036,1479605564,1486091292,1492782172,1496628856,1510928944,1546061772,1560349804,1577282036,1606655416,1626829752,1650241936,1672319948,1686326952,1692738460,1701961348,1724018328,1750632668,1771637216,1786911484,1805524412,1838622732,1865614184,1881329368,1913899116,1933332216,1973060084,1983091804,1990871936,2018621656,2045500600,1907025660,2019791376,2100906744,2126981756,2194779468,2256136504,2334489624,2378749824,2409140208,2486708356,2505096224,2572998047,2601754716,2645106658,2660287318,2696188712
 "95000","Southeast",5,SQINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",3360884,3435204,3454364,3390844,3500044,3418040,3370800,3406644,3121492,3060308,3529568,4458736,(D),(D),(D),(D),3591952,3593548,3501036,3412896,3469580,3475080,3593316,3877996,4025372,4194328,4184764,4090472,3948024,3986640,4063140,4076560,4295108,4330060,4384276,4502920,4289024,4403412,4403840,4404364,4333644,4286776,4189700,4289936,4306888,4425464,4448164,4384992,4344472,4502928,4545112,4392552,4374876,4411996,4486016,4593440,4747376,4715116,4745908,4819972,4814756,4794944,4836920,4928472,5045608,5154076,5265496,5416716,5343940,5353504,5666004,5679556,5764148,5565496,5687672,5739404,5776608,5729180,5700744,5830644,5974788,6102352,6114932,6097300,6106544,6131932,6210192,6359224,6436628,6492996,7028476,6884936,6538684,6258196,6986160,6854628,6754120,6793460,6966900,6953768,7104162,6776068,6880738,6785370,6565701
 "95000","Southeast",5,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",8316020,8135340,8057240,7883400,7658464,7399000,7335012,7307068,7300196,7336244,7457860,7562204,8326464,8456148,8567976,8431656,8014588,7722436,7790220,7756924,7666808,7958712,7957780,8148756,7976640,8355336,8457052,8725204,8645392,8920704,9374712,9539984,10274596,10547024,10780148,11005220,11124332,11249608,11302244,11446532,11980144,12717488,13409000,13593800,12680428,12288452,11791948,11725104,11708176,12527052,12873312,13021328,13036064,13340232,14089492,14055368,14496624,14433132,13575408,13764480,13536108,13847496,13479892,13358232,13362480,13648300,13632308,13434464,12906256,12131796,11770784,11367196,10078968,9429924,9332636,9174436,9523152,9638120,10050548,10037676,10513480,10544924,10665132,10558072,11156432,10707832,10381844,10107088,9626740,8651108,8334620,8763052,8417792,9004032,9084008,9548868,9612428,9968604,10461584,10685404,10791457,11143680,10772487,11420506,11461323
