GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "00000","United States", ,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted) ","Thousands of dollars",4934756000,5021336000,5108324000,5193500000,5283404000,5340300000,5419868000,5552340000,5747472000,5789228000,5899912000,5936912000,6043664000,6034416000,6018468000,6031612000,6054600000,6122876000,6150532000,6186844000,6205300000,6297876000,6384004000,6490676000,6532180000,6659800000,6794596000,6855428000,6918684000,6997936000,7114548000,7201300000,7369784000,7417420000,7476072000,7613844000,7796632004,7836788000,7876332000,7969891996,8048416000,8046464000,8064972000,8034672000,7718416000,7748868000,7732764000,7782628000,7752136000,7895204000,7966952000,8024956000,8152940000,8188808000,8269744000,8223316000,8439032000,8487096000,8529440000,8746100000,8716420000,8803592000,8829696000,8926604000,9098364000,9156980000,9265440000,9418516000,9549252000,9651676000,9737568000,9801964000,9839884000,9894600000,9988812000,10100112000,10214999996,10326612004,10467812000,10645736000,10766036000,10871456000,11021084000,11091704000,11308840000,11369608000,11434336000,11596868000,11756328000,11024104000,11539048000,11955988000,12055048000,12367652000,12668332000,13002936000,13156544000,13273440000,13586764000,13652692000,13941983000,14131521000,14345530000,14425122000,14621076000
 "00000","United States", ,SQINC6N,5,"..."," Wages and salaries ","Thousands of dollars",4070132000,4141016000,4213416000,4285320000,4363620000,4408260000,4472112000,4583084000,4752344000,4779100000,4869836000,4893780000,4975720000,4957672000,4932664000,4934448000,4942580000,4995040000,5008996000,5023872000,5023284000,5096504000,5163832000,5251292000,5270124000,5376816000,5488428000,5531844000,5571972000,5635196000,5735220000,5811204000,5966500000,6007040000,6055632000,6176256000,6339388000,6366952000,6393692000,6471296000,6538008000,6529368000,6542972000,6514048000,6219112000,6247048000,6229264000,6270540000,6223900000,6351592000,6413752000,6464228000,6567044000,6597636000,6671180000,6627152000,6826000000,6866324000,6896360000,7083980000,7034488000,7093756000,7103728000,7187172000,7349484000,7400660000,7494604000,7626072000,7738372000,7823032000,7895424000,7950380000,7987044000,8034452000,8115280000,8210220000,8306992000,8398192000,8513432000,8659456000,8752836000,8831852000,8956604000,9011308000,9209876000,9261640000,9317540000,9464680000,9612124000,8980348000,9416644000,9784248000,9865332000,10157036000,10435976000,10742024000,10876752000,10978524000,11260680000,11306728000,11554340000,11722890000,11906688000,11965524000,12127774000
 "00000","United States", ,SQINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",864624000,880320000,894908000,908180000,919784000,932040000,947756000,969256000,995128000,1010128000,1030076000,1043132000,1067944000,1076744000,1085804000,1097164000,1112020000,1127836000,1141536000,1162972000,1182016000,1201372000,1220172000,1239384000,1262056000,1282984000,1306168000,1323584000,1346712000,1362740000,1379328000,1390096000,1403284000,1410380000,1420440000,1437588000,1457244004,1469836000,1482640000,1498595996,1510408000,1517096000,1522000000,1520624000,1499304000,1501820000,1503500000,1512088000,1528236000,1543612000,1553200000,1560728000,1585896000,1591172000,1598564000,1596164000,1613032000,1620772000,1633080000,1662120000,1681932000,1709836000,1725968000,1739432000,1748880000,1756320000,1770836000,1792444000,1810880000,1828644000,1842144000,1851584000,1852840000,1860148000,1873532000,1889892000,1908007996,1928420004,1954380000,1986280000,2013200000,2039604000,2064480000,2080396000,2098964000,2107968000,2116796000,2132188000,2144204000,2043756000,2122404000,2171740000,2189716000,2210616000,2232356000,2260912000,2279792000,2294916000,2326084000,2345964000,2387643000,2408631000,2438842000,2459598000,2493302000
 "00000","United States", ,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",564684000,575936000,585860000,594528000,602060000,611852000,624228000,639284000,655068000,669176000,682496000,692820000,710676000,719304000,728920000,738964000,750948000,762404000,774604000,794544000,808708000,822292000,835844000,848672000,863936000,877552000,893028000,908104000,926332000,938840000,949104000,955180000,960356000,965832000,974156000,984944000,998252004,1010748000,1022440000,1032967996,1041392000,1047428000,1049920000,1048652000,1044064000,1043196000,1046468000,1053736000,1064956000,1074912000,1083240000,1090068000,1096028000,1100296000,1103264000,1104884000,1105908000,1111672000,1122760000,1139100000,1162456000,1184844000,1200044000,1208232000,1210304000,1215468000,1224076000,1236652000,1250344000,1262120000,1270648000,1276368000,1279152000,1283640000,1291636000,1301428000,1313971996,1328836004,1347888000,1371040000,1397324000,1419780000,1436924000,1448972000,1455508000,1461348000,1467436000,1474124000,1479400000,1409560000,1465060000,1498820000,1511488000,1515320000,1519660000,1526352000,1534460000,1540620000,1551888000,1569052000,1588121000,1598909000,1617623000,1634655000,1653423000
 "00000","United States", ,SQINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",299940000,304384000,309048000,313652000,317724000,320188000,323528000,329972000,340060000,340952000,347580000,350312000,357268000,357440000,356884000,358200000,361072000,365432000,366932000,368428000,373308000,379080000,384328000,390712000,398120000,405432000,413140000,415480000,420380000,423900000,430224000,434916000,442928000,444548000,446284000,452644000,458992000,459088000,460200000,465628000,469016000,469668000,472080000,471972000,455240000,458624000,457032000,458352000,463280000,468700000,469960000,470660000,489868000,490876000,495300000,491280000,507124000,509100000,510320000,523020000,519476000,524992000,525924000,531200000,538576000,540852000,546760000,555792000,560536000,566524000,571496000,575216000,573688000,576508000,581896000,588464000,594036000,599584000,606492000,615240000,615876000,619824000,627556000,631424000,643456000,646620000,649360000,658064000,664804000,634196000,657344000,672920000,678228000,695296000,712696000,734560000,745332000,754296000,774196000,776912000,799522000,809722000,821219000,824943000,839879000
 "00000","United States", ,SQINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",17772604,18052124,18274708,18452564,18566720,18709216,18886828,19061236,19239228,19483288,19761304,20092180,20495376,20793244,20980968,21054412,20967376,20885880,20752808,20557936,20302232,20266872,20471584,20915312,21662696,22147548,22419988,22489768,22378472,22179480,21935340,21646708,21297352,21406184,21937384,22907080,24219596,25235200,25853880,26043324,25814160,25664844,25603264,25641732,25882192,25874136,25748852,25482820,25177840,24640052,24016412,23289696,22451008,22365052,23045896,24522044,26697664,28221304,29066680,29226352,28786928,28551620,28569308,28836144,29276076,29413596,29173588,28572740,27594248,27055444,26931196,27235112,27931052,28657076,29391032,30144840,30909084,31171428,30989992,30361496,29241788,28498772,28040340,27903100,28052692,28331060,28771620,29352628,30078080,30646628,30847636,30791656,30487060,30392836,30537532,30942572,31673456,32402788,33171372,34072384,34542200,34857900,34978600,35764500,36765700
 "00000","United States", ,SQINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",4916983396,5003283876,5090049292,5175047436,5264837280,5321590784,5400981172,5533278764,5728232772,5769744712,5880150696,5916819820,6023168624,6013622756,5997487032,6010557588,6033632624,6101990120,6129779192,6166286064,6184997768,6277609128,6363532416,6469760688,6510517304,6637652452,6772176012,6832938232,6896305528,6975756520,7092612660,7179653292,7348486648,7396013816,7454134616,7590936920,7772412408,7811552800,7850478120,7943848672,8022601840,8020799156,8039368736,8009030268,7692533808,7722993864,7707015148,7757145180,7726958160,7870563948,7942935588,8001666304,8130488992,8166442948,8246698104,8198793956,8412334336,8458874696,8500373320,8716873648,8687633072,8775040380,8801126692,8897767856,9069087924,9127566404,9236266412,9389943260,9521657752,9624620556,9710636804,9774728888,9811952948,9865942924,9959420968,10069967160,10184090912,10295440576,10436822008,10615374504,10736794212,10842957228,10993043660,11063800900,11280787308,11341276940,11405564380,11567515372,11726249920,10993457372,11508200364,11925196344,12024560940,12337259164,12637794468,12971993428,13124870544,13241037212,13553592628,13618619616,13907440800,14096663100,14310551400,14389357500,14584310300
 "00000","United States", ,SQINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",4017501980,4092362420,4166621844,4240601756,4319716380,4361758364,4423867616,4539381640,4718759672,4740924420,4843068928,4866850980,4955709800,4926090060,4886941164,4879966976,4889463576,4939593480,4949046300,4968488644,4967080288,5044164244,5119341256,5213558212,5230031680,5339463220,5461517912,5504295188,5551390068,5618469220,5722557980,5795250732,5953351708,5983232724,6017484444,6135999124,6298324388,6322928972,6341524764,6414913876,6473186320,6455917524,6456958940,6413521216,6091458096,6106919848,6083119080,6122278976,6071038344,6196937084,6272231740,6329036832,6455462796,6483302048,6567980180,6528738976,6737285592,6786286152,6821120232,7028304024,6978111364,7055152776,7075183040,7157916820,7324525656,7370278552,7463343440,7600180352,7717993772,7806204800,7882057056,7937724372,7962905412,8006200908,8085045824,8188455856,8290101736,8391000888,8516242932,8677094444,8779103996,8866021912,8996003720,9056422372,9274625444,9318983828,9351639464,9483643264,9600757036,8925130836,9390975660,9806780468,9885708128,10180424244,10443756036,10778467592,10919313548,11026248932,11316536336,11348897184,11602077000,11764133800,11927224600,11963791300,12109152800
 "00000","United States", ,SQINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",11250100,11247900,11441888,11560112,11742292,11642968,11688816,11929924,10836424,10756212,12370272,15525092,12182820,12116124,11928448,12148608,12317476,12477932,12510752,12421840,12493920,12507960,12875668,13574452,14264716,14921336,14674724,14555224,14441400,14225276,14506188,15023136,15955996,15787200,16240456,16452348,15938200,16689040,16683420,16533340,16406240,16409836,16624944,16754980,16560956,16984624,17142776,17027644,17029332,17368640,17537976,17556052,17562868,17332808,18470960,18893364,19426440,19543776,19830732,20179052,20126872,20281464,20145564,20538100,21235436,21554036,22145092,22473436,23105396,22708780,24221892,23519932,24901684,24187788,24383444,24907084,24855388,25097228,25457252,25826132,26576644,26632740,26932944,26965672,26875500,27286824,27530036,28479640,29112548,28588148,31217164,31610140,29667332,28408636,31842572,31149460,31190784,31411172,31559884,31154160,31290900,31482300,31694200,31982400,30069100
 "00000","United States", ,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",35306836,34389028,34076980,33619156,33594348,33999940,32627144,33450568,34352132,33469892,35249004,35808972,38737724,38954260,39168040,37591976,35903968,35347628,35557348,36223056,35222360,36775920,37178252,39307468,39891448,40927632,42330216,42914704,45542928,44786172,49299912,49150988,54982588,56856804,57179692,58976916,59129252,62436988,63404056,65861704,68985248,72852376,74734732,74703644,67268020,63757824,63540336,64213820,66019008,67427660,69553836,73675496,77066860,78182508,82740888,83081744,88351620,90210844,90560028,92985508,91140024,94748536,93935336,94380104,97319496,100563816,102810608,103858080,99270332,92739400,89535272,85926996,79463932,73741432,72290664,72503972,74023392,75442456,78074492,79987660,83146992,84455476,85658444,85827088,89700324,86695428,85583508,82960740,81827552,69537856,63979552,65319040,63848112,66084508,67195356,70980024,74773360,76019476,80059120,80804044,85189300,84451000,86760300,86241300,86272500
