GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "51000","Virginia",5,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted) ","Thousands of dollars",130858568,133904052,137006524,140519420,144559676,143114752,146369068,150394252,155120480,158427136,161626400,162888996,165976972,168272172,165921524,167589560,167815604,170133996,172362712,172895572,175442224,178330224,182502640,187110680,189427308,192384696,197178404,201278568,203276788,206404144,210307228,211400544,216116544,216266008,217383676,220703052,227362444,228403216,230093500,231501380,233839676,234966132,236872716,237729732,233562656,236790556,236898404,238593424,237497012,241683640,243250804,244096268,245845288,246530372,249309924,247636092,251931044,252494476,254158224,259655712,259584116,259539952,258406096,259782272,263380732,264690480,266279108,269884632,273133972,277697520,280667392,281244016,281410836,283020284,285745096,289998784,292286276,294505304,297286988,300205220,303342772,305296196,309050848,311236632,315619120,317960316,321937344,325172308,330722432,317153420,327387056,339369632,339974580,347648372,353449260,362263884,365398180,370600548,381675284,384876324,391752277,400906670,405587047,412346347,418199851
 "51000","Virginia",5,SQINC6N,5,"..."," Wages and salaries ","Thousands of dollars",108156496,110689828,113276692,116338252,119935512,118453772,121084336,124494504,128660192,131352628,134238880,135286268,138120792,140110136,137782960,138932412,138578328,140313760,141849924,141856456,143459680,145628292,148930872,152658600,154110856,156589068,160585692,163760804,165012940,167615916,171185948,172503460,177354884,177799048,178868404,181733700,187378900,187961704,189124292,190377052,192521480,193239444,194493208,194576696,189455552,191749388,191580720,193251452,192077164,196302380,198144312,199208804,200648772,201457088,204002208,202244832,206334964,206554088,207618560,212199184,211354464,210717736,209339104,210361600,213717792,214766440,216067672,219023900,221593524,225191820,227617316,228074392,228177084,229538856,231920020,235539796,237606844,239470424,241916580,244399508,247176976,248659796,251885692,253846744,258067648,260143196,263354160,266356516,271107744,258712628,267405072,277670752,277637268,284639712,289996720,297882276,300561832,304972392,314789364,317150032,323102345,331181649,335139589,340830237,345560938
 "51000","Virginia",5,SQINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",22702072,23214224,23729832,24181168,24624164,24660980,25284732,25899748,26460288,27074508,27387520,27602728,27856180,28162036,28138564,28657148,29237276,29820236,30512788,31039116,31982544,32701932,33571768,34452080,35316452,35795628,36592712,37517764,38263848,38788228,39121280,38897084,38761660,38466960,38515272,38969352,39983544,40441512,40969208,41124328,41318196,41726688,42379508,43153036,44107104,45041168,45317684,45341972,45419848,45381260,45106492,44887464,45196516,45073284,45307716,45391260,45596080,45940388,46539664,47456528,48229652,48822216,49066992,49420672,49662940,49924040,50211436,50860732,51540448,52505700,53050076,53169624,53233752,53481428,53825076,54458988,54679432,55034880,55370408,55805712,56165796,56636400,57165156,57389888,57551472,57817120,58583184,58815792,59614688,58440792,59981984,61698880,62337312,63008660,63452540,64381608,64836348,65628156,66885920,67726292,68649932,69725021,70447458,71516110,72638913
 "51000","Virginia",5,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",15206780,15556252,15902116,16158576,16388696,16511428,16967316,17377948,17710024,18177060,18302416,18420680,18480948,18663228,18712240,19105572,19629688,20081908,20671028,21208056,21952716,22509292,23150272,23759684,24299464,24585448,25113508,25832696,26447744,26805880,26886468,26535444,26079628,25741960,25731056,26036732,26803920,27304396,27756060,27808896,27860772,28185620,28696280,29400780,30603436,31319612,31597584,31541964,31406964,31160776,30867124,30649488,30482852,30336480,30405160,30617328,30442344,30749756,31263240,31827504,32639056,33210596,33539172,33829368,33962224,34192112,34372120,34776268,35305812,35967052,36338100,36456936,36694792,36893748,37075892,37445588,37504136,37720796,37900736,38192620,38597208,39013320,39354168,39449328,39361388,39497764,40078788,40156836,40748432,39978736,41136872,42366032,42848228,43077780,43152172,43510860,43799340,44292140,44904708,45621736,45954027,46564334,47022191,47746283,48393439
 "51000","Virginia",5,SQINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",7495292,7657972,7827716,8022592,8235468,8149552,8317416,8521800,8750264,8897448,9085104,9182048,9375232,9498808,9426324,9551576,9607588,9738328,9841760,9831060,10029828,10192640,10421496,10692396,11016988,11210180,11479204,11685068,11816104,11982348,12234812,12361640,12682032,12725000,12784216,12932620,13179624,13137116,13213148,13315432,13457424,13541068,13683228,13752256,13503668,13721556,13720100,13800008,14012884,14220484,14239368,14237976,14713664,14736804,14902556,14773932,15153736,15190632,15276424,15629024,15590596,15611620,15527820,15591304,15700716,15731928,15839316,16084464,16234636,16538648,16711976,16712688,16538960,16587680,16749184,17013400,17175296,17314084,17469672,17613092,17568588,17623080,17810988,17940560,18190084,18319356,18504396,18658956,18866256,18462056,18845112,19332848,19489084,19930880,20300368,20870748,21037008,21336016,21981212,22104556,22695905,23160687,23425267,23769827,24245474
 "51000","Virginia",5,SQINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",188360,192888,196080,197688,201084,202224,201280,199024,185272,181060,182456,188832,217220,219712,221456,222452,270616,269560,267848,265324,294852,294332,297136,303280,284356,290980,295500,297996,241176,240052,237536,233612,260552,260360,265616,276524,302668,315452,323668,326956,300600,299848,299760,300488,279804,280032,279344,277492,286628,281268,274100,264988,232412,230356,236148,249912,317800,334740,343924,345464,342600,340052,340556,344100,368892,371920,370856,365848,308916,304092,302224,303484,331408,337128,344124,352656,348420,351932,349556,341220,326716,317500,312524,312132,252172,256200,261204,267008,270344,275448,277548,277420,262852,261336,260640,260952,368216,372340,378408,387132,393097,397146,398770,407788,418985
 "51000","Virginia",5,SQINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",130670208,133711164,136810444,140321732,144358592,142912528,146167788,150195228,154935208,158246076,161443944,162700164,165759752,168052460,165700068,167367108,167544988,169864436,172094864,172630248,175147372,178035892,182205504,186807400,189142952,192093716,196882904,200980572,203035612,206164092,210069692,211166932,215855992,216005648,217118060,220426528,227059776,228087764,229769832,231174424,233539076,234666284,236572956,237429244,233282852,236510524,236619060,238315932,237210384,241402372,242976704,243831280,245612876,246300016,249073776,247386180,251613244,252159736,253814300,259310248,259241516,259199900,258065540,259438172,263011840,264318560,265908252,269518784,272825056,277393428,280365168,280940532,281079428,282683156,285400972,289646128,291937856,294153372,296937432,299864000,303016056,304978696,308738324,310924500,315366948,317704116,321676140,324905300,330452088,316877972,327109508,339092212,339711728,347387036,353188620,362002932,365029964,370228208,381296876,384489192,391359180,400509524,405188277,411938559,417780866
 "51000","Virginia",5,SQINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",97521120,100331844,102927168,106371460,110097304,108134420,110336124,113724244,117859460,120428012,123598688,124134356,127138368,129090628,126078636,126878408,126286952,127561612,128703488,128882852,130878532,132614224,135996220,139632784,140748584,142935056,147358660,150702432,151763796,154598068,158152144,158470992,162446456,161758576,162611328,164686428,170510924,170665180,171419572,172182372,173973760,174341072,175496716,175831556,171124840,173607824,173243104,174970152,172100664,175959580,177838328,178487524,179758528,180680036,183334056,181090328,185637056,185607848,186885676,191738932,191725476,191586628,190830884,191303804,194040656,194818816,196086928,199351524,201575848,205601388,208261868,208704700,207509028,208884188,211284520,214536584,216723652,218391880,221294496,224022148,227660344,229165164,232009116,234382352,238258112,240280308,242249284,245386692,249431020,236415884,246383988,257775536,256974344,263636976,268101076,276712876,279133900,283711668,293579668,294967608,301244878,309282466,310827444,316931836,320973680
 "51000","Virginia",5,SQINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",162432,172724,177064,167348,183652,172136,165716,167908,150792,145196,171044,212904,152540,145132,142276,145192,146772,145420,137740,136884,141368,140552,151020,160048,168372,175556,176904,175020,164916,167868,168156,168896,182932,182808,178128,185024,183728,190340,193444,188852,184844,180564,186116,191440,186696,194204,201296,195448,189504,201380,196852,194332,192196,196332,200804,209280,211876,216708,220704,217176,224076,220644,220928,226804,230900,242408,254020,264860,268620,282724,302852,295324,313396,296408,299104,309016,320780,313664,320048,306904,328408,336016,337552,340848,308460,316212,320116,322284,326888,324536,360716,345156,329040,318536,350824,362088,351948,357668,356656,353668,369934,360152,359404,366058,343434
 "51000","Virginia",5,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",455892,463260,470236,459988,452352,430120,433672,444996,443584,455452,463784,472268,500760,491612,518116,488356,479924,460676,451776,458392,438112,464588,467152,483404,466584,510556,508344,549888,517068,543196,575912,575752,616504,621552,653528,603424,620248,621664,602144,585780,622860,657704,683636,720356,650396,602820,625400,647428,626916,732256,709852,709308,714084,731128,782000,781776,750032,776096,743592,710236,715724,703124,645880,641560,658044,632112,606948,652140,584040,589444,570852,569612,474816,473560,492052,482516,500632,509420,548220,521332,545452,559908,559108,547604,580048,549616,530492,523252,499812,434476,443112,470272,434088,481168,509772,526196,478396,534308,549372,577328,541616,639827,568096,637985,638083
