GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "50000","Vermont",1,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted) ","Thousands of dollars",9238620,9377404,9573772,9679536,9796428,10005460,10256788,10441384,10710804,10972956,10908288,11136204,11484244,11559828,11557384,11607224,11816684,11851688,11932936,12111948,12111152,12281828,12395684,12928896,12685748,13198088,13366616,13267380,13596208,13554728,13660068,13733636,14138736,13962712,14067472,14171028,14457448,14649812,14774384,14871892,15277588,15162816,15216588,15303120,14764868,14780920,14849664,14964188,14772096,15080832,15333336,15231872,15595188,15737664,15801884,15907212,16040340,16272684,16168532,16324924,16718424,16858264,16707908,16800848,16873780,16904464,17090164,17489264,17530716,17700676,17880984,18046472,18054432,18039548,18229020,18265620,18455080,18506460,18776944,18938424,19065304,19279308,19343316,19433696,19847932,19660972,19859020,19960792,20506476,18855052,19838968,20515572,20673088,20945160,21627732,21878576,22445400,22809148,23024708,23493744,23932812,24346417,24177213,24679312,24998688
 "50000","Vermont",1,SQINC6N,5,"..."," Wages and salaries ","Thousands of dollars",7574368,7682144,7834292,7911376,7994828,8153932,8346400,8494088,8724220,8928092,8873112,9046440,9322172,9367344,9339952,9356648,9496840,9515524,9560568,9670008,9635144,9756412,9844036,10263684,10042020,10450140,10571272,10469088,10672868,10642536,10748196,10832840,11247216,11126716,11218468,11305980,11528868,11646272,11710380,11783392,12091860,11995344,12051440,12142844,11693664,11749012,11831016,11947616,11759268,12029460,12209300,12085180,12276084,12335548,12391824,12459932,12644036,12855024,12769016,12896892,13159468,13244620,13128200,13263040,13428016,13498604,13665432,13967824,13935284,14027756,14172036,14299300,14338368,14359308,14532060,14583556,14730488,14779432,14993892,15126796,15223872,15394468,15466692,15559092,15963144,15828868,15987688,16071456,16485156,15044180,15820152,16377920,16471860,16755604,17363612,17635800,18140576,18443268,18700540,19067484,19428850,19796723,19669834,20074205,20330527
 "50000","Vermont",1,SQINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",1664252,1695260,1739480,1768160,1801600,1851528,1910388,1947296,1986584,2044864,2035176,2089764,2162072,2192484,2217432,2250576,2319844,2336164,2372368,2441940,2476008,2525416,2551648,2665212,2643728,2747948,2795344,2798292,2923340,2912192,2911872,2900796,2891520,2835996,2849004,2865048,2928580,3003540,3064004,3088500,3185728,3167472,3165148,3160276,3071204,3031908,3018648,3016572,3012828,3051372,3124036,3146692,3319104,3402116,3410060,3447280,3396304,3417660,3399516,3428032,3558956,3613644,3579708,3537808,3445764,3405860,3424732,3521440,3595432,3672920,3708948,3747172,3716064,3680240,3696960,3682064,3724592,3727028,3783052,3811628,3841432,3884840,3876624,3874604,3884788,3832104,3871332,3889336,4021320,3810872,4018816,4137652,4201228,4189556,4264120,4242776,4304824,4365880,4324168,4426260,4503962,4549694,4507379,4605107,4668161
 "50000","Vermont",1,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",1069404,1093288,1126592,1150572,1178804,1218084,1264076,1291536,1314236,1357964,1351020,1390552,1440008,1467736,1496296,1530868,1601036,1615640,1647236,1708760,1737584,1777392,1799668,1886808,1874220,1951736,1992704,2002384,2104548,2094324,2084700,2065964,2031340,1982228,1986464,1992504,2038992,2102472,2153508,2168632,2245196,2231712,2221360,2205596,2145344,2097860,2079232,2070128,2063088,2086736,2151212,2185684,2313708,2388992,2386432,2412080,2334308,2333352,2320936,2339448,2454688,2500752,2477064,2422700,2319260,2272840,2273704,2339876,2419488,2481432,2503476,2531792,2508496,2469836,2471672,2447048,2472452,2468112,2507772,2528476,2568592,2609480,2608476,2613720,2612700,2581132,2610748,2616788,2705740,2582704,2744600,2848492,2931312,2922384,2967896,2929988,2950712,2983064,2920696,2995576,3036221,3055111,3025531,3093976,3131184
 "50000","Vermont",1,SQINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",594848,601972,612888,617588,622796,633444,646312,655760,672348,686900,684156,699212,722064,724748,721136,719708,718808,720524,725132,733180,738424,748024,751980,778404,769508,796212,802640,795908,818792,817868,827172,834832,860180,853768,862540,872544,889588,901068,910496,919868,940532,935760,943788,954680,925860,934048,939416,946444,949740,964636,972824,961008,1005396,1013124,1023628,1035200,1061996,1084308,1078580,1088584,1104268,1112892,1102644,1115108,1126504,1133020,1151028,1181564,1175944,1191488,1205472,1215380,1207568,1210404,1225288,1235016,1252140,1258916,1275280,1283152,1272840,1275360,1268148,1260884,1272088,1250972,1260584,1272548,1315580,1228168,1274216,1289160,1269916,1267172,1296224,1312788,1354112,1382816,1403472,1430684,1467741,1494583,1481848,1511131,1536977
 "50000","Vermont",1,SQINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",55140,55612,55356,54664,52752,51568,52072,53864,58048,61536,64592,66896,67064,68328,68968,68956,87976,87632,87072,86268,77724,77600,78392,80108,74480,76304,77552,78248,62704,62440,61800,60836,67196,67212,68604,71436,77308,80692,83036,84220,77864,77908,77888,77896,74856,74596,74152,73468,73132,71648,69744,67392,59060,58608,60208,63984,89488,94588,97452,97984,98204,97404,97364,98036,103512,104052,103656,102364,86684,85544,85220,85744,93820,95716,98112,101096,95604,96864,96088,93348,88596,85656,84136,84196,68336,69648,71076,72532,73188,74384,74736,74528,70496,70168,70272,70900,103068,105136,107388,110240,111704,112709,113088,115652,118853
 "50000","Vermont",1,SQINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",9183480,9321792,9518416,9624872,9743676,9953892,10204716,10387520,10652756,10911420,10843696,11069308,11417180,11491500,11488416,11538268,11728708,11764056,11845864,12025680,12033428,12204228,12317292,12848788,12611268,13121784,13289064,13189132,13533504,13492288,13598268,13672800,14071540,13895500,13998868,14099592,14380140,14569120,14691348,14787672,15199724,15084908,15138700,15225224,14690012,14706324,14775512,14890720,14698964,15009184,15263592,15164480,15536128,15679056,15741676,15843228,15950852,16178096,16071080,16226940,16620220,16760860,16610544,16702812,16770268,16800412,16986508,17386900,17444032,17615132,17795764,17960728,17960612,17943832,18130908,18164524,18359476,18409596,18680856,18845076,18976708,19193652,19259180,19349500,19779596,19591324,19787944,19888260,20433288,18780668,19764232,20441044,20602592,20874992,21557460,21807676,22342332,22704012,22917320,23383504,23821108,24233708,24064125,24563660,24879835
 "50000","Vermont",1,SQINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",7509352,7618620,7764212,7848080,7951800,8149720,8332272,8493488,8725380,8938540,8907912,9058924,9339288,9372956,9307736,9320136,9488028,9484216,9544680,9638424,9599696,9708768,9832292,10226304,10008516,10408368,10513284,10447184,10651544,10684532,10774988,10777684,11132244,10943376,10976676,11091300,11334768,11504536,11571744,11716228,11988584,11906224,11915992,11935920,11442768,11396336,11477880,11566024,11360480,11644216,11870152,11796172,12041944,12108596,12258348,12323572,12478160,12730736,12629188,12717728,13015016,13105024,12938896,13033184,13137348,13124152,13324092,13635960,13677652,13732596,14028208,14073816,14060612,14163888,14242124,14375308,14470532,14565020,14731128,14896524,14982692,15172396,15194828,15294656,15682528,15475644,15622752,15736036,16083136,14567388,15411556,16099660,16122404,16441896,17011476,17312876,17809532,18010436,18403320,18715132,18959606,19394877,19192993,19614664,19810009
 "50000","Vermont",1,SQINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",19500,19712,20156,20608,20280,20824,21164,20836,20144,17184,23160,27196,22272,21916,21944,21744,23128,22440,23712,21744,22688,22252,23092,24548,24760,25936,25428,25896,23732,24620,24824,24592,26256,26308,26692,27748,25804,27732,27420,27520,27764,29632,28312,30488,31660,32496,32472,33064,31816,32880,33964,31316,32108,32692,34560,37340,32584,34476,33812,33176,33904,33860,33952,33852,36968,36608,36688,38172,37264,36468,41604,39740,38224,38736,37148,40072,37992,38692,39112,38432,39668,40808,39532,40024,39360,40256,41492,42828,44332,41580,45648,45484,42900,43068,46056,42232,42004,42564,44240,44220,41951,43628,44126,44600,41453
 "50000","Vermont",1,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",29836,30928,33168,33432,37388,35808,34172,35280,35812,35264,36148,36440,41244,41504,40896,42032,39608,40224,39288,37944,38080,38688,40148,42968,38212,38164,39596,38544,35968,35476,36104,35504,50028,52080,51428,53384,53420,53760,53420,53588,52220,48824,49740,47700,44072,46436,42336,41928,39552,40436,40304,41372,38340,40680,42524,41168,39820,46832,42804,42884,43944,43352,41828,41192,41660,41724,41336,41352,43348,45116,47732,49424,47860,44464,49804,47660,46376,46572,46640,48188,50108,49216,48876,47624,48668,47940,47856,47976,46848,43604,45520,50364,46500,50276,50632,51932,52840,59012,58656,60972,56220,60572,63487,63156,63167
