GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "54000","West Virginia",5,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted) ","Thousands of dollars",22385752,22443184,22722624,22782328,22933232,23166056,23449592,23856068,24306460,24551408,24517124,24745264,25084612,25257008,25468296,25730992,25754164,25778568,26021928,26230808,26407728,26547392,26730248,27067368,27306228,27991928,28388148,28437552,28803984,29170476,29351736,29738888,30643272,31107352,31258744,31591060,31804692,31955120,32072684,32401400,32967812,33478308,34043892,34641060,34066624,33812392,33424852,33534836,33532640,34000036,34862508,34722088,35130608,35956752,36468656,36416512,37329044,37592072,37153644,37212816,37731968,37669300,37236156,37239144,37319036,37717300,37890080,38350700,38369536,38646004,38301308,38016176,37519888,37294972,37201532,37490496,38721324,38780580,39310820,39682268,40570324,41599264,42872484,43033748,42655032,42606972,42569496,41794972,42427980,39393572,41095724,42056864,42253480,43100804,44059232,44579196,45098088,45563172,46156436,47079128,47990442,49690516,48785269,50500940,51034534
 "54000","West Virginia",5,SQINC6N,5,"..."," Wages and salaries ","Thousands of dollars",17746600,17787092,18009104,18063584,18190708,18356200,18533264,18813820,19121844,19252944,19216344,19405968,19716200,19882748,20057688,20278880,20315160,20308768,20462156,20550648,20603296,20693656,20824860,21112908,21264732,21846284,22198392,22244236,22493620,22781256,22901628,23128928,23768048,24070684,24180856,24528596,24872892,25074620,25213556,25535220,26032520,26453056,26949680,27471424,26915844,26771492,26488704,26633172,26569784,27021616,27753920,27652612,27937064,28601580,28984304,28817700,29545332,29665228,29237056,29294428,29654204,29594548,29277340,29390212,29661368,30065964,30200312,30498400,30346212,30474796,30198216,30039804,29794324,29681740,29616996,29786380,30658120,30620580,31012972,31330188,32123044,32974180,34015852,34072840,33658360,33553392,33496844,32948380,33535476,31024440,32445072,33274628,33392232,34176288,35063052,35639440,36132440,36567692,37172800,37885408,38687136,40059302,39399687,40761088,41191364
 "54000","West Virginia",5,SQINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",4639152,4656092,4713520,4718744,4742524,4809856,4916328,5042248,5184616,5298464,5300780,5339296,5368412,5374260,5410608,5452112,5439004,5469800,5559772,5680160,5804432,5853736,5905388,5954460,6041496,6145644,6189756,6193316,6310364,6389220,6450108,6609960,6875224,7036668,7077888,7062464,6931800,6880500,6859128,6866180,6935292,7025252,7094212,7169636,7150780,7040900,6936148,6901664,6962856,6978420,7108588,7069476,7193544,7355172,7484352,7598812,7783712,7926844,7916588,7918388,8077764,8074752,7958816,7848932,7657668,7651336,7689768,7852300,8023324,8171208,8103092,7976372,7725564,7613232,7584536,7704116,8063204,8160000,8297848,8352080,8447280,8625084,8856632,8960908,8996672,9053580,9072652,8846592,8892504,8369132,8650652,8782236,8861248,8924516,8996180,8939756,8965648,8995480,8983636,9193720,9303306,9631214,9385582,9739852,9843170
 "54000","West Virginia",5,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",2463280,2483956,2528700,2548176,2586232,2632996,2685240,2721328,2740884,2794340,2799844,2856616,2934692,3004092,3083132,3141404,3189088,3211316,3272532,3365636,3435484,3461060,3508876,3562984,3646144,3734936,3762556,3768392,3830520,3886428,3957436,4130840,4398176,4592200,4697888,4729700,4667736,4687268,4730860,4778476,4874756,4973704,5019052,5045224,5031920,4910048,4817612,4780052,4809452,4816128,4915272,4903204,4959712,5093132,5197184,5327528,5436508,5570548,5597368,5600016,5744544,5745024,5650280,5524132,5314612,5272176,5292840,5426500,5620596,5750132,5688940,5558108,5312912,5193020,5162460,5272484,5579408,5694440,5812248,5849748,5916208,6038588,6200660,6307452,6389440,6454596,6475840,6281608,6268076,5863724,6053236,6151872,6219172,6245388,6274892,6187308,6199476,6216156,6173404,6342920,6372585,6603462,6407096,6664505,6722718
 "54000","West Virginia",5,SQINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",2175872,2172136,2184820,2170568,2156292,2176860,2231088,2320920,2443732,2504124,2500936,2482680,2433720,2370168,2327476,2310708,2249916,2258484,2287240,2314524,2368948,2392676,2396512,2391476,2395352,2410708,2427200,2424924,2479844,2502792,2492672,2479120,2477048,2444468,2380000,2332764,2264064,2193232,2128268,2087704,2060536,2051548,2075160,2124412,2118860,2130852,2118536,2121612,2153404,2162292,2193316,2166272,2233832,2262040,2287168,2271284,2347204,2356296,2319220,2318372,2333220,2329728,2308536,2324800,2343056,2379160,2396928,2425800,2402728,2421076,2414152,2418264,2412652,2420212,2422076,2431632,2483796,2465560,2485600,2502332,2531072,2586496,2655972,2653456,2607232,2598984,2596812,2564984,2624428,2505408,2597416,2630364,2642076,2679128,2721288,2752448,2766172,2779324,2810232,2850800,2930721,3027752,2978486,3075347,3120452
 "54000","West Virginia",5,SQINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",29300,30092,30788,31308,32312,32992,33620,34236,32768,32736,33264,34172,38720,38240,37476,36496,42116,41844,41360,40624,43396,43004,43192,44008,40068,41128,41972,42652,33728,33736,33368,32660,34852,34508,34916,36072,37824,39052,39620,39444,35632,35100,34812,34792,33620,33628,33488,33144,32892,32148,31216,30120,26404,26208,26972,28724,40304,42692,43968,44128,44028,43512,43372,43620,46048,46284,46144,45648,38736,38332,38296,38684,42496,43388,44336,45356,39532,39768,39376,38344,36612,35572,35036,35076,28436,28952,29512,30128,30420,30960,31196,31208,29636,29456,29312,29216,41744,42016,42564,43464,44115,44557,44731,45744,47003
 "54000","West Virginia",5,SQINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",22356452,22413092,22691836,22751020,22900920,23133064,23415972,23821832,24273692,24518672,24483860,24711092,25045892,25218768,25430820,25694496,25712048,25736724,25980568,26190184,26364332,26504388,26687056,27023360,27266160,27950800,28346176,28394900,28770256,29136740,29318368,29706228,30608420,31072844,31223828,31554988,31766868,31916068,32033064,32361956,32932180,33443208,34009080,34606268,34033004,33778764,33391364,33501692,33499748,33967888,34831292,34691968,35104204,35930544,36441684,36387788,37288740,37549380,37109676,37168688,37687940,37625788,37192784,37195524,37272988,37671016,37843936,38305052,38330800,38607672,38263012,37977492,37477392,37251584,37157196,37445140,38681792,38740812,39271444,39643924,40533712,41563692,42837448,42998672,42626596,42578020,42539984,41764844,42397560,39362612,41064528,42025656,42223844,43071348,44029920,44549980,45056344,45521156,46113872,47035664,47946327,49645959,48740538,50455196,50987531
 "54000","West Virginia",5,SQINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",17450240,17485756,17675688,17705964,17710248,17891208,18040976,18408064,18753984,18883176,18869764,19015560,19378096,19488632,19586464,19815860,19843004,19771256,19896528,19997864,20023016,20097216,20241208,20576552,20681028,21283232,21638424,21725860,21758416,22199428,22482808,22673688,23585468,23987140,24078348,24366792,24574684,24617888,24628228,24866880,25349512,25729692,26153360,26657744,25953360,25540484,25221820,25392752,25081940,25603208,26545640,26507332,26721680,27568300,28086880,27867900,28766524,28914120,28463244,28513408,28983984,28957944,28595288,28527556,28621156,28956084,29001064,29453984,29379336,29638856,29428508,29113824,28517440,28297816,28358444,28424124,29685288,29665632,30234968,30579220,31366872,32331476,33379884,33587016,32958892,32840304,32508752,31812216,31832508,29248600,30687760,31695036,31724240,32440472,33189760,34043476,34298676,34789452,35510680,35963768,36746801,37917953,37537450,38694538,39023444
 "54000","West Virginia",5,SQINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",45524,48356,52748,51600,49028,48020,46628,48024,45776,42164,50244,63580,46400,45836,45940,51768,49436,49504,49772,47208,44376,45492,46324,47316,50992,50508,51972,52072,50056,52108,49552,49848,55852,57128,57020,59268,56272,58908,56552,56568,52360,50440,52712,53548,49796,46312,48740,47316,43900,50076,47584,44092,42936,46152,48444,46080,57132,52364,51088,51396,53256,50600,49252,49136,52852,54840,55748,58408,59064,60744,63008,57716,59952,56732,61188,63432,58216,58648,60632,64748,59044,62120,60508,58588,62848,65368,62888,66404,64452,56516,61152,61780,59460,62168,70804,65436,65068,65540,71036,67768,65326,63612,58852,62244,61991
 "54000","West Virginia",5,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",1346888,1351412,1337316,1295616,1251044,1205664,1177040,1193228,1176220,1174316,1220112,1218276,1310976,1369604,1437868,1417248,1360740,1258108,1292868,1304268,1285736,1310800,1291312,1332800,1378040,1471156,1533904,1650760,1539624,1684560,1774100,1803232,1957480,1963944,2046264,2003344,2050584,2091308,2149336,2161148,2272996,2483408,2658296,2772444,2653964,2583276,2352040,2407264,2326176,2474068,2719336,2720164,2825660,2964372,3266144,3221720,3225916,3324244,3043808,2969796,2974864,3124784,2970420,2913448,2844448,2887120,2850856,2806588,2609820,2484584,2309108,2216160,1867012,1738756,1759460,1740552,2018932,2030508,2181092,2211208,2278904,2269136,2313648,2246004,2367716,2276352,2163516,2001824,1890848,1512448,1556368,1681740,1707012,1809536,1823676,1903776,1837600,1926372,2055392,2127540,2040538,2271157,2108052,2261360,2269868
