GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "02000","Alaska",8,SQINC7N,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted) ","Thousands of dollars",10332144,10239864,10280152,10463536,10426560,10437768,10368504,10698384,10964248,11010300,11170852,11163780,11460228,11759468,11799916,11915776,12076200,12219452,12385540,12616472,12487444,12791976,12868232,13032340,13147712,13299304,13631848,13764976,13957132,14100124,14428688,14539624,14751492,15057324,15146568,15534576,15816600,16088260,16132932,16374572,16637632,16858044,17168036,17487720,17295164,17561644,17537972,17734632,17594808,17939400,18191860,18266028,18421688,18690620,18952972,19023928,19389144,19525072,19651480,19787164,19877904,19817964,20097440,20003100,20354424,20450260,20477548,20779672,21119428,21308696,21282768,21192068,20831852,20583480,20363316,20292740,20350884,20256056,20490736,20490468,20797936,20873276,21197120,21331880,21738072,21657988,21953048,22037856,22346724,20844252,21028508,21984552,21743664,22182648,22782220,23440116,23257760,23893956,24395520,24484240,25258313,25762328,26640083,26616934,27023108
 "02000","Alaska",8,SQINC7N,81,"111-112"," Farm wages and salaries ","Thousands of dollars",6200,6432,6668,6876,8488,8704,8748,8616,6204,5872,5680,5648,5752,5820,5860,5888,5852,5824,5788,5724,5020,5008,5052,5152,5128,5240,5320,5352,5152,5128,5080,5008,4816,4816,4912,5096,4736,4896,4984,4988,10924,10820,10792,10828,16064,16140,16112,16004,15796,15504,15132,14680,14136,14084,14524,15472,15532,16428,16900,16952,16552,16364,16336,16480,16840,16936,16808,16496,15920,15624,15524,15660,15984,16332,16692,17060,20288,20472,20404,20124,19364,18976,18724,18616,18624,18788,19112,19572,20200,20600,20824,20844,20956,20828,20736,20696,21080,21240,21544,22020,22424,22704,22823,23347,23962
 "02000","Alaska",8,SQINC7N,82,"..."," Nonfarm wages and salaries ","Thousands of dollars",10325944,10233432,10273484,10456660,10418072,10429064,10359756,10689768,10958044,11004428,11165172,11158132,11454476,11753648,11794056,11909888,12070348,12213628,12379752,12610748,12482424,12786968,12863180,13027188,13142584,13294064,13626528,13759624,13951980,14094996,14423608,14534616,14746676,15052508,15141656,15529480,15811864,16083364,16127948,16369584,16626708,16847224,17157244,17476892,17279100,17545504,17521860,17718628,17579012,17923896,18176728,18251348,18407552,18676536,18938448,19008456,19373612,19508644,19634580,19770212,19861352,19801600,20081104,19986620,20337584,20433324,20460740,20763176,21103508,21293072,21267244,21176408,20815868,20567148,20346624,20275680,20330596,20235584,20470332,20470344,20778572,20854300,21178396,21313264,21719448,21639200,21933936,22018284,22326524,20823652,21007684,21963708,21722708,22161820,22761484,23419420,23236680,23872716,24373976,24462220,25235889,25739624,26617260,26593587,26999146
 "02000","Alaska",8,SQINC7N,90,"113-814","  Private nonfarm wages and salaries ","Thousands of dollars",6769944,6690820,6789532,6947956,6863316,6886892,6886676,7078500,7293288,7342820,7440500,7452204,7707836,7973732,7956768,7991628,8107564,8140632,8205548,8413884,8251672,8480396,8573224,8734648,8774224,8886972,9172420,9254968,9348524,9471584,9783348,9730988,9940240,10140864,10123524,10433020,10693088,10930988,10969796,11182604,11356892,11471428,11691904,11943616,11659144,11857384,11761752,11922492,11731572,11994316,12250256,12350296,12402756,12592812,12837032,12829076,13176844,13337880,13388524,13580428,13663052,13682704,13946448,13944692,14326528,14416588,14442912,14695844,14918100,15075920,15002628,14945640,14534428,14277820,14138160,14035372,14084032,13972520,14179184,14086912,14417740,14461572,14725056,14881504,15253440,15170584,15417904,15487748,15667136,14318320,14356560,15176112,15001872,15293972,15901076,16541160,16312724,16854540,17334576,17324896,18010454,18397094,18865047,18925099,19210486
 "02000","Alaska",8,SQINC7N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",62884,56688,57412,64704,64672,63132,65544,61932,57936,59828,62732,72504,(D),(D),(D),(D),33580,34320,39048,41936,39284,37884,35256,35040,34732,31444,30684,33592,36056,34972,33560,32380,28364,28428,27360,23692,24772,24272,22668,22584,23496,24428,18344,23844,20716,20936,20936,25008,30428,27848,31504,36708,47860,39924,48632,47060,40420,38292,37676,36128,40320,42372,43188,40656,42808,43752,39092,44032,43476,41712,45456,40528,38616,42076,40636,36688,37696,36444,39668,41816,39088,37768,38012,39304,42604,46552,44608,48836,(D),(D),(D),(D),43000,34396,37204,40900,39740,48044,47096,39976,44484,39005,36089,41447,39894
 "02000","Alaska",8,SQINC7N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",895332,893924,898876,923244,817012,791652,744600,775132,845568,886284,939096,968496,(D),(D),(D),(D),1003756,980036,935388,984024,864064,870240,886432,878124,907276,907852,940328,956592,990112,989716,1061524,1101256,1151956,1249584,1282904,1341432,1393796,1473820,1542516,1583596,1666276,1687300,1832656,1833556,1822704,1802328,1736204,1764916,1708004,1829584,1876896,1898084,1856644,1910496,1996272,2002992,2018396,2136308,2153788,2195908,2204812,2204528,2246428,2237056,2359140,2378992,2436232,2495356,2406584,2469888,2388664,2346688,2123832,1959652,1841424,1795912,1776428,1718080,1772924,1704656,1877248,1777656,1809408,1869168,2064504,1906024,1902460,1923312,2000632,1927024,1738732,1575288,1581192,1655728,1762600,1906864,1747856,1789928,1812472,1772372,1973894,2054876,1979773,1973281,2038642
 "02000","Alaska",8,SQINC7N,300,"22","   Utilities ","Thousands of dollars",86296,87496,87836,89148,88424,90428,92344,90448,100444,94024,93436,90868,89392,94604,96712,99284,103208,107120,109452,112948,108108,111780,111328,116032,114652,116336,114452,114964,119056,123292,121076,120188,118968,118952,120520,121232,121196,123880,131188,130500,132784,135388,138644,144244,153296,147180,152476,149760,159556,161020,161608,163656,170120,168832,168564,178136,174720,182876,186620,183744,186288,190780,187540,188152,187648,185840,185076,188328,194216,205368,197056,200176,194236,192084,192012,194124,196360,192392,198052,200360,210088,214104,217356,216680,213016,217388,220288,228564,233944,227804,239480,256536,256160,266968,268780,271124,262820,275820,274288,277308,278765,292508,283935,299751,313180
 "02000","Alaska",8,SQINC7N,400,"23","   Construction ","Thousands of dollars",667144,641840,652656,671040,674628,674176,680668,703960,748600,709148,675372,675368,775320,786660,792244,776712,846572,843628,871260,896740,869416,957376,977012,1010912,970616,982052,1019928,1046716,1063384,1110412,1129868,1095584,1127500,1128620,1080152,1136244,1142692,1160664,1138944,1209036,1230736,1203848,1209680,1204216,1195132,1204084,1178600,1201792,1173240,1193116,1218548,1222524,1138628,1172180,1208500,1192948,1214220,1248780,1243608,1263060,1224608,1244464,1344348,1389036,1474024,1434640,1405896,1424052,1574036,1565132,1480600,1478072,1388944,1360804,1340348,1262408,1202056,1212228,1224060,1194476,1263960,1276348,1353344,1410924,1429236,1436380,1377324,1417940,1493528,1260164,1344520,1414792,1334276,1321468,1418228,1433900,1381976,1454436,1492784,1496932,1605807,1668145,1734253,1813188,1847883
 "02000","Alaska",8,SQINC7N,500,"31-33","   Manufacturing ","Thousands of dollars",433912,390196,392260,425904,409752,387496,415496,416168,389848,418060,407764,367104,379840,412804,398628,405520,391440,386288,366136,393456,408776,425184,436016,418920,435796,425876,458128,432440,475076,461736,497176,494952,505708,505504,487108,507188,502960,531064,533500,554784,513580,506156,502440,543676,477340,540612,514384,501332,495068,517608,540008,546804,568804,574992,557096,564324,636996,611144,583048,618612,641048,650100,680528,638664,659684,659512,637680,669232,675760,692768,753868,743744,746008,716708,662140,676756,729312,660536,717876,699832,718600,686156,686104,710664,714052,738600,775844,751720,(D),(D),(D),(D),696472,775856,786736,801636,825580,870656,870392,841200,965271,902622,1007330,942446,944557
 "02000","Alaska",8,SQINC7N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",66024,68640,69224,72876,64948,67000,68840,70260,69948,71624,69700,63172,(D),(D),(D),(D),(D),(D),(D),(D),66560,69416,72476,76088,74356,75048,76296,76036,82820,85352,85568,85136,86184,88696,90344,92384,98708,98192,101040,106616,104476,106784,106096,113496,107168,104640,107904,102544,98080,97572,96252,95360,97648,95028,94588,95552,113896,123460,128808,128792,139340,132984,127560,126920,116448,120660,123052,135680,131716,135788,141580,131560,133040,119700,111788,111748,112064,114084,114968,119564,115980,117000,116588,117952,122596,118720,119264,121352,(D),(D),(D),(D),121460,118124,118660,122560,132656,135900,133996,134888,140720,140618,141955,153381,152815
