GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "08000","Colorado",7,SQINC7N,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted) ","Thousands of dollars",67196472,68511848,71808932,71912336,73965180,75849492,76257384,80473516,82696192,85607684,88623740,88718384,90421516,89678156,88468828,87951048,87555752,88061364,88059980,88571084,87502028,88478728,90856532,90169072,91114680,93168212,94103376,95812080,96804160,97908548,100000472,100381068,104463224,104086896,106448060,107595100,110022988,111824000,112474620,115777884,116297212,116980196,117632444,115928100,112936672,111763560,111900396,112308312,111792212,112636524,113993928,116258640,117190600,117972172,119674640,118821208,122307144,123725580,124459832,129294704,127587168,128993032,129812788,131691292,135499116,137169416,138962768,142873868,144716540,146409812,146981188,148205708,148851020,149638008,151966780,154217468,157084176,159285696,162078780,165310212,167066928,169246312,172174164,174672300,179711496,180567148,185246784,186321308,191395956,179330488,187455508,193153544,196280460,202156624,208102848,215741768,219675600,221388404,227141068,229123824,233983516,239542723,240046246,243061325,246227449
 "08000","Colorado",7,SQINC7N,81,"111-112"," Farm wages and salaries ","Thousands of dollars",307036,302096,296864,293372,291204,290676,296008,305640,323024,337272,347732,353540,343904,348188,350912,352160,406156,404448,401572,397256,341772,340984,344040,351108,352112,360112,365220,367432,408692,406488,402756,397320,370884,371368,378628,392984,413764,428020,435276,435516,396324,392608,391488,392984,444340,446340,445752,442668,403848,396452,386908,375212,380984,379612,391460,416628,428916,453632,466640,468252,510672,504696,503760,508196,491528,494364,490964,481652,418508,410512,408112,411456,457224,467184,477304,487752,501640,506028,504660,497412,512456,502248,495596,492808,355464,358748,364812,373560,525344,535952,541580,542080,590048,586320,583872,582688,469088,472596,479480,489796,498782,505004,507657,519315,532985
 "08000","Colorado",7,SQINC7N,82,"..."," Nonfarm wages and salaries ","Thousands of dollars",66889436,68209752,71512068,71618964,73673976,75558816,75961376,80167876,82373168,85270412,88276008,88364844,90077612,89329968,88117916,87598888,87149596,87656916,87658408,88173828,87160256,88137744,90512492,89817964,90762568,92808100,93738156,95444648,96395468,97502060,99597716,99983748,104092340,103715528,106069432,107202116,109609224,111395980,112039344,115342368,115900888,116587588,117240956,115535116,112492332,111317220,111454644,111865644,111388364,112240072,113607020,115883428,116809616,117592560,119283180,118404580,121878228,123271948,123993192,128826452,127076496,128488336,129309028,131183096,135007588,136675052,138471804,142392216,144298032,145999300,146573076,147794252,148393796,149170824,151489476,153729716,156582536,158779668,161574120,164812800,166554472,168744064,171678568,174179492,179356032,180208400,184881972,185947748,190870612,178794536,186913928,192611464,195690412,201570304,207518976,215159080,219206512,220915808,226661588,228634028,233484734,239037719,239538589,242542010,245694464
 "08000","Colorado",7,SQINC7N,90,"113-814","  Private nonfarm wages and salaries ","Thousands of dollars",55716172,56985008,60125680,60240992,62014492,63751448,63956852,67934008,69905724,72503168,75454944,75227412,76780124,75745464,74236236,73488328,72742524,72899364,72675024,72965216,71851584,72639344,74866900,74140740,74908432,76695732,77492936,79052156,79417632,80375932,82715276,82807588,86719448,86427044,88061304,89170664,91449872,93043444,93482664,96299632,96526392,96954184,96994572,95188976,92017612,90546724,90401192,90848540,89922664,90658244,92019216,94452260,95045980,95802840,97556896,96515288,99970104,101301164,101850268,106658628,104587576,105763448,106541336,108053604,111784592,113158516,114762560,118405776,119930460,121543196,121848880,122992868,123160504,123718548,125897220,127768380,130417032,132546016,134791632,137632004,139146592,141010216,143594436,145915856,150724736,151201004,155175696,155903716,159951812,148493240,156091868,162023560,164233424,169803876,175016664,182265788,185935320,187415284,192818632,193944700,198287559,201775580,203625022,204782811,207032796
 "08000","Colorado",7,SQINC7N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",51816,53748,56272,56816,62336,63480,62880,62484,61548,49500,62504,86472,72896,73500,75764,74488,77116,73380,74092,79536,80408,83536,80832,85004,81916,82956,84568,87308,87164,91460,95016,91256,94128,96452,98356,96432,95564,103016,113336,106664,114764,116140,113316,120744,119384,123568,129700,134312,132408,137016,133792,144740,136044,136392,147488,153356,143576,151864,160972,160792,164800,165360,163548,173296,175052,175216,174632,181728,192520,187396,196908,185904,188904,191404,206196,207428,214512,216816,219576,218672,222716,228764,225520,228732,244348,245900,256944,270500,257456,237780,261592,257252,245528,239736,262720,254544,245052,253976,252400,247192,236193,253752,252583,248325,236298
 "08000","Colorado",7,SQINC7N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",791856,790660,759512,709640,746172,760288,727740,987648,744676,802120,755092,788756,856056,943296,1247828,854072,904828,834268,800360,814284,806832,828300,873072,993104,953380,1264208,1299368,1288524,1320676,1323376,1510296,1483292,1604332,1730436,1735384,1882528,1977660,2089672,2236504,2422764,2601716,2896540,2768472,2852236,2414608,2124448,2105360,2086756,2338764,2339332,2407188,2556164,2867520,2745516,2993324,3077772,3092532,3192016,3143180,3190044,3172380,3226056,3384604,3537472,3751676,3772232,3892424,3911172,3899608,3721956,3394512,3057500,2871448,2649940,2584100,2768352,2820164,3003800,3117440,3221772,3336820,3437068,3501340,3524232,3700860,3546500,3699204,3545904,4100796,2866812,2586840,2576204,2628684,2631828,2758780,2919248,3193172,3414288,3507540,3282572,3703145,3641846,3894671,3365530,3398696
 "08000","Colorado",7,SQINC7N,300,"22","   Utilities ","Thousands of dollars",425576,432032,443232,454828,457028,447364,444680,451476,451572,465544,459896,485240,524084,519176,550492,535700,540724,540900,530536,530256,490792,525708,539168,527988,664040,583468,524096,566044,562088,585948,564120,638352,616080,669368,1178536,609924,646892,642500,646800,613420,732628,649188,644048,652244,673140,672852,699204,687056,733208,698492,697416,721888,781184,727180,721792,756012,741188,972176,709344,816000,712112,705308,704652,730196,769796,764168,735740,775396,768316,794212,790784,823960,811756,816808,816536,827504,863604,807304,842000,840612,859340,869356,895536,885160,914152,945348,952964,964460,1003564,988888,1006704,993680,988620,1126792,1029912,1040528,1082656,1089952,1129828,1182972,1189360,1277498,1226127,1320054,1345310
 "08000","Colorado",7,SQINC7N,400,"23","   Construction ","Thousands of dollars",4364572,4570296,4838656,5051216,5191696,5241196,5364308,5697664,6150568,6257336,6399532,6622600,6979296,6839468,6723104,6736288,6660376,6707328,6568156,6450096,6288672,6161452,6209480,6244920,6290440,6456236,6530680,6525760,6693124,6767048,7163332,7262704,7684188,7639672,7465028,7539524,7743980,8046132,7996360,8128308,8103452,8103208,8108668,7988840,7319888,6640280,6320960,6042092,5920612,5734676,5732364,5790368,5678680,5718844,5880020,5709792,5945828,6021424,6044544,6331992,6397788,6685116,6936720,7248536,7611504,7896160,8035068,8284728,8463532,8484188,8588564,8780180,8862832,9111536,9411976,9665268,9843456,9918180,10244740,10530920,11054416,11099968,11274548,11566896,11776620,12004604,12269888,12204488,12449216,12044208,12475352,12673184,12712460,12629088,13205220,13923792,13984900,14276936,14604176,14701468,15000833,15086433,15287030,15246008,15626467
 "08000","Colorado",7,SQINC7N,500,"31-33","   Manufacturing ","Thousands of dollars",7682420,7644108,7830336,7909588,7954272,8184180,8247504,8329088,8714016,8750216,8787756,9010688,9131504,8838232,8620456,8537060,8384488,8338244,8259348,8079148,7873544,7893224,7872984,7811028,7909072,8012576,7955460,8308888,8083840,8108100,8665340,8396452,8413700,8528832,8433196,8385964,8602340,8362524,8335456,8518696,8519592,8688168,8523380,8331300,7890936,7742072,7670744,7698200,7515172,7609792,7789928,8109944,8095652,8146312,8293836,8241620,8254792,8436168,8487584,8674512,8428192,8520364,8551652,8641196,8856632,9042636,9303884,9411248,9700580,9548004,9574184,9748736,9677232,9652592,9716484,9787960,10065840,10116708,10570204,10409736,10450312,10577320,10738812,11155976,11376572,11318300,11448504,11628568,11702256,11585896,11453976,11926636,11903976,12239352,12258644,12907252,12626484,12729264,13325344,13162800,12893453,13533014,13487645,13624461,13843008
 "08000","Colorado",7,SQINC7N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",5604348,5643560,5799452,5865556,5895736,6097900,6159376,6208948,6490888,6535508,6549332,6763268,6777360,6557872,6400408,6273984,6148660,6111596,6047488,5897496,5641668,5701020,5594140,5589356,5734788,5688068,5729352,6048732,5829448,5854180,6341000,6025108,6148264,6252312,6169728,6091720,6210552,6176276,6147224,6201120,6089804,6051104,6063644,6042928,5611772,5502396,5402524,5407196,5271704,5417140,5547500,5802768,5824688,5846220,5926508,5927892,5975040,6103840,6186804,6246736,6023032,6114772,6154704,6204064,6320552,6478972,6473668,6739320,6971464,6775944,6824548,6884556,6806372,6831216,6857724,6941548,7089672,7232244,7571128,7448480,7328320,7485700,7577988,7950208,8168484,8001704,8060756,8213012,8270136,8247632,7971912,8384828,8328180,8505880,8402656,8761208,8764816,8777396,9234020,9190360,8753287,9399919,9438473,9660899,9826746
 "08000","Colorado",7,SQINC7N,530,"311-316,322-326","    Nondurable goods manufacturing ","Thousands of dollars",2078072,2000548,2030884,2044032,2058536,2086280,2088128,2120140,2223128,2214708,2238424,2247420,2354144,2280360,2220048,2263076,2235828,2226648,2211860,2181652,2231876,2192204,2278844,2221672,2174284,2324508,2226108,2260156,2254392,2253920,2324340,2371344,2265436,2276520,2263468,2294244,2391788,2186248,2188232,2317576,2429788,2637064,2459736,2288372,2279164,2239676,2268220,2291004,2243468,2192652,2242428,2307176,2270964,2300092,2367328,2313728,2279752,2332328,2300780,2427776,2405160,2405592,2396948,2437132,2536080,2563664,2830216,2671928,2729116,2772060,2749636,2864180,2870860,2821376,2858760,2846412,2976168,2884464,2999076,2961256,3121992,3091620,3160824,3205768,3208088,3316596,3387748,3415556,3432120,3338264,3482064,3541808,3575796,3733472,3855988,4146044,3861668,3951868,4091324,3972440,4140166,4133095,4049172,3963562,4016262
 "08000","Colorado",7,SQINC7N,600,"42","   Wholesale trade ","Thousands of dollars",3956396,4054896,4304056,4255836,4300588,4485912,4441764,4642352,5021520,5181500,5464244,5621284,5499492,5411164,5287648,5202148,5140560,5160984,5109392,5043684,5071068,5051908,5102032,5220624,5152220,5276264,5398652,5463084,5434060,5498244,5627004,5743508,5928920,6012000,6125728,6344928,6514888,6747020,6844472,6834996,7103908,7003728,6879172,6778004,6493696,6246208,6200660,6145372,6199528,6285924,6386036,6544792,6653320,6725468,6793024,6693132,7000088,6937792,7122464,7345300,7308976,7297580,7317696,7472724,7698092,7861920,8006168,8108940,8335896,8402064,8422420,8409064,8420844,8502204,8527856,8810264,8869004,9017764,9231956,9288856,9312920,9464688,9640548,9720644,10062936,10067236,10320076,10576576,10506920,10104616,10225780,10731952,10811056,11720572,11638808,11971724,12641404,12689240,12991868,13112756,13380536,13719836,14058651,13776480,13915287
 "08000","Colorado",7,SQINC7N,700,"44-45","   Retail trade ","Thousands of dollars",4691896,4821424,5388764,5115836,5208452,5413516,5441136,5669720,5788984,5793860,5902832,5973404,6077876,6048100,6059736,6125536,6091420,6123152,6098500,6071260,6049364,6025980,6155752,6310192,6183796,6338448,6430916,6370300,6476532,6538684,6523856,6554980,6673240,6710496,6712216,6811476,6954088,7033304,7041496,7170940,7176520,7124052,7013100,6918472,6639940,6620400,6639448,6702696,6486992,6697988,6745380,6638532,6767996,6758644,6848528,6809064,7069212,7066136,7134492,7163524,7303608,7330600,7353108,7468560,7569244,7706416,7737964,8058300,8097344,8199004,8342256,8463084,8504612,8522040,8576280,8745140,8962820,8782848,8939708,9005028,9145760,9193996,9339316,9396940,9488980,9647988,9630060,9861288,10040644,9607196,10275308,10794392,10748564,11115240,11396900,11703436,11751228,11695396,12000204,12010100,12352068,12334727,12393226,12534371,12621164
 "08000","Colorado",7,SQINC7N,800,"48-49","   Transportation and warehousing ","Thousands of dollars",2145240,2195856,2280812,2267380,2345820,2316116,2301464,2393656,2429952,2609516,2613552,2785192,2784632,2796980,2750212,2636008,2627460,2657136,2704904,2706820,2584584,2672552,2553372,2602516,2636836,2703412,2737348,2793120,2696076,2676436,2763152,2763088,2921088,2851720,3119404,2915372,2956296,3096464,3011828,3070584,3122200,3042572,3051632,3028668,2895964,2836976,2824728,2829920,2757884,2780808,2839176,2844912,2875084,2941264,2946888,2951748,3114420,3078828,3165704,3309084,3368396,3451448,3431348,3585756,3589492,3726680,3863788,3978248,3945640,4043168,4031224,3954624,3968276,3967304,4037352,4244368,4313860,4508764,4554632,4529484,4679460,4746256,4908124,5053564,5277108,5339888,5470572,5508108,5902572,5384320,5603484,5841416,5602600,5900824,6401100,6972676,6953464,7200648,7429396,7365252,7531265,8009900,7886715,8930749,8890632
