GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "11000","District of Columbia",2,SQINC7N,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted) ","Thousands of dollars",30249316,30415944,31234816,30964136,32111928,32869448,33750572,34556608,35319748,34853332,34995868,36432424,36884072,37495208,37860300,38185816,38621936,39388556,39691048,40348580,40204444,41136208,41622776,42428632,43291828,44017724,44625984,45152912,45711136,46474032,46997116,47374736,48647152,48950448,49501540,49985220,51097092,51482388,52855884,52615132,54135316,53790004,54368672,55199728,53894504,55194900,55420788,55903236,56637988,58095088,58202824,58535800,59420588,59688188,60329836,59705008,60673624,60879648,60971392,62118028,62094220,62234240,61835176,62606120,63859472,64209776,64829756,65847956,66692892,67749616,67909392,68362132,69228540,69914168,70201076,70999372,71911928,72308432,73807736,73923360,75341976,75964152,77455320,77514748,77958288,78295084,78764580,79696796,81250248,77981480,79256144,82124580,81393292,83283692,85002640,86539608,87531544,88185672,89357172,90000084,91348491,94037349,94371891,95875873,97184584
 "11000","District of Columbia",2,SQINC7N,81,"111-112"," Farm wages and salaries ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "11000","District of Columbia",2,SQINC7N,82,"..."," Nonfarm wages and salaries ","Thousands of dollars",30249316,30415944,31234816,30964136,32111928,32869448,33750572,34556608,35319748,34853332,34995868,36432424,36884072,37495208,37860300,38185816,38621936,39388556,39691048,40348580,40204444,41136208,41622776,42428632,43291828,44017724,44625984,45152912,45711136,46474032,46997116,47374736,48647152,48950448,49501540,49985220,51097092,51482388,52855884,52615132,54135316,53790004,54368672,55199728,53894504,55194900,55420788,55903236,56637988,58095088,58202824,58535800,59420588,59688188,60329836,59705008,60673624,60879648,60971392,62118028,62094220,62234240,61835176,62606120,63859472,64209776,64829756,65847956,66692892,67749616,67909392,68362132,69228540,69914168,70201076,70999372,71911928,72308432,73807736,73923360,75341976,75964152,77455320,77514748,77958288,78295084,78764580,79696796,81250248,77981480,79256144,82124580,81393292,83283692,85002640,86539608,87531544,88185672,89357172,90000084,91348491,94037349,94371891,95875873,97184584
 "11000","District of Columbia",2,SQINC7N,90,"113-814","  Private nonfarm wages and salaries ","Thousands of dollars",17427620,17652292,18335904,18016568,19055700,19508784,20118444,20791732,21464540,21603120,21466108,22535680,22737256,23141904,23018288,23232256,23266336,23697084,24005772,24324096,24027632,24581556,24903456,25468536,26093492,26415828,26849432,27111104,27365772,27891296,28264208,28495924,29630464,29931912,30235740,30655816,31689072,31904756,32903232,32704388,33661116,33208300,33409596,33914808,32337684,33185564,32988244,33008428,33295240,33825572,34060696,34394116,35141080,35431848,35985752,35744832,36730180,36879904,37122636,38299500,38365652,38536948,38602812,38460644,39940860,40014008,40451936,41170772,42047816,42765156,42861088,43219844,43754664,44070612,44201608,44838116,45414240,45904664,46946276,47178960,47964216,48260844,49545944,49741212,50346896,50552132,50849840,51701320,52806240,49264148,50336540,52810640,51942240,53528980,55098140,56516200,57544632,57939544,58978436,59349672,60399020,61562033,62197259,62589715,63373133
 "11000","District of Columbia",2,SQINC7N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",(T),(T),(T),(T),(T),(T),(T),(T),(T),(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "11000","District of Columbia",2,SQINC7N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",7852,7856,7856,7856,9740,9740,9744,9744,(T),(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),6920,6988,7004,7024,3744,3788,3800,3696,(D),(D),(D),(D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "11000","District of Columbia",2,SQINC7N,300,"22","   Utilities ","Thousands of dollars",96792,100220,104604,109676,125856,133728,137592,146716,152292,151668,149396,186672,(D),(D),(D),(D),(D),(D),(D),(D),169488,178296,180788,177876,180680,186044,180020,183196,197060,192636,195628,205192,191900,198304,221788,209776,207656,211272,213104,220476,243496,210904,221352,221172,245408,231448,219768,225884,143000,163188,155596,163236,166304,166200,167008,168688,154052,177460,174716,171884,182896,185316,175624,199944,180980,191016,195428,188172,204232,200344,211724,210380,212548,207204,208216,228288,222252,218188,233360,240164,251828,234216,342732,234340,241960,226320,252328,244304,(D),(D),(D),(D),266916,262804,241788,269216,279584,268276,263576,270896,310889,279488,326667,301849,308672
 "11000","District of Columbia",2,SQINC7N,400,"23","   Construction ","Thousands of dollars",376216,389456,387220,387168,410324,398312,420328,433276,451804,483236,477668,512372,512272,530644,527824,526860,550652,573716,609668,642744,661744,632688,628792,613700,618156,616532,635588,649652,(D),(D),(D),(D),653388,733012,681044,696848,710472,703352,719100,726836,771092,709972,746144,774488,729876,705628,658292,636236,642368,674028,689724,696952,732664,785280,818180,828900,868200,876228,900832,921764,886728,904816,919852,925212,968456,936724,947636,970652,893516,977308,960148,987344,1008780,1026312,985424,1011796,(D),(D),(D),(D),1147936,1149012,1142996,1151064,1113400,1109096,1132888,1120856,1183972,1104280,1227712,1222900,1181580,1217364,1243480,1294012,1266844,1289076,1321124,1332236,1356972,1350786,1336241,1372368,1398937
 "11000","District of Columbia",2,SQINC7N,500,"31-33","   Manufacturing ","Thousands of dollars",(T),193600,193016,195664,216452,215288,(T),206672,224404,222060,209308,203496,222228,223292,212836,219528,(D),(D),(D),(D),167244,173572,173164,170004,213616,172040,181564,164996,166384,170252,157952,152848,136340,137620,130360,154896,127412,130276,133920,128456,126924,127272,125996,122232,117812,115936,116980,111432,106228,106980,103992,112796,106908,122152,107804,99840,101624,98676,107768,110812,107444,112448,109876,113540,110688,101136,91584,89956,99080,104536,113204,106352,114688,111248,112184,116984,(D),(D),(D),(D),122880,120144,137276,117328,120580,117688,114384,124244,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "11000","District of Columbia",2,SQINC7N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",58288,71408,70288,72380,86692,84840,74280,76580,88464,93956,79220,76788,92876,103512,105488,98200,(D),(D),(D),(D),76256,84724,83560,79764,122048,80812,86256,73580,73260,73740,69868,68328,58660,56296,52748,69544,40748,48836,47892,43776,45484,47688,46004,43956,41664,40868,42172,40516,34756,39536,36716,37448,34480,36360,35372,35120,35208,35652,35032,34824,35404,37968,39096,35332,35300,33588,32656,36504,39064,36576,44900,45512,47512,53032,55064,54504,(D),(D),(D),(D),61168,58680,70488,55464,57516,56324,55752,56548,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
