GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "12000","Florida",5,SQINC7N,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted) ","Thousands of dollars",193207996,197537564,201298092,204356288,206762780,210637568,214157624,216748668,228205380,227943804,232737448,235834384,240750384,242029596,243247128,243246840,245914228,249455712,252453408,255743368,256985464,261266408,266752208,273084396,275407312,282945488,288349620,294903448,300930516,305905456,315096976,317557504,328062772,329723932,332592632,339329644,342411788,342389776,343561936,343744052,342940708,340536272,338248960,334359604,320550400,321133284,318901516,322033760,315812316,321617724,325460032,327407056,329173680,332208928,334443516,332411976,341626052,342636012,346251084,353810180,354162752,356921948,358357684,363422980,371940316,375648492,379720616,388078940,395105656,401281232,406812632,413899784,414818508,421407876,429231600,433707868,438901020,443877636,448454316,458059968,466065456,467732852,477682032,480848144,493581076,496216044,499616332,509626608,520010400,481758564,513846340,532021796,541702368,566801580,589351560,613086216,618505056,628914512,652082924,658327384,679805445,687107375,696028812,703041539,714222817
 "12000","Florida",5,SQINC7N,81,"111-112"," Farm wages and salaries ","Thousands of dollars",817060,821416,815548,804392,760404,747848,746632,756268,780680,798328,834336,881848,1063044,1076284,1084712,1088552,1046036,1041644,1034240,1023136,894464,892416,900424,918880,1053320,1077264,1092544,1099152,1041072,1035444,1025932,1012084,1154440,1155960,1178556,1223256,1057916,1094372,1112908,1113528,1220300,1208828,1205392,1209976,1173456,1178728,1177192,1169052,1228764,1206264,1177212,1141600,1000052,996424,1027540,1093588,959072,1014348,1043444,1047032,1241700,1227176,1224916,1235684,1136172,1142724,1134868,1113324,987868,969004,963336,971224,1089836,1113584,1137716,1162592,983476,992072,989408,975200,1127732,1105280,1090632,1084504,1213968,1225168,1245908,1275784,1484492,1514460,1530388,1531780,1807212,1795788,1788256,1784640,1314076,1323940,1343212,1372112,1397283,1414715,1422148,1454806,1493102
 "12000","Florida",5,SQINC7N,82,"..."," Nonfarm wages and salaries ","Thousands of dollars",192390936,196716148,200482544,203551896,206002376,209889720,213410992,215992400,227424700,227145476,231903112,234952536,239687340,240953312,242162416,242158288,244868192,248414068,251419168,254720232,256091000,260373992,265851784,272165516,274353992,281868224,287257076,293804296,299889444,304870012,314071044,316545420,326908332,328567972,331414076,338106388,341353872,341295404,342449028,342630524,341720408,339327444,337043568,333149628,319376944,319954556,317724324,320864708,314583552,320411460,324282820,326265456,328173628,331212504,333415976,331318388,340666980,341621664,345207640,352763148,352921052,355694772,357132768,362187296,370804144,374505768,378585748,386965616,394117788,400312228,405849296,412928560,413728672,420294292,428093884,432545276,437917544,442885564,447464908,457084768,464937724,466627572,476591400,479763640,492367108,494990876,498370424,508350824,518525908,480244104,512315952,530490016,539895156,565005792,587563304,611301576,617190980,627590572,650739712,656955272,678408162,685692660,694606664,701586733,712729715
 "12000","Florida",5,SQINC7N,90,"113-814","  Private nonfarm wages and salaries ","Thousands of dollars",159874708,164054168,167062940,170122688,172519768,176162840,178726840,180894472,191559508,190153412,195303200,197294848,202235592,202413020,203001832,202630812,204507196,207516612,209585220,212250652,213020520,216378816,221567420,227402096,228663880,235090820,240066744,245050624,251922172,255436184,263727964,266283856,275891636,277971272,278348672,284384020,286733672,287663472,287227176,286488160,284878772,282214636,279781788,276547796,262262100,262707876,260771156,262928444,258367384,262411748,265940904,268566912,271627096,272577180,277435516,274617372,284362788,285094620,288964912,296498436,296100000,298929812,300583816,305103372,313375908,316738068,320867132,328231152,335214400,340485704,346686168,352447676,353851820,357846212,365166600,370279264,374600524,379617892,382423836,391853548,399543420,401536356,410575628,413653896,425297320,427657292,430042204,438961344,447831448,411326812,441788952,459185608,469810940,492352564,512627212,536331124,543303764,551601880,573043796,577046828,599279459,603069370,612323614,615788037,624941390
 "12000","Florida",5,SQINC7N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",747676,762688,778780,755952,800452,774328,758196,754140,652480,680004,770880,984976,834544,839964,776496,809464,794152,790620,781960,795708,816484,798140,815928,888672,886380,916448,873892,837548,863660,908828,974668,917624,930832,945396,993808,1009628,936388,971360,1012856,1040320,1037356,1002148,936404,935288,955328,993704,931256,980092,929116,1002372,1021216,992704,973680,1000576,977752,1017836,1053572,960616,1046872,1037008,1048072,1079968,1097116,1132692,1112792,1134772,1164612,1119972,1163788,1172400,1183084,1344400,1220984,1215768,1303888,1305252,1326000,1330060,1271664,1283428,1319484,1342212,1381348,1399716,1387592,1432840,1435052,1434288,1441396,1419400,1555840,1499780,1451384,1414784,1610184,1597948,1550100,1549908,1618508,1598048,1649860,1530395,1601243,1559258,1503359
 "12000","Florida",5,SQINC7N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",262220,274108,275848,282468,269824,258240,253948,265864,271996,271224,271468,269392,306080,276768,273080,269968,257852,254940,250220,250880,247420,250644,250768,252656,257584,263068,258728,256160,268264,273080,271248,263160,240908,254144,267316,251796,296188,263768,259952,287984,284816,262828,258624,226328,217352,216356,203004,199764,200900,216564,223424,226172,241192,235240,234620,232124,236404,253816,258748,326320,251436,259536,255580,250180,270976,274432,273160,268996,266492,268128,283084,284020,290744,276836,280028,290504,290364,289136,288932,302932,306292,311344,304880,299320,318504,301364,286336,287724,280132,292404,302000,290300,306440,318828,305524,343948,364776,355808,358052,373692,410592,401839,406483,454916,461387
 "12000","Florida",5,SQINC7N,300,"22","   Utilities ","Thousands of dollars",1337340,1467244,1410372,1486028,1604124,1474356,1595076,1365584,1840932,1413780,1673420,1705476,1784248,1730788,1708824,1635616,1508956,1438908,1400260,1339500,1459244,1416112,1422776,1470396,1521740,1518704,1862328,1633864,1615724,1660172,1676336,1804624,1666352,1700584,1625944,1667820,1608804,1652560,1730700,1746868,1815796,1828916,1812896,1836788,1943668,1867576,1833048,1930648,1737468,1873856,1848868,1767004,1944428,1899912,1837908,1886800,1877812,1928960,2016748,1978288,1993184,1962508,1964972,1931228,2006792,2036772,1984576,2101144,1953624,2118496,2256508,2241888,2257364,2308936,2274260,2332580,2389504,2347272,2387688,2531500,2505356,2484336,2436748,2497504,2273356,2363368,2369920,2372844,2594212,2546672,2454080,2580220,2589500,2561760,2706272,2444396,2668072,2702256,2721376,2885204,2980092,2937398,3035818,2932682,2971165
 "12000","Florida",5,SQINC7N,400,"23","   Construction ","Thousands of dollars",10788992,11156424,11500416,11614996,11813028,12090360,12259008,12449700,13509384,13370584,13573204,13850524,14533556,14670200,15194156,15420988,15709688,15829112,15996688,16262636,16505148,16866428,17381308,18093740,18650148,19907512,20662760,21320464,22872248,23603552,24961988,25400408,27657456,28167788,27834880,28083420,27644140,26755564,25970388,25026316,24264952,23121676,21777280,21363620,18714032,17431596,16686920,16103316,15069816,15282116,15275804,14795352,14632648,14424752,14473932,14241188,14855676,14734452,14924064,15536072,15617408,16009212,16473768,16785488,17522632,17907592,18452304,18908768,19838520,20429904,20872940,21794204,22116908,23108416,24096840,24539044,25393864,25554428,26140756,27042064,28357344,28506984,29484812,29791924,30674944,31090712,31305212,32068128,32264764,31289152,33570888,34265680,33643796,34489568,36080120,38000828,37985652,38680000,40519928,41313080,42710873,43068102,44297038,44959735,46027253
 "12000","Florida",5,SQINC7N,500,"31-33","   Manufacturing ","Thousands of dollars",15474332,15715984,15814596,16077308,16034852,16324480,16192396,16634200,17327336,16897780,17176168,16763040,17237428,16895204,16809844,16617092,16393176,16646284,16655100,16566232,16382332,16426804,16442188,16935664,16907848,17185764,17394880,17702640,17732056,17995660,18508808,18422240,19475232,19325136,19207188,19520484,19372056,19716480,19361520,19151032,19132072,18854004,18783964,18310848,17170360,16903708,16644792,16864472,16207588,16428096,16733508,16982280,16760672,16978744,17269220,16915516,17395396,17471128,17550712,17843252,17731456,18116332,18182504,18500620,18872508,18904928,19204368,19608584,19762024,20300460,20661180,20996312,20963832,20921836,21593432,21696100,21953608,22237860,22355752,23021128,23244536,23465236,24062288,24506088,25200276,25308948,25279312,26157948,26605016,25319232,25550652,26683824,27000460,27626468,28065788,29668988,30037996,31064276,32401056,31986636,32887214,33299606,34381605,35132874,35572712
 "12000","Florida",5,SQINC7N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",10545992,10724492,10721916,10944972,10872604,11114028,11072476,11462856,11997996,11665096,11840576,11434256,11782904,11625704,11671712,11472996,11342496,11503276,11493568,11367336,11180268,11238976,11249904,11508276,11707960,11731920,12035580,12346212,12405180,12641052,12989240,12994408,13999308,13828168,13712768,13958484,13745752,13993416,13691280,13520804,13367784,13259372,13245200,12802364,12083020,11785204,11526516,11589236,11216740,11438652,11645132,11800356,11581404,11791936,12077316,11870720,12188848,12159516,12268924,12479608,12531412,12695652,12799612,13047204,13377720,13353988,13571320,13929768,14011312,14494104,14737860,14786952,14804052,14809952,15309796,15435276,15643460,15930848,16010520,16608884,16744168,16913396,17399184,17751460,17880912,18311652,18225980,18860124,19424580,18374644,18266820,19197376,19635592,20029328,20123284,21306016,21519884,22123488,23213560,23063436,23940564,24245450,25113265,25572494,25914575
