GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "93000","Great Lakes",3,SQINC7N,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted) ","Thousands of dollars",687357500,697658580,705597512,721730772,728768908,737340412,741762676,760626096,780598264,779641340,787350104,783162884,796841612,790850368,788799264,788932960,788164564,800392980,801717160,803596416,803422496,809687308,814516980,832440776,826993728,842632228,857904584,861323128,862469696,868758724,876365444,881230844,898509544,904253488,907670012,915174688,938180304,937971664,937312276,944355868,952727064,951772424,950051784,944493612,894563472,894000468,890331560,897232260,883012240,906146136,920175660,925851044,940411916,943394420,958148352,953443228,981088272,984459656,986280072,1005795544,1005804276,1011224080,1011106340,1018513012,1040568220,1047635372,1056665364,1072611308,1087419788,1098461740,1109852152,1118591860,1120400108,1125451984,1132638848,1147595856,1157973544,1168526596,1181276068,1193204156,1211248512,1216215180,1227646928,1232025000,1251832980,1256198140,1259967700,1276863008,1286923348,1193573460,1266210912,1307770184,1310210956,1343267112,1372433684,1414984512,1439105416,1451627020,1485305736,1488294388,1515068092,1538673474,1558166959,1566572069,1583993391
 "93000","Great Lakes",3,SQINC7N,81,"111-112"," Farm wages and salaries ","Thousands of dollars",1924464,1988316,2004792,1979280,1879196,1815260,1791120,1807516,1882388,1952144,2004612,2034348,1975000,1999596,2015272,2022424,2048312,2039716,2025224,2003464,2059200,2054476,2072896,2115420,2277064,2328824,2361852,2376152,2140764,2129196,2109636,2081172,1972952,1975528,2014168,2090552,2627200,2717736,2763780,2765316,2496348,2472892,2465864,2475264,2454416,2465448,2462224,2445200,2212764,2172272,2119956,2055832,2325376,2316952,2389296,2542900,2695744,2851108,2932876,2942996,2761280,2728984,2723932,2747896,2948724,2965748,2945312,2889436,2937496,2881380,2864560,2888016,3129512,3197700,3267008,3338420,2947064,2972800,2964852,2922252,3147972,3085304,3044392,3027280,2927016,2954020,3004028,3076044,2719136,2774028,2803192,2805764,2875200,2857052,2845100,2839336,3115324,3138656,3184348,3252900,3312577,3353900,3371524,3448945,3539734
 "93000","Great Lakes",3,SQINC7N,82,"..."," Nonfarm wages and salaries ","Thousands of dollars",685433036,695670264,703592720,719751492,726889712,735525152,739971556,758818580,778715876,777689196,785345492,781128536,794866612,788850772,786783992,786910536,786116252,798353264,799691936,801592952,801363296,807632832,812444084,830325356,824716664,840303404,855542732,858946976,860328932,866629528,874255808,879149672,896536592,902277960,905655844,913084136,935553104,935253928,934548496,941590552,950230716,949299532,947585920,942018348,892109056,891535020,887869336,894787060,880799476,903973864,918055704,923795212,938086540,941077468,955759056,950900328,978392528,981608548,983347196,1002852548,1003042996,1008495096,1008382408,1015765116,1037619496,1044669624,1053720052,1069721872,1084482292,1095580360,1106987592,1115703844,1117270596,1122254284,1129371840,1144257436,1155026480,1165553796,1178311216,1190281904,1208100540,1213129876,1224602536,1228997720,1248905964,1253244120,1256963672,1273786964,1284204212,1190799432,1263407720,1304964420,1307335756,1340410060,1369588584,1412145176,1435990092,1448488364,1482121388,1485041488,1511755515,1535319574,1554795435,1563123124,1580453657
 "93000","Great Lakes",3,SQINC7N,90,"113-814","  Private nonfarm wages and salaries ","Thousands of dollars",590374236,599448524,606897544,622300492,627987380,635464436,639533824,655868068,673648956,671562188,677864792,673597864,686262288,679028296,674547824,673299940,670870560,681788712,682338568,683142528,681820804,686958036,690986252,708305780,701524800,716015612,730746620,732280700,733493212,738270236,745643256,750326360,766978788,771742732,773325396,780330776,800639588,800703920,799024384,805155220,811848296,809664668,806768340,799422956,750305556,747577560,743292220,749268248,736210380,758143800,772846920,778177248,794099552,796487012,809899896,807124348,832224256,837023916,837758552,856798048,856923932,862067428,862417016,869376496,890978372,897019220,906240116,919541264,934122808,944118408,956336180,963871780,965316432,969327884,975086668,989471000,999078932,1009268056,1019643580,1031514536,1047952264,1052155464,1061380688,1065870292,1085486736,1088161340,1088906556,1103464036,1110874136,1024698172,1093262468,1133311016,1136788868,1166846372,1192033796,1233224156,1256178860,1266991020,1297077992,1297765164,1324444671,1343993789,1358634659,1361053260,1373668780
 "93000","Great Lakes",3,SQINC7N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",422580,421748,419648,454236,435348,436484,429620,447004,393536,397584,439644,575852,476100,477860,500132,475172,471888,471824,471264,476720,479764,486748,493508,498544,528712,518568,506012,527804,518524,537044,548612,542104,552116,548216,533608,553472,544992,578908,595848,614388,592136,617116,642500,629660,623316,614556,634748,627784,624476,656000,666236,670492,649420,657152,679992,707468,716856,747120,725640,722224,738160,752084,781868,803584,898404,879084,909988,906036,905816,923500,994816,975984,1023752,989468,1020704,1038704,1036156,1052376,1090840,1076732,1087056,1082756,1107600,1132484,1159168,1165616,1174784,1178048,(D),(D),(D),(D),1246212,1198328,1351028,1360364,(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "93000","Great Lakes",3,SQINC7N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",1856956,1810384,1867688,1848568,1851984,1895332,1834232,1835252,1828644,1779836,1822656,1816408,1881088,1844792,1892436,1894680,1799780,1818128,1783584,1807892,1740208,1761556,1760248,1830972,1838732,1845988,1913876,1880016,1938760,1972984,2005560,2023108,2077676,2130028,2166472,2108716,2168332,2237616,2205408,2187212,2201028,2242080,2241648,2319760,2151008,2170704,2090652,2121428,2072220,2249088,2495900,2287972,2402776,2480868,2473300,2442340,2638900,2721220,2578168,2665020,2538532,2532572,2598056,2702536,2837032,2950464,3015024,3118280,2955444,2844180,2703824,2634256,2463572,2377732,2364408,2338720,2360316,2454392,2500988,2567744,2649888,2652320,2687912,2611484,2786564,2754628,2635208,2572540,(D),(D),(D),(D),2136864,2202972,2230612,2292516,(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "93000","Great Lakes",3,SQINC7N,300,"22","   Utilities ","Thousands of dollars",6153180,6222848,6357308,6280892,6446124,6363632,6526084,6636832,6841908,6794900,6591788,6833628,6709916,6911480,6965520,6928104,6637656,6866792,6765376,6713884,6828036,6519524,6534800,6579084,6411768,6790600,6648404,6862584,6943360,6870828,7049612,7104860,7159388,7259292,7239508,7437880,7399848,7641268,7794712,7608844,8115760,8037132,8023028,8135828,8543924,8028900,7987988,7961832,7631824,7959208,8430476,7974016,8172868,8276460,8182736,8546660,8200068,8506688,8713720,8652608,8607152,8794280,8585508,8516636,9068008,8836428,8834128,8869196,9198720,9371532,9249636,9343344,9276888,9209048,9278800,9474244,9582196,9570116,9665336,9703968,9635576,9847724,9880084,10156444,10270584,10088780,9958336,10148972,10288912,10183076,10186580,10486148,10193564,10264176,10591808,10252856,10372372,10799112,10669616,10886668,10734431,10896252,11054341,10874019,11134856
 "93000","Great Lakes",3,SQINC7N,400,"23","   Construction ","Thousands of dollars",33894848,34847924,36138796,36916968,37780020,38041268,38410992,40677664,42458432,41920180,41657324,41298172,43171300,43034884,42701548,43372264,43577976,42839032,43173912,43245184,42335972,43160496,43486264,43792868,43535776,44344876,45050936,44005468,45290868,45347624,45348672,45560468,48579728,47374500,46067508,46679164,47900096,48535432,47866284,48165160,48761776,47593500,47484732,46613904,43072480,40089180,39999432,37735948,37407116,37874636,38051076,37827464,38434616,39206568,40111728,39166660,40569480,40804748,40128236,41148676,41664524,41802288,42376272,42991996,43629196,44693460,45999460,47179548,47506476,49008944,49542288,50350136,51471268,51794276,51035912,52792076,54539116,55588880,56618964,56635744,57720220,57744372,58513560,58833764,60387996,60637832,60943080,61860312,62391844,56548664,63104896,63250940,64217956,64145484,66606676,67975856,70451992,70944556,71485260,73592620,75983959,77620718,76958705,79166136,81143690
 "93000","Great Lakes",3,SQINC7N,500,"31-33","   Manufacturing ","Thousands of dollars",166800588,167941480,166097268,171155464,170912856,172982368,174718892,176612904,180600468,178090752,177770152,173741124,174486180,168956780,164847736,161574144,159457356,163399396,161846840,161325000,160783400,159611784,157984104,166604152,158915600,163898192,167153872,166832892,165529088,164033728,164598252,165324036,167716888,168387000,168064960,167353964,171650900,169657716,167493200,165805532,166506984,165844628,163058588,159612232,141194604,138294748,136441844,139518880,136253620,143392112,147471976,147717152,153687024,152212948,154658884,155402276,160392200,161228792,160058828,163111664,163257004,163289000,164085204,165809188,169260944,171546196,172416548,174790368,177084940,177405412,180027480,180782212,179382244,179098620,179618688,181196160,183236412,185524016,186656276,189041032,194896020,192650932,193710004,194883984,197722872,198453348,195210128,198284156,196128184,175930040,189935332,194556596,196831164,201161328,201533380,208238600,214788296,217012332,221423200,220600580,223284429,228937880,229212928,229369272,232223313
 "93000","Great Lakes",3,SQINC7N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",121745668,122537092,120438448,124616248,123539420,126105512,127196908,129171504,132449792,129939016,129180244,125490856,125941876,121536920,117880880,115111704,112428644,115877024,114624996,114153564,113894092,112390148,111111916,118151692,112302628,115944092,118249008,118046696,117334272,115834208,116371772,116922780,119162460,119821112,119193116,118098112,121864992,119874456,118213928,116540052,116306632,116355396,113778288,110680244,95688624,92264704,90586784,92456876,89192348,95794068,99328856,99391200,104930696,103440884,105415448,106401468,111008848,110704820,109421992,111798324,111690548,111485912,112268464,113432232,115165380,117664236,117630404,119180512,120594292,121408724,121528788,122230424,121579152,121110320,121383164,121977384,123418704,125172348,126370368,128142656,131981032,131466484,131630564,131631896,134111208,133494168,130574092,134283332,131225824,112886216,123637876,127434952,128188656,133179416,131514168,135181844,140687272,143583288,146137016,145149448,147322430,152423225,152178001,152151629,154700493
