GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "19000","Iowa",4,SQINC7N,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted) ","Thousands of dollars",37435148,37549436,38800688,39004456,39411120,39821180,40300592,41195340,41667004,41958320,42282128,41924660,42666316,42909000,43252160,43123824,43242932,43816292,43963876,43958912,44335748,44697308,45482604,46341668,46681584,47434128,48451556,49006260,49059816,49563780,50546144,50867684,51984588,52568668,52551368,53465336,54559556,55466252,55584320,56483372,56965388,57184492,57854316,57867180,56144744,56029412,55975120,56147372,56035768,57134768,57543792,58088800,58472968,59044348,59979080,59927576,61280096,61991324,62268900,63082656,63607164,63646400,64157580,64590772,66150140,66809196,67469300,68142360,69689104,69608560,70253156,70704776,71200728,71064160,72095340,72606592,73074072,73440748,73615420,74983172,75391500,76301284,76880412,77161872,77923172,78189748,78791312,79335132,80998904,77431040,79869876,82233072,82580184,84040580,85263944,87830884,89415340,90053992,92911924,92960036,94660489,94580477,96998934,97969122,99420853
 "19000","Iowa",4,SQINC7N,81,"111-112"," Farm wages and salaries ","Thousands of dollars",311248,325080,331164,329560,319932,311780,305852,303700,303744,306660,312648,321208,339284,343508,346192,347424,329388,328012,325672,322176,420220,419252,423008,431684,462516,473024,479736,482640,395136,393000,389380,384132,344984,345436,352196,365552,577276,597172,607284,607628,501620,496912,495496,497380,503140,505404,504748,501256,531024,521296,508748,493360,481436,479688,494660,526472,634560,671136,690384,692756,584208,577388,576320,581384,692140,696136,691340,678220,582180,571048,567720,572368,545968,557868,569948,582420,735936,742368,740376,729744,653720,640704,632220,628656,640752,646668,657616,673368,592852,604820,611184,611740,716244,711720,708728,707300,693088,698276,708448,723692,736969,746162,750083,767307,787506
 "19000","Iowa",4,SQINC7N,82,"..."," Nonfarm wages and salaries ","Thousands of dollars",37123900,37224356,38469524,38674896,39091188,39509400,39994740,40891640,41363260,41651660,41969480,41603452,42327032,42565492,42905968,42776400,42913544,43488280,43638204,43636736,43915528,44278056,45059596,45909984,46219068,46961104,47971820,48523620,48664680,49170780,50156764,50483552,51639604,52223232,52199172,53099784,53982280,54869080,54977036,55875744,56463768,56687580,57358820,57369800,55641604,55524008,55470372,55646116,55504744,56613472,57035044,57595440,57991532,58564660,59484420,59401104,60645536,61320188,61578516,62389900,63022956,63069012,63581260,64009388,65458000,66113060,66777960,67464140,69106924,69037512,69685436,70132408,70654760,70506292,71525392,72024172,72338136,72698380,72875044,74253428,74737780,75660580,76248192,76533216,77282420,77543080,78133696,78661764,80406052,76826220,79258692,81621332,81863940,83328860,84555216,87123584,88722252,89355716,92203476,92236344,93923520,93834315,96248851,97201815,98633347
 "19000","Iowa",4,SQINC7N,90,"113-814","  Private nonfarm wages and salaries ","Thousands of dollars",30710672,30843052,32005692,32139348,32498400,32954036,33132416,33982440,34410788,34492556,34839956,34372636,35128324,35248412,35353284,35187660,35296724,35816148,35972744,35960284,36099196,36360812,37050836,37816976,38104864,38694624,39736736,40148556,40262212,40617444,41552008,41816480,42914220,43395192,43207788,44038080,44786532,45554608,45530424,46302408,46695836,46821336,47310836,47212644,45308376,45140320,45098380,45241952,45215004,46307488,46588000,47222516,47637480,48180384,48872816,48867756,50135324,50666228,50914024,51678376,52258824,52217004,52704072,53038020,54440540,55005804,55582388,56141540,57675124,57552760,58220968,58551768,58999192,58771540,59668764,60123744,60349132,60680376,60696912,62018180,62487672,63315568,63789328,64095240,64809180,64961828,65376096,65751128,67183564,64123784,66189260,68362780,68714044,70003988,70886704,73417188,74887664,75393772,78092140,77794964,79772870,79073086,81488126,81907619,83018054
 "19000","Iowa",4,SQINC7N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",50996,50696,48404,52760,55740,55364,54056,60340,55968,54764,51864,75908,54552,61116,72016,69204,61672,67176,69840,68556,75748,80392,82208,87944,94936,100568,101224,107460,102360,104416,111024,111592,114640,113120,105928,119776,117392,128400,132048,124856,130392,136436,143324,153844,146440,149660,150504,160000,161164,169220,184976,187348,171588,178448,196712,173308,201836,212484,220600,210064,219896,220884,232388,242004,227672,219584,226972,230720,224552,233428,232216,234360,236400,236792,239064,248376,244924,248544,252460,254156,254544,256956,264976,270372,250020,271632,279464,288568,280140,270768,294172,290912,297148,269044,298576,307804,301256,318592,323524,330932,318072,309419,335656,354673,307876
 "19000","Iowa",4,SQINC7N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",69816,69488,68904,71024,71676,74216,73580,78072,76260,74180,76384,66944,73340,72544,73056,75776,76976,75984,73912,73924,71740,73688,74888,72868,77304,82072,84624,87172,86668,87240,91512,89548,89984,94892,90144,87148,105624,90780,87816,87412,90820,93192,97620,98072,91144,95464,98716,86332,87336,92960,94252,96900,95196,99628,101008,99168,104440,100216,97552,98276,103700,103580,105236,105652,107284,110792,113360,117072,115604,122296,120896,123288,121808,125224,129220,126380,134400,134084,133704,136748,140760,140680,144860,143092,145780,144452,149252,141728,138300,134600,130232,138776,126756,138304,143800,148328,154488,155184,154596,165364,157469,171759,171771,169320,169453
 "19000","Iowa",4,SQINC7N,300,"22","   Utilities ","Thousands of dollars",417372,451944,429396,427228,476452,447916,437992,489276,476884,427420,480488,464600,447916,475072,464344,471192,494396,501248,518704,503564,459436,465252,480852,477556,519900,511316,496780,487988,451256,441968,470720,504292,438700,488192,466996,474856,530788,518284,516220,511900,510908,546204,526108,553640,534056,573988,506476,509576,490764,530064,520968,531600,531860,540472,530268,510860,523636,513160,538292,582004,527944,532240,531704,498272,571896,547264,572752,547708,577088,556524,589332,563480,558184,553392,569172,597744,568272,611624,563624,606128,576452,619348,596388,623244,615172,609532,577940,604528,626640,605096,644768,607936,599368,589416,592128,587996,599096,630724,609540,573016,630250,567303,664498,590581,605382
 "19000","Iowa",4,SQINC7N,400,"23","   Construction ","Thousands of dollars",1853820,1947284,2065692,2122652,2163648,2143584,2145496,2178248,2233128,2159636,2114332,2096704,2251768,2242012,2270504,2281144,2320108,2329200,2306392,2325032,2312068,2354516,2430320,2491884,2496024,2582608,2625828,2621972,2719036,2791404,2893560,2876500,3205728,3132128,3034840,3087548,3183784,3114652,3108556,3217620,3236744,3256412,3421084,3320020,3139896,2927212,2845672,2748168,2776500,2803680,2736500,2790760,2777664,2839380,2995576,2953564,3073204,3143272,3093688,3206532,3239296,3269020,3464628,3534168,3695412,3910396,4026500,4186480,4466608,4388892,4330140,4451276,4777396,4843136,4877328,4743484,4507756,4245492,4217416,4338820,4442304,4495816,4593512,4634732,4611672,4714460,4796512,4778876,4844732,4705692,4834772,4966664,4785180,4902676,5107688,5340480,5435484,5426488,5638248,5649296,5794365,6010201,5859998,6219835,6500483
 "19000","Iowa",4,SQINC7N,500,"31-33","   Manufacturing ","Thousands of dollars",8228516,8442236,8514532,8723360,8721512,8767428,8823012,8917080,9077516,9195100,9158668,9022748,9162596,9034236,8969604,8645920,8681872,8842088,8750824,8604020,8605424,8616172,8814200,9147136,8986116,9390484,9595348,9780856,9701288,9910956,9991920,9971028,10230000,10279900,10211084,10343560,10466404,10541284,10619440,10702460,10970420,10748884,10733596,10543872,9833148,9520456,9509052,9642280,9579540,10059456,10208908,10201180,10282296,10490192,10661800,10761140,10810488,11057004,11055036,11062956,11256204,11341508,11359880,11463844,11715092,11810436,11776976,11957040,12070956,12104072,12115144,12152032,12041428,11888420,12043144,12005484,12387384,12523804,12757360,13007488,13108464,13316516,13584024,13693860,13761336,13631068,13729188,13392360,14285812,13186792,13471232,13792452,14073764,14171044,14213152,14736440,15154096,15285964,15801160,15808220,16272473,16274536,16341758,16779098,16998026
 "19000","Iowa",4,SQINC7N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",5201976,5385464,5463024,5540228,5517300,5538848,5618116,5670436,5851936,5946204,5868036,5809724,5894564,5798176,5727700,5408428,5445156,5543340,5494000,5346448,5336412,5359616,5574712,5758432,5678200,5993936,6150328,6297888,6251496,6401192,6425144,6439824,6684760,6740148,6660416,6776868,6853464,6854036,6913088,6959960,7006868,6899724,6870760,6653028,6103128,5801472,5729648,5768808,5784240,6099368,6316440,6299564,6471112,6628344,6711724,6844576,6852224,7040584,7040768,7012732,7149144,7196456,7236124,7278584,7484024,7514332,7509724,7547224,7627124,7636256,7581052,7496748,7406404,7251284,7319516,7122020,7444260,7558188,7711620,7881944,7854184,8084148,8320020,8386576,8390612,8241048,8224544,7902948,8726244,7580276,7740828,7776324,8263576,8288208,8277372,8539964,8934264,8962312,9218148,9252372,9592216,9640373,9643692,10153491,10332707
