GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "22000","Louisiana",5,SQINC7N,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted) ","Thousands of dollars",52303320,53175800,53416920,53524176,53636248,53814192,53889348,54883472,55963908,56115824,56106928,56217412,57856280,58454980,59214492,59470184,59816148,60415756,60795064,61322288,61211324,62271312,63143980,64073640,64337496,65018908,65932488,66631296,67675704,68135444,67741964,68169244,70087460,71779836,73055412,75160632,76549740,77540556,78815780,80406904,81866220,83176808,83989284,85540948,82781416,82331816,82223168,81784340,81776948,83111656,84948016,84515136,85681672,85939188,86575676,86090500,88266932,89162404,88035184,90547516,90971888,91423056,91446492,91813260,93613156,94896708,96102000,97283676,97708952,97056428,97454464,96685640,95968068,95527968,95384628,95977528,97025848,97151176,97885560,98372680,100251512,101367980,102136148,102540212,104138856,103866772,103869808,105004960,105609464,97528132,100713012,102539728,103212604,106389080,108833076,111416424,112840524,114306672,117100712,117041532,121056305,120881109,123325572,124713265,126059247
 "22000","Louisiana",5,SQINC7N,81,"111-112"," Farm wages and salaries ","Thousands of dollars",162668,165256,166824,167556,169244,170060,170120,169788,168440,167900,169224,172648,181908,184176,185612,186268,184160,183384,182084,180128,132072,131768,132948,135672,169368,173220,175680,176748,154020,153184,151776,149728,152536,152736,155720,161628,166080,171804,174716,174816,156832,155360,154916,155504,156820,157520,157316,156228,166776,163720,159784,154948,134076,133592,137764,146620,197572,208960,214948,215692,164696,162760,162448,163896,129356,130104,129208,126756,192636,188952,187852,189392,148996,152240,155532,158936,160920,162324,161892,159556,165924,162612,160452,159552,118720,119820,121840,124764,120896,123332,124624,124744,156168,155172,154528,154212,144200,145276,147396,150568,153330,155243,156059,159642,163845
 "22000","Louisiana",5,SQINC7N,82,"..."," Nonfarm wages and salaries ","Thousands of dollars",52140652,53010544,53250096,53356620,53467004,53644132,53719228,54713684,55795468,55947924,55937704,56044764,57674372,58270804,59028880,59283916,59631988,60232372,60612980,61142160,61079252,62139544,63011032,63937968,64168128,64845688,65756808,66454548,67521684,67982260,67590188,68019516,69934924,71627100,72899692,74999004,76383660,77368752,78641064,80232088,81709388,83021448,83834368,85385444,82624596,82174296,82065852,81628112,81610172,82947936,84788232,84360188,85547596,85805596,86437912,85943880,88069360,88953444,87820236,90331824,90807192,91260296,91284044,91649364,93483800,94766604,95972792,97156920,97516316,96867476,97266612,96496248,95819072,95375728,95229096,95818592,96864928,96988852,97723668,98213124,100085588,101205368,101975696,102380660,104020136,103746952,103747968,104880196,105488568,97404800,100588388,102414984,103056436,106233908,108678548,111262212,112696324,114161396,116953316,116890964,120902975,120725866,123169513,124553623,125895402
 "22000","Louisiana",5,SQINC7N,90,"113-814","  Private nonfarm wages and salaries ","Thousands of dollars",42015400,42941064,42898096,43031848,43012068,43226772,43022636,43964700,44966880,44607508,45090816,44938732,46512148,46918360,47352948,47308860,47484896,47860108,47987504,48327148,48042868,48856128,49716688,50470564,50515388,51023144,51922956,52357616,53117404,53550656,53198552,54220068,56335728,57920308,58925864,60749068,61845428,62688312,63505224,64635408,65575476,66746944,66973740,68660844,65699036,65265868,65065564,64500664,64329664,65598576,67277620,67185036,68301708,68774144,69490844,68935084,71264896,71991516,71178632,73638152,74207948,74766076,75084232,75494532,77427892,78837536,79973988,80977348,81323884,80678136,81135712,80360884,79525732,79043692,78920860,79701276,80469436,80704932,81185804,81602592,83332404,84284068,84972880,85407208,86820392,86517080,86283996,87396180,87383252,80121216,82709800,84897268,85279364,88288528,90394108,93196652,94423944,95847292,98544284,97845560,101791938,100852178,103616443,103967630,104987100
 "22000","Louisiana",5,SQINC7N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",202344,214752,206512,183992,201212,186080,183156,185568,169144,153028,176472,220820,178508,181984,181404,190804,187368,189344,189392,185352,190016,194832,200916,214264,202180,196224,204916,192580,206880,213460,212280,206728,217268,211156,211216,222728,216920,221848,229296,242964,245756,249436,227244,229768,219284,216068,217576,215916,231144,238192,247496,236100,236688,232540,234608,222412,239544,243780,246064,248324,248228,261112,254464,251772,266084,256660,258044,277692,262056,256976,283492,257216,286824,275508,276292,288312,283320,275156,277452,288116,288380,310316,303612,310508,313296,302116,311872,310316,304844,306992,318048,313832,307744,292096,326412,314264,314156,312756,323856,305608,324853,320963,315304,303406,299417
 "22000","Louisiana",5,SQINC7N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",2762256,2638920,2531632,2404060,2302212,2206548,2216312,2194016,2241368,2291420,2337612,2417080,2769004,2746604,2735324,2676012,2618292,2500540,2521368,2503364,2477496,2602708,2585372,2593548,2470804,2530340,2499912,2606092,2608440,2661620,2806168,2843220,3088180,3220444,3304104,3551880,3435752,3630856,3650156,3746860,4018604,4226784,4472676,4376384,4011596,3865964,3769432,3700764,3737768,3991140,4047208,4210504,4123072,4155016,4441236,4417024,4760912,4624980,4336012,4589680,4510472,4698304,4650376,4730968,4703632,4946600,5012832,4825024,4710132,4269960,4198144,4046516,3653464,3430796,3289564,3114568,2983516,2994304,3116516,3069580,3291540,3283328,3362328,3369780,3649124,3530996,3453460,3472896,3279780,2984132,2660560,2802104,2548820,2825732,2821868,3027064,2995816,3135168,3385384,3426920,3410054,3381358,3339999,3543036,3513436
 "22000","Louisiana",5,SQINC7N,300,"22","   Utilities ","Thousands of dollars",432240,438456,451656,467660,461716,463340,468556,468888,517252,492308,490568,509176,512916,543224,551968,560504,528732,574048,581116,588444,544020,579876,582956,616020,687604,625116,573596,600892,607488,609072,667064,652240,555000,618416,602340,597772,596816,611244,639816,626072,679780,666508,722572,675484,705884,680436,692816,722576,654336,687208,688248,716652,727984,715976,717452,703272,686316,716108,728600,737944,726104,728092,758828,729272,760568,755044,718384,755468,762352,768824,731052,760036,704220,748632,762880,758672,759644,773880,796368,788896,828248,810996,824780,832120,838200,851572,828344,842396,901824,869636,923188,961700,897220,888160,952324,937188,822344,892104,860336,886680,864964,930179,872954,914531,935204
 "22000","Louisiana",5,SQINC7N,400,"23","   Construction ","Thousands of dollars",3826712,4072792,4010180,4072332,4088860,4028188,3917264,4127336,4214128,4182000,4157260,4016396,4120896,4209360,4292528,4213024,4173064,4182436,4124384,4081044,4007336,4124204,4223500,4258580,4230444,4105836,4292268,4270040,4347424,4490100,4414332,4869020,5528608,5856412,5745464,6025624,6257648,6300796,6571760,6658544,6569724,6970928,6914664,7538024,7224192,6998640,7012548,6700440,6378388,6221460,6577148,6382336,6578848,6719420,6542136,6150396,6703296,6836844,6614632,7082528,7035684,7224928,7245504,7340616,7668604,8019944,8324520,8323712,8428144,8281212,8479272,8695976,8539596,8546784,8673228,9026044,9461632,9477592,9622348,9365220,9789888,10218412,10309980,10096040,10098684,9686936,9312928,9379804,9228436,7661288,7868716,8257736,8279072,8788536,9176100,9261100,9083608,9288480,9501656,9143020,9558523,9873584,10247857,10851242,11064419
 "22000","Louisiana",5,SQINC7N,500,"31-33","   Manufacturing ","Thousands of dollars",7002200,6997836,7008544,7081992,6991656,7041904,7142740,7081200,7130916,7110944,7041988,7030384,7376476,7390512,7356952,7226484,7188208,7254392,7203144,7303160,7128988,7233348,7275520,7555688,7399180,7517764,7625652,7576464,7764936,7759924,7623912,7655140,7962768,7996752,8305276,8434464,8606452,8745772,8738280,8858240,8873988,8887912,8998536,9079428,8468840,8437480,8310980,8385632,8300936,8434840,8577820,8583424,8904816,8805724,8890028,9083456,9170684,9438668,9239892,9391104,9347312,9599692,9620896,9759256,10083500,10137144,10210680,10447220,10451284,10247052,10231348,10168228,10080176,9851936,9762600,9875680,9972128,10029444,10121700,10179160,10583388,10407084,10602792,10743708,11008376,10957732,11001456,11086884,10963264,10509908,10371724,10440824,10330524,10683632,10791760,11143592,11449084,11526728,11854552,11883920,12657285,12367929,12605716,12866481,13040794
 "22000","Louisiana",5,SQINC7N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",3102696,3154084,3134024,3180216,3078320,3102892,3212844,3102208,3152652,3099320,3084348,3060228,3259200,3279636,3257324,3169276,3157280,3180484,3139700,3229180,3167792,3144308,3207924,3425396,3302704,3406516,3455888,3391652,3421332,3472492,3406296,3451132,3701080,3780216,4002200,4065552,4189912,4268056,4244288,4316512,4224212,4273336,4293684,4367524,3934584,3878612,3810772,3738008,3712788,3759940,3822840,3844844,3967272,3980384,4053168,4152300,4123556,4285816,4173412,4305136,4259864,4320920,4429900,4458616,4653504,4703796,4683220,4772956,4666212,4473860,4391816,4293188,4085292,3920440,3825240,3895976,3923852,3967412,3987028,4021204,4061880,4104156,4151392,4160236,4258876,4313084,4337680,4313512,4318796,3973860,3778760,3756116,3887812,4082324,3949520,4211952,4220048,4360496,4626016,4590184,4771867,4906671,5011195,5157214,5308916
 "22000","Louisiana",5,SQINC7N,530,"311-316,322-326","    Nondurable goods manufacturing ","Thousands of dollars",3899504,3843752,3874520,3901776,3913336,3939012,3929896,3978992,3978264,4011624,3957640,3970156,4117276,4110876,4099628,4057208,4030928,4073908,4063444,4073980,3961196,4089040,4067596,4130292,4096476,4111248,4169764,4184812,4343604,4287432,4217616,4204008,4261688,4216536,4303076,4368912,4416540,4477716,4493992,4541728,4649776,4614576,4704852,4711904,4534256,4558868,4500208,4647624,4588148,4674900,4754980,4738580,4937544,4825340,4836860,4931156,5047128,5152852,5066480,5085968,5087448,5278772,5190996,5300640,5429996,5433348,5527460,5674264,5785072,5773192,5839532,5875040,5994884,5931496,5937360,5979704,6048276,6062032,6134672,6157956,6521508,6302928,6451400,6583472,6749500,6644648,6663776,6773372,6644468,6536048,6592964,6684708,6442712,6601308,6842240,6931640,7229036,7166232,7228536,7293736,7885418,7461258,7594521,7709267,7731878
