GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "25000","Massachusetts",1,SQINC7N,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted) ","Thousands of dollars",116831132,121457924,124098136,125458540,127992500,129966560,134250816,138476228,147196540,145854060,151778956,152649432,155025736,151974756,150504292,149503536,148215740,149397304,148925180,148218340,147666708,148540964,151945196,153944528,155038544,159032276,161408040,159191564,160710276,161641012,164681912,166485116,170189452,171905020,172177560,176697388,182115660,182882608,184461092,187366384,190091764,190375288,189074000,189773168,180193640,181467260,182187600,183486232,181660164,186512068,190581224,190914568,192477236,198592656,196407620,195061112,200762080,202357448,203222064,208497320,207028372,209626544,210336240,212791100,218369024,218717932,222174224,228496856,230978392,235298120,235713792,240009156,238116952,240919524,246117776,245841860,249148828,253116176,257502784,260693960,265500700,266162816,269290544,271471892,281141784,281090772,281672392,285460928,290998568,272368856,281362160,299544244,297190372,307792320,317999352,323057532,326013516,328060472,332061376,337472396,339474274,343078162,345394763,344412669,348772041
 "25000","Massachusetts",1,SQINC7N,81,"111-112"," Farm wages and salaries ","Thousands of dollars",90196,90396,89544,88156,81908,80156,80312,82064,89036,92548,95468,97388,94508,95684,96436,96776,120624,120120,119260,117984,106776,106536,107488,109692,102240,104560,106048,106692,85700,85244,84460,83320,93104,93228,95052,98660,107000,110692,112564,112632,102464,101512,101224,101608,98280,98720,98592,97912,97104,95324,93028,90216,79332,79048,81516,86760,128024,135404,139288,139768,139292,137660,137396,138608,147172,148020,147000,144208,120936,118620,117932,118900,130944,133796,136688,139684,111768,112740,112440,110828,107788,105636,104236,103652,82916,83684,85092,87136,88768,90560,91504,91592,86648,86100,85736,85560,122384,123300,125092,127784,130128,131752,132444,135485,139052
 "25000","Massachusetts",1,SQINC7N,82,"..."," Nonfarm wages and salaries ","Thousands of dollars",116740936,121367528,124008592,125370384,127910592,129886404,134170504,138394164,147107504,145761512,151683488,152552044,154931228,151879072,150407856,149406760,148095116,149277184,148805920,148100356,147559932,148434428,151837708,153834836,154936304,158927716,161301992,159084872,160624576,161555768,164597452,166401796,170096348,171811792,172082508,176598728,182008660,182771916,184348528,187253752,189989300,190273776,188972776,189671560,180095360,181368540,182089008,183388320,181563060,186416744,190488196,190824352,192397904,198513608,196326104,194974352,200634056,202222044,203082776,208357552,206889080,209488884,210198844,212652492,218221852,218569912,222027224,228352648,230857456,235179500,235595860,239890256,237986008,240785728,245981088,245702176,249037060,253003436,257390344,260583132,265392912,266057180,269186308,271368240,281058868,281007088,281587300,285373792,290909800,272278296,281270656,299452652,297103724,307706220,317913616,322971972,325891132,327937172,331936284,337344612,339344146,342946410,345262319,344277184,348632989
 "25000","Massachusetts",1,SQINC7N,90,"113-814","  Private nonfarm wages and salaries ","Thousands of dollars",102007564,106385736,108867916,109960384,112260996,113960620,118300760,122189924,130708268,129099828,134891284,136123744,137604448,134478952,132691048,131753588,130202376,131056688,130382844,130007640,128869616,129822212,133108796,134958088,135786724,139479368,141543384,139693852,140775300,141785672,144467220,145817740,149675436,150838480,150922064,155183244,160420252,160824300,162422252,164887680,167345052,167592080,166102848,166112568,157267616,158032872,158837432,159819392,158520872,162821292,167150800,167097048,168963116,174349840,172133612,171134908,176225332,178046688,178289016,183668864,181696028,184301608,184888380,187196352,192237340,192503776,195295672,201703732,203644004,208264172,207841892,211991000,210678952,212891112,218268660,217530432,220932560,224416056,228954376,231589628,236266240,236656052,239499368,241281860,250873076,250776188,250777764,254081172,258914596,241514592,250398908,267834744,265683216,275905740,285543040,289440236,292215608,293833696,297108088,303337520,302908754,308716865,308661645,307320311,311046298
 "25000","Massachusetts",1,SQINC7N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",93628,89668,86348,91736,100384,110144,121488,122776,108676,112124,124544,164684,167336,166420,153960,152128,(D),(D),(D),(D),(D),(D),(D),(D),190220,215456,200608,254264,252564,241488,265352,231768,235892,239136,230408,219468,205840,260180,237600,253768,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),209808,222852,207528,178160,206908,202284,194616,179300,180044,199364,229848,241100,214664,216136,236340,225516,253524,237868,225380,248648,200752,228288,247524,276516,256676,248272,251444,239556,231228,187852,236188,295012,260556,286816,350908,314876,315932,269220,230444,221048,225453,222642,221288,218003,228525
 "25000","Massachusetts",1,SQINC7N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",57972,63408,58988,57044,58076,59108,60068,67936,63376,61180,61476,60196,63296,65020,69424,70604,(D),(D),(D),(D),(D),(D),(D),(D),85440,92048,94420,92100,92476,95796,90232,91220,96508,91760,91928,88912,86284,84280,80048,75084,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),50672,51616,52304,52180,55376,56040,57000,62492,55684,62284,67388,70732,71484,67076,66792,66644,66172,68328,68512,70228,68568,67984,68132,67184,72484,70632,71928,79324,83704,71632,76188,67396,66020,68700,72140,70396,74516,75604,72708,76956,79207,83045,83600,86434,91798
 "25000","Massachusetts",1,SQINC7N,300,"22","   Utilities ","Thousands of dollars",800580,789392,823836,815988,812648,796888,908376,855684,935760,943680,861100,882236,923896,927412,899524,917468,811948,891776,869092,857128,856100,871564,859556,866056,886856,864480,829308,804660,844560,824088,816596,869956,838508,860832,865416,871980,894988,912112,973304,930212,948748,976660,998024,1066476,1142536,1034816,1038024,982616,1090184,1175376,1068832,1007496,1153896,1164372,1120840,1156732,1012000,1094220,1099096,1224076,1151444,1062216,1088488,1031336,1124008,1151844,1158028,1267360,1166684,1170800,1200524,1141596,1165412,1170604,1185600,1266868,1367744,1529528,1361416,1427104,1527952,1443420,1321772,1449344,1514436,1525416,1748256,1527476,1650128,1378816,1749504,1695816,1676908,1729544,1707644,1677792,1736164,1844508,1639712,1824616,1774865,1728419,1698072,1803648,1837891
 "25000","Massachusetts",1,SQINC7N,400,"23","   Construction ","Thousands of dollars",4601128,4729572,4925660,5113872,5314988,5463932,5585360,5774656,6250232,6359784,6593672,6911424,7169460,7255252,7335796,7403908,7707744,7563112,7552944,7597344,7432092,7352276,7285340,7243308,7329040,7503208,7627612,7545580,7500220,7649552,7848376,7824204,8206256,8092752,7992292,8052100,8283104,8403492,8351944,8432140,8539828,8588288,8434840,8357704,7475600,7185092,6960008,6783756,6723584,6867312,6997272,6856584,6947500,7203964,7283040,7325920,7648832,7655820,7702656,7958924,8118420,8336172,8446496,8512372,8747220,8935800,9190008,9393468,9611848,10049848,10285232,10571876,10717864,10852688,10843620,11247352,11308304,11575020,12009480,12201396,12465912,12793040,12837032,13107408,13767480,13634528,13508796,13571432,14052812,11220928,13777160,13867244,14263264,14500752,15029456,14957452,15608796,15729084,15514364,16274416,16246623,17018526,16683255,16958710,17335989
 "25000","Massachusetts",1,SQINC7N,500,"31-33","   Manufacturing ","Thousands of dollars",18948444,19785780,19601736,20231568,19954624,20393752,21832108,21652732,23215696,22464432,22765480,22236396,22368960,21613244,20683920,20186504,19841492,19721516,19075016,18984424,18659360,18746068,18918592,19399976,18611912,19212524,19532680,18847324,19297468,18819540,19079184,19237128,19491868,19566648,19386544,19493464,20475348,20369468,20351128,21112344,20266204,19942244,19654124,19332388,18176924,17839248,17681044,18177192,18328712,18906804,19509632,19863700,19859056,20359400,19098360,19534152,19857300,20090224,20035420,20228624,19703716,20068148,20378704,19948524,20868772,20667780,20754048,21321456,22548692,21413512,20953296,20985544,20734364,20746812,22600636,20865904,21535780,21460356,21473264,21830480,21796340,21779936,21610464,21712636,21983752,21877132,21840524,22042692,22465000,21551720,22076288,22389564,22819508,23372248,23071888,23419244,23771172,23543848,24033624,24415904,23308468,24495217,24105182,24049740,24280093
 "25000","Massachusetts",1,SQINC7N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",13750484,14456340,14132528,14714916,14409800,14827680,16196084,16235464,17328068,16658528,16889048,16479252,16710760,16071212,15222200,14868432,14530748,14309784,13891984,13723100,13416160,13436152,13473008,13843984,13454996,13966892,14235616,13684980,13892352,13440624,13739712,13990552,14140568,14062192,13963088,14111440,14950792,14857608,14812844,14729228,14687976,14473116,14279876,14052232,13149724,12763260,12661836,13031140,13151132,13701088,14229372,14661356,14706504,14999092,13885900,14398024,14736124,14769612,14730956,14677208,14421312,14520876,14701680,14374196,14741592,14922564,14947856,15176676,14975216,15138596,14921448,14873216,14897448,14813064,16565736,14944760,15679524,15485032,15337104,15582012,15361984,15505904,15355724,15601360,16168676,15788804,15693276,15882924,15980644,15487432,15918848,16266516,16482040,16597252,16432944,16703748,17018420,16727720,16634652,16952252,16578370,17169439,17149618,16883793,17106360
 "25000","Massachusetts",1,SQINC7N,530,"311-316,322-326","    Nondurable goods manufacturing ","Thousands of dollars",5197960,5329440,5469208,5516652,5544824,5566072,5636024,5417268,5887628,5805904,5876432,5757144,5658200,5542032,5461720,5318072,5310744,5411732,5183032,5261324,5243200,5309916,5445584,5555992,5156916,5245632,5297064,5162344,5405116,5378916,5339472,5246576,5351300,5504456,5423456,5382024,5524556,5511860,5538284,6383116,5578228,5469128,5374248,5280156,5027200,5075988,5019208,5146052,5177580,5205716,5280260,5202344,5152552,5360308,5212460,5136128,5121176,5320612,5304464,5551416,5282404,5547272,5677024,5574328,6127180,5745216,5806192,6144780,7573476,6274916,6031848,6112328,5836916,5933748,6034900,5921144,5856256,5975324,6136160,6248468,6434356,6274032,6254740,6111276,5815076,6088328,6147248,6159768,6484356,6064288,6157440,6123048,6337468,6774996,6638944,6715496,6752752,6816128,7398972,7463652,6730098,7325778,6955564,7165947,7173733
 "25000","Massachusetts",1,SQINC7N,600,"42","   Wholesale trade ","Thousands of dollars",7074576,7266684,7539080,7620320,7705644,7771356,8072000,8343276,8833872,8982684,9102444,9097428,8929700,8869012,8776984,8544208,8328948,8423736,8297520,8271916,8505344,8569744,8834560,9063148,9108076,9334860,9222756,9094180,8918180,8922468,9216344,9150584,10444752,9681340,9888092,10007560,10175716,10430320,10399572,10484184,10590552,10725508,10524756,10371916,9877440,9735796,9817672,9748896,9517208,9751020,9929524,9906028,10133336,10312156,10247368,9987500,10063960,9985592,10018180,10185596,10282140,10518020,10442464,10624656,10719880,10905184,11007248,11347784,11062812,11511676,11436832,11540540,11432584,11839240,11845592,11984300,12055720,12307640,12236324,12671036,12356804,12145388,12495724,12288744,12852660,12630492,12571476,12721404,13088140,12309220,12661932,13452624,14385592,14197956,15125184,14938148,15319644,15769476,15621008,15906876,15374039,15997732,15679293,15857297,16073179
 "25000","Massachusetts",1,SQINC7N,700,"44-45","   Retail trade ","Thousands of dollars",7537936,7684176,7843376,7968428,7929760,8131148,8182948,8392980,8670696,8743080,8923788,9062464,9039676,8976448,9002924,9073200,9103232,9122908,9163288,9108612,9226212,9285456,9388852,9664804,9585876,9745080,9815108,9866748,9795604,9882200,9866276,9985320,9810808,9705048,9700372,9570796,9826588,9761164,9706332,9709628,9858556,9802424,9687792,9573624,9282448,9278792,9444224,9485888,9366444,9541468,9543044,9560588,9617228,9612332,9711620,9666996,9952664,9781652,9832420,9914688,10038132,10114280,10105648,10212348,10392952,10482736,10526448,10937944,10792552,11029552,11275508,11537528,11488980,11500980,11602452,11749764,11848516,11922272,12087836,12144680,12349812,12420048,12577036,12547276,13052736,13147644,13187668,13118796,13744848,11712420,13602876,14016856,14455856,14562268,14655460,15292040,15637176,15716112,16081572,16055704,16678615,16177933,16727307,16418814,16515304
 "25000","Massachusetts",1,SQINC7N,800,"48-49","   Transportation and warehousing ","Thousands of dollars",2404372,2462064,2525592,2579580,2611784,2658636,2712816,2837652,2887452,2961536,3004492,3032080,3033616,3001620,2967796,2930980,2838164,2876748,2915780,2963852,2897444,2902424,2872056,2891504,2900264,2948320,2982348,2974140,2940280,2974876,3008948,2982328,3029840,3050464,3109960,3157856,3235132,3302356,3251252,3306604,3339224,3284200,3286100,3313108,3144840,3135976,3105564,3126392,3158912,3189476,3229656,3281328,3287860,3381228,3411552,3390524,3462720,3508456,3501352,3573724,3535844,3561124,3625488,3751236,3841172,3913752,3954456,3937912,4093772,4154420,4270708,4314852,4325396,4316072,4425872,4528400,4556104,4608140,4646716,4684180,4821768,4910812,4993344,5042960,5086072,5185604,5282276,5325824,5351780,4585116,4892916,5129760,5236308,5417340,5712908,5924488,6138976,6145168,6352432,6318716,6568104,6513080,6684755,6656934,6738645
