GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "24000","Maryland",2,SQINC7N,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted) ","Thousands of dollars",79243936,81265584,82619816,84460496,86242136,86343028,87894732,89503496,92334316,93226144,95658236,96887264,98738424,99495744,100189964,101038492,102404712,103903268,104923716,105883984,105473128,108001188,109976620,111440960,112168316,114293536,116020268,117780804,117988416,120066680,123107256,124470692,126472208,127261364,128712908,130872488,132927344,134272136,133894720,136173600,136937952,137314412,137529076,138057820,134336184,136294308,136572776,137862608,135891684,138897576,140007740,142189300,142624968,144027416,146083836,144502928,148985420,147623976,148748024,150065416,151042208,150335856,149284360,149854544,152956296,154409292,156191856,157429236,160158792,161542996,163328996,164939092,164826608,166662128,168285416,170645196,170930200,172480164,174203144,177239600,177929316,179270720,180748412,181017304,184009932,186003172,186114188,188929912,191672200,181407972,189464832,194071780,198126524,197824572,202324132,207896208,208217684,211272392,216881028,216920448,221674911,224216477,229326076,229425348,231848969
 "24000","Maryland",2,SQINC7N,81,"111-112"," Farm wages and salaries ","Thousands of dollars",109272,109576,108424,106508,100716,98196,98588,101364,109900,115284,119712,122516,119784,121276,122236,122664,155236,154584,153480,151828,137252,136936,138168,140996,131268,134248,136148,136976,109904,109304,108308,106840,119248,119404,121736,126360,136876,141592,143996,144080,131088,129852,129476,129968,125720,126284,126124,125248,124212,121936,119000,115404,101484,101112,104272,110984,139964,148028,152276,152804,152268,150492,150220,151536,160900,161820,160704,157656,132212,129688,128920,129988,143148,146272,149432,152712,175428,176968,176492,173948,169184,165812,163612,162692,130144,131344,133572,136768,139328,142136,143640,143764,135996,135144,134580,134300,192096,193532,196344,200568,204248,206795,207882,212656,218254
 "24000","Maryland",2,SQINC7N,82,"..."," Nonfarm wages and salaries ","Thousands of dollars",79134664,81156008,82511392,84353988,86141420,86244832,87796144,89402132,92224416,93110860,95538524,96764748,98618640,99374468,100067728,100915828,102249476,103748684,104770236,105732156,105335876,107864252,109838452,111299964,112037048,114159288,115884120,117643828,117878512,119957376,122998948,124363852,126352960,127141960,128591172,130746128,132790468,134130544,133750724,136029520,136806864,137184560,137399600,137927852,134210464,136168024,136446652,137737360,135767472,138775640,139888740,142073896,142523484,143926304,145979564,144391944,148845456,147475948,148595748,149912612,150889940,150185364,149134140,149703008,152795396,154247472,156031152,157271580,160026580,161413308,163200076,164809104,164683460,166515856,168135984,170492484,170754772,172303196,174026652,177065652,177760132,179104908,180584800,180854612,183879788,185871828,185980616,188793144,191532872,181265836,189321192,193928016,197990528,197689428,202189552,207761908,208025588,211078860,216684684,216719880,221470663,224009682,229118194,229212692,231630715
 "24000","Maryland",2,SQINC7N,90,"113-814","  Private nonfarm wages and salaries ","Thousands of dollars",60943688,62333336,63472116,65341172,66986216,67035424,68311048,69435268,71634184,72728080,74851276,75737472,77191392,77748028,77924688,78457584,78562592,79634796,80016928,80672708,80230088,82494384,83939556,85681960,86117444,87601688,89644516,90263472,90722232,91938204,94780692,95851508,97550316,98025752,98831108,100596592,102267580,103261692,102477588,104164080,104700648,104759644,104684980,104472444,100850756,102017556,102104240,103096876,100904752,103530752,104701916,106178788,106433172,107302012,108743368,107833004,111771696,110561692,111857724,113574360,113876820,113547492,112655776,112892808,115747132,116728244,118093372,118987624,121315328,122647844,123954000,125295132,125390180,126737192,128302120,130095724,130121756,131475040,133082016,135514324,136019608,137198744,138150700,138604124,141210812,142816160,142571832,144558240,146448624,136129876,143638412,148036496,151659192,150989196,154922172,159978292,159606240,162319056,166608648,165933856,169160648,171300609,174673316,173809338,175135512
 "24000","Maryland",2,SQINC7N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",35824,37656,37544,40468,40712,41328,41928,39948,40212,37644,45560,57428,46212,45072,41092,47532,49012,48392,46120,47992,50260,52208,56808,56392,56164,57824,57820,58376,59696,61828,63128,62764,64000,62284,60212,59696,52888,54936,57224,56276,57096,60256,55900,57364,55720,52920,55056,56180,58308,60384,58564,59752,55420,54500,57776,53856,55164,54912,53208,57920,56160,57808,58184,59180,57456,58500,60796,63892,63212,63296,70492,68064,67980,71816,70996,71248,73376,72456,72648,73124,72996,71112,75020,70732,83832,81932,76140,72356,71152,68736,75560,76400,72992,69472,75912,82892,79544,81880,90336,83700,92947,87786,89541,88370,82441
 "24000","Maryland",2,SQINC7N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",58388,56388,58484,60352,60180,58172,59636,61056,62792,64772,64320,59880,75100,76000,95456,74692,73240,70656,65684,64336,68144,68700,69000,71404,67164,73552,76136,85316,81212,89244,91764,91724,93824,92416,94024,86268,88092,88356,85556,84636,87916,87748,89796,85916,82604,78592,78796,81940,75364,80856,89488,83172,80016,90980,86936,92020,97984,98872,89380,87540,84228,80924,79612,77316,75376,78952,79340,82176,76544,80120,80360,81900,79296,80452,81836,77988,81880,81852,81452,82612,79048,80260,82048,73436,85332,81120,80012,81552,84288,77996,81356,81996,76784,85108,84476,88860,88440,92700,94916,95832,109400,111613,101913,102629,101597
 "24000","Maryland",2,SQINC7N,300,"22","   Utilities ","Thousands of dollars",691004,660856,660840,678284,689276,698640,708096,724572,789052,712900,718012,716968,694188,759384,751672,755436,682824,706172,720504,701040,702672,736412,791596,837584,865972,755448,817532,835904,907168,829320,916948,912716,836568,898860,874244,957960,993696,1043812,978840,1002884,1090816,1015412,1023412,1041816,958784,973908,970380,1000580,1092088,1011320,988576,1079436,1119068,1112160,1138840,1066512,1231760,1088328,1263308,1223120,1157584,1136864,1120464,1086980,1117796,1112140,1128532,1103684,1182280,1111152,1199968,1186104,1205624,1172988,1220036,1274912,1258188,1280492,1223492,1323024,1210752,1335312,1247756,1283612,1364248,1260652,1289660,1291848,1296104,1294360,1311484,1235324,1306412,1285496,1283900,1353748,1345832,1358236,1391760,1328564,1489469,1328858,1576772,1444862,1463312
 "24000","Maryland",2,SQINC7N,400,"23","   Construction ","Thousands of dollars",4914092,5094608,5267840,5465288,5550608,5747936,5837660,5962592,6156828,6238288,6436616,6630192,6856312,7018796,7037816,7116172,7118476,7215604,7195236,7180872,7249824,7379344,7522844,7831816,7846060,8076388,8443076,8490664,8523620,8702104,8963768,9110388,9568440,9462248,9376728,9660068,9945472,9991960,9806016,9969560,10039600,9770856,9632920,9637972,8899668,8636668,8568820,8296332,7919464,8222272,8125756,8142564,8292568,8231544,8281584,8163716,8513980,8273600,8237216,8473316,8547128,8549572,8623596,8552180,8803012,9091508,9209260,9185092,9261860,9615736,9786672,10022984,10116464,10425924,10614484,10809560,10950664,10933772,10996404,11157440,11215416,11113728,11167840,11337680,11567532,11737540,11874492,11834856,11992124,11096524,11838492,12039836,11903188,11810668,12162212,12480920,12575876,12927524,12981800,13055680,13336064,13184042,13223148,13550326,13584286
 "24000","Maryland",2,SQINC7N,500,"31-33","   Manufacturing ","Thousands of dollars",7196992,7328944,7335680,7461432,7459036,7577296,7735212,7734712,7954568,7987428,8106280,8158284,8227892,8285288,8049900,7916184,7834624,7771800,7672544,7681536,7496216,7511408,7600780,7728856,7706024,7705260,8003668,8022864,7823192,7760768,7729668,7754988,7754488,7711156,7887728,7877788,7885008,8596028,8003236,8105784,8200396,8122576,8103036,8142032,7609964,7655860,7651112,7885380,7715280,7757596,7848216,7944208,7646636,7885308,7857184,7693032,7908208,7604612,7602512,7514072,7746832,7503400,7496620,7451812,7428904,7444784,7484636,7579904,7806008,7910168,7820540,7841744,7776188,7765276,7931452,8055060,8204852,8511524,8519040,8811548,8741504,8726496,8882208,9067744,8633880,9136952,9283164,9533416,9670972,9363436,9419504,9607808,10136560,9830732,9771484,10086940,10162392,10282912,10652604,10584304,10740013,10729876,11640672,11080824,11197122
 "24000","Maryland",2,SQINC7N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",4244544,4396756,4356548,4316352,4321604,4405944,4476100,4615576,4753276,4717452,4816920,4879780,4893764,5034184,4766432,4704432,4702552,4646988,4598044,4609216,4444276,4466140,4586512,4570864,4683512,4570936,4870340,4835300,4642244,4666768,4602232,4569584,4567488,4587268,4647600,4628364,4696336,4853640,4733252,4814868,4856076,4745664,4870220,4955440,4564504,4646788,4563320,4736056,4567564,4730752,4715888,4703020,4388080,4720656,4669360,4549172,4724424,4451804,4420776,4329136,4613556,4346824,4364428,4324544,4207716,4157412,4201348,4227080,4418676,4367868,4456956,4365984,4422320,4368800,4473568,4612520,4609704,4769584,4738840,4973516,4790340,4992724,5003920,5041936,5039972,5115296,5133420,5347780,5308360,5228076,5192412,5391036,5631020,5626208,5405508,5697304,5618624,5777196,6045124,5841476,5893746,5989892,6853161,6166614,6272916
