GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "26000","Michigan",3,SQINC7N,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted) ","Thousands of dollars",153724944,155412084,155172960,160811240,161636216,163966496,165422732,170278108,174837288,174440792,174809884,172561708,174563540,171929860,170723996,170619980,169491604,173284972,173197000,173327604,174530540,174129912,174558444,179059704,176357156,178463684,181145076,180593964,181619684,183000808,181898932,182806524,183509940,184491948,184023112,183434296,188122436,187017576,186964292,185125944,187138560,186671480,184379196,183671568,168923832,170844268,169488212,170760648,166149424,172359516,176058684,176141212,180160088,179911748,183019072,184577876,188285812,188223372,189111736,192711160,193665760,195059264,194830328,196134652,201170536,203486768,204790896,207551044,210830668,213490488,215848924,218415952,219786288,221545760,223034596,226413676,229338360,230889676,232059052,235925648,240338888,239965508,241226180,241003580,244809344,246390872,246641528,250266404,250877464,222397152,244973228,253396564,252157640,261644912,265745200,270390140,276872596,280930844,287077540,286808180,292391748,300182094,302965860,301872273,306358333
 "26000","Michigan",3,SQINC7N,81,"111-112"," Farm wages and salaries ","Thousands of dollars",496656,511016,512476,503296,472452,452896,449576,460856,500016,530456,548804,553216,506160,512464,516480,518304,559996,557640,553680,547732,451032,450000,454028,463344,498952,510292,517532,520668,471452,468908,464596,458324,447076,447660,456420,473728,653824,676360,687816,688204,549964,544796,543248,545320,573036,575612,574860,570884,460236,451816,440924,427592,547788,545804,562852,599032,697228,737416,758564,761184,689400,681340,680072,686060,808904,813576,807968,792648,809628,794168,789520,795992,872100,891104,910420,930328,763556,770220,768160,757120,809388,793268,782752,778348,792276,799580,813120,832612,681012,694756,702068,702712,681060,676756,673920,672560,758420,764100,775228,791912,806440,816500,820791,839639,861741
 "26000","Michigan",3,SQINC7N,82,"..."," Nonfarm wages and salaries ","Thousands of dollars",153228288,154901068,154660484,160307944,161163764,163513600,164973156,169817252,174337272,173910336,174261080,172008492,174057380,171417396,170207516,170101676,168931608,172727332,172643320,172779872,174079508,173679912,174104416,178596360,175858204,177953392,180627544,180073296,181148232,182531900,181434336,182348200,183062864,184044288,183566692,182960568,187468612,186341216,186276476,184437740,186588596,186126684,183835948,183126248,168350796,170268656,168913352,170189764,165689188,171907700,175617760,175713620,179612300,179365944,182456220,183978844,187588584,187485956,188353172,191949976,192976360,194377924,194150256,195448592,200361632,202673192,203982928,206758396,210021040,212696320,215059404,217619960,218914188,220654656,222124176,225483348,228574804,230119456,231290892,235168528,239529500,239172240,240443428,240225232,244017068,245591292,245828408,249433792,250196452,221702396,244271160,252693852,251476580,260968156,265071280,269717580,276114176,280166744,286302312,286016268,291585308,299365594,302145069,301032634,305496592
 "26000","Michigan",3,SQINC7N,90,"113-814","  Private nonfarm wages and salaries ","Thousands of dollars",132474724,133833668,133791356,139317356,139767924,141758728,142940120,147245056,151664472,150811040,151086952,148551056,150639448,147744500,146068936,145731760,144205044,147960968,147118284,147575292,148381000,147822268,148199452,152633384,149801120,151736672,154059448,153387008,154072152,155281336,154240652,154766060,155563400,156264920,155738264,154737764,159345292,157879236,157816012,156022204,157710084,156909312,154493876,153805068,138858364,140422612,138965092,140070696,135830872,141775940,145866052,146115788,150679644,150397560,153388116,155297480,158034324,159096328,159451512,163168872,163976968,165825588,165611820,166884092,171565748,173681888,174833560,177567568,180630812,183323888,185483336,188011548,189264164,190543848,192022152,195048120,198143904,199423244,200360820,203777988,208234964,207345972,208359008,208065812,211817908,213174076,212864644,215889272,216251800,189428336,211424776,219661328,218751956,227181304,230409728,235233228,241269732,245016012,249843532,249294128,255178621,261671220,263786485,261741246,265072948
 "26000","Michigan",3,SQINC7N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",119784,122192,122480,123068,123848,127056,124968,132192,117552,119052,132008,166488,142200,142392,140652,137752,130784,131224,129496,130544,130984,132416,137020,139544,145160,148072,148504,148428,147400,152036,151708,151904,146776,148384,139332,144540,141964,148156,153348,150408,155088,159728,161820,167952,163716,161104,164844,170552,174680,190452,188412,183328,181984,182604,191964,201832,205268,215452,196104,196972,207100,211076,220392,233184,238384,242228,253724,244652,237520,250944,277944,269764,282308,276964,267140,282680,280216,280900,306016,280548,290804,291984,296388,302328,312864,313208,307660,307480,314836,303972,337888,334208,324828,321352,362864,361888,354336,382296,376432,386876,412203,406567,384330,412368,370029
 "26000","Michigan",3,SQINC7N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",353356,333048,331700,332848,345884,374324,332272,332816,335576,337452,353628,357524,353932,340700,323048,329308,284512,304968,310224,308560,307244,296840,310840,313536,317748,327452,336060,332548,355848,354820,349572,361356,373868,383312,359772,363516,370792,374932,403672,393296,392692,416656,396072,448492,375124,342364,326660,344816,383152,401092,460212,410796,458552,434012,436476,440028,464828,486536,436508,464532,476256,460380,466396,500368,514312,506556,516228,512728,481228,495880,418856,419196,432652,415320,389236,371680,386992,409012,416352,430628,438136,444552,466884,457784,479020,454956,443784,439700,427676,345176,386620,425780,436796,438036,434044,429824,497620,499704,501996,519388,525411,536464,523035,528744,556828
 "26000","Michigan",3,SQINC7N,300,"22","   Utilities ","Thousands of dollars",1246360,1299528,1243344,1299084,1301092,1320148,1382652,1324200,1502216,1310820,1422628,1347780,1338516,1446580,1478240,1434356,1428756,1418544,1437168,1419096,1689740,1476292,1507052,1422312,1411744,1492556,1515424,1581556,1513244,1572856,1540148,1624812,1621936,1661220,1615480,1690028,1770656,1764388,1802380,1772072,1717652,1712024,1770920,1794736,1864516,1857236,1703616,1807584,1758568,1877808,1870680,1797368,1932496,1826512,1904592,1930572,1860880,1931932,2062120,1999964,1992336,2016760,2036500,2018396,2251380,2151656,2156112,2062948,2266336,2204256,2269516,2186196,2225708,2265452,2173604,2397124,2335360,2386576,2336316,2413720,2323508,2440188,2424612,2624184,2559472,2524992,2479764,2586636,2629288,2667156,2514092,2853128,2725556,2726900,2903024,2692604,2867428,2829260,2954444,2895020,2888878,2632962,2894350,2681642,2759749
 "26000","Michigan",3,SQINC7N,400,"23","   Construction ","Thousands of dollars",7133268,7253876,7362228,7638520,7799296,8124840,8092480,8732716,9039840,9087244,9225644,9023336,9142608,9098712,8975180,9189716,9118452,8945936,8794836,8671380,8322664,8565392,8526680,8600964,8513076,8606732,8846900,8656488,8802180,8814548,8695496,8604216,8753680,8683416,8220764,8186544,8342496,8304372,8232552,8072300,8022980,7862784,7789796,7698356,6913812,6508708,6179716,6045588,5951444,6260720,6463432,6406220,6385724,6657076,6908240,6730808,6892024,7033832,6936584,7182144,7296052,7195792,7379568,7522872,7832540,7963776,8253532,8233112,8363200,8815420,8725224,8928160,9109172,9423420,9294952,9733252,9959652,10198580,10374824,10425360,10701208,10834068,10863280,10771568,11188300,11232296,11348708,11477580,11770236,9411932,12226272,12061640,12236224,12446528,12895432,13004684,13638744,13826944,13513404,13895028,14366300,15129306,14995215,15296022,16405209
 "26000","Michigan",3,SQINC7N,500,"31-33","   Manufacturing ","Thousands of dollars",41459956,41502264,40098036,42180688,42012856,43366588,44121696,44382300,46171168,44967924,44493752,42895532,44249000,41736476,40309200,39452600,38571180,40233020,39184244,39362800,39815656,38931816,38372592,41176924,38551736,38738736,39108256,38589592,38562276,38190816,37271912,37521520,37347384,37761204,37405784,35944888,38080908,36780112,35983112,35308908,34962624,34437484,33366316,32603904,26467856,26924752,26724728,26956796,25661388,27968272,29258688,28587076,31091312,30400552,30952676,31950136,32686532,33071420,32498296,33591880,33547848,34325044,34555220,34552400,35437656,36121464,36315736,36833416,37565884,37603204,38312440,39445304,38908888,39322332,39066608,39514580,40645620,40759684,40588084,41019412,42995980,42425560,42437392,42180328,42679232,43247288,42495692,43513808,41810896,34825808,40122392,40834784,41046772,42585136,42084684,42874248,44838604,45949772,46563012,46288280,47433490,49936190,49554804,49333338,49855448
 "26000","Michigan",3,SQINC7N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",34603520,34397788,33040592,35022356,34793296,36043440,36739888,36930752,38686812,37559112,37104580,35649640,36774348,34308628,33012928,32177236,31358516,32928128,32035012,32045960,32393580,31543800,30760748,33690176,31077380,31339752,31504792,31295168,31150780,30781324,30061724,30199288,30086176,30424632,30207744,28749188,30931936,29647152,28951764,28318072,27819264,27329400,26326536,25738732,20061324,20587068,20424124,20562172,19179228,21442672,22509536,21907760,24139272,23567536,24054992,25022324,25626952,25745900,25187124,26158504,26274248,26825356,27028696,26894072,27650640,28325528,28396680,28895828,29432872,29346156,30065416,30995764,30303040,30682732,30468656,30665384,31768084,31877496,31658968,31922308,33439268,33186672,33165164,32868004,33265428,33688564,32950608,34089704,32356096,26109244,30832380,31193880,31381580,33067128,32161760,32676124,34401384,35328632,35807692,35688360,36503486,38871950,38431455,38516034,39096901
