GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "38000","North Dakota",4,SQINC7N,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted) ","Thousands of dollars",7562252,7599692,7654264,7727568,7799576,7944840,7968040,8161612,8357732,8281684,8432860,8366116,8642708,8758668,8819608,8908888,8940672,9082384,9154928,9259348,9344616,9429144,9669608,9788704,10006692,10215592,10359076,10490688,10584252,10716708,10836236,11023344,11254800,11509636,11490912,11779276,12010420,12219708,12392304,12773200,13076084,13243272,13534532,13689948,13381424,13504540,13760324,13842940,14113436,14621244,14924448,15306464,16025688,16483532,17275676,18078272,19297868,20197440,20381792,20824900,21042592,21518132,21944196,22279860,23057180,23749080,24311996,24853156,24671984,23573680,23044648,22498056,21886908,21508788,21664172,21683348,21847140,22281752,22181120,22406880,22750480,23063588,23473024,23664900,24172604,24356448,24359552,24553876,24738724,22743640,22956484,23313952,23679956,23992412,24471964,25040460,25652128,25909780,26847620,27110932,27932747,28247908,28794731,29252574,29599440
 "38000","North Dakota",4,SQINC7N,81,"111-112"," Farm wages and salaries ","Thousands of dollars",119704,124528,125912,124232,119112,114752,113456,115232,120500,125968,131528,136508,142192,143964,145088,145608,133244,132688,131740,130328,104720,104480,105420,107584,147608,150960,153108,154036,150012,149204,147836,145840,142636,142824,145616,151144,203748,210768,214344,214464,231036,228876,228220,229088,173204,173976,173756,172560,177908,174644,170436,165284,184140,183468,189196,201360,263104,278272,286248,287236,259244,256212,255724,257984,293072,294760,292728,287176,175824,172464,171452,172864,178548,182444,186396,190468,219248,221160,220572,217404,197384,193452,190896,189824,241284,243504,247624,253564,243692,248616,251224,251456,231312,229852,228892,228428,254236,256132,259868,265460,270330,273702,275141,281459,288868
 "38000","North Dakota",4,SQINC7N,82,"..."," Nonfarm wages and salaries ","Thousands of dollars",7442548,7475164,7528352,7603336,7680464,7830088,7854584,8046380,8237232,8155716,8301332,8229608,8500516,8614704,8674520,8763280,8807428,8949696,9023188,9129020,9239896,9324664,9564188,9681120,9859084,10064632,10205968,10336652,10434240,10567504,10688400,10877504,11112164,11366812,11345296,11628132,11806672,12008940,12177960,12558736,12845048,13014396,13306312,13460860,13208220,13330564,13586568,13670380,13935528,14446600,14754012,15141180,15841548,16300064,17086480,17876912,19034764,19919168,20095544,20537664,20783348,21261920,21688472,22021876,22764108,23454320,24019268,24565980,24496160,23401216,22873196,22325192,21708360,21326344,21477776,21492880,21627892,22060592,21960548,22189476,22553096,22870136,23282128,23475076,23931320,24112944,24111928,24300312,24495032,22495024,22705260,23062496,23448644,23762560,24243072,24812032,25397892,25653648,26587752,26845472,27662417,27974206,28519590,28971115,29310572
 "38000","North Dakota",4,SQINC7N,90,"113-814","  Private nonfarm wages and salaries ","Thousands of dollars",5699672,5738364,5785224,5851100,5920816,6053948,6059556,6217984,6364576,6274072,6427400,6351312,6566112,6648592,6659160,6714420,6730360,6817688,6841696,6921432,7004224,7049660,7253200,7356848,7480524,7668548,7819240,7919932,7951384,8094548,8234756,8358708,8577196,8801344,8758292,9012180,9191016,9362340,9494136,9843712,10103916,10244396,10509852,10612832,10321184,10368104,10595708,10676148,10833708,11338756,11616396,12022488,12640096,13093732,13898704,14630412,15775340,16614528,16778820,17178560,17389984,17825840,18238436,18548936,19259636,19923368,20431964,20934252,20782372,19665400,19090416,18540684,17814408,17444744,17584120,17526128,17647948,18095600,17993304,18194812,18563308,18839292,19218228,19427688,19853648,19992648,19939984,20071256,20158608,18273272,18357784,18684132,18986636,19292776,19738332,20305296,20806172,21046212,21943844,22122764,22934340,23145715,23601103,23909786,24158980
 "38000","North Dakota",4,SQINC7N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",24512,25384,25260,25684,26024,27532,26864,26696,30220,28424,34412,45812,25932,25888,24996,26436,26552,24108,26476,25572,25380,26684,28100,27536,29160,29012,28840,30636,31228,33756,31624,33900,36740,32424,31868,31004,31596,34560,36720,37656,38864,42672,43908,43812,44356,48512,50132,53020,51764,53584,59196,56848,57976,57144,60796,63836,64888,66220,64952,70376,66252,70116,71896,73288,71072,74192,74236,75588,77824,73664,79848,79984,84544,84708,82196,83888,89756,84320,85600,85940,88100,85728,87984,89772,93296,95748,95512,93716,99068,101016,110280,100584,100148,98680,110300,106684,103748,101732,106944,121724,107964,107809,113079,118200,104664
 "38000","North Dakota",4,SQINC7N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",150352,149464,147564,137372,143284,137144,135352,143964,143836,150392,150732,154912,166728,168156,169912,172164,147584,158156,157540,162360,157172,168028,168412,173912,175688,181428,189508,196568,203912,220856,246100,255184,275256,289732,310168,318544,330984,344388,351172,383740,422696,474856,531280,601300,534112,469088,479916,526536,615472,761432,909396,1050168,1178188,1352140,1561636,1817932,2090780,2422996,2409328,2321680,2397540,2489212,2557952,2634216,2811204,3050732,3148664,3286476,2871764,2393808,2115436,1911088,1587244,1379292,1395196,1434564,1597360,1749268,1862744,1936604,2050708,2175188,2273500,2299876,2372908,2319524,2309760,2244244,2255380,1533888,1263348,1370980,1323476,1409416,1494900,1591440,1665236,1835776,2083020,2156560,2218396,2310441,2325718,2366239,2370315
 "38000","North Dakota",4,SQINC7N,300,"22","   Utilities ","Thousands of dollars",186980,186480,171712,185604,169812,170788,172976,174036,176964,172156,179172,183476,184748,193704,191356,192100,190804,196640,193444,197892,207736,198816,206692,215872,201308,211704,205656,201944,203952,205524,214556,222800,212228,221624,221484,222800,225588,235804,242124,241476,254112,245372,249636,250800,260700,255884,260480,264144,263956,270128,264136,274632,274152,281252,285960,278988,277212,287028,294284,292736,300648,311840,312168,317844,334564,328460,336716,341188,352668,359220,372848,374440,359148,363324,376548,380960,372996,385912,372744,386124,382972,387784,406416,381212,403640,372056,364248,381428,375596,365348,375768,377912,373124,385732,395444,381124,380344,409132,382020,394116,386342,376943,410324,421752,446670
 "38000","North Dakota",4,SQINC7N,400,"23","   Construction ","Thousands of dollars",462740,456812,462524,478952,500708,527632,585084,572464,567944,527508,482988,473092,513776,497668,502208,521784,496548,490604,490156,496744,495636,518344,554752,565724,560268,624204,624688,618168,621616,628428,648076,648404,707372,735836,698692,722028,775932,762760,781112,863068,874084,906260,994048,962120,900568,930552,1050516,971532,963248,1017924,1002816,1089036,1117888,1181520,1352672,1445816,1627388,1718460,1699656,1778180,1915852,1955212,2058748,2060748,2157432,2265964,2331560,2484568,2603176,2276124,2115684,2077816,1956840,2055140,2174152,2004688,1819572,1807460,1636868,1653252,1650904,1693080,1756740,1776932,1931248,2009992,1936976,1940344,1873852,1702004,1707088,1635960,1564024,1693556,1724868,1756472,1800528,1799588,1887288,1916968,2114892,2130153,2105489,2173565,2215158
 "38000","North Dakota",4,SQINC7N,500,"31-33","   Manufacturing ","Thousands of dollars",624236,620632,620524,628616,617324,638028,629460,648280,687528,660016,703600,664928,767976,759836,769724,747272,757884,778068,772440,782536,785448,780300,811408,824108,829408,892388,897004,926072,888712,949632,961964,967884,993188,1004388,982956,993100,1017408,1028440,1055740,1089044,1126252,1090948,1102680,1078736,970328,982792,975424,993796,929380,993564,988040,1005768,1015868,1054048,1075404,1108908,1141016,1182736,1174864,1203356,1187904,1202704,1245644,1252792,1270072,1282920,1306824,1308784,1297096,1298268,1295748,1319504,1272252,1252724,1244760,1247176,1262092,1314696,1319172,1329880,1382996,1397648,1436484,1468436,1480536,1511180,1485340,1515500,1523148,1454696,1490976,1525540,1638072,1608976,1626320,1702296,1723520,1773476,1872544,1853820,1967630,1978273,2011712,2037092,2073007
 "38000","North Dakota",4,SQINC7N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",432680,426264,426356,430028,420872,437000,432456,447820,480396,452300,492264,465092,525904,520896,522944,513144,519688,535464,530508,532368,536156,531336,554272,564116,563696,621336,615552,649300,616480,671812,682384,680396,705848,703264,702388,696164,712500,717872,745368,777648,810400,773268,781668,755116,662448,658764,651776,661936,614992,637268,655296,674204,686320,716248,725904,747480,774524,808848,800524,826880,806664,819060,857236,867848,871968,876276,892184,887624,867540,879184,862708,860640,832988,812896,813528,799576,806032,850184,852228,876148,915420,935376,962040,990852,1002544,1003640,992344,1016612,1011320,915532,955768,992320,1066044,1065852,1036016,1093032,1113680,1157864,1242084,1219692,1275373,1318711,1337456,1357344,1392148
