GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "35000","New Mexico",6,SQINC7N,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted) ","Thousands of dollars",19566964,19618372,19875472,20254556,20053736,20398680,20555848,21076504,21466856,21854824,22040752,22409800,22866688,23136496,23634756,23517172,23828852,24356532,24514700,24574300,24763348,25227296,25587076,26228008,26299536,26784072,27241068,27700268,27943664,28615628,28990348,29286904,30191000,30559084,30903556,31478096,31854060,32255416,32741176,33233580,33696136,33942140,34067632,34342956,33184008,33126712,33222508,33428208,32891068,33417684,33735768,33989232,33848572,34118824,34523644,34210324,34893284,35293052,34785496,34998088,35417320,35464716,35249236,35497252,36013352,36254372,36646772,37577820,37172180,37475500,37526864,37713032,37333244,37699084,37685848,37941764,38240900,38435432,38831696,39184092,39882116,40373828,40949092,41417244,42139024,42724160,43501084,43905616,44656656,41581552,42436496,43537336,43719168,44992032,46562568,47732088,48380452,49096736,50658700,51648188,52508508,54411081,54338763,55712067,56603034
 "35000","New Mexico",6,SQINC7N,81,"111-112"," Farm wages and salaries ","Thousands of dollars",165412,162512,159328,157020,154500,153708,155668,159684,168336,174604,179120,181492,174276,176440,177820,178456,201828,200980,199552,197408,173600,173200,174756,178336,182940,187100,189752,190904,217356,216188,214196,211300,202068,202324,206284,214104,231120,239080,243128,243268,221380,219300,218676,219508,248196,249316,248984,247260,225584,221452,216112,209580,212808,212036,218660,232724,229684,242920,249888,250748,273460,270264,269760,272144,263216,264732,262904,257924,224108,219828,218548,220336,244844,250180,255592,261188,269192,271552,270824,266928,275000,269524,265952,264456,190752,192512,195772,200468,281916,287612,290636,290896,316640,314640,313320,312692,251728,253612,257296,262848,267670,271009,272433,278689,286025
 "35000","New Mexico",6,SQINC7N,82,"..."," Nonfarm wages and salaries ","Thousands of dollars",19401552,19455860,19716144,20097536,19899236,20244972,20400180,20916820,21298520,21680220,21861632,22228308,22692412,22960056,23456936,23338716,23627024,24155552,24315148,24376892,24589748,25054096,25412320,26049672,26116596,26596972,27051316,27509364,27726308,28399440,28776152,29075604,29988932,30356760,30697272,31263992,31622940,32016336,32498048,32990312,33474756,33722840,33848956,34123448,32935812,32877396,32973524,33180948,32665484,33196232,33519656,33779652,33635764,33906788,34304984,33977600,34663600,35050132,34535608,34747340,35143860,35194452,34979476,35225108,35750136,35989640,36383868,37319896,36948072,37255672,37308316,37492696,37088400,37448904,37430256,37680576,37971708,38163880,38560872,38917164,39607116,40104304,40683140,41152788,41948272,42531648,43305312,43705148,44374740,41293940,42145860,43246440,43402528,44677392,46249248,47419396,48128724,48843124,50401404,51385340,52240838,54140072,54066330,55433378,56317009
 "35000","New Mexico",6,SQINC7N,90,"113-814","  Private nonfarm wages and salaries ","Thousands of dollars",13710568,13817596,13988744,14208964,14146652,14397024,14523280,14741628,15143508,15345216,15632680,15873988,16307200,16371020,16432144,16401992,16549684,16893572,16918404,16921952,17130744,17380764,17692116,18079624,18094140,18503500,18872216,19130524,19371308,19875260,20035832,20502092,21180652,21731632,22496348,22942228,23313140,23629048,23870132,24371100,24692312,24844644,24804364,25041396,23804948,23636204,23622080,23628156,23398976,23650352,24029732,24284724,24286448,24451708,24748208,24487068,25257884,25513860,25089356,25278212,25688796,25725632,25560148,25755932,26225244,26394244,26729788,27563552,27223980,27399356,27576404,27575536,27262020,27339276,27288668,27682248,27864076,28107948,28437200,28745788,29439892,29864848,30184756,30619332,31290788,31747240,32149400,32464648,32821144,30098760,30932824,32098272,32043000,33145544,34529316,35512456,36385068,36709648,37861528,38522080,39302254,40512759,40658003,41419849,41939528
 "35000","New Mexico",6,SQINC7N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",50428,44664,42872,46352,58156,43248,46992,43624,40116,42404,50832,61488,49428,51832,47532,50580,48796,47968,51532,50588,50972,50952,50824,51776,52512,53448,54004,55684,55672,55004,51820,61280,59980,59436,57116,57560,56040,57788,57008,57072,66904,58832,57872,55580,57544,59660,60344,62292,60292,63332,65080,60232,61972,60244,65528,65792,71244,67024,56300,66696,69396,73620,71100,70784,74948,80400,78808,82956,82400,83264,92844,89296,98008,91528,94472,99956,96992,101012,101188,97456,105404,107972,106936,104564,106328,111832,116376,115284,114492,105552,116020,118416,114628,102676,125248,114500,119448,126808,118888,121300,124679,122899,111702,120679,114784
 "35000","New Mexico",6,SQINC7N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",665236,636584,615640,611864,565260,588024,587268,589888,627812,646908,653244,693044,732952,764032,748136,724520,691880,670420,660568,672560,676288,704868,706444,720128,740532,763308,810464,814832,875696,885012,972860,1008160,1101140,1139744,1160392,1185280,1164128,1251672,1256732,1251880,1344840,1461292,1496192,1516344,1255196,1163712,1120884,1137040,1232976,1239208,1311868,1756836,1407592,1551516,1603080,1572160,1686528,1810888,1781252,1777108,1849584,1959964,1929016,1927996,2055812,2120796,2161696,2248076,2094588,1944768,1917428,1789280,1571336,1456708,1392040,1533500,1510720,1564632,1687368,1736356,1855292,1982288,2022700,2084192,2199448,2233028,2238488,2161856,2115052,1646344,1464996,1471840,1561644,1596276,1701652,1842816,1917900,1995484,2189712,2185312,2223135,2471215,2491388,2444402,2465175
 "35000","New Mexico",6,SQINC7N,300,"22","   Utilities ","Thousands of dollars",199476,192404,198140,204864,205352,202528,209812,207812,205692,240852,199860,219076,238432,238784,225672,222692,216560,211496,218244,231108,210288,224600,225976,232928,225740,240636,221988,235436,232456,245052,250920,247708,246172,246716,259340,257268,265840,267656,305632,313716,331900,332420,306620,292492,352736,317356,334520,326644,317696,321736,320176,316420,324016,313732,324560,331308,303368,341776,336624,342552,336400,350048,339664,341604,345396,346528,347732,364536,344908,360232,354652,364780,357968,369752,372276,360108,363448,349572,364396,358440,358228,363116,372872,365396,384188,372908,365792,369508,391372,368988,382028,393632,392204,397388,410244,400328,380876,398468,405572,447304,405206,420745,406949,431598,441354
 "35000","New Mexico",6,SQINC7N,400,"23","   Construction ","Thousands of dollars",1142668,1172356,1155444,1132560,1155820,1174964,1187792,1231840,1250256,1289756,1357292,1420720,1466568,1496800,1515040,1487668,1466576,1441368,1411744,1443092,1464156,1509288,1542256,1581820,1574980,1653048,1722412,1722644,1783296,1832036,1945152,2002656,2145524,2168432,2145804,2201428,2193092,2239368,2289356,2373684,2489704,2459068,2379716,2392936,2196952,2045976,2011656,1951788,1896504,1872196,1864612,1859836,1820340,1851472,1850564,1746116,1809824,1805076,1788680,1777584,1818584,1810988,1819952,1886224,1861800,1876932,1901400,1974776,1972960,1972608,1978456,1990828,2001384,2002932,1984164,2032196,2093340,2165376,2244176,2322404,2403404,2410628,2420720,2478228,2557996,2691152,2827764,2828328,2843976,2665388,2632196,2672088,2652472,2647832,2827276,2892788,2875700,3009168,3111072,3199732,3305394,3511549,3674183,3738596,3805346
 "35000","New Mexico",6,SQINC7N,500,"31-33","   Manufacturing ","Thousands of dollars",1453144,1391064,1383900,1432600,1406452,1443644,1471092,1496512,1574284,1612588,1637576,1610948,1687852,1587108,1522320,1517136,1487664,1505904,1511700,1455844,1426704,1447952,1475836,1593172,1469152,1492048,1491936,1460524,1544956,1513276,1531336,1595236,1675556,1679124,1679016,1715392,1707808,1769688,1860276,1812032,1733792,1729392,1716028,1679888,1563688,1519180,1498704,1532704,1501616,1582764,1555372,1558272,1626968,1617172,1645824,1631812,1714808,1712828,1653184,1689536,1727788,1664220,1622668,1632504,1654952,1617932,1698820,1619116,1684260,1640064,1607948,1638124,1511036,1628848,1563280,1460496,1466472,1441064,1441384,1470080,1455704,1466448,1504352,1542008,1566936,1625412,1665684,1712384,1678048,1634236,1619196,1680716,1653264,1671652,1654596,1742836,1776416,1811252,1891860,1904276,1866242,1867899,1963198,1989557,2038031
 "35000","New Mexico",6,SQINC7N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",1180476,1116772,1104496,1148104,1119560,1159424,1179624,1194576,1273520,1305204,1323460,1305944,1355672,1251672,1199952,1196932,1166008,1183024,1186496,1135680,1104032,1121408,1136504,1250888,1128448,1143940,1141988,1112708,1187872,1159772,1167308,1222288,1296736,1293380,1288732,1319300,1304508,1357460,1436924,1357800,1308044,1302912,1298284,1265632,1149728,1097528,1073552,1094252,1094384,1163920,1133016,1136280,1213868,1179848,1194072,1194820,1252892,1240736,1188644,1206444,1238940,1176672,1131820,1146116,1153864,1118672,1186260,1115608,1092732,1125844,1090480,1107972,1016752,1114156,1039224,944636,940284,910388,907092,939056,923716,931020,953224,976956,985084,1009900,1052048,1088832,1057680,1027564,989312,1047252,1032692,1051156,1024988,1069272,1118928,1113288,1156260,1184556,1152111,1141525,1205228,1259535,1295351
